t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,97,8.041403,0.000000,0.000000,0.000000,events/second
1596598008,97,6.428503,0.000000,0.000000,0.000000,events/second
1596598011,7936,440.547198,0.000000,0.000000,0.000000,events/second
1596598014,10460,497.797735,0.000000,0.000000,0.000000,events/second
1596598017,10460,435.441452,0.000000,0.000000,0.000000,events/second
1596598020,10460,388.049589,0.000000,0.000000,0.000000,events/second
1596598023,10460,349.156815,0.000000,0.000000,0.000000,events/second
1596598026,10460,317.470332,0.000000,0.000000,0.000000,events/second
1596598029,10460,290.779803,0.000000,0.000000,0.000000,events/second
1596598032,10460,268.372636,0.000000,0.000000,0.000000,events/second
1596598035,10460,249.362823,0.000000,0.000000,0.000000,events/second
1596598038,10460,232.720500,0.000000,0.000000,0.000000,events/second
1596598041,10460,218.155120,0.000000,0.000000,0.000000,events/second
1596598044,10460,205.101352,0.000000,0.000000,0.000000,events/second
1596598047,10460,193.852237,0.000000,0.000000,0.000000,events/second
1596598050,10460,183.684039,0.000000,0.000000,0.000000,events/second
1596598053,10460,174.314468,0.000000,0.000000,0.000000,events/second
1596598056,10460,166.120886,0.000000,0.000000,0.000000,events/second
1596598059,10460,158.548530,0.000000,0.000000,0.000000,events/second
1596598062,10460,151.677626,0.000000,0.000000,0.000000,events/second
1596598065,10460,145.363948,0.000000,0.000000,0.000000,events/second
1596598068,10460,139.544340,0.000000,0.000000,0.000000,events/second
1596598071,10460,134.169775,0.000000,0.000000,0.000000,events/second
1596598074,10460,129.192924,0.000000,0.000000,0.000000,events/second
1596598077,10460,124.598227,0.000000,0.000000,0.000000,events/second
1596598080,10460,120.283846,0.000000,0.000000,0.000000,events/second
1596598083,10460,116.274136,0.000000,0.000000,0.000000,events/second
1596598086,10460,112.522860,0.000000,0.000000,0.000000,events/second
1596598089,10460,108.999826,0.000000,0.000000,0.000000,events/second
1596598092,10460,105.695421,0.000000,0.000000,0.000000,events/second
1596598095,10460,102.591524,0.000000,0.000000,0.000000,events/second
1596598098,10460,99.660889,0.000000,0.000000,0.000000,events/second
1596598101,10460,96.907998,0.000000,0.000000,0.000000,events/second
1596598104,10460,94.262702,0.000000,0.000000,0.000000,events/second
1596598107,10460,91.789770,0.000000,0.000000,0.000000,events/second
1596598110,10460,89.418969,0.000000,0.000000,0.000000,events/second
1596598113,10460,87.190094,0.000000,0.000000,0.000000,events/second
1596598116,10460,85.086388,0.000000,0.000000,0.000000,events/second
1596598119,10460,83.059898,0.000000,0.000000,0.000000,events/second
1596598122,10460,81.115707,0.000000,0.000000,0.000000,events/second
1596598125,10460,79.269952,0.000000,0.000000,0.000000,events/second
1596598128,10460,77.504862,0.000000,0.000000,0.000000,events/second
1596598131,10460,75.823545,0.000000,0.000000,0.000000,events/second
1596598134,10460,74.204696,0.000000,0.000000,0.000000,events/second
1596598137,10460,72.661941,0.000000,0.000000,0.000000,events/second
1596598140,10460,71.190670,0.000000,0.000000,0.000000,events/second
1596598143,10460,69.711246,0.000000,0.000000,0.000000,events/second
1596598146,10460,68.332674,0.000000,0.000000,0.000000,events/second
1596598149,10460,67.067789,0.000000,0.000000,0.000000,events/second
1596598152,10460,65.804655,0.000000,0.000000,0.000000,events/second
1596598155,10460,64.588719,0.000000,0.000000,0.000000,events/second
1596598158,10460,63.412749,0.000000,0.000000,0.000000,events/second
1596598161,10460,62.281828,0.000000,0.000000,0.000000,events/second
1596598164,10460,61.186588,0.000000,0.000000,0.000000,events/second
1596598167,10460,60.105331,0.000000,0.000000,0.000000,events/second
1596598170,10460,59.096497,0.000000,0.000000,0.000000,events/second
1596598173,10460,58.118614,0.000000,0.000000,0.000000,events/second
1596598176,10460,57.174749,0.000000,0.000000,0.000000,events/second
1596598179,10460,56.251609,0.000000,0.000000,0.000000,events/second
1596598182,10460,55.324889,0.000000,0.000000,0.000000,events/second
1596598185,10460,54.480288,0.000000,0.000000,0.000000,events/second
1596598188,10460,53.592400,0.000000,0.000000,0.000000,events/second
1596598191,10460,52.838629,0.000000,0.000000,0.000000,events/second
1596598194,10460,52.044212,0.000000,0.000000,0.000000,events/second
1596598197,10460,51.286429,0.000000,0.000000,0.000000,events/second
1596598200,10460,50.547557,0.000000,0.000000,0.000000,events/second
1596598203,10460,49.820873,0.000000,0.000000,0.000000,events/second
1596598206,10460,49.111731,0.000000,0.000000,0.000000,events/second
1596598209,10460,48.439485,0.000000,0.000000,0.000000,events/second
1596598212,10460,47.777300,0.000000,0.000000,0.000000,events/second
1596598215,10460,47.130320,0.000000,0.000000,0.000000,events/second
1596598218,10460,46.502906,0.000000,0.000000,0.000000,events/second
1596598221,10460,45.890427,0.000000,0.000000,0.000000,events/second
1596598224,10460,45.294659,0.000000,0.000000,0.000000,events/second
1596598227,10460,44.673152,0.000000,0.000000,0.000000,events/second
1596598230,10460,44.146888,0.000000,0.000000,0.000000,events/second
1596598233,10460,43.583012,0.000000,0.000000,0.000000,events/second
1596598236,10460,43.055121,0.000000,0.000000,0.000000,events/second
1596598239,10460,42.531763,0.000000,0.000000,0.000000,events/second
1596598242,10460,42.016203,0.000000,0.000000,0.000000,events/second
1596598245,10460,41.514784,0.000000,0.000000,0.000000,events/second
1596598248,10460,41.027278,0.000000,0.000000,0.000000,events/second
1596598251,10460,40.547191,0.000000,0.000000,0.000000,events/second
1596598254,10460,40.083876,0.000000,0.000000,0.000000,events/second
1596598257,10460,39.629162,0.000000,0.000000,0.000000,events/second
1596598260,10460,39.186334,0.000000,0.000000,0.000000,events/second
1596598263,10460,38.743756,0.000000,0.000000,0.000000,events/second
1596598266,10460,38.319744,0.000000,0.000000,0.000000,events/second
1596598269,10460,37.907298,0.000000,0.000000,0.000000,events/second
1596598272,10460,37.495977,0.000000,0.000000,0.000000,events/second
1596598275,10460,37.099421,0.000000,0.000000,0.000000,events/second
1596598278,10460,36.709672,0.000000,0.000000,0.000000,events/second
1596598281,10592,36.783029,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,53,5.908574,0.000000,0.000000,0.000000,events/second
1596598567,56,4.700499,0.000000,0.000000,0.000000,events/second
1596598570,56,3.719540,0.000000,0.000000,0.000000,events/second
1596598573,56,3.112393,0.000000,0.000000,0.000000,events/second
1596598576,11163,532.327930,0.000000,0.000000,0.000000,events/second
1596598579,13681,572.273883,0.000000,0.000000,0.000000,events/second
1596598582,14307,531.797289,0.000000,0.000000,0.000000,events/second
1596598585,16161,537.056241,0.000000,0.000000,0.000000,events/second
1596598588,22441,681.671998,0.000000,0.000000,0.000000,events/second
1596598591,22468,625.505749,0.000000,0.000000,0.000000,events/second
1596598594,22554,579.573079,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,62,6.933481,0.000000,0.000000,0.000000,events/second
1596677251,62,5.190903,0.000000,0.000000,0.000000,events/second
1596677254,62,4.151527,0.000000,0.000000,0.000000,events/second
1596677257,62,3.448646,0.000000,0.000000,0.000000,events/second
1596677260,11539,550.131607,0.000000,0.000000,0.000000,events/second
1596677263,13772,576.006153,0.000000,0.000000,0.000000,events/second
1596677266,14290,528.642077,0.000000,0.000000,0.000000,events/second
1596677269,16013,530.403108,0.000000,0.000000,0.000000,events/second
1596677272,22064,670.676687,0.000000,0.000000,0.000000,events/second
1596677275,22064,614.064703,0.000000,0.000000,0.000000,events/second
1596677278,22064,566.701314,0.000000,0.000000,0.000000,events/second
1596677281,22064,526.158668,0.000000,0.000000,0.000000,events/second
1596677284,22064,491.288789,0.000000,0.000000,0.000000,events/second
1596677287,22228,464.023331,0.000000,0.000000,0.000000,events/second
1596677290,22228,436.726643,0.000000,0.000000,0.000000,events/second
1596677293,22228,412.173712,0.000000,0.000000,0.000000,events/second
1596677296,22228,390.623634,0.000000,0.000000,0.000000,events/second
1596677299,22228,370.912164,0.000000,0.000000,0.000000,events/second
1596677302,22228,353.230875,0.000000,0.000000,0.000000,events/second
1596677305,22228,337.232102,0.000000,0.000000,0.000000,events/second
1596677308,22382,324.793901,0.000000,0.000000,0.000000,events/second
1596677311,22382,311.186876,0.000000,0.000000,0.000000,events/second
1596677314,22382,298.620637,0.000000,0.000000,0.000000,events/second
1596677317,22382,287.256844,0.000000,0.000000,0.000000,events/second
1596677320,22491,278.004373,0.000000,0.000000,0.000000,events/second
1596677323,22491,268.011069,0.000000,0.000000,0.000000,events/second
1596677326,22557,259.491650,0.000000,0.000000,0.000000,events/second
1596677329,22612,251.548577,0.000000,0.000000,0.000000,events/second
1596677332,22612,243.411781,0.000000,0.000000,0.000000,events/second
1596677335,22612,235.750919,0.000000,0.000000,0.000000,events/second
1596677338,22612,228.568804,0.000000,0.000000,0.000000,events/second
1596677341,22612,221.876495,0.000000,0.000000,0.000000,events/second
1596677344,22612,215.453849,0.000000,0.000000,0.000000,events/second
1596677347,22726,210.619520,0.000000,0.000000,0.000000,events/second
1596677350,22726,204.927808,0.000000,0.000000,0.000000,events/second
1596677353,22726,199.525196,0.000000,0.000000,0.000000,events/second
1596677356,22726,194.378328,0.000000,0.000000,0.000000,events/second
1596677359,22726,189.494795,0.000000,0.000000,0.000000,events/second
1596677362,22726,184.901669,0.000000,0.000000,0.000000,events/second
1596677365,22726,180.479323,0.000000,0.000000,0.000000,events/second
1596677368,22910,177.652292,0.000000,0.000000,0.000000,events/second
1596677371,22910,173.678886,0.000000,0.000000,0.000000,events/second
1596677374,22910,169.825024,0.000000,0.000000,0.000000,events/second
1596677377,22910,166.108459,0.000000,0.000000,0.000000,events/second
1596677380,22910,162.590562,0.000000,0.000000,0.000000,events/second
1596677383,22910,159.193721,0.000000,0.000000,0.000000,events/second
1596677386,23097,157.005131,0.000000,0.000000,0.000000,events/second
1596677389,23134,154.273163,0.000000,0.000000,0.000000,events/second
1596677392,23134,151.273799,0.000000,0.000000,0.000000,events/second
1596677395,23134,148.316670,0.000000,0.000000,0.000000,events/second
1596677398,23134,145.593987,0.000000,0.000000,0.000000,events/second
1596677401,23134,142.698997,0.000000,0.000000,0.000000,events/second
1596677404,23134,140.229421,0.000000,0.000000,0.000000,events/second
