t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,4,0.331088,0.000000,0.000000,0.000000,events/second
1596598008,4,0.264847,0.000000,0.000000,0.000000,events/second
1596598011,5,0.277380,0.000000,0.000000,0.000000,events/second
1596598014,21,0.998779,0.000000,0.000000,0.000000,events/second
1596598017,21,0.873670,0.000000,0.000000,0.000000,events/second
1596598020,21,0.778812,0.000000,0.000000,0.000000,events/second
1596598023,21,0.700778,0.000000,0.000000,0.000000,events/second
1596598026,21,0.637210,0.000000,0.000000,0.000000,events/second
1596598029,21,0.583610,0.000000,0.000000,0.000000,events/second
1596598032,21,0.538646,0.000000,0.000000,0.000000,events/second
1596598035,21,0.500529,0.000000,0.000000,0.000000,events/second
1596598038,21,0.467117,0.000000,0.000000,0.000000,events/second
1596598041,21,0.437903,0.000000,0.000000,0.000000,events/second
1596598044,21,0.411656,0.000000,0.000000,0.000000,events/second
1596598047,21,0.389129,0.000000,0.000000,0.000000,events/second
1596598050,21,0.368723,0.000000,0.000000,0.000000,events/second
1596598053,21,0.349899,0.000000,0.000000,0.000000,events/second
1596598056,21,0.333471,0.000000,0.000000,0.000000,events/second
1596598059,21,0.318272,0.000000,0.000000,0.000000,events/second
1596598062,21,0.304482,0.000000,0.000000,0.000000,events/second
1596598065,21,0.291808,0.000000,0.000000,0.000000,events/second
1596598068,21,0.280127,0.000000,0.000000,0.000000,events/second
1596598071,21,0.269338,0.000000,0.000000,0.000000,events/second
1596598074,21,0.259349,0.000000,0.000000,0.000000,events/second
1596598077,21,0.250127,0.000000,0.000000,0.000000,events/second
1596598080,21,0.241466,0.000000,0.000000,0.000000,events/second
1596598083,21,0.233418,0.000000,0.000000,0.000000,events/second
1596598086,21,0.225888,0.000000,0.000000,0.000000,events/second
1596598089,21,0.218814,0.000000,0.000000,0.000000,events/second
1596598092,21,0.212182,0.000000,0.000000,0.000000,events/second
1596598095,21,0.205952,0.000000,0.000000,0.000000,events/second
1596598098,21,0.200070,0.000000,0.000000,0.000000,events/second
1596598101,21,0.194544,0.000000,0.000000,0.000000,events/second
1596598104,21,0.189233,0.000000,0.000000,0.000000,events/second
1596598107,21,0.184270,0.000000,0.000000,0.000000,events/second
1596598110,21,0.179510,0.000000,0.000000,0.000000,events/second
1596598113,21,0.175036,0.000000,0.000000,0.000000,events/second
1596598116,21,0.170813,0.000000,0.000000,0.000000,events/second
1596598119,21,0.166743,0.000000,0.000000,0.000000,events/second
1596598122,21,0.162842,0.000000,0.000000,0.000000,events/second
1596598125,21,0.159137,0.000000,0.000000,0.000000,events/second
1596598128,21,0.155593,0.000000,0.000000,0.000000,events/second
1596598131,21,0.152219,0.000000,0.000000,0.000000,events/second
1596598134,21,0.148969,0.000000,0.000000,0.000000,events/second
1596598137,21,0.145872,0.000000,0.000000,0.000000,events/second
1596598140,21,0.142919,0.000000,0.000000,0.000000,events/second
1596598143,21,0.139946,0.000000,0.000000,0.000000,events/second
1596598146,21,0.137169,0.000000,0.000000,0.000000,events/second
1596598149,21,0.134642,0.000000,0.000000,0.000000,events/second
1596598152,21,0.132106,0.000000,0.000000,0.000000,events/second
1596598155,21,0.129665,0.000000,0.000000,0.000000,events/second
1596598158,21,0.127305,0.000000,0.000000,0.000000,events/second
1596598161,21,0.125034,0.000000,0.000000,0.000000,events/second
1596598164,21,0.122836,0.000000,0.000000,0.000000,events/second
1596598167,21,0.120665,0.000000,0.000000,0.000000,events/second
1596598170,21,0.118636,0.000000,0.000000,0.000000,events/second
1596598173,21,0.116675,0.000000,0.000000,0.000000,events/second
1596598176,21,0.114782,0.000000,0.000000,0.000000,events/second
1596598179,21,0.112929,0.000000,0.000000,0.000000,events/second
1596598182,21,0.111061,0.000000,0.000000,0.000000,events/second
1596598185,21,0.109373,0.000000,0.000000,0.000000,events/second
1596598188,21,0.107584,0.000000,0.000000,0.000000,events/second
1596598191,21,0.106077,0.000000,0.000000,0.000000,events/second
1596598194,21,0.104482,0.000000,0.000000,0.000000,events/second
1596598197,21,0.102961,0.000000,0.000000,0.000000,events/second
1596598200,21,0.101478,0.000000,0.000000,0.000000,events/second
1596598203,21,0.100019,0.000000,0.000000,0.000000,events/second
1596598206,21,0.098594,0.000000,0.000000,0.000000,events/second
1596598209,21,0.097246,0.000000,0.000000,0.000000,events/second
1596598212,21,0.095917,0.000000,0.000000,0.000000,events/second
1596598215,21,0.094618,0.000000,0.000000,0.000000,events/second
1596598218,21,0.093358,0.000000,0.000000,0.000000,events/second
1596598221,21,0.092129,0.000000,0.000000,0.000000,events/second
1596598224,21,0.090933,0.000000,0.000000,0.000000,events/second
1596598227,21,0.089679,0.000000,0.000000,0.000000,events/second
1596598230,21,0.088628,0.000000,0.000000,0.000000,events/second
1596598233,21,0.087496,0.000000,0.000000,0.000000,events/second
1596598236,21,0.086437,0.000000,0.000000,0.000000,events/second
1596598239,21,0.085386,0.000000,0.000000,0.000000,events/second
1596598242,21,0.084351,0.000000,0.000000,0.000000,events/second
1596598245,21,0.083345,0.000000,0.000000,0.000000,events/second
1596598248,21,0.082366,0.000000,0.000000,0.000000,events/second
1596598251,21,0.081402,0.000000,0.000000,0.000000,events/second
1596598254,21,0.080472,0.000000,0.000000,0.000000,events/second
1596598257,21,0.079559,0.000000,0.000000,0.000000,events/second
1596598260,21,0.078670,0.000000,0.000000,0.000000,events/second
1596598263,21,0.077782,0.000000,0.000000,0.000000,events/second
1596598266,21,0.076930,0.000000,0.000000,0.000000,events/second
1596598269,21,0.076102,0.000000,0.000000,0.000000,events/second
1596598272,21,0.075277,0.000000,0.000000,0.000000,events/second
1596598275,21,0.074480,0.000000,0.000000,0.000000,events/second
1596598278,21,0.073698,0.000000,0.000000,0.000000,events/second
1596598281,40,0.138905,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,2,0.222669,0.000000,0.000000,0.000000,events/second
1596598567,4,0.335392,0.000000,0.000000,0.000000,events/second
1596598570,4,0.265456,0.000000,0.000000,0.000000,events/second
1596598573,4,0.222123,0.000000,0.000000,0.000000,events/second
1596598576,10,0.476575,0.000000,0.000000,0.000000,events/second
1596598579,21,0.877915,0.000000,0.000000,0.000000,events/second
1596598582,27,1.003160,0.000000,0.000000,0.000000,events/second
1596598585,76,2.524051,0.000000,0.000000,0.000000,events/second
1596598588,87,2.642025,0.000000,0.000000,0.000000,events/second
1596598591,97,2.699562,0.000000,0.000000,0.000000,events/second
1596598594,116,2.979895,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,4,0.446678,0.000000,0.000000,0.000000,events/second
1596677251,4,0.334532,0.000000,0.000000,0.000000,events/second
1596677254,4,0.267584,0.000000,0.000000,0.000000,events/second
1596677257,4,0.222234,0.000000,0.000000,0.000000,events/second
1596677260,10,0.476388,0.000000,0.000000,0.000000,events/second
1596677263,21,0.877966,0.000000,0.000000,0.000000,events/second
1596677266,27,0.998387,0.000000,0.000000,0.000000,events/second
1596677269,81,2.678056,0.000000,0.000000,0.000000,events/second
1596677272,97,2.947642,0.000000,0.000000,0.000000,events/second
1596677275,97,2.698778,0.000000,0.000000,0.000000,events/second
1596677278,97,2.490747,0.000000,0.000000,0.000000,events/second
1596677281,97,2.312635,0.000000,0.000000,0.000000,events/second
1596677284,97,2.159389,0.000000,0.000000,0.000000,events/second
1596677287,117,2.441971,0.000000,0.000000,0.000000,events/second
1596677290,117,2.298330,0.000000,0.000000,0.000000,events/second
1596677293,117,2.169121,0.000000,0.000000,0.000000,events/second
1596677296,117,2.055746,0.000000,0.000000,0.000000,events/second
1596677299,117,1.952008,0.000000,0.000000,0.000000,events/second
1596677302,117,1.859000,0.000000,0.000000,0.000000,events/second
1596677305,117,1.774800,0.000000,0.000000,0.000000,events/second
1596677308,137,1.987710,0.000000,0.000000,0.000000,events/second
1596677311,137,1.904490,0.000000,0.000000,0.000000,events/second
1596677314,137,1.827527,0.000000,0.000000,0.000000,events/second
1596677317,137,1.758092,0.000000,0.000000,0.000000,events/second
1596677320,147,1.816791,0.000000,0.000000,0.000000,events/second
1596677323,147,1.751512,0.000000,0.000000,0.000000,events/second
1596677326,157,1.805903,0.000000,0.000000,0.000000,events/second
1596677329,167,1.857609,0.000000,0.000000,0.000000,events/second
1596677332,167,1.797527,0.000000,0.000000,0.000000,events/second
1596677335,167,1.740963,0.000000,0.000000,0.000000,events/second
1596677338,167,1.687926,0.000000,0.000000,0.000000,events/second
1596677341,167,1.638512,0.000000,0.000000,0.000000,events/second
1596677344,167,1.590939,0.000000,0.000000,0.000000,events/second
1596677347,187,1.732913,0.000000,0.000000,0.000000,events/second
1596677350,187,1.686102,0.000000,0.000000,0.000000,events/second
1596677353,187,1.641651,0.000000,0.000000,0.000000,events/second
1596677356,187,1.599298,0.000000,0.000000,0.000000,events/second
1596677359,187,1.559095,0.000000,0.000000,0.000000,events/second
1596677362,187,1.521315,0.000000,0.000000,0.000000,events/second
1596677365,187,1.484936,0.000000,0.000000,0.000000,events/second
1596677368,207,1.605037,0.000000,0.000000,0.000000,events/second
1596677371,207,1.569121,0.000000,0.000000,0.000000,events/second
1596677374,207,1.534286,0.000000,0.000000,0.000000,events/second
1596677377,207,1.500736,0.000000,0.000000,0.000000,events/second
1596677380,207,1.468965,0.000000,0.000000,0.000000,events/second
1596677383,207,1.438278,0.000000,0.000000,0.000000,events/second
1596677386,217,1.474923,0.000000,0.000000,0.000000,events/second
1596677389,227,1.513627,0.000000,0.000000,0.000000,events/second
1596677392,227,1.484270,0.000000,0.000000,0.000000,events/second
1596677395,227,1.455248,0.000000,0.000000,0.000000,events/second
1596677398,227,1.428486,0.000000,0.000000,0.000000,events/second
1596677401,227,1.400082,0.000000,0.000000,0.000000,events/second
1596677404,227,1.375904,0.000000,0.000000,0.000000,events/second
1596677407,247,1.470838,0.000000,0.000000,0.000000,events/second
1596677410,247,1.445120,0.000000,0.000000,0.000000,events/second
1596677413,247,1.420260,0.000000,0.000000,0.000000,events/second
1596677416,247,1.396082,0.000000,0.000000,0.000000,events/second
1596677419,247,1.372846,0.000000,0.000000,0.000000,events/second
