t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,2,0.165432,0.000000,0.000000,0.000000,events/second
1596598008,2,0.132351,0.000000,0.000000,0.000000,events/second
1596598011,2,0.110900,0.000000,0.000000,0.000000,events/second
1596598014,2,0.095086,0.000000,0.000000,0.000000,events/second
1596598017,2,0.083179,0.000000,0.000000,0.000000,events/second
1596598020,2,0.074151,0.000000,0.000000,0.000000,events/second
1596598023,2,0.066720,0.000000,0.000000,0.000000,events/second
1596598026,2,0.060673,0.000000,0.000000,0.000000,events/second
1596598029,2,0.055570,0.000000,0.000000,0.000000,events/second
1596598032,2,0.051290,0.000000,0.000000,0.000000,events/second
1596598035,2,0.047661,0.000000,0.000000,0.000000,events/second
1596598038,2,0.044480,0.000000,0.000000,0.000000,events/second
1596598041,2,0.041699,0.000000,0.000000,0.000000,events/second
1596598044,2,0.039199,0.000000,0.000000,0.000000,events/second
1596598047,2,0.037055,0.000000,0.000000,0.000000,events/second
1596598050,2,0.035112,0.000000,0.000000,0.000000,events/second
1596598053,2,0.033319,0.000000,0.000000,0.000000,events/second
1596598056,2,0.031755,0.000000,0.000000,0.000000,events/second
1596598059,2,0.030308,0.000000,0.000000,0.000000,events/second
1596598062,2,0.028995,0.000000,0.000000,0.000000,events/second
1596598065,2,0.027788,0.000000,0.000000,0.000000,events/second
1596598068,2,0.026676,0.000000,0.000000,0.000000,events/second
1596598071,2,0.025649,0.000000,0.000000,0.000000,events/second
1596598074,2,0.024698,0.000000,0.000000,0.000000,events/second
1596598077,2,0.023820,0.000000,0.000000,0.000000,events/second
1596598080,2,0.022995,0.000000,0.000000,0.000000,events/second
1596598083,2,0.022228,0.000000,0.000000,0.000000,events/second
1596598086,2,0.021511,0.000000,0.000000,0.000000,events/second
1596598089,2,0.020838,0.000000,0.000000,0.000000,events/second
1596598092,2,0.020206,0.000000,0.000000,0.000000,events/second
1596598095,2,0.019613,0.000000,0.000000,0.000000,events/second
1596598098,2,0.019053,0.000000,0.000000,0.000000,events/second
1596598101,2,0.018527,0.000000,0.000000,0.000000,events/second
1596598104,2,0.018021,0.000000,0.000000,0.000000,events/second
1596598107,2,0.017548,0.000000,0.000000,0.000000,events/second
1596598110,2,0.017095,0.000000,0.000000,0.000000,events/second
1596598113,2,0.016669,0.000000,0.000000,0.000000,events/second
1596598116,2,0.016267,0.000000,0.000000,0.000000,events/second
1596598119,2,0.015879,0.000000,0.000000,0.000000,events/second
1596598122,2,0.015508,0.000000,0.000000,0.000000,events/second
1596598125,2,0.015155,0.000000,0.000000,0.000000,events/second
1596598128,2,0.014818,0.000000,0.000000,0.000000,events/second
1596598131,2,0.014496,0.000000,0.000000,0.000000,events/second
1596598134,2,0.014187,0.000000,0.000000,0.000000,events/second
1596598137,2,0.013892,0.000000,0.000000,0.000000,events/second
1596598140,2,0.013611,0.000000,0.000000,0.000000,events/second
1596598143,2,0.013328,0.000000,0.000000,0.000000,events/second
1596598146,2,0.013063,0.000000,0.000000,0.000000,events/second
1596598149,2,0.012822,0.000000,0.000000,0.000000,events/second
1596598152,2,0.012581,0.000000,0.000000,0.000000,events/second
1596598155,2,0.012349,0.000000,0.000000,0.000000,events/second
1596598158,2,0.012124,0.000000,0.000000,0.000000,events/second
1596598161,2,0.011908,0.000000,0.000000,0.000000,events/second
1596598164,2,0.011698,0.000000,0.000000,0.000000,events/second
1596598167,2,0.011491,0.000000,0.000000,0.000000,events/second
1596598170,2,0.011297,0.000000,0.000000,0.000000,events/second
1596598173,2,0.011111,0.000000,0.000000,0.000000,events/second
1596598176,2,0.010931,0.000000,0.000000,0.000000,events/second
1596598179,2,0.010755,0.000000,0.000000,0.000000,events/second
1596598182,2,0.010577,0.000000,0.000000,0.000000,events/second
1596598185,2,0.010416,0.000000,0.000000,0.000000,events/second
1596598188,2,0.010245,0.000000,0.000000,0.000000,events/second
1596598191,2,0.010102,0.000000,0.000000,0.000000,events/second
1596598194,2,0.009950,0.000000,0.000000,0.000000,events/second
1596598197,2,0.009805,0.000000,0.000000,0.000000,events/second
1596598200,2,0.009664,0.000000,0.000000,0.000000,events/second
1596598203,2,0.009525,0.000000,0.000000,0.000000,events/second
1596598206,2,0.009390,0.000000,0.000000,0.000000,events/second
1596598209,2,0.009261,0.000000,0.000000,0.000000,events/second
1596598212,2,0.009135,0.000000,0.000000,0.000000,events/second
1596598215,2,0.009011,0.000000,0.000000,0.000000,events/second
1596598218,2,0.008891,0.000000,0.000000,0.000000,events/second
1596598221,2,0.008774,0.000000,0.000000,0.000000,events/second
1596598224,2,0.008660,0.000000,0.000000,0.000000,events/second
1596598227,2,0.008541,0.000000,0.000000,0.000000,events/second
1596598230,2,0.008441,0.000000,0.000000,0.000000,events/second
1596598233,2,0.008333,0.000000,0.000000,0.000000,events/second
1596598236,2,0.008232,0.000000,0.000000,0.000000,events/second
1596598239,2,0.008132,0.000000,0.000000,0.000000,events/second
1596598242,2,0.008033,0.000000,0.000000,0.000000,events/second
1596598245,2,0.007937,0.000000,0.000000,0.000000,events/second
1596598248,2,0.007844,0.000000,0.000000,0.000000,events/second
1596598251,2,0.007752,0.000000,0.000000,0.000000,events/second
1596598254,2,0.007664,0.000000,0.000000,0.000000,events/second
1596598257,2,0.007577,0.000000,0.000000,0.000000,events/second
1596598260,2,0.007492,0.000000,0.000000,0.000000,events/second
1596598263,2,0.007408,0.000000,0.000000,0.000000,events/second
1596598266,2,0.007327,0.000000,0.000000,0.000000,events/second
1596598269,2,0.007248,0.000000,0.000000,0.000000,events/second
1596598272,2,0.007169,0.000000,0.000000,0.000000,events/second
1596598275,2,0.007093,0.000000,0.000000,0.000000,events/second
1596598278,2,0.007019,0.000000,0.000000,0.000000,events/second
1596598281,3,0.010418,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,1,0.111023,0.000000,0.000000,0.000000,events/second
1596598567,2,0.167386,0.000000,0.000000,0.000000,events/second
1596598570,2,0.132534,0.000000,0.000000,0.000000,events/second
1596598573,2,0.110926,0.000000,0.000000,0.000000,events/second
1596598576,2,0.095216,0.000000,0.000000,0.000000,events/second
1596598579,2,0.083527,0.000000,0.000000,0.000000,events/second
1596598582,4,0.148497,0.000000,0.000000,0.000000,events/second
1596598585,17,0.564176,0.000000,0.000000,0.000000,events/second
1596598588,18,0.546266,0.000000,0.000000,0.000000,events/second
1596598591,20,0.556270,0.000000,0.000000,0.000000,events/second
1596598594,21,0.539163,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,2,0.223019,0.000000,0.000000,0.000000,events/second
1596677251,2,0.167086,0.000000,0.000000,0.000000,events/second
1596677254,2,0.133679,0.000000,0.000000,0.000000,events/second
1596677257,2,0.111038,0.000000,0.000000,0.000000,events/second
1596677260,2,0.095220,0.000000,0.000000,0.000000,events/second
1596677263,2,0.083573,0.000000,0.000000,0.000000,events/second
1596677266,7,0.258719,0.000000,0.000000,0.000000,events/second
1596677269,18,0.594874,0.000000,0.000000,0.000000,events/second
1596677272,20,0.607532,0.000000,0.000000,0.000000,events/second
1596677275,20,0.556255,0.000000,0.000000,0.000000,events/second
1596677278,20,0.513393,0.000000,0.000000,0.000000,events/second
1596677281,20,0.476691,0.000000,0.000000,0.000000,events/second
1596677284,20,0.445112,0.000000,0.000000,0.000000,events/second
1596677287,23,0.479922,0.000000,0.000000,0.000000,events/second
1596677290,23,0.451699,0.000000,0.000000,0.000000,events/second
1596677293,23,0.426311,0.000000,0.000000,0.000000,events/second
1596677296,23,0.404034,0.000000,0.000000,0.000000,events/second
1596677299,23,0.383649,0.000000,0.000000,0.000000,events/second
1596677302,23,0.365373,0.000000,0.000000,0.000000,events/second
1596677305,23,0.348827,0.000000,0.000000,0.000000,events/second
1596677308,26,0.377162,0.000000,0.000000,0.000000,events/second
1596677311,26,0.361373,0.000000,0.000000,0.000000,events/second
1596677314,26,0.346773,0.000000,0.000000,0.000000,events/second
1596677317,26,0.333600,0.000000,0.000000,0.000000,events/second
1596677320,26,0.321287,0.000000,0.000000,0.000000,events/second
1596677323,26,0.309746,0.000000,0.000000,0.000000,events/second
1596677326,27,0.310525,0.000000,0.000000,0.000000,events/second
1596677329,29,0.322535,0.000000,0.000000,0.000000,events/second
1596677332,29,0.312104,0.000000,0.000000,0.000000,events/second
1596677335,29,0.302284,0.000000,0.000000,0.000000,events/second
1596677338,29,0.293077,0.000000,0.000000,0.000000,events/second
1596677341,29,0.284498,0.000000,0.000000,0.000000,events/second
1596677344,29,0.276238,0.000000,0.000000,0.000000,events/second
1596677347,32,0.296507,0.000000,0.000000,0.000000,events/second
1596677350,32,0.288499,0.000000,0.000000,0.000000,events/second
1596677353,32,0.280894,0.000000,0.000000,0.000000,events/second
1596677356,32,0.273648,0.000000,0.000000,0.000000,events/second
1596677359,32,0.266769,0.000000,0.000000,0.000000,events/second
1596677362,32,0.260305,0.000000,0.000000,0.000000,events/second
1596677365,32,0.254081,0.000000,0.000000,0.000000,events/second
1596677368,35,0.271357,0.000000,0.000000,0.000000,events/second
1596677371,35,0.265284,0.000000,0.000000,0.000000,events/second
1596677374,35,0.259396,0.000000,0.000000,0.000000,events/second
1596677377,35,0.253725,0.000000,0.000000,0.000000,events/second
1596677380,35,0.248354,0.000000,0.000000,0.000000,events/second
1596677383,35,0.243166,0.000000,0.000000,0.000000,events/second
1596677386,36,0.244665,0.000000,0.000000,0.000000,events/second
1596677389,38,0.253361,0.000000,0.000000,0.000000,events/second
1596677392,38,0.248448,0.000000,0.000000,0.000000,events/second
1596677395,38,0.243590,0.000000,0.000000,0.000000,events/second
1596677398,38,0.239111,0.000000,0.000000,0.000000,events/second
1596677401,38,0.234356,0.000000,0.000000,0.000000,events/second
1596677404,38,0.230310,0.000000,0.000000,0.000000,events/second
1596677407,41,0.244129,0.000000,0.000000,0.000000,events/second
1596677410,41,0.239861,0.000000,0.000000,0.000000,events/second
1596677413,41,0.235735,0.000000,0.000000,0.000000,events/second
1596677416,41,0.231722,0.000000,0.000000,0.000000,events/second
1596677419,41,0.227866,0.000000,0.000000,0.000000,events/second
