t,value
1596597996,0
1596597999,0
1596598002,16777216
1596598005,67108864
1596598008,67108864
1596598011,67108864
1596598014,67108864
1596598017,67108864
1596598020,67108864
1596598023,67108864
1596598026,67108864
1596598029,67108864
1596598032,67108864
1596598035,67108864
1596598038,67108864
1596598041,67108864
1596598044,67108864
1596598047,67108864
1596598050,67108864
1596598053,67108864
1596598056,67108864
1596598059,67108864
1596598062,67108864
1596598065,67108864
1596598068,67108864
1596598071,67108864
1596598074,67108864
1596598077,67108864
1596598080,67108864
1596598083,67108864
1596598086,67108864
1596598089,67108864
1596598092,67108864
1596598095,67108864
1596598098,67108864
1596598101,67108864
1596598104,67108864
1596598107,67108864
1596598110,67108864
1596598113,67108864
1596598116,67108864
1596598119,67108864
1596598122,67108864
1596598125,67108864
1596598128,67108864
1596598131,67108864
1596598134,67108864
1596598137,67108864
1596598140,67108864
1596598143,67108864
1596598146,67108864
1596598149,67108864
1596598152,67108864
1596598155,67108864
1596598158,67108864
1596598161,67108864
1596598164,67108864
1596598167,67108864
1596598170,67108864
1596598173,67108864
1596598176,67108864
1596598179,67108864
1596598182,67108864
1596598185,67108864
1596598188,67108864
1596598191,67108864
1596598194,67108864
1596598197,67108864
1596598200,67108864
1596598203,67108864
1596598206,67108864
1596598209,67108864
1596598212,67108864
1596598215,67108864
1596598218,67108864
1596598221,67108864
1596598224,67108864
1596598227,67108864
1596598230,67108864
1596598233,67108864
1596598236,67108864
1596598239,67108864
1596598242,67108864
1596598245,67108864
1596598248,67108864
1596598251,67108864
1596598254,67108864
1596598257,67108864
1596598260,67108864
1596598263,67108864
1596598266,67108864
1596598269,67108864
1596598272,67108864
1596598275,67108864
1596598278,67108864
1596598281,83886080
t,value
1596598558,0
1596598561,0
1596598564,50331648
1596598567,67108864
1596598570,67108864
1596598573,67108864
1596598576,67108864
1596598579,67108864
1596598582,100663296
1596598585,134217728
1596598588,134217728
1596598591,134217728
1596598594,134217728
