t,value
1596597996,532676608
1596597999,532676608
1596598002,532676608
1596598005,532676608
1596598008,532676608
1596598011,532676608
1596598014,532676608
1596598017,532676608
1596598020,532676608
1596598023,532676608
1596598026,532676608
1596598029,532676608
1596598032,532676608
1596598035,532676608
1596598038,532676608
1596598041,532676608
1596598044,532676608
1596598047,532676608
1596598050,532676608
1596598053,532676608
1596598056,532676608
1596598059,532676608
1596598062,532676608
1596598065,532676608
1596598068,532676608
1596598071,532676608
1596598074,532676608
1596598077,532676608
1596598080,532676608
1596598083,532676608
1596598086,532676608
1596598089,532676608
1596598092,532676608
1596598095,532676608
1596598098,532676608
1596598101,532676608
1596598104,532676608
1596598107,532676608
1596598110,532676608
1596598113,532676608
1596598116,532676608
1596598119,532676608
1596598122,532676608
1596598125,532676608
1596598128,532676608
1596598131,532676608
1596598134,532676608
1596598137,532676608
1596598140,532676608
1596598143,532676608
1596598146,532676608
1596598149,532676608
1596598152,532676608
1596598155,532676608
1596598158,532676608
1596598161,532676608
1596598164,532676608
1596598167,532676608
1596598170,532676608
1596598173,532676608
1596598176,532676608
1596598179,532676608
1596598182,532676608
1596598185,532676608
1596598188,532676608
1596598191,532676608
1596598194,532676608
1596598197,532676608
1596598200,532676608
1596598203,532676608
1596598206,532676608
1596598209,532676608
1596598212,532676608
1596598215,532676608
1596598218,532676608
1596598221,532676608
1596598224,532676608
1596598227,532676608
1596598230,532676608
1596598233,532676608
1596598236,532676608
1596598239,532676608
1596598242,532676608
1596598245,532676608
1596598248,532676608
1596598251,532676608
1596598254,532676608
1596598257,532676608
1596598260,532676608
1596598263,532676608
1596598266,532676608
1596598269,532676608
1596598272,532676608
1596598275,532676608
1596598278,532676608
1596598281,532676608
t,value
1596598558,530055168
1596598561,530055168
1596598564,530055168
1596598567,530055168
1596598570,530055168
1596598573,530055168
1596598576,530055168
1596598579,530055168
1596598582,530055168
1596598585,530055168
1596598588,530055168
1596598591,530055168
1596598594,530055168
t,value
1596677242,531628032
1596677245,531628032
1596677248,531628032
1596677251,531628032
1596677254,531628032
1596677257,531628032
1596677260,531628032
1596677263,531628032
1596677266,531628032
1596677269,531628032
1596677272,531628032
1596677275,531628032
1596677278,531628032
1596677281,531628032
1596677284,531628032
1596677287,531628032
1596677290,531628032
1596677293,531628032
1596677296,531628032
1596677299,531628032
1596677302,531628032
1596677305,531628032
1596677308,531628032
1596677311,531628032
1596677314,531628032
1596677317,531628032
1596677320,531628032
1596677323,531628032
1596677326,531628032
1596677329,531628032
1596677332,531628032
1596677335,531628032
1596677338,531628032
1596677341,531628032
1596677344,531628032
1596677347,531628032
1596677350,531628032
1596677353,531628032
1596677356,531628032
1596677359,531628032
1596677362,531628032
1596677365,531628032
1596677368,531628032
1596677371,531628032
1596677374,531628032
1596677377,531628032
1596677380,531628032
1596677383,531628032
1596677386,531628032
1596677389,531628032
1596677392,531628032
1596677395,531628032
1596677398,531628032
1596677401,531628032
1596677404,531628032
1596677407,531628032
1596677410,531628032
1596677413,531628032
1596677416,531628032
1596677419,531628032
1596677422,531628032
1596677425,531628032
1596677428,531628032
1596677431,531628032
1596677434,531628032
1596677437,531628032
1596677440,531628032
1596677443,531628032
1596677446,531628032
1596677449,531628032
1596677452,531628032
1596677455,531628032
1596677458,531628032
1596677461,531628032
1596677464,531628032
1596677467,531628032
1596677470,531628032
1596677473,531628032
1596677476,531628032
1596677479,531628032
1596677482,531628032
1596677485,531628032
1596677488,531628032
1596677491,531628032
1596677494,531628032
1596677497,531628032
1596677500,531628032
1596677503,531628032
1596677506,531628032
1596677509,531628032
1596677512,531628032
1596677515,531628032
1596677518,531628032
1596677521,531628032
1596677524,531628032
1596677527,531628032
1596677530,531628032
1596677533,531628032
1596677536,531628032
1596677539,531628032
1596677542,531628032
1596677545,531628032
1596677548,531628032
1596677551,531628032
1596677554,531628032
1596677557,531628032
1596677560,531628032
1596677563,531628032
1596677566,531628032
1596677569,531628032
1596677572,531628032
1596677575,531628032
1596677578,531628032
1596677581,531628032
1596677584,531628032
1596677587,531628032
1596677590,531628032
1596677593,531628032
1596677596,531628032
1596677599,531628032
1596677602,531628032
1596677605,531628032
1596677608,531628032
1596677611,531628032
1596677614,531628032
1596677617,531628032
1596677620,531628032
1596677623,531628032
1596677626,531628032
1596677629,531628032
1596677632,531628032
1596677635,531628032
1596677638,531628032
1596677641,531628032
1596677644,531628032
1596677647,531628032
1596677650,531628032
1596677653,531628032
1596677656,531628032
1596677659,531628032
1596677662,531628032
1596677665,531628032
1596677668,531628032
1596677671,531628032
1596677674,531628032
1596677677,531628032
1596677680,531628032
1596677683,531628032
1596677686,531628032
1596677689,531628032
1596677692,531628032
1596677695,531628032
1596677698,531628032
1596677701,531628032
1596677704,531628032
1596677707,531628032
1596677710,531628032
1596677713,531628032
1596677716,531628032
1596677719,531628032
1596677722,531628032
1596677725,531628032
1596677728,531628032
1596677731,531628032
1596677734,531628032
1596677737,531628032
1596677740,531628032
1596677743,531628032
1596677746,531628032
1596677749,531628032
1596677752,531628032
1596677755,531628032
1596677758,531628032
1596677761,531628032
1596677764,531628032
1596677767,531628032
1596677770,531628032
1596677773,531628032
1596677776,531628032
1596677779,531628032
1596677782,531628032
1596677785,531628032
1596677788,531628032
1596677791,531628032
1596677794,531628032
1596677797,531628032
1596677800,531628032
1596677803,531628032
1596677806,531628032
1596677809,531628032
1596677812,531628032
1596677815,531628032
1596677818,531628032
1596677821,531628032
1596677824,531628032
1596677827,531628032
1596677830,531628032
1596677833,531628032
1596677836,531628032
1596677839,531628032
1596677842,531628032
1596677845,531628032
1596677848,531628032
1596677851,531628032
1596677854,531628032
1596677857,531628032
1596677860,531628032
1596677863,531628032
1596677866,531628032
1596677869,531628032
1596677872,531628032
1596677875,531628032
1596677878,531628032
1596677881,531628032
1596677884,531628032
1596677887,531628032
1596677890,531628032
1596677893,531628032
1596677896,531628032
1596677899,531628032
1596677902,531628032
1596677905,531628032
1596677908,531628032
1596677911,531628032
1596677914,531628032
1596677917,531628032
1596677920,531628032
1596677923,531628032
1596677926,531628032
1596677929,531628032
1596677932,531628032
1596677935,531628032
1596677938,531628032
1596677941,531628032
1596677944,531628032
1596677947,531628032
1596677950,531628032
1596677953,531628032
1596677956,531628032
1596677959,531628032
1596677962,531628032
1596677965,531628032
1596677968,531628032
1596677971,531628032
1596677974,531628032
1596677977,531628032
1596677980,531628032
1596677983,531628032
1596677986,531628032
1596677989,531628032
1596677992,531628032
1596677995,531628032
1596677998,531628032
1596678001,531628032
1596678004,531628032
1596678007,531628032
1596678010,531628032
1596678013,531628032
1596678016,531628032
1596678019,531628032
1596678022,531628032
1596678025,531628032
1596678028,531628032
1596678031,531628032
1596678034,531628032
1596678037,531628032
1596678040,531628032
1596678043,531628032
1596678046,531628032
1596678049,531628032
1596678052,531628032
1596678055,531628032
1596678058,531628032
1596678061,531628032
1596678064,531628032
1596678067,531628032
1596678070,531628032
1596678073,531628032
1596678076,531628032
1596678079,531628032
1596678082,531628032
1596678085,531628032
1596678088,531628032
1596678091,531628032
1596678094,531628032
1596678097,531628032
1596678100,531628032
1596678103,531628032
1596678106,531628032
1596678109,531628032
1596678112,531628032
1596678115,531628032
1596678118,531628032
1596678121,531628032
1596678124,531628032
1596678127,531628032
1596678130,531628032
1596678133,531628032
1596678136,531628032
1596678139,531628032
1596678142,531628032
1596678145,531628032
1596678148,531628032
1596678151,531628032
1596678154,531628032
1596678157,531628032
1596678160,531628032
1596678163,531628032
1596678166,531628032
1596678169,531628032
1596678172,531628032
1596678175,531628032
1596678178,531628032
1596678181,531628032
1596678184,531628032
1596678187,531628032
1596678190,531628032
1596678193,531628032
1596678196,531628032
1596678199,531628032
1596678202,531628032
1596678205,531628032
1596678208,531628032
1596678211,531628032
1596678214,531628032
1596678217,531628032
1596678220,531628032
1596678223,531628032
1596678226,531628032
1596678229,531628032
1596678232,531628032
1596678235,531628032
1596678238,531628032
1596678241,531628032
1596678244,531628032
1596678247,531628032
1596678250,531628032
1596678253,531628032
1596678256,531628032
1596678259,531628032
1596678262,531628032
1596678265,531628032
1596678268,531628032
1596678271,531628032
1596678274,531628032
1596678277,531628032
1596678280,531628032
1596678283,531628032
1596678286,531628032
1596678289,531628032
1596678292,531628032
1596678295,531628032
1596678298,531628032
1596678301,531628032
1596678304,531628032
1596678307,531628032
1596678310,531628032
1596678313,531628032
1596678316,531628032
1596678319,531628032
1596678322,531628032
1596678325,531628032
1596678328,531628032
1596678331,531628032
1596678334,531628032
1596678337,531628032
1596678340,531628032
1596678343,531628032
1596678346,531628032
1596678349,531628032
1596678352,531628032
1596678355,531628032
1596678358,531628032
1596678361,531628032
1596678364,531628032
1596678367,531628032
1596678370,531628032
1596678373,531628032
1596678376,531628032
1596678379,531628032
1596678382,531628032
1596678385,531628032
1596678388,531628032
1596678391,531628032
1596678394,531628032
1596678397,531628032
1596678400,531628032
1596678403,531628032
1596678406,531628032
1596678409,531628032
1596678412,531628032
1596678415,531628032
1596678418,531628032
1596678421,531628032
1596678424,531628032
1596678427,531628032
1596678430,531628032
1596678433,531628032
1596678436,531628032
1596678439,531628032
1596678442,531628032
1596678445,531628032
1596678448,531628032
1596678451,531628032
1596678454,531628032
1596678457,531628032
1596678460,531628032
1596678463,531628032
1596678466,531628032
1596678469,531628032
1596678472,531628032
1596678475,531628032
1596678478,531628032
1596678481,531628032
1596678484,531628032
1596678487,531628032
1596678490,531628032
1596678493,531628032
1596678496,531628032
1596678499,531628032
1596678502,531628032
1596678505,531628032
1596678508,531628032
1596678511,531628032
1596678514,531628032
1596678517,531628032
1596678520,531628032
1596678523,531628032
1596678526,531628032
1596678529,531628032
1596678532,531628032
1596678535,531628032
1596678538,531628032
1596678541,531628032
1596678544,531628032
1596678547,531628032
1596678550,531628032
1596678553,531628032
1596678556,531628032
1596678559,531628032
1596678562,531628032
1596678565,531628032
1596678568,531628032
1596678571,531628032
1596678574,531628032
1596678577,531628032
1596678580,531628032
1596678583,531628032
1596678586,531628032
1596678589,531628032
1596678592,531628032
1596678595,531628032
1596678598,531628032
1596678601,531628032
1596678604,531628032
1596678607,531628032
1596678610,531628032
1596678613,531628032
1596678616,531628032
1596678619,531628032
1596678622,531628032
1596678625,531628032
1596678628,531628032
1596678631,531628032
1596678634,531628032
1596678637,531628032
1596678640,531628032
1596678643,531628032
1596678646,531628032
1596678649,531628032
1596678652,531628032
1596678655,531628032
1596678658,531628032
1596678661,531628032
1596678664,531628032
1596678667,531628032
1596678670,531628032
1596678673,531628032
1596678676,531628032
1596678679,531628032
1596678682,531628032
1596678685,531628032
1596678688,531628032
1596678691,531628032
1596678694,531628032
1596678697,531628032
1596678700,531628032
1596678703,531628032
1596678706,531628032
1596678709,531628032
1596678712,531628032
1596678715,531628032
1596678718,531628032
1596678721,531628032
1596678724,531628032
1596678727,531628032
1596678730,531628032
1596678733,531628032
1596678736,531628032
1596678739,531628032
1596678742,531628032
1596678745,531628032
1596678748,531628032
1596678751,531628032
1596678754,531628032
1596678757,531628032
1596678760,531628032
1596678763,531628032
1596678766,531628032
1596678769,531628032
1596678772,531628032
1596678775,531628032
1596678778,531628032
1596678781,531628032
1596678784,531628032
1596678787,531628032
