t,value
1596597996,536870912
1596597999,536870912
1596598002,536870912
1596598005,536870912
1596598008,536870912
1596598011,536870912
1596598014,536870912
1596598017,536870912
1596598020,536870912
1596598023,536870912
1596598026,536870912
1596598029,536870912
1596598032,536870912
1596598035,536870912
1596598038,536870912
1596598041,536870912
1596598044,536870912
1596598047,536870912
1596598050,536870912
1596598053,536870912
1596598056,536870912
1596598059,536870912
1596598062,536870912
1596598065,536870912
1596598068,536870912
1596598071,536870912
1596598074,536870912
1596598077,536870912
1596598080,536870912
1596598083,536870912
1596598086,536870912
1596598089,536870912
1596598092,536870912
1596598095,536870912
1596598098,536870912
1596598101,536870912
1596598104,536870912
1596598107,536870912
1596598110,536870912
1596598113,536870912
1596598116,536870912
1596598119,536870912
1596598122,536870912
1596598125,536870912
1596598128,536870912
1596598131,536870912
1596598134,536870912
1596598137,536870912
1596598140,536870912
1596598143,536870912
1596598146,536870912
1596598149,536870912
1596598152,536870912
1596598155,536870912
1596598158,536870912
1596598161,536870912
1596598164,536870912
1596598167,536870912
1596598170,536870912
1596598173,536870912
1596598176,536870912
1596598179,536870912
1596598182,536870912
1596598185,536870912
1596598188,536870912
1596598191,536870912
1596598194,536870912
1596598197,536870912
1596598200,536870912
1596598203,536870912
1596598206,536870912
1596598209,536870912
1596598212,536870912
1596598215,536870912
1596598218,536870912
1596598221,536870912
1596598224,536870912
1596598227,536870912
1596598230,536870912
1596598233,536870912
1596598236,536870912
1596598239,536870912
1596598242,536870912
1596598245,536870912
1596598248,536870912
1596598251,536870912
1596598254,536870912
1596598257,536870912
1596598260,536870912
1596598263,536870912
1596598266,536870912
1596598269,536870912
1596598272,536870912
1596598275,536870912
1596598278,536870912
1596598281,536870912
t,value
1596598558,536870912
1596598561,536870912
1596598564,536870912
1596598567,536870912
1596598570,536870912
1596598573,536870912
1596598576,536870912
1596598579,536870912
1596598582,536870912
1596598585,536870912
1596598588,536870912
1596598591,536870912
1596598594,536870912
