t,value
1596597996,4194304
1596597999,4194304
1596598002,4194304
1596598005,4194304
1596598008,4194304
1596598011,4194304
1596598014,4194304
1596598017,4194304
1596598020,4194304
1596598023,4194304
1596598026,4194304
1596598029,4194304
1596598032,4194304
1596598035,4194304
1596598038,4194304
1596598041,4194304
1596598044,4194304
1596598047,4194304
1596598050,4194304
1596598053,4194304
1596598056,4194304
1596598059,4194304
1596598062,4194304
1596598065,4194304
1596598068,4194304
1596598071,4194304
1596598074,4194304
1596598077,4194304
1596598080,4194304
1596598083,4194304
1596598086,4194304
1596598089,4194304
1596598092,4194304
1596598095,4194304
1596598098,4194304
1596598101,4194304
1596598104,4194304
1596598107,4194304
1596598110,4194304
1596598113,4194304
1596598116,4194304
1596598119,4194304
1596598122,4194304
1596598125,4194304
1596598128,4194304
1596598131,4194304
1596598134,4194304
1596598137,4194304
1596598140,4194304
1596598143,4194304
1596598146,4194304
1596598149,4194304
1596598152,4194304
1596598155,4194304
1596598158,4194304
1596598161,4194304
1596598164,4194304
1596598167,4194304
1596598170,4194304
1596598173,4194304
1596598176,4194304
1596598179,4194304
1596598182,4194304
1596598185,4194304
1596598188,4194304
1596598191,4194304
1596598194,4194304
1596598197,4194304
1596598200,4194304
1596598203,4194304
1596598206,4194304
1596598209,4194304
1596598212,4194304
1596598215,4194304
1596598218,4194304
1596598221,4194304
1596598224,4194304
1596598227,4194304
1596598230,4194304
1596598233,4194304
1596598236,4194304
1596598239,4194304
1596598242,4194304
1596598245,4194304
1596598248,4194304
1596598251,4194304
1596598254,4194304
1596598257,4194304
1596598260,4194304
1596598263,4194304
1596598266,4194304
1596598269,4194304
1596598272,4194304
1596598275,4194304
1596598278,4194304
1596598281,4194304
t,value
1596598558,6815744
1596598561,6815744
1596598564,6815744
1596598567,6815744
1596598570,6815744
1596598573,6815744
1596598576,6815744
1596598579,6815744
1596598582,6815744
1596598585,6815744
1596598588,6815744
1596598591,6815744
1596598594,6815744
t,value
1596677242,5242880
1596677245,5242880
1596677248,5242880
1596677251,5242880
1596677254,5242880
1596677257,5242880
1596677260,5242880
1596677263,5242880
1596677266,5242880
1596677269,5242880
1596677272,5242880
1596677275,5242880
1596677278,5242880
1596677281,5242880
1596677284,5242880
1596677287,5242880
1596677290,5242880
1596677293,5242880
1596677296,5242880
1596677299,5242880
1596677302,5242880
1596677305,5242880
1596677308,5242880
1596677311,5242880
1596677314,5242880
1596677317,5242880
1596677320,5242880
1596677323,5242880
1596677326,5242880
1596677329,5242880
1596677332,5242880
1596677335,5242880
1596677338,5242880
1596677341,5242880
1596677344,5242880
1596677347,5242880
1596677350,5242880
1596677353,5242880
1596677356,5242880
1596677359,5242880
1596677362,5242880
1596677365,5242880
1596677368,5242880
1596677371,5242880
1596677374,5242880
1596677377,5242880
1596677380,5242880
1596677383,5242880
1596677386,5242880
1596677389,5242880
1596677392,5242880
1596677395,5242880
1596677398,5242880
1596677401,5242880
1596677404,5242880
1596677407,5242880
1596677410,5242880
1596677413,5242880
1596677416,5242880
1596677419,5242880
1596677422,5242880
1596677425,5242880
1596677428,5242880
1596677431,5242880
1596677434,5242880
1596677437,5242880
1596677440,5242880
1596677443,5242880
1596677446,5242880
1596677449,5242880
1596677452,5242880
1596677455,5242880
1596677458,5242880
1596677461,5242880
1596677464,5242880
1596677467,5242880
1596677470,5242880
1596677473,5242880
1596677476,5242880
1596677479,5242880
1596677482,5242880
1596677485,5242880
1596677488,5242880
1596677491,5242880
1596677494,5242880
1596677497,5242880
1596677500,5242880
1596677503,5242880
1596677506,5242880
1596677509,5242880
1596677512,5242880
1596677515,5242880
1596677518,5242880
1596677521,5242880
1596677524,5242880
1596677527,5242880
1596677530,5242880
1596677533,5242880
1596677536,5242880
1596677539,5242880
1596677542,5242880
1596677545,5242880
1596677548,5242880
1596677551,5242880
1596677554,5242880
1596677557,5242880
1596677560,5242880
1596677563,5242880
1596677566,5242880
1596677569,5242880
1596677572,5242880
1596677575,5242880
1596677578,5242880
1596677581,5242880
1596677584,5242880
1596677587,5242880
1596677590,5242880
1596677593,5242880
1596677596,5242880
1596677599,5242880
1596677602,5242880
1596677605,5242880
1596677608,5242880
1596677611,5242880
1596677614,5242880
1596677617,5242880
1596677620,5242880
1596677623,5242880
1596677626,5242880
1596677629,5242880
1596677632,5242880
1596677635,5242880
1596677638,5242880
1596677641,5242880
1596677644,5242880
1596677647,5242880
1596677650,5242880
1596677653,5242880
1596677656,5242880
1596677659,5242880
1596677662,5242880
1596677665,5242880
1596677668,5242880
1596677671,5242880
1596677674,5242880
1596677677,5242880
1596677680,5242880
1596677683,5242880
1596677686,5242880
1596677689,5242880
1596677692,5242880
1596677695,5242880
1596677698,5242880
1596677701,5242880
1596677704,5242880
1596677707,5242880
1596677710,5242880
1596677713,5242880
1596677716,5242880
1596677719,5242880
1596677722,5242880
1596677725,5242880
1596677728,5242880
1596677731,5242880
1596677734,5242880
1596677737,5242880
1596677740,5242880
1596677743,5242880
1596677746,5242880
1596677749,5242880
1596677752,5242880
1596677755,5242880
1596677758,5242880
1596677761,5242880
1596677764,5242880
1596677767,5242880
1596677770,5242880
1596677773,5242880
1596677776,5242880
1596677779,5242880
1596677782,5242880
1596677785,5242880
1596677788,5242880
1596677791,5242880
1596677794,5242880
1596677797,5242880
1596677800,5242880
1596677803,5242880
1596677806,5242880
1596677809,5242880
1596677812,5242880
1596677815,5242880
1596677818,5242880
1596677821,5242880
1596677824,5242880
1596677827,5242880
1596677830,5242880
1596677833,5242880
1596677836,5242880
1596677839,5242880
