t,value
1596597996,229520
1596597999,229520
1596598002,229520
1596598005,229520
1596598008,229520
1596598011,229520
1596598014,230592
1596598017,230592
1596598020,230592
1596598023,230592
1596598026,230592
1596598029,230592
1596598032,230592
1596598035,230592
1596598038,230592
1596598041,230592
1596598044,230592
1596598047,230592
1596598050,230592
1596598053,230592
1596598056,230592
1596598059,230592
1596598062,230592
1596598065,230592
1596598068,230592
1596598071,230592
1596598074,230592
1596598077,230592
1596598080,230592
1596598083,230592
1596598086,230592
1596598089,230592
1596598092,230592
1596598095,230592
1596598098,230592
1596598101,230592
1596598104,230592
1596598107,230592
1596598110,230592
1596598113,230592
1596598116,230592
1596598119,230592
1596598122,230592
1596598125,230592
1596598128,230592
1596598131,230592
1596598134,230592
1596598137,230592
1596598140,230592
1596598143,230592
1596598146,230592
1596598149,230592
1596598152,230592
1596598155,230592
1596598158,230592
1596598161,230592
1596598164,230592
1596598167,230592
1596598170,230592
1596598173,230592
1596598176,230592
1596598179,230592
1596598182,230592
1596598185,230592
1596598188,230592
1596598191,230592
1596598194,230592
1596598197,230592
1596598200,230592
1596598203,230592
1596598206,230592
1596598209,230592
1596598212,230592
1596598215,230592
1596598218,230592
1596598221,230592
1596598224,230592
1596598227,230592
1596598230,230592
1596598233,230592
1596598236,230592
1596598239,230592
1596598242,230592
1596598245,230592
1596598248,230592
1596598251,230592
1596598254,230592
1596598257,230592
1596598260,230592
1596598263,230592
1596598266,230592
1596598269,230592
1596598272,230592
1596598275,230592
1596598278,230592
1596598281,231664
t,value
1596598558,229520
1596598561,229520
1596598564,229520
1596598567,229520
1596598570,229520
1596598573,229520
1596598576,229824
1596598579,230592
1596598582,230736
1596598585,231936
1596598588,233216
1596598591,233512
1596598594,234584
t,value
1596677242,229520
1596677245,229520
1596677248,229520
1596677251,229520
1596677254,229520
1596677257,229520
1596677260,229824
1596677263,230592
1596677266,230736
1596677269,232080
1596677272,233512
1596677275,233512
1596677278,233512
1596677281,233512
1596677284,233512
1596677287,234944
1596677290,234944
1596677293,234944
1596677296,234944
1596677299,234944
1596677302,234944
1596677305,234944
1596677308,236376
1596677311,236376
1596677314,236376
1596677317,236376
1596677320,236376
1596677323,236376
1596677326,237512
1596677329,237808
1596677332,237808
1596677335,237808
1596677338,237808
1596677341,237808
1596677344,237808
1596677347,239240
1596677350,239240
1596677353,239240
1596677356,239240
