t,value
1596597996,1048576
1596597999,1048576
1596598002,1048576
1596598005,1048576
1596598008,1048576
1596598011,1048576
1596598014,1048576
1596598017,1048576
1596598020,1048576
1596598023,1048576
1596598026,1048576
1596598029,1048576
1596598032,1048576
1596598035,1048576
1596598038,1048576
1596598041,1048576
1596598044,1048576
1596598047,1048576
1596598050,1048576
1596598053,1048576
1596598056,1048576
1596598059,1048576
1596598062,1048576
1596598065,1048576
1596598068,1048576
1596598071,1048576
1596598074,1048576
1596598077,1048576
1596598080,1048576
1596598083,1048576
1596598086,1048576
1596598089,1048576
1596598092,1048576
1596598095,1048576
1596598098,1048576
1596598101,1048576
1596598104,1048576
1596598107,1048576
1596598110,1048576
1596598113,1048576
1596598116,1048576
1596598119,1048576
1596598122,1048576
1596598125,1048576
1596598128,1048576
1596598131,1048576
1596598134,1048576
1596598137,1048576
1596598140,1048576
1596598143,1048576
1596598146,1048576
1596598149,1048576
1596598152,1048576
1596598155,1048576
1596598158,1048576
1596598161,1048576
1596598164,1048576
1596598167,1048576
1596598170,1048576
1596598173,1048576
1596598176,1048576
1596598179,1048576
1596598182,1048576
1596598185,1048576
1596598188,1048576
1596598191,1048576
1596598194,1048576
1596598197,1048576
1596598200,1048576
1596598203,1048576
1596598206,1048576
1596598209,1048576
1596598212,1048576
1596598215,1048576
1596598218,1048576
1596598221,1048576
1596598224,1048576
1596598227,1048576
1596598230,1048576
1596598233,1048576
1596598236,1048576
1596598239,1048576
1596598242,1048576
1596598245,1048576
1596598248,1048576
1596598251,1048576
1596598254,1048576
1596598257,1048576
1596598260,1048576
1596598263,1048576
1596598266,1048576
1596598269,1048576
1596598272,1048576
1596598275,1048576
1596598278,1048576
1596598281,1048576
t,value
1596598558,1048576
1596598561,1048576
1596598564,1048576
1596598567,1048576
1596598570,1048576
1596598573,1048576
1596598576,1048576
1596598579,1048576
1596598582,1048576
1596598585,1048576
1596598588,1048576
1596598591,1048576
1596598594,1048576
