t,value
1596597996,810925
1596597999,810925
1596598002,810925
1596598005,810925
1596598008,810925
1596598011,810925
1596598014,810925
1596598017,810925
1596598020,810925
1596598023,810925
1596598026,810925
1596598029,810925
1596598032,810925
1596598035,810925
1596598038,810925
1596598041,810925
1596598044,810925
1596598047,810925
1596598050,810925
1596598053,810925
1596598056,810925
1596598059,810925
1596598062,810925
1596598065,810925
1596598068,810925
1596598071,810925
1596598074,810925
1596598077,810925
1596598080,810925
1596598083,810925
1596598086,810925
1596598089,810925
1596598092,810925
1596598095,810925
1596598098,810925
1596598101,810925
1596598104,810925
1596598107,810925
1596598110,810925
1596598113,810925
1596598116,810925
1596598119,810925
1596598122,810925
1596598125,810925
1596598128,810925
1596598131,810925
1596598134,810925
1596598137,810925
1596598140,810925
1596598143,810925
1596598146,810925
1596598149,810925
1596598152,810925
1596598155,810925
1596598158,810925
1596598161,810925
1596598164,810925
1596598167,810925
1596598170,810925
1596598173,810925
1596598176,810925
1596598179,810925
1596598182,810925
1596598185,810925
1596598188,810925
1596598191,810925
1596598194,810925
1596598197,810925
1596598200,810925
1596598203,810925
1596598206,810925
1596598209,810925
1596598212,810925
1596598215,810925
1596598218,810925
1596598221,810925
1596598224,810925
1596598227,810925
1596598230,810925
1596598233,810925
1596598236,810925
1596598239,810925
1596598242,810925
1596598245,810925
1596598248,810925
1596598251,810925
1596598254,810925
1596598257,810925
1596598260,810925
1596598263,810925
1596598266,810925
1596598269,810925
1596598272,810925
1596598275,810925
1596598278,810925
1596598281,810925
t,value
1596598558,819810
1596598561,819810
1596598564,819810
1596598567,819810
1596598570,819810
1596598573,819810
1596598576,819810
1596598579,819810
1596598582,819810
1596598585,819810
1596598588,819810
1596598591,819810
1596598594,819810
t,value
1596677242,819810
1596677245,819810
1596677248,819810
1596677251,819810
1596677254,819810
1596677257,819810
1596677260,819810
1596677263,819810
1596677266,819810
1596677269,819810
1596677272,819810
1596677275,819810
1596677278,819810
1596677281,819810
1596677284,819810
1596677287,819810
1596677290,819810
1596677293,819810
1596677296,819810
1596677299,819810
1596677302,819810
1596677305,819810
1596677308,819810
1596677311,819810
1596677314,819810
1596677317,819810
1596677320,819810
1596677323,819810
1596677326,819810
1596677329,819810
1596677332,819810
1596677335,819810
1596677338,819810
1596677341,819810
1596677344,819810
1596677347,819810
1596677350,819810
1596677353,819810
1596677356,819810
1596677359,819810
1596677362,819810
1596677365,819810
1596677368,819810
1596677371,819810
1596677374,819810
1596677377,819810
1596677380,819810
1596677383,819810
1596677386,819810
1596677389,819810
1596677392,819810
1596677395,819810
1596677398,819810
1596677401,819810
1596677404,819810
1596677407,819810
1596677410,819810
1596677413,819810
1596677416,819810
1596677419,819810
1596677422,819810
1596677425,819810
1596677428,819810
1596677431,819810
1596677434,819810
1596677437,819810
1596677440,819810
1596677443,819810
1596677446,819810
1596677449,819810
1596677452,819810
1596677455,819810
1596677458,819810
1596677461,819810
1596677464,819810
1596677467,819810
1596677470,819810
1596677473,819810
1596677476,819810
1596677479,819810
1596677482,819810
1596677485,819810
1596677488,819810
1596677491,819810
1596677494,819810
1596677497,819810
1596677500,819810
1596677503,819810
1596677506,819810
1596677509,819810
1596677512,819810
1596677515,819810
1596677518,819810
1596677521,819810
1596677524,819810
1596677527,819810
1596677530,819810
1596677533,819810
1596677536,819810
1596677539,819810
1596677542,819810
1596677545,819810
1596677548,819810
1596677551,819810
1596677554,819810
1596677557,819810
1596677560,819810
1596677563,819810
1596677566,819810
1596677569,819810
1596677572,819810
1596677575,819810
1596677578,819810
1596677581,819810
1596677584,819810
1596677587,819810
1596677590,819810
1596677593,819810
1596677596,819810
1596677599,819810
1596677602,819810
1596677605,819810
1596677608,819810
1596677611,819810
1596677614,819810
1596677617,819810
1596677620,819810
1596677623,819810
1596677626,819810
1596677629,819810
1596677632,819810
1596677635,819810
1596677638,819810
1596677641,819810
1596677644,819810
1596677647,819810
1596677650,819810
1596677653,819810
1596677656,819810
1596677659,819810
1596677662,819810
1596677665,819810
1596677668,819810
1596677671,819810
1596677674,819810
1596677677,819810
1596677680,819810
1596677683,819810
1596677686,819810
1596677689,819810
1596677692,819810
1596677695,819810
1596677698,819810
1596677701,819810
1596677704,819810
1596677707,819810
1596677710,819810
1596677713,819810
1596677716,819810
1596677719,819810
1596677722,819810
1596677725,819810
1596677728,819810
1596677731,819810
1596677734,819810
1596677737,819810
1596677740,819810
1596677743,819810
1596677746,819810
1596677749,819810
1596677752,819810
1596677755,819810
1596677758,819810
1596677761,819810
1596677764,819810
1596677767,819810
1596677770,819810
1596677773,819810
1596677776,819810
1596677779,819810
1596677782,819810
1596677785,819810
1596677788,819810
1596677791,819810
1596677794,819810
1596677797,819810
1596677800,819810
1596677803,819810
1596677806,819810
1596677809,819810
1596677812,819810
1596677815,819810
1596677818,819810
1596677821,819810
1596677824,819810
1596677827,819810
1596677830,819810
1596677833,819810
1596677836,819810
1596677839,819810
1596677842,819810
1596677845,819810
1596677848,819810
1596677851,819810
1596677854,819810
1596677857,819810
1596677860,819810
1596677863,819810
1596677866,819810
1596677869,819810
1596677872,819810
1596677875,819810
1596677878,819810
1596677881,819810
1596677884,819810
1596677887,819810
1596677890,819810
1596677893,819810
1596677896,819810
1596677899,819810
1596677902,819810
1596677905,819810
1596677908,819810
1596677911,819810
1596677914,819810
1596677917,819810
1596677920,819810
1596677923,819810
1596677926,819810
1596677929,819810
1596677932,819810
1596677935,819810
1596677938,819810
1596677941,819810
1596677944,819810
1596677947,819810
1596677950,819810
1596677953,819810
1596677956,819810
1596677959,819810
1596677962,819810
1596677965,819810
1596677968,819810
1596677971,819810
1596677974,819810
1596677977,819810
1596677980,819810
1596677983,819810
1596677986,819810
1596677989,819810
1596677992,819810
1596677995,819810
1596677998,819810
1596678001,819810
1596678004,819810
1596678007,819810
1596678010,819810
1596678013,819810
1596678016,819810
1596678019,819810
1596678022,819810
1596678025,819810
1596678028,819810
1596678031,819810
1596678034,819810
1596678037,819810
1596678040,819810
1596678043,819810
1596678046,819810
1596678049,819810
1596678052,819810
1596678055,819810
1596678058,819810
1596678061,819810
1596678064,819810
1596678067,819810
1596678070,819810
1596678073,819810
1596678076,819810
1596678079,819810
1596678082,819810
1596678085,819810
1596678088,819810
1596678091,819810
1596678094,819810
1596678097,819810
1596678100,819810
1596678103,819810
1596678106,819810
1596678109,819810
1596678112,819810
1596678115,819810
1596678118,819810
1596678121,819810
1596678124,819810
1596678127,819810
1596678130,819810
1596678133,819810
1596678136,819810
1596678139,819810
1596678142,819810
1596678145,819810
1596678148,819810
1596678151,819810
1596678154,819810
1596678157,819810
1596678160,819810
1596678163,819810
1596678166,819810
1596678169,819810
1596678172,819810
1596678175,819810
1596678178,819810
1596678181,819810
1596678184,819810
1596678187,819810
1596678190,819810
1596678193,819810
1596678196,819810
1596678199,819810
1596678202,819810
1596678205,819810
1596678208,819810
1596678211,819810
1596678214,819810
1596678217,819810
1596678220,819810
1596678223,819810
1596678226,819810
1596678229,819810
1596678232,819810
1596678235,819810
1596678238,819810
1596678241,819810
1596678244,819810
1596678247,819810
1596678250,819810
1596678253,819810
1596678256,819810
1596678259,819810
1596678262,819810
1596678265,819810
1596678268,819810
1596678271,819810
1596678274,819810
1596678277,819810
1596678280,819810
1596678283,819810
1596678286,819810
1596678289,819810
1596678292,819810
1596678295,819810
1596678298,819810
1596678301,819810
1596678304,819810
1596678307,819810
1596678310,819810
1596678313,819810
1596678316,819810
1596678319,819810
1596678322,819810
1596678325,819810
1596678328,819810
1596678331,819810
1596678334,819810
1596678337,819810
1596678340,819810
1596678343,819810
1596678346,819810
1596678349,819810
1596678352,819810
1596678355,819810
1596678358,819810
1596678361,819810
1596678364,819810
1596678367,819810
1596678370,819810
1596678373,819810
1596678376,819810
1596678379,819810
1596678382,819810
1596678385,819810
1596678388,819810
1596678391,819810
1596678394,819810
1596678397,819810
1596678400,819810
1596678403,819810
1596678406,819810
1596678409,819810
1596678412,819810
1596678415,819810
1596678418,819810
1596678421,819810
1596678424,819810
1596678427,819810
1596678430,819810
1596678433,819810
1596678436,819810
1596678439,819810
1596678442,819810
1596678445,819810
1596678448,819810
1596678451,819810
1596678454,819810
1596678457,819810
1596678460,819810
1596678463,819810
1596678466,819810
1596678469,819810
1596678472,819810
1596678475,819810
1596678478,819810
1596678481,819810
1596678484,819810
1596678487,819810
1596678490,819810
1596678493,819810
1596678496,819810
1596678499,819810
1596678502,819810
1596678505,819810
1596678508,819810
1596678511,819810
1596678514,819810
1596678517,819810
1596678520,819810
1596678523,819810
1596678526,819810
1596678529,819810
1596678532,819810
1596678535,819810
1596678538,819810
1596678541,819810
1596678544,819810
1596678547,819810
1596678550,819810
1596678553,819810
1596678556,819810
1596678559,819810
1596678562,819810
1596678565,819810
1596678568,819810
1596678571,819810
1596678574,819810
1596678577,819810
1596678580,819810
1596678583,819810
1596678586,819810
1596678589,819810
1596678592,819810
1596678595,819810
1596678598,819810
1596678601,819810
1596678604,819810
1596678607,819810
1596678610,819810
1596678613,819810
1596678616,819810
1596678619,819810
1596678622,819810
1596678625,819810
