t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598008,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598011,1,0.044927,0.000000,0.000000,0.000000,events/second
1596598014,6,0.237553,0.000000,0.000000,0.000000,events/second
1596598017,6,0.212152,0.000000,0.000000,0.000000,events/second
1596598020,6,0.192379,0.000000,0.000000,0.000000,events/second
1596598023,6,0.175449,0.000000,0.000000,0.000000,events/second
1596598026,6,0.161400,0.000000,0.000000,0.000000,events/second
1596598029,6,0.149228,0.000000,0.000000,0.000000,events/second
1596598032,6,0.138869,0.000000,0.000000,0.000000,events/second
1596598035,6,0.129942,0.000000,0.000000,0.000000,events/second
1596598038,6,0.122014,0.000000,0.000000,0.000000,events/second
1596598041,6,0.114991,0.000000,0.000000,0.000000,events/second
1596598044,6,0.108632,0.000000,0.000000,0.000000,events/second
1596598047,6,0.103114,0.000000,0.000000,0.000000,events/second
1596598050,6,0.098085,0.000000,0.000000,0.000000,events/second
1596598053,6,0.093395,0.000000,0.000000,0.000000,events/second
1596598056,6,0.089297,0.000000,0.000000,0.000000,events/second
1596598059,6,0.085472,0.000000,0.000000,0.000000,events/second
1596598062,6,0.081983,0.000000,0.000000,0.000000,events/second
1596598065,6,0.078759,0.000000,0.000000,0.000000,events/second
1596598068,6,0.075774,0.000000,0.000000,0.000000,events/second
1596598071,6,0.073005,0.000000,0.000000,0.000000,events/second
1596598074,6,0.070432,0.000000,0.000000,0.000000,events/second
1596598077,6,0.068048,0.000000,0.000000,0.000000,events/second
1596598080,6,0.065798,0.000000,0.000000,0.000000,events/second
1596598083,6,0.063705,0.000000,0.000000,0.000000,events/second
1596598086,6,0.061739,0.000000,0.000000,0.000000,events/second
1596598089,6,0.059888,0.000000,0.000000,0.000000,events/second
1596598092,6,0.058146,0.000000,0.000000,0.000000,events/second
1596598095,6,0.056507,0.000000,0.000000,0.000000,events/second
1596598098,6,0.054956,0.000000,0.000000,0.000000,events/second
1596598101,6,0.053495,0.000000,0.000000,0.000000,events/second
1596598104,6,0.052088,0.000000,0.000000,0.000000,events/second
1596598107,6,0.050770,0.000000,0.000000,0.000000,events/second
1596598110,6,0.049503,0.000000,0.000000,0.000000,events/second
1596598113,6,0.048313,0.000000,0.000000,0.000000,events/second
1596598116,6,0.047185,0.000000,0.000000,0.000000,events/second
1596598119,6,0.046097,0.000000,0.000000,0.000000,events/second
1596598122,6,0.045053,0.000000,0.000000,0.000000,events/second
1596598125,6,0.044060,0.000000,0.000000,0.000000,events/second
1596598128,6,0.043108,0.000000,0.000000,0.000000,events/second
1596598131,6,0.042202,0.000000,0.000000,0.000000,events/second
1596598134,6,0.041327,0.000000,0.000000,0.000000,events/second
1596598137,6,0.040492,0.000000,0.000000,0.000000,events/second
1596598140,6,0.039695,0.000000,0.000000,0.000000,events/second
1596598143,6,0.038889,0.000000,0.000000,0.000000,events/second
1596598146,6,0.038128,0.000000,0.000000,0.000000,events/second
1596598149,6,0.037457,0.000000,0.000000,0.000000,events/second
1596598152,6,0.036769,0.000000,0.000000,0.000000,events/second
1596598155,6,0.036107,0.000000,0.000000,0.000000,events/second
1596598158,6,0.035466,0.000000,0.000000,0.000000,events/second
1596598161,6,0.034849,0.000000,0.000000,0.000000,events/second
1596598164,6,0.034251,0.000000,0.000000,0.000000,events/second
1596598167,6,0.033660,0.000000,0.000000,0.000000,events/second
1596598170,6,0.033102,0.000000,0.000000,0.000000,events/second
1596598173,6,0.032572,0.000000,0.000000,0.000000,events/second
1596598176,6,0.032056,0.000000,0.000000,0.000000,events/second
1596598179,6,0.031550,0.000000,0.000000,0.000000,events/second
1596598182,6,0.031038,0.000000,0.000000,0.000000,events/second
1596598185,6,0.030578,0.000000,0.000000,0.000000,events/second
1596598188,6,0.030077,0.000000,0.000000,0.000000,events/second
1596598191,6,0.029675,0.000000,0.000000,0.000000,events/second
1596598194,6,0.029237,0.000000,0.000000,0.000000,events/second
1596598197,6,0.028822,0.000000,0.000000,0.000000,events/second
1596598200,6,0.028415,0.000000,0.000000,0.000000,events/second
1596598203,6,0.028014,0.000000,0.000000,0.000000,events/second
1596598206,6,0.027622,0.000000,0.000000,0.000000,events/second
1596598209,6,0.027252,0.000000,0.000000,0.000000,events/second
1596598212,6,0.026887,0.000000,0.000000,0.000000,events/second
1596598215,6,0.026530,0.000000,0.000000,0.000000,events/second
1596598218,6,0.026183,0.000000,0.000000,0.000000,events/second
1596598221,6,0.025844,0.000000,0.000000,0.000000,events/second
1596598224,6,0.025515,0.000000,0.000000,0.000000,events/second
1596598227,6,0.025168,0.000000,0.000000,0.000000,events/second
1596598230,6,0.024880,0.000000,0.000000,0.000000,events/second
1596598233,6,0.024566,0.000000,0.000000,0.000000,events/second
1596598236,6,0.024275,0.000000,0.000000,0.000000,events/second
1596598239,6,0.023985,0.000000,0.000000,0.000000,events/second
1596598242,6,0.023699,0.000000,0.000000,0.000000,events/second
1596598245,6,0.023421,0.000000,0.000000,0.000000,events/second
1596598248,6,0.023150,0.000000,0.000000,0.000000,events/second
1596598251,6,0.022884,0.000000,0.000000,0.000000,events/second
1596598254,6,0.022626,0.000000,0.000000,0.000000,events/second
1596598257,6,0.022373,0.000000,0.000000,0.000000,events/second
1596598260,6,0.022128,0.000000,0.000000,0.000000,events/second
1596598263,6,0.021882,0.000000,0.000000,0.000000,events/second
1596598266,6,0.021646,0.000000,0.000000,0.000000,events/second
1596598269,6,0.021416,0.000000,0.000000,0.000000,events/second
1596598272,6,0.021187,0.000000,0.000000,0.000000,events/second
1596598275,6,0.020966,0.000000,0.000000,0.000000,events/second
1596598278,6,0.020749,0.000000,0.000000,0.000000,events/second
1596598281,12,0.041070,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598567,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598570,1,0.064657,0.000000,0.000000,0.000000,events/second
1596598573,1,0.054370,0.000000,0.000000,0.000000,events/second
1596598576,3,0.140515,0.000000,0.000000,0.000000,events/second
1596598579,6,0.246982,0.000000,0.000000,0.000000,events/second
1596598582,6,0.219948,0.000000,0.000000,0.000000,events/second
1596598585,8,0.261553,0.000000,0.000000,0.000000,events/second
1596598588,8,0.240293,0.000000,0.000000,0.000000,events/second
1596598591,8,0.220376,0.000000,0.000000,0.000000,events/second
1596598594,14,0.356288,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677251,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677254,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677257,1,0.054222,0.000000,0.000000,0.000000,events/second
1596677260,3,0.139840,0.000000,0.000000,0.000000,events/second
1596677263,6,0.246454,0.000000,0.000000,0.000000,events/second
1596677266,6,0.218084,0.000000,0.000000,0.000000,events/second
1596677269,8,0.260591,0.000000,0.000000,0.000000,events/second
1596677272,8,0.239934,0.000000,0.000000,0.000000,events/second
1596677275,8,0.219938,0.000000,0.000000,0.000000,events/second
1596677278,8,0.203206,0.000000,0.000000,0.000000,events/second
1596677281,8,0.188818,0.000000,0.000000,0.000000,events/second
1596677284,8,0.176425,0.000000,0.000000,0.000000,events/second
1596677287,9,0.186193,0.000000,0.000000,0.000000,events/second
1596677290,9,0.175329,0.000000,0.000000,0.000000,events/second
1596677293,9,0.165538,0.000000,0.000000,0.000000,events/second
1596677296,9,0.156965,0.000000,0.000000,0.000000,events/second
1596677299,9,0.149089,0.000000,0.000000,0.000000,events/second
1596677302,9,0.142042,0.000000,0.000000,0.000000,events/second
1596677305,9,0.135637,0.000000,0.000000,0.000000,events/second
1596677308,10,0.144199,0.000000,0.000000,0.000000,events/second
1596677311,10,0.138186,0.000000,0.000000,0.000000,events/second
1596677314,10,0.132642,0.000000,0.000000,0.000000,events/second
1596677317,10,0.127634,0.000000,0.000000,0.000000,events/second
1596677320,10,0.122934,0.000000,0.000000,0.000000,events/second
1596677323,10,0.118551,0.000000,0.000000,0.000000,events/second
1596677326,11,0.125914,0.000000,0.000000,0.000000,events/second
1596677329,11,0.121784,0.000000,0.000000,0.000000,events/second
1596677332,11,0.117861,0.000000,0.000000,0.000000,events/second
1596677335,11,0.114170,0.000000,0.000000,0.000000,events/second
1596677338,11,0.110706,0.000000,0.000000,0.000000,events/second
1596677341,11,0.107479,0.000000,0.000000,0.000000,events/second
1596677344,11,0.104359,0.000000,0.000000,0.000000,events/second
1596677347,12,0.110766,0.000000,0.000000,0.000000,events/second
1596677350,12,0.107786,0.000000,0.000000,0.000000,events/second
1596677353,12,0.104956,0.000000,0.000000,0.000000,events/second
1596677356,12,0.102254,0.000000,0.000000,0.000000,events/second
1596677359,12,0.099687,0.000000,0.000000,0.000000,events/second
1596677362,12,0.097286,0.000000,0.000000,0.000000,events/second
1596677365,12,0.094966,0.000000,0.000000,0.000000,events/second
1596677368,13,0.100465,0.000000,0.000000,0.000000,events/second
1596677371,13,0.098224,0.000000,0.000000,0.000000,events/second
1596677374,13,0.096051,0.000000,0.000000,0.000000,events/second
1596677377,13,0.093954,0.000000,0.000000,0.000000,events/second
1596677380,13,0.091977,0.000000,0.000000,0.000000,events/second
1596677383,13,0.090061,0.000000,0.000000,0.000000,events/second
1596677386,14,0.094865,0.000000,0.000000,0.000000,events/second
1596677389,14,0.093081,0.000000,0.000000,0.000000,events/second
1596677392,14,0.091282,0.000000,0.000000,0.000000,events/second
1596677395,14,0.089488,0.000000,0.000000,0.000000,events/second
1596677398,14,0.087863,0.000000,0.000000,0.000000,events/second
1596677401,14,0.086113,0.000000,0.000000,0.000000,events/second
1596677404,14,0.084635,0.000000,0.000000,0.000000,events/second
1596677407,15,0.089098,0.000000,0.000000,0.000000,events/second
1596677410,15,0.087543,0.000000,0.000000,0.000000,events/second
1596677413,15,0.086040,0.000000,0.000000,0.000000,events/second
1596677416,15,0.084580,0.000000,0.000000,0.000000,events/second
1596677419,15,0.083175,0.000000,0.000000,0.000000,events/second
