t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,3325786,755781.269281,0.000000,0.000000,0.000000,events/second
1596597999,3325786,537009.461517,0.000000,0.000000,0.000000,events/second
1596598002,3325786,366904.213635,0.000000,0.000000,0.000000,events/second
1596598005,3325786,272512.498710,0.000000,0.000000,0.000000,events/second
1596598008,3325786,218872.180169,0.000000,0.000000,0.000000,events/second
1596598011,3325786,183752.478656,0.000000,0.000000,0.000000,events/second
1596598014,3325786,157629.508391,0.000000,0.000000,0.000000,events/second
1596598017,3325786,137835.449236,0.000000,0.000000,0.000000,events/second
1596598020,3325786,123047.835267,0.000000,0.000000,0.000000,events/second
1596598023,3325786,110718.584147,0.000000,0.000000,0.000000,events/second
1596598026,3325786,100737.610016,0.000000,0.000000,0.000000,events/second
1596598029,3325786,92262.626803,0.000000,0.000000,0.000000,events/second
1596598032,3325786,85171.150390,0.000000,0.000000,0.000000,events/second
1596598035,3325786,79159.241252,0.000000,0.000000,0.000000,events/second
1596598038,3325786,73880.083305,0.000000,0.000000,0.000000,events/second
1596598041,3325786,69261.341387,0.000000,0.000000,0.000000,events/second
1596598044,3325786,65118.275173,0.000000,0.000000,0.000000,events/second
1596598047,3325786,61553.215101,0.000000,0.000000,0.000000,events/second
1596598050,3325786,58335.853241,0.000000,0.000000,0.000000,events/second
1596598053,3325786,55346.739823,0.000000,0.000000,0.000000,events/second
1596598056,3325786,52764.564409,0.000000,0.000000,0.000000,events/second
1596598059,3325786,50361.565704,0.000000,0.000000,0.000000,events/second
1596598062,3325786,48181.811809,0.000000,0.000000,0.000000,events/second
1596598065,3325786,46178.028067,0.000000,0.000000,0.000000,events/second
1596598068,3325786,44330.680103,0.000000,0.000000,0.000000,events/second
1596598071,3325786,42624.500621,0.000000,0.000000,0.000000,events/second
1596598074,3325786,41044.677508,0.000000,0.000000,0.000000,events/second
1596598077,3325786,39586.184958,0.000000,0.000000,0.000000,events/second
1596598080,3325786,38214.794727,0.000000,0.000000,0.000000,events/second
1596598083,3325786,36943.810510,0.000000,0.000000,0.000000,events/second
1596598086,3325786,35752.412967,0.000000,0.000000,0.000000,events/second
1596598089,3325786,34633.868334,0.000000,0.000000,0.000000,events/second
1596598092,3325786,33584.213690,0.000000,0.000000,0.000000,events/second
1596598095,3325786,32599.173456,0.000000,0.000000,0.000000,events/second
1596598098,3325786,31668.545932,0.000000,0.000000,0.000000,events/second
1596598101,3325786,30794.380025,0.000000,0.000000,0.000000,events/second
1596598104,3325786,29953.914396,0.000000,0.000000,0.000000,events/second
1596598107,3325786,29168.845032,0.000000,0.000000,0.000000,events/second
1596598110,3325786,28414.914032,0.000000,0.000000,0.000000,events/second
1596598113,3325786,27707.897110,0.000000,0.000000,0.000000,events/second
1596598116,3325786,27039.454194,0.000000,0.000000,0.000000,events/second
1596598119,3325786,26394.914254,0.000000,0.000000,0.000000,events/second
1596598122,3325786,25778.205367,0.000000,0.000000,0.000000,events/second
1596598125,3325786,25191.933356,0.000000,0.000000,0.000000,events/second
1596598128,3325786,24630.941926,0.000000,0.000000,0.000000,events/second
1596598131,3325786,24097.428494,0.000000,0.000000,0.000000,events/second
1596598134,3325786,23583.155521,0.000000,0.000000,0.000000,events/second
1596598137,3325786,23092.872547,0.000000,0.000000,0.000000,events/second
1596598140,3325786,22625.629794,0.000000,0.000000,0.000000,events/second
1596598143,3325786,22152.905455,0.000000,0.000000,0.000000,events/second
1596598146,3325786,21708.079637,0.000000,0.000000,0.000000,events/second
1596598149,3325786,21315.787533,0.000000,0.000000,0.000000,events/second
