t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,1632,365.347759,0.000000,0.000000,0.000000,events/second
1596597999,1634,262.670855,0.000000,0.000000,0.000000,events/second
1596598002,1638,180.322921,0.000000,0.000000,0.000000,events/second
1596598005,1696,138.595729,0.000000,0.000000,0.000000,events/second
1596598008,1698,111.564168,0.000000,0.000000,0.000000,events/second
1596598011,1700,93.815702,0.000000,0.000000,0.000000,events/second
1596598014,1711,80.909599,0.000000,0.000000,0.000000,events/second
1596598017,1713,70.931730,0.000000,0.000000,0.000000,events/second
1596598020,1715,63.409401,0.000000,0.000000,0.000000,events/second
1596598023,1717,57.128026,0.000000,0.000000,0.000000,events/second
1596598026,1719,52.041269,0.000000,0.000000,0.000000,events/second
1596598029,1721,47.716774,0.000000,0.000000,0.000000,events/second
1596598032,1723,44.102371,0.000000,0.000000,0.000000,events/second
1596598035,1725,41.041801,0.000000,0.000000,0.000000,events/second
1596598038,1727,38.349847,0.000000,0.000000,0.000000,events/second
1596598041,1729,35.994526,0.000000,0.000000,0.000000,events/second
1596598044,1856,36.327915,0.000000,0.000000,0.000000,events/second
1596598047,1858,34.376234,0.000000,0.000000,0.000000,events/second
1596598050,1860,32.615665,0.000000,0.000000,0.000000,events/second
1596598053,1962,32.641078,0.000000,0.000000,0.000000,events/second
1596598056,1964,31.151346,0.000000,0.000000,0.000000,events/second
1596598059,1966,29.763274,0.000000,0.000000,0.000000,events/second
1596598062,1968,28.504338,0.000000,0.000000,0.000000,events/second
1596598065,1970,27.346951,0.000000,0.000000,0.000000,events/second
1596598068,1972,26.279708,0.000000,0.000000,0.000000,events/second
1596598071,1974,25.294068,0.000000,0.000000,0.000000,events/second
1596598074,1976,24.381546,0.000000,0.000000,0.000000,events/second
1596598077,1978,23.539095,0.000000,0.000000,0.000000,events/second
1596598080,1980,22.746533,0.000000,0.000000,0.000000,events/second
1596598083,1982,22.012676,0.000000,0.000000,0.000000,events/second
1596598086,1984,21.324349,0.000000,0.000000,0.000000,events/second
1596598089,1986,20.678104,0.000000,0.000000,0.000000,events/second
1596598092,1988,20.071774,0.000000,0.000000,0.000000,events/second
1596598095,1990,19.502759,0.000000,0.000000,0.000000,events/second
1596598098,1992,18.965140,0.000000,0.000000,0.000000,events/second
1596598101,1994,18.460221,0.000000,0.000000,0.000000,events/second
1596598104,2121,19.100133,0.000000,0.000000,0.000000,events/second
1596598107,2123,18.617130,0.000000,0.000000,0.000000,events/second
1596598110,2125,18.153088,0.000000,0.000000,0.000000,events/second
1596598113,2227,18.551152,0.000000,0.000000,0.000000,events/second
1596598116,2229,18.119892,0.000000,0.000000,0.000000,events/second
1596598119,2231,17.703822,0.000000,0.000000,0.000000,events/second
1596598122,2233,17.305805,0.000000,0.000000,0.000000,events/second
1596598125,2235,16.927427,0.000000,0.000000,0.000000,events/second
1596598128,2237,16.565292,0.000000,0.000000,0.000000,events/second
1596598131,2239,16.221060,0.000000,0.000000,0.000000,events/second
1596598134,2241,15.889112,0.000000,0.000000,0.000000,events/second
1596598137,2243,15.572698,0.000000,0.000000,0.000000,events/second
1596598140,2245,15.271246,0.000000,0.000000,0.000000,events/second
1596598143,2247,14.964445,0.000000,0.000000,0.000000,events/second
1596598146,2249,14.677965,0.000000,0.000000,0.000000,events/second
1596598149,2251,14.425698,0.000000,0.000000,0.000000,events/second
1596598152,2253,14.166631,0.000000,0.000000,0.000000,events/second
1596598155,2255,13.917386,0.000000,0.000000,0.000000,events/second
1596598158,2257,13.676278,0.000000,0.000000,0.000000,events/second
1596598161,2259,13.444442,0.000000,0.000000,0.000000,events/second
1596598164,2386,13.950542,0.000000,0.000000,0.000000,events/second
1596598167,2388,13.715559,0.000000,0.000000,0.000000,events/second
1596598170,2390,13.494142,0.000000,0.000000,0.000000,events/second
1596598173,2492,13.839345,0.000000,0.000000,0.000000,events/second
1596598176,2494,13.626411,0.000000,0.000000,0.000000,events/second
1596598179,2496,13.417151,0.000000,0.000000,0.000000,events/second
1596598182,2498,13.205017,0.000000,0.000000,0.000000,events/second
1596598185,2500,13.015523,0.000000,0.000000,0.000000,events/second
1596598188,2502,12.808092,0.000000,0.000000,0.000000,events/second
1596598191,2504,12.643433,0.000000,0.000000,0.000000,events/second
1596598194,2506,12.462253,0.000000,0.000000,0.000000,events/second
1596598197,2508,12.292230,0.000000,0.000000,0.000000,events/second
1596598200,2510,12.124862,0.000000,0.000000,0.000000,events/second
1596598203,2512,11.960153,0.000000,0.000000,0.000000,events/second
1596598206,2514,11.798645,0.000000,0.000000,0.000000,events/second
1596598209,2516,11.646954,0.000000,0.000000,0.000000,events/second
1596598212,2518,11.497097,0.000000,0.000000,0.000000,events/second
1596598215,2520,11.350438,0.000000,0.000000,0.000000,events/second
1596598218,2522,11.208287,0.000000,0.000000,0.000000,events/second
1596598221,2524,11.069444,0.000000,0.000000,0.000000,events/second
1596598224,2651,11.475579,0.000000,0.000000,0.000000,events/second
1596598227,2653,11.325240,0.000000,0.000000,0.000000,events/second
1596598230,2655,11.201558,0.000000,0.000000,0.000000,events/second
1596598233,2757,11.482524,0.000000,0.000000,0.000000,events/second
1596598236,2759,11.352783,0.000000,0.000000,0.000000,events/second
1596598239,2761,11.222970,0.000000,0.000000,0.000000,events/second
1596598242,2763,11.095048,0.000000,0.000000,0.000000,events/second
1596598245,2765,10.970537,0.000000,0.000000,0.000000,events/second
1596598248,2767,10.849671,0.000000,0.000000,0.000000,events/second
1596598251,2769,10.730377,0.000000,0.000000,0.000000,events/second
1596598254,2771,10.615452,0.000000,0.000000,0.000000,events/second
1596598257,2773,10.502330,0.000000,0.000000,0.000000,events/second
1596598260,2775,10.392927,0.000000,0.000000,0.000000,events/second
1596598263,2777,10.282998,0.000000,0.000000,0.000000,events/second
1596598266,2779,10.177824,0.000000,0.000000,0.000000,events/second
1596598269,2781,10.075525,0.000000,0.000000,0.000000,events/second
1596598272,2783,9.973320,0.000000,0.000000,0.000000,events/second
1596598275,2785,9.874921,0.000000,0.000000,0.000000,events/second
1596598278,2787,9.777993,0.000000,0.000000,0.000000,events/second
1596598281,2791,9.689525,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,1971,477.044329,0.000000,0.000000,0.000000,events/second
1596598561,1975,316.183903,0.000000,0.000000,0.000000,events/second
1596598564,1983,216.941950,0.000000,0.000000,0.000000,events/second
1596598567,2039,168.799407,0.000000,0.000000,0.000000,events/second
1596598570,2043,133.974141,0.000000,0.000000,0.000000,events/second
1596598573,2047,112.616424,0.000000,0.000000,0.000000,events/second
1596598576,2056,97.326768,0.000000,0.000000,0.000000,events/second
