t,value
1596597996,8
1596597999,8
1596598002,8
1596598005,8
1596598008,8
1596598011,8
1596598014,8
1596598017,8
1596598020,8
1596598023,8
1596598026,8
1596598029,8
1596598032,8
1596598035,8
1596598038,8
1596598041,8
1596598044,8
1596598047,8
1596598050,8
1596598053,8
1596598056,8
1596598059,8
1596598062,8
1596598065,8
1596598068,8
1596598071,8
1596598074,8
1596598077,8
1596598080,8
1596598083,8
1596598086,8
1596598089,8
1596598092,8
1596598095,8
1596598098,8
1596598101,8
1596598104,8
1596598107,8
1596598110,8
1596598113,8
1596598116,8
1596598119,8
1596598122,8
1596598125,8
1596598128,8
1596598131,8
1596598134,8
1596598137,8
1596598140,8
1596598143,8
1596598146,8
1596598149,8
1596598152,8
1596598155,8
1596598158,8
1596598161,8
1596598164,8
1596598167,8
1596598170,8
1596598173,8
1596598176,8
1596598179,8
1596598182,8
1596598185,8
1596598188,8
1596598191,8
1596598194,8
1596598197,8
1596598200,8
1596598203,8
1596598206,8
1596598209,8
1596598212,8
1596598215,8
1596598218,8
1596598221,8
1596598224,8
1596598227,8
1596598230,8
1596598233,8
1596598236,8
1596598239,8
1596598242,8
1596598245,8
1596598248,8
1596598251,8
1596598254,8
1596598257,8
1596598260,8
1596598263,8
1596598266,8
1596598269,8
1596598272,8
1596598275,8
1596598278,8
1596598281,8
t,value
1596598558,8
1596598561,8
1596598564,8
1596598567,8
1596598570,8
1596598573,8
1596598576,8
1596598579,8
1596598582,8
1596598585,8
1596598588,8
1596598591,8
1596598594,8
t,value
1596677242,8
1596677245,8
1596677248,8
1596677251,8
1596677254,8
1596677257,8
1596677260,8
1596677263,8
1596677266,8
1596677269,8
1596677272,8
1596677275,8
1596677278,8
1596677281,8
1596677284,8
1596677287,8
1596677290,8
1596677293,8
1596677296,8
1596677299,8
1596677302,8
1596677305,8
1596677308,8
1596677311,8
1596677314,8
1596677317,8
1596677320,8
1596677323,8
1596677326,8
1596677329,8
1596677332,8
1596677335,8
1596677338,8
1596677341,8
1596677344,8
1596677347,8
1596677350,8
1596677353,8
1596677356,8
1596677359,8
1596677362,8
1596677365,8
1596677368,8
1596677371,8
1596677374,8
1596677377,8
1596677380,8
1596677383,8
1596677386,8
1596677389,8
1596677392,8
1596677395,8
1596677398,8
1596677401,8
1596677404,8
1596677407,8
1596677410,8
1596677413,8
1596677416,8
1596677419,8
1596677422,8
1596677425,8
1596677428,8
1596677431,8
1596677434,8
1596677437,8
1596677440,8
1596677443,8
1596677446,8
1596677449,8
1596677452,8
1596677455,8
1596677458,8
1596677461,8
1596677464,8
1596677467,8
1596677470,8
1596677473,8
1596677476,8
1596677479,8
1596677482,8
1596677485,8
1596677488,8
1596677491,8
1596677494,8
1596677497,8
1596677500,8
1596677503,8
1596677506,8
1596677509,8
1596677512,8
1596677515,8
1596677518,8
1596677521,8
1596677524,8
1596677527,8
1596677530,8
1596677533,8
1596677536,8
1596677539,8
1596677542,8
1596677545,8
1596677548,8
1596677551,8
1596677554,8
1596677557,8
1596677560,8
1596677563,8
1596677566,8
1596677569,8
1596677572,8
1596677575,8
1596677578,8
1596677581,8
1596677584,8
1596677587,8
1596677590,8
1596677593,8
1596677596,8
1596677599,8
1596677602,8
1596677605,8
1596677608,8
1596677611,8
1596677614,8
1596677617,8
1596677620,8
1596677623,8
1596677626,8
1596677629,8
1596677632,8
1596677635,8
1596677638,8
1596677641,8
1596677644,8
1596677647,8
