t,value
1596597996,6
1596597999,6
1596598002,6
1596598005,6
1596598008,6
1596598011,6
1596598014,6
1596598017,6
1596598020,6
1596598023,6
1596598026,6
1596598029,6
1596598032,6
1596598035,6
1596598038,6
1596598041,6
1596598044,6
1596598047,6
1596598050,6
1596598053,6
1596598056,6
1596598059,6
1596598062,6
1596598065,6
1596598068,6
1596598071,6
1596598074,6
1596598077,6
1596598080,6
1596598083,6
1596598086,6
1596598089,6
1596598092,6
1596598095,6
1596598098,6
1596598101,6
1596598104,6
1596598107,6
1596598110,6
1596598113,6
1596598116,6
1596598119,6
1596598122,6
1596598125,6
1596598128,6
1596598131,6
1596598134,6
1596598137,6
1596598140,6
1596598143,6
1596598146,6
1596598149,6
1596598152,6
1596598155,6
1596598158,6
1596598161,6
1596598164,6
1596598167,6
1596598170,6
1596598173,6
1596598176,6
1596598179,6
1596598182,6
1596598185,6
1596598188,6
1596598191,6
1596598194,6
1596598197,6
1596598200,6
1596598203,6
1596598206,6
1596598209,6
1596598212,6
1596598215,6
1596598218,6
1596598221,6
1596598224,6
1596598227,6
1596598230,6
1596598233,6
1596598236,6
1596598239,6
1596598242,6
1596598245,6
1596598248,6
1596598251,6
1596598254,6
1596598257,6
1596598260,6
1596598263,6
1596598266,6
1596598269,6
1596598272,6
1596598275,6
1596598278,6
1596598281,6
t,value
1596598558,6
1596598561,6
1596598564,6
1596598567,6
1596598570,6
1596598573,6
1596598576,6
1596598579,6
1596598582,6
1596598585,6
1596598588,6
1596598591,6
1596598594,6
