t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,32466,1806.412856,0.000000,0.000000,0.000000,events/second
1596597999,32466,1649.138261,0.000000,0.000000,0.000000,events/second
1596598002,32466,1440.050129,0.000000,0.000000,0.000000,events/second
1596598005,32466,1263.304307,0.000000,0.000000,0.000000,events/second
1596598008,32466,1131.729540,0.000000,0.000000,0.000000,events/second
1596598011,32466,1028.050874,0.000000,0.000000,0.000000,events/second
1596598014,32466,938.132009,0.000000,0.000000,0.000000,events/second
1596598017,32466,863.074127,0.000000,0.000000,0.000000,events/second
1596598020,32466,801.511364,0.000000,0.000000,0.000000,events/second
1596598023,32466,746.048396,0.000000,0.000000,0.000000,events/second
1596598026,32466,698.358154,0.000000,0.000000,0.000000,events/second
1596598029,32466,655.537798,0.000000,0.000000,0.000000,events/second
1596598032,32466,618.085318,0.000000,0.000000,0.000000,events/second
1596598035,32466,585.075080,0.000000,0.000000,0.000000,events/second
1596598038,32466,555.066069,0.000000,0.000000,0.000000,events/second
1596598041,32466,527.943595,0.000000,0.000000,0.000000,events/second
1596598044,32466,502.975263,0.000000,0.000000,0.000000,events/second
1596598047,32466,480.928428,0.000000,0.000000,0.000000,events/second
1596598050,32466,460.608770,0.000000,0.000000,0.000000,events/second
1596598053,32466,441.269764,0.000000,0.000000,0.000000,events/second
1596598056,32466,424.367465,0.000000,0.000000,0.000000,events/second
1596598059,32466,408.315636,0.000000,0.000000,0.000000,events/second
1596598062,32466,393.531068,0.000000,0.000000,0.000000,events/second
1596598065,32466,379.743645,0.000000,0.000000,0.000000,events/second
1596598068,32466,366.863417,0.000000,0.000000,0.000000,events/second
1596598071,32466,354.822790,0.000000,0.000000,0.000000,events/second
1596598074,32466,343.547874,0.000000,0.000000,0.000000,events/second
1596598077,32466,333.026658,0.000000,0.000000,0.000000,events/second
1596598080,32466,323.032811,0.000000,0.000000,0.000000,events/second
1596598083,32466,313.693409,0.000000,0.000000,0.000000,events/second
1596598086,32466,304.855579,0.000000,0.000000,0.000000,events/second
1596598089,32466,296.488921,0.000000,0.000000,0.000000,events/second
1596598092,32466,288.582260,0.000000,0.000000,0.000000,events/second
1596598095,32466,281.105590,0.000000,0.000000,0.000000,events/second
1596598098,32466,273.993458,0.000000,0.000000,0.000000,events/second
1596598101,32466,267.269361,0.000000,0.000000,0.000000,events/second
1596598104,32466,260.763340,0.000000,0.000000,0.000000,events/second
1596598107,32466,254.651833,0.000000,0.000000,0.000000,events/second
1596598110,32466,248.747320,0.000000,0.000000,0.000000,events/second
1596598113,32466,243.184645,0.000000,0.000000,0.000000,events/second
1596598116,32466,237.896052,0.000000,0.000000,0.000000,events/second
1596598119,32466,232.771789,0.000000,0.000000,0.000000,events/second
1596598122,32466,227.849452,0.000000,0.000000,0.000000,events/second
1596598125,32466,223.147366,0.000000,0.000000,0.000000,events/second
1596598128,32466,218.628103,0.000000,0.000000,0.000000,events/second
1596598131,32466,214.314965,0.000000,0.000000,0.000000,events/second
1596598134,32466,210.140163,0.000000,0.000000,0.000000,events/second
1596598137,32466,206.144833,0.000000,0.000000,0.000000,events/second
1596598140,32466,202.324088,0.000000,0.000000,0.000000,events/second
1596598143,32466,198.422271,0.000000,0.000000,0.000000,events/second
1596598146,32466,194.777414,0.000000,0.000000,0.000000,events/second
1596598149,32466,191.540916,0.000000,0.000000,0.000000,events/second
1596598152,32466,188.216754,0.000000,0.000000,0.000000,events/second
1596598155,32466,185.007746,0.000000,0.000000,0.000000,events/second
1596598158,32466,181.894410,0.000000,0.000000,0.000000,events/second
1596598161,32466,178.894050,0.000000,0.000000,0.000000,events/second
