t,value
1596597996,32
1596597999,32
1596598002,32
1596598005,32
1596598008,32
1596598011,32
1596598014,32
1596598017,32
1596598020,32
1596598023,32
1596598026,32
1596598029,32
1596598032,32
1596598035,32
1596598038,32
1596598041,32
1596598044,32
1596598047,32
1596598050,32
1596598053,32
1596598056,32
1596598059,32
1596598062,32
1596598065,32
1596598068,32
1596598071,32
1596598074,32
1596598077,32
1596598080,32
1596598083,32
1596598086,32
1596598089,32
1596598092,32
1596598095,32
1596598098,32
1596598101,32
1596598104,32
1596598107,32
1596598110,32
1596598113,32
1596598116,32
1596598119,32
1596598122,32
1596598125,32
1596598128,32
1596598131,32
1596598134,32
1596598137,32
1596598140,32
1596598143,32
1596598146,32
1596598149,32
1596598152,32
1596598155,32
1596598158,32
1596598161,32
1596598164,32
1596598167,32
1596598170,32
1596598173,32
1596598176,32
1596598179,32
1596598182,32
1596598185,32
1596598188,32
1596598191,32
1596598194,32
1596598197,32
1596598200,32
1596598203,32
1596598206,32
1596598209,32
1596598212,32
1596598215,32
1596598218,32
1596598221,32
1596598224,32
1596598227,32
1596598230,32
1596598233,32
1596598236,32
1596598239,32
1596598242,32
1596598245,32
1596598248,32
1596598251,32
1596598254,32
1596598257,32
1596598260,32
1596598263,32
1596598266,32
1596598269,32
1596598272,32
1596598275,32
1596598278,32
1596598281,32
t,value
1596598558,32
1596598561,32
1596598564,32
1596598567,32
1596598570,32
1596598573,32
1596598576,32
1596598579,32
1596598582,32
1596598585,32
1596598588,32
1596598591,32
1596598594,32
