t,value
1596597996,61
1596597999,61
1596598002,61
1596598005,61
1596598008,61
1596598011,61
1596598014,61
1596598017,61
1596598020,61
1596598023,61
1596598026,61
1596598029,61
1596598032,61
1596598035,61
1596598038,61
1596598041,61
1596598044,61
1596598047,61
1596598050,61
1596598053,61
1596598056,61
1596598059,61
1596598062,61
1596598065,61
1596598068,61
1596598071,61
1596598074,61
1596598077,61
1596598080,61
1596598083,61
1596598086,61
1596598089,61
1596598092,61
1596598095,61
1596598098,61
1596598101,61
1596598104,61
1596598107,61
1596598110,61
1596598113,61
1596598116,61
1596598119,61
1596598122,61
1596598125,61
1596598128,61
1596598131,61
1596598134,61
1596598137,61
1596598140,61
1596598143,61
1596598146,61
1596598149,61
1596598152,61
1596598155,61
1596598158,61
1596598161,61
1596598164,61
1596598167,61
1596598170,61
1596598173,61
1596598176,61
1596598179,61
1596598182,61
1596598185,61
1596598188,61
1596598191,61
1596598194,61
1596598197,61
1596598200,61
1596598203,61
1596598206,61
1596598209,61
1596598212,61
1596598215,61
1596598218,61
1596598221,61
1596598224,61
1596598227,61
1596598230,61
1596598233,61
1596598236,61
1596598239,61
1596598242,61
1596598245,61
1596598248,61
1596598251,61
1596598254,61
1596598257,61
1596598260,61
1596598263,61
1596598266,61
1596598269,61
1596598272,61
1596598275,61
1596598278,61
1596598281,61
t,value
1596598558,61
1596598561,61
1596598564,61
1596598567,61
1596598570,61
1596598573,61
1596598576,61
1596598579,61
1596598582,61
1596598585,61
1596598588,61
1596598591,61
1596598594,61
