t,value
1596597996,1048576
1596597999,1048576
1596598002,1048576
1596598005,1048576
1596598008,1048576
1596598011,1048576
1596598014,1048576
1596598017,1048576
1596598020,1048576
1596598023,1048576
1596598026,1048576
1596598029,1048576
1596598032,1048576
1596598035,1048576
1596598038,1048576
1596598041,1048576
1596598044,1048576
1596598047,1048576
1596598050,1048576
1596598053,1048576
1596598056,1048576
1596598059,1048576
1596598062,1048576
1596598065,1048576
1596598068,1048576
1596598071,1048576
1596598074,1048576
1596598077,1048576
1596598080,1048576
1596598083,1048576
1596598086,1048576
1596598089,1048576
1596598092,1048576
1596598095,1048576
1596598098,1048576
1596598101,1048576
1596598104,1048576
1596598107,1048576
1596598110,1048576
1596598113,1048576
1596598116,1048576
1596598119,1048576
1596598122,1048576
1596598125,1048576
1596598128,1048576
1596598131,1048576
1596598134,1048576
1596598137,1048576
1596598140,1048576
1596598143,1048576
1596598146,1048576
1596598149,1048576
1596598152,1048576
1596598155,1048576
1596598158,1048576
1596598161,1048576
1596598164,1048576
1596598167,1048576
1596598170,1048576
1596598173,1048576
1596598176,1048576
1596598179,1048576
1596598182,1048576
1596598185,1048576
1596598188,1048576
1596598191,1048576
1596598194,1048576
1596598197,1048576
1596598200,1048576
1596598203,1048576
1596598206,1048576
1596598209,1048576
1596598212,1048576
1596598215,1048576
1596598218,1048576
1596598221,1048576
1596598224,1048576
1596598227,1048576
1596598230,1048576
1596598233,1048576
1596598236,1048576
1596598239,1048576
1596598242,1048576
1596598245,1048576
1596598248,1048576
1596598251,1048576
1596598254,1048576
1596598257,1048576
1596598260,1048576
1596598263,1048576
1596598266,1048576
1596598269,1048576
1596598272,1048576
1596598275,1048576
1596598278,1048576
1596598281,1048576
t,value
1596598558,1048576
1596598561,1048576
1596598564,1048576
1596598567,1048576
1596598570,1048576
1596598573,1048576
1596598576,1048576
1596598579,1048576
1596598582,1048576
1596598585,1048576
1596598588,1048576
1596598591,1048576
1596598594,1048576
t,value
1596677242,1048576
1596677245,1048576
1596677248,1048576
1596677251,1048576
1596677254,1048576
1596677257,1048576
1596677260,1048576
1596677263,1048576
1596677266,1048576
1596677269,1048576
1596677272,1048576
1596677275,1048576
1596677278,1048576
1596677281,1048576
1596677284,1048576
1596677287,1048576
1596677290,1048576
1596677293,1048576
1596677296,1048576
1596677299,1048576
1596677302,1048576
1596677305,1048576
1596677308,1048576
1596677311,1048576
1596677314,1048576
1596677317,1048576
1596677320,1048576
1596677323,1048576
1596677326,1048576
1596677329,1048576
1596677332,1048576
1596677335,1048576
1596677338,1048576
1596677341,1048576
1596677344,1048576
1596677347,1048576
1596677350,1048576
1596677353,1048576
1596677356,1048576
1596677359,1048576
1596677362,1048576
1596677365,1048576
1596677368,1048576
1596677371,1048576
1596677374,1048576
1596677377,1048576
1596677380,1048576
1596677383,1048576
1596677386,1048576
1596677389,1048576
1596677392,1048576
1596677395,1048576
1596677398,1048576
1596677401,1048576
1596677404,1048576
1596677407,1048576
1596677410,1048576
1596677413,1048576
1596677416,1048576
1596677419,1048576
1596677422,1048576
1596677425,1048576
1596677428,1048576
1596677431,1048576
1596677434,1048576
1596677437,1048576
1596677440,1048576
1596677443,1048576
1596677446,1048576
1596677449,1048576
1596677452,1048576
1596677455,1048576
1596677458,1048576
1596677461,1048576
1596677464,1048576
1596677467,1048576
1596677470,1048576
1596677473,1048576
1596677476,1048576
1596677479,1048576
1596677482,1048576
1596677485,1048576
1596677488,1048576
1596677491,1048576
1596677494,1048576
1596677497,1048576
1596677500,1048576
1596677503,1048576
1596677506,1048576
1596677509,1048576
1596677512,1048576
1596677515,1048576
1596677518,1048576
1596677521,1048576
1596677524,1048576
1596677527,1048576
1596677530,1048576
1596677533,1048576
1596677536,1048576
1596677539,1048576
1596677542,1048576
1596677545,1048576
1596677548,1048576
1596677551,1048576
1596677554,1048576
1596677557,1048576
1596677560,1048576
1596677563,1048576
1596677566,1048576
1596677569,1048576
1596677572,1048576
1596677575,1048576
1596677578,1048576
1596677581,1048576
1596677584,1048576
1596677587,1048576
1596677590,1048576
1596677593,1048576
1596677596,1048576
1596677599,1048576
1596677602,1048576
1596677605,1048576
1596677608,1048576
1596677611,1048576
1596677614,1048576
1596677617,1048576
1596677620,1048576
1596677623,1048576
1596677626,1048576
1596677629,1048576
1596677632,1048576
