t,value
1596597996,810925
1596597999,810925
1596598002,810925
1596598005,810925
1596598008,810925
1596598011,810925
1596598014,810925
1596598017,810925
1596598020,810925
1596598023,810925
1596598026,810925
1596598029,810925
1596598032,810925
1596598035,810925
1596598038,810925
1596598041,810925
1596598044,810925
1596598047,810925
1596598050,810925
1596598053,810925
1596598056,810925
1596598059,810925
1596598062,810925
1596598065,810925
1596598068,810925
1596598071,810925
1596598074,810925
1596598077,810925
1596598080,810925
1596598083,810925
1596598086,810925
1596598089,810925
1596598092,810925
1596598095,810925
1596598098,810925
1596598101,810925
1596598104,810925
1596598107,810925
1596598110,810925
1596598113,810925
1596598116,810925
1596598119,810925
1596598122,810925
1596598125,810925
1596598128,810925
1596598131,810925
1596598134,810925
1596598137,810925
1596598140,810925
1596598143,810925
1596598146,810925
1596598149,810925
1596598152,810925
1596598155,810925
1596598158,810925
1596598161,810925
1596598164,810925
1596598167,810925
1596598170,810925
1596598173,810925
1596598176,810925
1596598179,810925
1596598182,810925
1596598185,810925
1596598188,810925
1596598191,810925
1596598194,810925
1596598197,810925
1596598200,810925
1596598203,810925
1596598206,810925
1596598209,810925
1596598212,810925
1596598215,810925
1596598218,810925
1596598221,810925
1596598224,810925
1596598227,810925
1596598230,810925
1596598233,810925
1596598236,810925
1596598239,810925
1596598242,810925
1596598245,810925
1596598248,810925
1596598251,810925
1596598254,810925
1596598257,810925
1596598260,810925
1596598263,810925
1596598266,810925
1596598269,810925
1596598272,810925
1596598275,810925
1596598278,810925
1596598281,810925
t,value
1596598558,1065280
1596598561,1065280
1596598564,1065280
1596598567,1065280
1596598570,1065280
1596598573,1065280
1596598576,1065280
1596598579,1065280
1596598582,1065280
1596598585,1065280
1596598588,1065280
1596598591,1065280
1596598594,1065280
