t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,45,2.489318,0.000000,0.000000,0.000000,events/second
1596597999,45,2.282349,0.000000,0.000000,0.000000,events/second
1596598002,45,1.994079,0.000000,0.000000,0.000000,events/second
1596598005,45,1.749092,0.000000,0.000000,0.000000,events/second
1596598008,45,1.567180,0.000000,0.000000,0.000000,events/second
1596598011,45,1.423982,0.000000,0.000000,0.000000,events/second
1596598014,45,1.299513,0.000000,0.000000,0.000000,events/second
1596598017,45,1.195508,0.000000,0.000000,0.000000,events/second
1596598020,45,1.110382,0.000000,0.000000,0.000000,events/second
1596598023,45,1.033596,0.000000,0.000000,0.000000,events/second
1596598026,45,0.967095,0.000000,0.000000,0.000000,events/second
1596598029,45,0.908203,0.000000,0.000000,0.000000,events/second
1596598032,45,0.856357,0.000000,0.000000,0.000000,events/second
1596598035,45,0.810652,0.000000,0.000000,0.000000,events/second
1596598038,45,0.769098,0.000000,0.000000,0.000000,events/second
1596598041,45,0.731525,0.000000,0.000000,0.000000,events/second
1596598044,45,0.696942,0.000000,0.000000,0.000000,events/second
1596598047,45,0.666397,0.000000,0.000000,0.000000,events/second
1596598050,45,0.638256,0.000000,0.000000,0.000000,events/second
1596598053,45,0.611452,0.000000,0.000000,0.000000,events/second
1596598056,45,0.588049,0.000000,0.000000,0.000000,events/second
1596598059,45,0.565809,0.000000,0.000000,0.000000,events/second
1596598062,45,0.545330,0.000000,0.000000,0.000000,events/second
1596598065,45,0.526229,0.000000,0.000000,0.000000,events/second
1596598068,45,0.508383,0.000000,0.000000,0.000000,events/second
1596598071,45,0.491702,0.000000,0.000000,0.000000,events/second
1596598074,45,0.476081,0.000000,0.000000,0.000000,events/second
1596598077,45,0.461504,0.000000,0.000000,0.000000,events/second
1596598080,45,0.447656,0.000000,0.000000,0.000000,events/second
1596598083,45,0.434718,0.000000,0.000000,0.000000,events/second
1596598086,45,0.422471,0.000000,0.000000,0.000000,events/second
1596598089,45,0.410875,0.000000,0.000000,0.000000,events/second
1596598092,45,0.399924,0.000000,0.000000,0.000000,events/second
1596598095,45,0.389565,0.000000,0.000000,0.000000,events/second
1596598098,45,0.379710,0.000000,0.000000,0.000000,events/second
1596598101,45,0.370394,0.000000,0.000000,0.000000,events/second
1596598104,45,0.361378,0.000000,0.000000,0.000000,events/second
1596598107,45,0.352910,0.000000,0.000000,0.000000,events/second
1596598110,45,0.344727,0.000000,0.000000,0.000000,events/second
1596598113,45,0.337021,0.000000,0.000000,0.000000,events/second
1596598116,45,0.329692,0.000000,0.000000,0.000000,events/second
1596598119,45,0.322589,0.000000,0.000000,0.000000,events/second
1596598122,45,0.315771,0.000000,0.000000,0.000000,events/second
1596598125,45,0.309255,0.000000,0.000000,0.000000,events/second
1596598128,45,0.302992,0.000000,0.000000,0.000000,events/second
1596598131,45,0.297016,0.000000,0.000000,0.000000,events/second
1596598134,45,0.291231,0.000000,0.000000,0.000000,events/second
1596598137,45,0.285695,0.000000,0.000000,0.000000,events/second
1596598140,45,0.280400,0.000000,0.000000,0.000000,events/second
1596598143,45,0.274985,0.000000,0.000000,0.000000,events/second
1596598146,45,0.269941,0.000000,0.000000,0.000000,events/second
1596598149,45,0.265458,0.000000,0.000000,0.000000,events/second
1596598152,45,0.260851,0.000000,0.000000,0.000000,events/second
1596598155,45,0.256404,0.000000,0.000000,0.000000,events/second
1596598158,45,0.252090,0.000000,0.000000,0.000000,events/second
1596598161,45,0.247932,0.000000,0.000000,0.000000,events/second
1596598164,45,0.243889,0.000000,0.000000,0.000000,events/second
1596598167,45,0.239888,0.000000,0.000000,0.000000,events/second
1596598170,45,0.236108,0.000000,0.000000,0.000000,events/second
1596598173,45,0.232502,0.000000,0.000000,0.000000,events/second
1596598176,45,0.229002,0.000000,0.000000,0.000000,events/second
1596598179,45,0.225556,0.000000,0.000000,0.000000,events/second
1596598182,45,0.222054,0.000000,0.000000,0.000000,events/second
1596598185,45,0.218918,0.000000,0.000000,0.000000,events/second
1596598188,45,0.215446,0.000000,0.000000,0.000000,events/second
1596598191,45,0.212738,0.000000,0.000000,0.000000,events/second
1596598194,45,0.209720,0.000000,0.000000,0.000000,events/second
1596598197,45,0.206889,0.000000,0.000000,0.000000,events/second
1596598200,45,0.204092,0.000000,0.000000,0.000000,events/second
1596598203,45,0.201336,0.000000,0.000000,0.000000,events/second
1596598206,45,0.198629,0.000000,0.000000,0.000000,events/second
1596598209,45,0.196078,0.000000,0.000000,0.000000,events/second
1596598212,45,0.193558,0.000000,0.000000,0.000000,events/second
1596598215,45,0.191087,0.000000,0.000000,0.000000,events/second
1596598218,45,0.188688,0.000000,0.000000,0.000000,events/second
1596598221,45,0.186342,0.000000,0.000000,0.000000,events/second
1596598224,45,0.184057,0.000000,0.000000,0.000000,events/second
1596598227,45,0.181642,0.000000,0.000000,0.000000,events/second
1596598230,45,0.179642,0.000000,0.000000,0.000000,events/second
1596598233,45,0.177457,0.000000,0.000000,0.000000,events/second
1596598236,45,0.175438,0.000000,0.000000,0.000000,events/second
1596598239,45,0.173417,0.000000,0.000000,0.000000,events/second
1596598242,45,0.171424,0.000000,0.000000,0.000000,events/second
1596598245,45,0.169482,0.000000,0.000000,0.000000,events/second
1596598248,45,0.167593,0.000000,0.000000,0.000000,events/second
1596598251,45,0.165728,0.000000,0.000000,0.000000,events/second
1596598254,45,0.163928,0.000000,0.000000,0.000000,events/second
1596598257,45,0.162154,0.000000,0.000000,0.000000,events/second
1596598260,45,0.160436,0.000000,0.000000,0.000000,events/second
1596598263,45,0.158711,0.000000,0.000000,0.000000,events/second
1596598266,45,0.157057,0.000000,0.000000,0.000000,events/second
1596598269,45,0.155445,0.000000,0.000000,0.000000,events/second
1596598272,45,0.153834,0.000000,0.000000,0.000000,events/second
1596598275,45,0.152282,0.000000,0.000000,0.000000,events/second
1596598278,45,0.150752,0.000000,0.000000,0.000000,events/second
1596598281,45,0.149240,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598567,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598570,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598573,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598576,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598579,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598582,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598585,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598588,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598591,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598594,0,0.000000,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677251,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677254,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677257,0,0.000000,0.000000,0.000000,0.000000,events/second
