t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,46,2.544999,0.000000,0.000000,0.000000,events/second
1596597999,46,2.333832,0.000000,0.000000,0.000000,events/second
1596598002,46,2.039047,0.000000,0.000000,0.000000,events/second
1596598005,46,1.788404,0.000000,0.000000,0.000000,events/second
1596598008,46,1.602394,0.000000,0.000000,0.000000,events/second
1596598011,46,1.455971,0.000000,0.000000,0.000000,events/second
1596598014,46,1.328680,0.000000,0.000000,0.000000,events/second
1596598017,46,1.222310,0.000000,0.000000,0.000000,events/second
1596598020,46,1.135268,0.000000,0.000000,0.000000,events/second
1596598023,46,1.056753,0.000000,0.000000,0.000000,events/second
1596598026,46,0.988744,0.000000,0.000000,0.000000,events/second
1596598029,46,0.928512,0.000000,0.000000,0.000000,events/second
1596598032,46,0.875515,0.000000,0.000000,0.000000,events/second
1596598035,46,0.828780,0.000000,0.000000,0.000000,events/second
1596598038,46,0.786294,0.000000,0.000000,0.000000,events/second
1596598041,46,0.747876,0.000000,0.000000,0.000000,events/second
1596598044,46,0.712516,0.000000,0.000000,0.000000,events/second
1596598047,46,0.681284,0.000000,0.000000,0.000000,events/second
1596598050,46,0.652512,0.000000,0.000000,0.000000,events/second
1596598053,46,0.625104,0.000000,0.000000,0.000000,events/second
1596598056,46,0.601178,0.000000,0.000000,0.000000,events/second
1596598059,46,0.578439,0.000000,0.000000,0.000000,events/second
1596598062,46,0.557501,0.000000,0.000000,0.000000,events/second
1596598065,46,0.537972,0.000000,0.000000,0.000000,events/second
1596598068,46,0.519727,0.000000,0.000000,0.000000,events/second
1596598071,46,0.502672,0.000000,0.000000,0.000000,events/second
1596598074,46,0.486701,0.000000,0.000000,0.000000,events/second
1596598077,46,0.471797,0.000000,0.000000,0.000000,events/second
1596598080,46,0.457639,0.000000,0.000000,0.000000,events/second
1596598083,46,0.444412,0.000000,0.000000,0.000000,events/second
1596598086,46,0.431891,0.000000,0.000000,0.000000,events/second
1596598089,46,0.420036,0.000000,0.000000,0.000000,events/second
1596598092,46,0.408840,0.000000,0.000000,0.000000,events/second
1596598095,46,0.398249,0.000000,0.000000,0.000000,events/second
1596598098,46,0.388174,0.000000,0.000000,0.000000,events/second
1596598101,46,0.378649,0.000000,0.000000,0.000000,events/second
1596598104,46,0.369432,0.000000,0.000000,0.000000,events/second
1596598107,46,0.360775,0.000000,0.000000,0.000000,events/second
1596598110,46,0.352408,0.000000,0.000000,0.000000,events/second
1596598113,46,0.344530,0.000000,0.000000,0.000000,events/second
1596598116,46,0.337038,0.000000,0.000000,0.000000,events/second
