t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,46,2.544391,0.000000,0.000000,0.000000,events/second
1596597999,46,2.333535,0.000000,0.000000,0.000000,events/second
1596598002,46,2.038897,0.000000,0.000000,0.000000,events/second
1596598005,46,1.788258,0.000000,0.000000,0.000000,events/second
1596598008,46,1.602287,0.000000,0.000000,0.000000,events/second
1596598011,46,1.455901,0.000000,0.000000,0.000000,events/second
1596598014,46,1.328628,0.000000,0.000000,0.000000,events/second
1596598017,46,1.222230,0.000000,0.000000,0.000000,events/second
1596598020,46,1.135235,0.000000,0.000000,0.000000,events/second
1596598023,46,1.056726,0.000000,0.000000,0.000000,events/second
1596598026,46,0.988712,0.000000,0.000000,0.000000,events/second
1596598029,46,0.928441,0.000000,0.000000,0.000000,events/second
1596598032,46,0.875495,0.000000,0.000000,0.000000,events/second
1596598035,46,0.828752,0.000000,0.000000,0.000000,events/second
1596598038,46,0.786278,0.000000,0.000000,0.000000,events/second
1596598041,46,0.747862,0.000000,0.000000,0.000000,events/second
1596598044,46,0.712504,0.000000,0.000000,0.000000,events/second
1596598047,46,0.681272,0.000000,0.000000,0.000000,events/second
1596598050,46,0.652502,0.000000,0.000000,0.000000,events/second
1596598053,46,0.625093,0.000000,0.000000,0.000000,events/second
1596598056,46,0.601169,0.000000,0.000000,0.000000,events/second
1596598059,46,0.578432,0.000000,0.000000,0.000000,events/second
1596598062,46,0.557494,0.000000,0.000000,0.000000,events/second
1596598065,46,0.537965,0.000000,0.000000,0.000000,events/second
1596598068,46,0.519720,0.000000,0.000000,0.000000,events/second
1596598071,46,0.502665,0.000000,0.000000,0.000000,events/second
1596598074,46,0.486695,0.000000,0.000000,0.000000,events/second
1596598077,46,0.471792,0.000000,0.000000,0.000000,events/second
1596598080,46,0.457634,0.000000,0.000000,0.000000,events/second
1596598083,46,0.444407,0.000000,0.000000,0.000000,events/second
1596598086,46,0.431887,0.000000,0.000000,0.000000,events/second
1596598089,46,0.420032,0.000000,0.000000,0.000000,events/second
1596598092,46,0.408836,0.000000,0.000000,0.000000,events/second
1596598095,46,0.398246,0.000000,0.000000,0.000000,events/second
1596598098,46,0.388171,0.000000,0.000000,0.000000,events/second
1596598101,46,0.378646,0.000000,0.000000,0.000000,events/second
1596598104,46,0.369429,0.000000,0.000000,0.000000,events/second
1596598107,46,0.360772,0.000000,0.000000,0.000000,events/second
1596598110,46,0.352405,0.000000,0.000000,0.000000,events/second
