t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,2,0.110486,0.000000,0.000000,0.000000,events/second
1596597999,2,0.101361,0.000000,0.000000,0.000000,events/second
1596598002,2,0.088576,0.000000,0.000000,0.000000,events/second
1596598005,2,0.077695,0.000000,0.000000,0.000000,events/second
1596598008,2,0.069620,0.000000,0.000000,0.000000,events/second
1596598011,2,0.063264,0.000000,0.000000,0.000000,events/second
1596598014,2,0.057737,0.000000,0.000000,0.000000,events/second
1596598017,2,0.053112,0.000000,0.000000,0.000000,events/second
1596598020,2,0.049337,0.000000,0.000000,0.000000,events/second
1596598023,2,0.045926,0.000000,0.000000,0.000000,events/second
1596598026,2,0.042971,0.000000,0.000000,0.000000,events/second
1596598029,2,0.040351,0.000000,0.000000,0.000000,events/second
1596598032,2,0.038052,0.000000,0.000000,0.000000,events/second
1596598035,2,0.036021,0.000000,0.000000,0.000000,events/second
1596598038,2,0.034176,0.000000,0.000000,0.000000,events/second
1596598041,2,0.032506,0.000000,0.000000,0.000000,events/second
1596598044,2,0.030970,0.000000,0.000000,0.000000,events/second
1596598047,2,0.029613,0.000000,0.000000,0.000000,events/second
1596598050,2,0.028363,0.000000,0.000000,0.000000,events/second
1596598053,2,0.027170,0.000000,0.000000,0.000000,events/second
1596598056,2,0.026132,0.000000,0.000000,0.000000,events/second
1596598059,2,0.025144,0.000000,0.000000,0.000000,events/second
1596598062,2,0.024234,0.000000,0.000000,0.000000,events/second
1596598065,2,0.023385,0.000000,0.000000,0.000000,events/second
1596598068,2,0.022592,0.000000,0.000000,0.000000,events/second
1596598071,2,0.021851,0.000000,0.000000,0.000000,events/second
1596598074,2,0.021157,0.000000,0.000000,0.000000,events/second
1596598077,2,0.020509,0.000000,0.000000,0.000000,events/second
1596598080,2,0.019894,0.000000,0.000000,0.000000,events/second
1596598083,2,0.019319,0.000000,0.000000,0.000000,events/second
1596598086,2,0.018775,0.000000,0.000000,0.000000,events/second
1596598089,2,0.018259,0.000000,0.000000,0.000000,events/second
1596598092,2,0.017773,0.000000,0.000000,0.000000,events/second
1596598095,2,0.017312,0.000000,0.000000,0.000000,events/second
1596598098,2,0.016874,0.000000,0.000000,0.000000,events/second
1596598101,2,0.016460,0.000000,0.000000,0.000000,events/second
1596598104,2,0.016060,0.000000,0.000000,0.000000,events/second
1596598107,2,0.015684,0.000000,0.000000,0.000000,events/second
1596598110,2,0.015320,0.000000,0.000000,0.000000,events/second
1596598113,2,0.014977,0.000000,0.000000,0.000000,events/second
