t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,1,0.055263,0.000000,0.000000,0.000000,events/second
1596597999,1,0.050704,0.000000,0.000000,0.000000,events/second
1596598002,1,0.044307,0.000000,0.000000,0.000000,events/second
1596598005,1,0.038854,0.000000,0.000000,0.000000,events/second
1596598008,1,0.034802,0.000000,0.000000,0.000000,events/second
1596598011,1,0.031642,0.000000,0.000000,0.000000,events/second
1596598014,1,0.028877,0.000000,0.000000,0.000000,events/second
1596598017,1,0.026562,0.000000,0.000000,0.000000,events/second
1596598020,1,0.024674,0.000000,0.000000,0.000000,events/second
1596598023,1,0.022968,0.000000,0.000000,0.000000,events/second
1596598026,1,0.021490,0.000000,0.000000,0.000000,events/second
1596598029,1,0.020179,0.000000,0.000000,0.000000,events/second
1596598032,1,0.019030,0.000000,0.000000,0.000000,events/second
1596598035,1,0.018014,0.000000,0.000000,0.000000,events/second
1596598038,1,0.017091,0.000000,0.000000,0.000000,events/second
1596598041,1,0.016256,0.000000,0.000000,0.000000,events/second
1596598044,1,0.015487,0.000000,0.000000,0.000000,events/second
1596598047,1,0.014809,0.000000,0.000000,0.000000,events/second
1596598050,1,0.014183,0.000000,0.000000,0.000000,events/second
1596598053,1,0.013587,0.000000,0.000000,0.000000,events/second
1596598056,1,0.013068,0.000000,0.000000,0.000000,events/second
1596598059,1,0.012573,0.000000,0.000000,0.000000,events/second
1596598062,1,0.012118,0.000000,0.000000,0.000000,events/second
1596598065,1,0.011694,0.000000,0.000000,0.000000,events/second
1596598068,1,0.011297,0.000000,0.000000,0.000000,events/second
1596598071,1,0.010927,0.000000,0.000000,0.000000,events/second
1596598074,1,0.010579,0.000000,0.000000,0.000000,events/second
1596598077,1,0.010256,0.000000,0.000000,0.000000,events/second
1596598080,1,0.009948,0.000000,0.000000,0.000000,events/second
1596598083,1,0.009660,0.000000,0.000000,0.000000,events/second
1596598086,1,0.009388,0.000000,0.000000,0.000000,events/second
1596598089,1,0.009131,0.000000,0.000000,0.000000,events/second
1596598092,1,0.008887,0.000000,0.000000,0.000000,events/second
1596598095,1,0.008657,0.000000,0.000000,0.000000,events/second
1596598098,1,0.008438,0.000000,0.000000,0.000000,events/second
1596598101,1,0.008231,0.000000,0.000000,0.000000,events/second
1596598104,1,0.008031,0.000000,0.000000,0.000000,events/second
1596598107,1,0.007842,0.000000,0.000000,0.000000,events/second
1596598110,1,0.007661,0.000000,0.000000,0.000000,events/second
1596598113,1,0.007489,0.000000,0.000000,0.000000,events/second
1596598116,1,0.007326,0.000000,0.000000,0.000000,events/second
1596598119,1,0.007169,0.000000,0.000000,0.000000,events/second
1596598122,1,0.007017,0.000000,0.000000,0.000000,events/second
1596598125,1,0.006872,0.000000,0.000000,0.000000,events/second
1596598128,1,0.006733,0.000000,0.000000,0.000000,events/second
1596598131,1,0.006600,0.000000,0.000000,0.000000,events/second
1596598134,1,0.006472,0.000000,0.000000,0.000000,events/second
1596598137,1,0.006349,0.000000,0.000000,0.000000,events/second
1596598140,1,0.006231,0.000000,0.000000,0.000000,events/second
1596598143,1,0.006111,0.000000,0.000000,0.000000,events/second
1596598146,1,0.005999,0.000000,0.000000,0.000000,events/second
1596598149,1,0.005899,0.000000,0.000000,0.000000,events/second
1596598152,1,0.005797,0.000000,0.000000,0.000000,events/second
1596598155,1,0.005698,0.000000,0.000000,0.000000,events/second
1596598158,1,0.005602,0.000000,0.000000,0.000000,events/second
1596598161,1,0.005510,0.000000,0.000000,0.000000,events/second
1596598164,1,0.005420,0.000000,0.000000,0.000000,events/second
1596598167,1,0.005330,0.000000,0.000000,0.000000,events/second
1596598170,1,0.005247,0.000000,0.000000,0.000000,events/second
1596598173,1,0.005167,0.000000,0.000000,0.000000,events/second
1596598176,1,0.005089,0.000000,0.000000,0.000000,events/second
1596598179,1,0.005012,0.000000,0.000000,0.000000,events/second
1596598182,1,0.004934,0.000000,0.000000,0.000000,events/second
1596598185,1,0.004865,0.000000,0.000000,0.000000,events/second
1596598188,1,0.004788,0.000000,0.000000,0.000000,events/second
1596598191,1,0.004727,0.000000,0.000000,0.000000,events/second
1596598194,1,0.004660,0.000000,0.000000,0.000000,events/second
1596598197,1,0.004598,0.000000,0.000000,0.000000,events/second
1596598200,1,0.004535,0.000000,0.000000,0.000000,events/second
1596598203,1,0.004474,0.000000,0.000000,0.000000,events/second
1596598206,1,0.004414,0.000000,0.000000,0.000000,events/second
1596598209,1,0.004357,0.000000,0.000000,0.000000,events/second
1596598212,1,0.004301,0.000000,0.000000,0.000000,events/second
1596598215,1,0.004246,0.000000,0.000000,0.000000,events/second
1596598218,1,0.004193,0.000000,0.000000,0.000000,events/second
1596598221,1,0.004141,0.000000,0.000000,0.000000,events/second
1596598224,1,0.004090,0.000000,0.000000,0.000000,events/second
1596598227,1,0.004036,0.000000,0.000000,0.000000,events/second
1596598230,1,0.003992,0.000000,0.000000,0.000000,events/second
1596598233,1,0.003943,0.000000,0.000000,0.000000,events/second
1596598236,1,0.003899,0.000000,0.000000,0.000000,events/second
1596598239,1,0.003854,0.000000,0.000000,0.000000,events/second
1596598242,1,0.003809,0.000000,0.000000,0.000000,events/second
1596598245,1,0.003766,0.000000,0.000000,0.000000,events/second
1596598248,1,0.003724,0.000000,0.000000,0.000000,events/second
1596598251,1,0.003683,0.000000,0.000000,0.000000,events/second
1596598254,1,0.003643,0.000000,0.000000,0.000000,events/second
1596598257,1,0.003603,0.000000,0.000000,0.000000,events/second
1596598260,1,0.003565,0.000000,0.000000,0.000000,events/second
1596598263,1,0.003527,0.000000,0.000000,0.000000,events/second
1596598266,1,0.003490,0.000000,0.000000,0.000000,events/second
1596598269,1,0.003454,0.000000,0.000000,0.000000,events/second
1596598272,1,0.003419,0.000000,0.000000,0.000000,events/second
1596598275,1,0.003384,0.000000,0.000000,0.000000,events/second
1596598278,1,0.003350,0.000000,0.000000,0.000000,events/second
1596598281,1,0.003316,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598567,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598570,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598573,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598576,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598579,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598582,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598585,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598588,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598591,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598594,0,0.000000,0.000000,0.000000,0.000000,events/second
