t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,141,7.773978,0.000000,0.000000,0.000000,events/second
1596597999,141,7.143598,0.000000,0.000000,0.000000,events/second
1596598002,141,6.242966,0.000000,0.000000,0.000000,events/second
1596598005,144,5.587821,0.000000,0.000000,0.000000,events/second
1596598008,144,5.008723,0.000000,0.000000,0.000000,events/second
1596598011,144,4.554275,0.000000,0.000000,0.000000,events/second
1596598014,144,4.156474,0.000000,0.000000,0.000000,events/second
1596598017,144,3.823374,0.000000,0.000000,0.000000,events/second
1596598020,144,3.551947,0.000000,0.000000,0.000000,events/second
1596598023,144,3.306441,0.000000,0.000000,0.000000,events/second
1596598026,144,3.093536,0.000000,0.000000,0.000000,events/second
1596598029,144,2.904975,0.000000,0.000000,0.000000,events/second
1596598032,144,2.739591,0.000000,0.000000,0.000000,events/second
1596598035,144,2.593383,0.000000,0.000000,0.000000,events/second
1596598038,144,2.460534,0.000000,0.000000,0.000000,events/second
1596598041,144,2.340350,0.000000,0.000000,0.000000,events/second
1596598044,144,2.229704,0.000000,0.000000,0.000000,events/second
1596598047,144,2.132024,0.000000,0.000000,0.000000,events/second
1596598050,144,2.042001,0.000000,0.000000,0.000000,events/second
1596598053,144,1.956059,0.000000,0.000000,0.000000,events/second
1596598056,144,1.881418,0.000000,0.000000,0.000000,events/second
1596598059,144,1.810280,0.000000,0.000000,0.000000,events/second
1596598062,144,1.744771,0.000000,0.000000,0.000000,events/second
1596598065,144,1.683665,0.000000,0.000000,0.000000,events/second
1596598068,144,1.626577,0.000000,0.000000,0.000000,events/second
1596598071,144,1.573204,0.000000,0.000000,0.000000,events/second
1596598074,144,1.523237,0.000000,0.000000,0.000000,events/second
1596598077,144,1.476605,0.000000,0.000000,0.000000,events/second
1596598080,144,1.432295,0.000000,0.000000,0.000000,events/second
1596598083,144,1.390918,0.000000,0.000000,0.000000,events/second
1596598086,144,1.351734,0.000000,0.000000,0.000000,events/second
1596598089,144,1.314639,0.000000,0.000000,0.000000,events/second
1596598092,144,1.279602,0.000000,0.000000,0.000000,events/second
1596598095,144,1.246465,0.000000,0.000000,0.000000,events/second
1596598098,144,1.214937,0.000000,0.000000,0.000000,events/second
1596598101,144,1.185130,0.000000,0.000000,0.000000,events/second
1596598104,144,1.156288,0.000000,0.000000,0.000000,events/second
1596598107,144,1.129195,0.000000,0.000000,0.000000,events/second
1596598110,144,1.103010,0.000000,0.000000,0.000000,events/second
1596598113,144,1.078357,0.000000,0.000000,0.000000,events/second
1596598116,144,1.054905,0.000000,0.000000,0.000000,events/second
1596598119,144,1.032168,0.000000,0.000000,0.000000,events/second
1596598122,144,1.010369,0.000000,0.000000,0.000000,events/second
1596598125,144,0.989524,0.000000,0.000000,0.000000,events/second
1596598128,144,0.969486,0.000000,0.000000,0.000000,events/second
1596598131,144,0.950370,0.000000,0.000000,0.000000,events/second
1596598134,144,0.931861,0.000000,0.000000,0.000000,events/second
1596598137,144,0.914145,0.000000,0.000000,0.000000,events/second
1596598140,144,0.897207,0.000000,0.000000,0.000000,events/second
1596598143,144,0.879858,0.000000,0.000000,0.000000,events/second
1596598146,144,0.863731,0.000000,0.000000,0.000000,events/second
1596598149,144,0.849397,0.000000,0.000000,0.000000,events/second
1596598152,144,0.834656,0.000000,0.000000,0.000000,events/second
1596598155,144,0.820432,0.000000,0.000000,0.000000,events/second
1596598158,144,0.806626,0.000000,0.000000,0.000000,events/second
1596598161,144,0.793325,0.000000,0.000000,0.000000,events/second
1596598164,144,0.780390,0.000000,0.000000,0.000000,events/second
1596598167,144,0.767410,0.000000,0.000000,0.000000,events/second
1596598170,144,0.755494,0.000000,0.000000,0.000000,events/second
1596598173,144,0.743952,0.000000,0.000000,0.000000,events/second
1596598176,144,0.732756,0.000000,0.000000,0.000000,events/second
1596598179,144,0.721731,0.000000,0.000000,0.000000,events/second
1596598182,144,0.710487,0.000000,0.000000,0.000000,events/second
1596598185,144,0.700472,0.000000,0.000000,0.000000,events/second
1596598188,144,0.689363,0.000000,0.000000,0.000000,events/second
1596598191,144,0.680672,0.000000,0.000000,0.000000,events/second
1596598194,144,0.671057,0.000000,0.000000,0.000000,events/second
1596598197,144,0.662005,0.000000,0.000000,0.000000,events/second
1596598200,144,0.653054,0.000000,0.000000,0.000000,events/second
1596598203,144,0.644237,0.000000,0.000000,0.000000,events/second
1596598206,144,0.635571,0.000000,0.000000,0.000000,events/second
1596598209,144,0.627411,0.000000,0.000000,0.000000,events/second
1596598212,144,0.619350,0.000000,0.000000,0.000000,events/second
1596598215,144,0.611443,0.000000,0.000000,0.000000,events/second
1596598218,144,0.603768,0.000000,0.000000,0.000000,events/second
1596598221,144,0.596260,0.000000,0.000000,0.000000,events/second
1596598224,144,0.588951,0.000000,0.000000,0.000000,events/second
1596598227,144,0.581222,0.000000,0.000000,0.000000,events/second
1596598230,144,0.574822,0.000000,0.000000,0.000000,events/second
1596598233,144,0.567821,0.000000,0.000000,0.000000,events/second
1596598236,144,0.561373,0.000000,0.000000,0.000000,events/second
1596598239,144,0.554905,0.000000,0.000000,0.000000,events/second
1596598242,144,0.548531,0.000000,0.000000,0.000000,events/second
1596598245,144,0.542314,0.000000,0.000000,0.000000,events/second
1596598248,144,0.536272,0.000000,0.000000,0.000000,events/second
1596598251,144,0.530303,0.000000,0.000000,0.000000,events/second
1596598254,144,0.524543,0.000000,0.000000,0.000000,events/second
1596598257,144,0.518866,0.000000,0.000000,0.000000,events/second
1596598260,144,0.513372,0.000000,0.000000,0.000000,events/second
1596598263,144,0.507852,0.000000,0.000000,0.000000,events/second
1596598266,144,0.502558,0.000000,0.000000,0.000000,events/second
1596598269,144,0.497399,0.000000,0.000000,0.000000,events/second
1596598272,144,0.492245,0.000000,0.000000,0.000000,events/second
1596598275,144,0.487281,0.000000,0.000000,0.000000,events/second
1596598278,144,0.482383,0.000000,0.000000,0.000000,events/second
1596598281,144,0.477545,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,7,0.963616,0.000000,0.000000,0.000000,events/second
1596598561,7,0.749650,0.000000,0.000000,0.000000,events/second
1596598564,8,0.654385,0.000000,0.000000,0.000000,events/second
1596598567,10,0.658433,0.000000,0.000000,0.000000,events/second
1596598570,10,0.545116,0.000000,0.000000,0.000000,events/second
1596598573,10,0.470213,0.000000,0.000000,0.000000,events/second
1596598576,10,0.413180,0.000000,0.000000,0.000000,events/second
1596598579,10,0.368315,0.000000,0.000000,0.000000,events/second
1596598582,11,0.365128,0.000000,0.000000,0.000000,events/second
1596598585,19,0.567566,0.000000,0.000000,0.000000,events/second
1596598588,20,0.553383,0.000000,0.000000,0.000000,events/second
1596598591,22,0.561837,0.000000,0.000000,0.000000,events/second
1596598594,22,0.522015,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,7,0.820934,0.000000,0.000000,0.000000,events/second
1596677245,7,0.704812,0.000000,0.000000,0.000000,events/second
1596677248,8,0.624789,0.000000,0.000000,0.000000,events/second
1596677251,10,0.631789,0.000000,0.000000,0.000000,events/second
1596677254,10,0.532248,0.000000,0.000000,0.000000,events/second
1596677257,10,0.457472,0.000000,0.000000,0.000000,events/second
1596677260,10,0.402248,0.000000,0.000000,0.000000,events/second
1596677263,10,0.360515,0.000000,0.000000,0.000000,events/second
1596677266,11,0.355733,0.000000,0.000000,0.000000,events/second
1596677269,20,0.586001,0.000000,0.000000,0.000000,events/second
1596677272,22,0.598779,0.000000,0.000000,0.000000,events/second
1596677275,22,0.553096,0.000000,0.000000,0.000000,events/second
1596677278,22,0.514487,0.000000,0.000000,0.000000,events/second
1596677281,22,0.480758,0.000000,0.000000,0.000000,events/second
1596677284,22,0.451415,0.000000,0.000000,0.000000,events/second
1596677287,25,0.483313,0.000000,0.000000,0.000000,events/second
1596677290,25,0.456851,0.000000,0.000000,0.000000,events/second
1596677293,25,0.432836,0.000000,0.000000,0.000000,events/second
1596677296,25,0.411658,0.000000,0.000000,0.000000,events/second
1596677299,25,0.392109,0.000000,0.000000,0.000000,events/second
1596677302,25,0.374502,0.000000,0.000000,0.000000,events/second
1596677305,25,0.358431,0.000000,0.000000,0.000000,events/second
1596677308,28,0.384911,0.000000,0.000000,0.000000,events/second
1596677311,28,0.369551,0.000000,0.000000,0.000000,events/second
1596677314,28,0.355416,0.000000,0.000000,0.000000,events/second
1596677317,28,0.342556,0.000000,0.000000,0.000000,events/second
1596677320,28,0.330441,0.000000,0.000000,0.000000,events/second
1596677323,28,0.319117,0.000000,0.000000,0.000000,events/second
1596677326,29,0.319561,0.000000,0.000000,0.000000,events/second
1596677329,31,0.330801,0.000000,0.000000,0.000000,events/second
1596677332,31,0.320515,0.000000,0.000000,0.000000,events/second
1596677335,31,0.310817,0.000000,0.000000,0.000000,events/second
1596677338,31,0.301698,0.000000,0.000000,0.000000,events/second
1596677341,31,0.293187,0.000000,0.000000,0.000000,events/second
1596677344,31,0.284765,0.000000,0.000000,0.000000,events/second
1596677347,34,0.304310,0.000000,0.000000,0.000000,events/second
1596677350,34,0.296372,0.000000,0.000000,0.000000,events/second
1596677353,34,0.288817,0.000000,0.000000,0.000000,events/second
1596677356,34,0.281578,0.000000,0.000000,0.000000,events/second
1596677359,34,0.274679,0.000000,0.000000,0.000000,events/second
1596677362,34,0.268265,0.000000,0.000000,0.000000,events/second
1596677365,34,0.262016,0.000000,0.000000,0.000000,events/second
1596677368,37,0.278628,0.000000,0.000000,0.000000,events/second
1596677371,37,0.272567,0.000000,0.000000,0.000000,events/second
1596677374,37,0.266687,0.000000,0.000000,0.000000,events/second
1596677377,37,0.260978,0.000000,0.000000,0.000000,events/second
1596677380,37,0.255645,0.000000,0.000000,0.000000,events/second
1596677383,37,0.250444,0.000000,0.000000,0.000000,events/second
1596677386,38,0.251657,0.000000,0.000000,0.000000,events/second
1596677389,40,0.260080,0.000000,0.000000,0.000000,events/second
1596677392,40,0.255115,0.000000,0.000000,0.000000,events/second
1596677395,40,0.250197,0.000000,0.000000,0.000000,events/second
1596677398,40,0.245802,0.000000,0.000000,0.000000,events/second
1596677401,40,0.240900,0.000000,0.000000,0.000000,events/second
1596677404,40,0.236901,0.000000,0.000000,0.000000,events/second
1596677407,43,0.250373,0.000000,0.000000,0.000000,events/second
1596677410,43,0.246089,0.000000,0.000000,0.000000,events/second
1596677413,43,0.241944,0.000000,0.000000,0.000000,events/second
1596677416,43,0.237917,0.000000,0.000000,0.000000,events/second
1596677419,43,0.234034,0.000000,0.000000,0.000000,events/second
1596677422,43,0.230283,0.000000,0.000000,0.000000,events/second
1596677425,43,0.226650,0.000000,0.000000,0.000000,events/second
1596677428,46,0.238696,0.000000,0.000000,0.000000,events/second
1596677431,46,0.234969,0.000000,0.000000,0.000000,events/second
1596677434,46,0.231361,0.000000,0.000000,0.000000,events/second
1596677437,46,0.228023,0.000000,0.000000,0.000000,events/second
1596677440,46,0.224688,0.000000,0.000000,0.000000,events/second
1596677443,46,0.221341,0.000000,0.000000,0.000000,events/second
1596677446,47,0.222905,0.000000,0.000000,0.000000,events/second
1596677449,49,0.229275,0.000000,0.000000,0.000000,events/second
1596677452,49,0.226091,0.000000,0.000000,0.000000,events/second
1596677455,49,0.223011,0.000000,0.000000,0.000000,events/second
1596677458,49,0.220012,0.000000,0.000000,0.000000,events/second
1596677461,49,0.217086,0.000000,0.000000,0.000000,events/second
1596677464,49,0.214151,0.000000,0.000000,0.000000,events/second
1596677467,50,0.215708,0.000000,0.000000,0.000000,events/second
1596677470,52,0.221544,0.000000,0.000000,0.000000,events/second
1596677473,52,0.218751,0.000000,0.000000,0.000000,events/second
1596677476,52,0.216006,0.000000,0.000000,0.000000,events/second
1596677479,52,0.213332,0.000000,0.000000,0.000000,events/second
1596677482,52,0.210758,0.000000,0.000000,0.000000,events/second
1596677485,52,0.208237,0.000000,0.000000,0.000000,events/second
1596677488,55,0.217614,0.000000,0.000000,0.000000,events/second
1596677491,55,0.215075,0.000000,0.000000,0.000000,events/second
