t,value
1596597996,-1
1596597999,-1
1596598002,-1
1596598005,-1
1596598008,-1
1596598011,-1
1596598014,-1
1596598017,-1
1596598020,-1
1596598023,-1
1596598026,-1
1596598029,-1
1596598032,-1
1596598035,-1
1596598038,-1
1596598041,-1
1596598044,-1
1596598047,-1
1596598050,-1
1596598053,-1
1596598056,-1
1596598059,-1
1596598062,-1
1596598065,-1
1596598068,-1
1596598071,-1
1596598074,-1
1596598077,-1
1596598080,-1
1596598083,-1
1596598086,-1
1596598089,-1
1596598092,-1
1596598095,-1
1596598098,-1
1596598101,-1
1596598104,-1
1596598107,-1
1596598110,-1
1596598113,-1
1596598116,-1
1596598119,-1
1596598122,-1
1596598125,-1
1596598128,-1
1596598131,-1
1596598134,-1
1596598137,-1
1596598140,-1
1596598143,-1
1596598146,-1
1596598149,-1
1596598152,-1
1596598155,-1
1596598158,-1
1596598161,-1
1596598164,-1
1596598167,-1
1596598170,-1
1596598173,-1
1596598176,-1
1596598179,-1
1596598182,-1
1596598185,-1
1596598188,-1
1596598191,-1
1596598194,-1
1596598197,-1
1596598200,-1
1596598203,-1
1596598206,-1
1596598209,-1
1596598212,-1
1596598215,-1
1596598218,-1
1596598221,-1
1596598224,-1
1596598227,-1
1596598230,-1
1596598233,-1
1596598236,-1
1596598239,-1
1596598242,-1
1596598245,-1
1596598248,-1
1596598251,-1
1596598254,-1
1596598257,-1
1596598260,-1
1596598263,-1
1596598266,-1
1596598269,-1
1596598272,-1
1596598275,-1
1596598278,-1
1596598281,-1
t,value
1596598558,-1
1596598561,-1
1596598564,-1
1596598567,-1
1596598570,-1
1596598573,-1
1596598576,-1
1596598579,-1
1596598582,-1
1596598585,-1
1596598588,-1
1596598591,-1
1596598594,-1
t,value
1596677242,-1
1596677245,-1
1596677248,-1
1596677251,-1
1596677254,-1
1596677257,-1
1596677260,-1
1596677263,-1
1596677266,-1
1596677269,-1
1596677272,-1
1596677275,-1
1596677278,-1
1596677281,-1
1596677284,-1
1596677287,-1
1596677290,-1
1596677293,-1
1596677296,-1
1596677299,-1
1596677302,-1
1596677305,-1
1596677308,-1
1596677311,-1
1596677314,-1
1596677317,-1
1596677320,-1
1596677323,-1
1596677326,-1
1596677329,-1
1596677332,-1
1596677335,-1
1596677338,-1
1596677341,-1
1596677344,-1
1596677347,-1
1596677350,-1
1596677353,-1
1596677356,-1
1596677359,-1
1596677362,-1
1596677365,-1
1596677368,-1
1596677371,-1
1596677374,-1
1596677377,-1
1596677380,-1
1596677383,-1
1596677386,-1
1596677389,-1
1596677392,-1
