t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,187,39.930345,0.000000,0.000000,0.000000,events/second
1596597999,187,29.899209,0.000000,0.000000,0.000000,events/second
1596598002,187,20.563490,0.000000,0.000000,0.000000,events/second
1596598005,187,15.229192,0.000000,0.000000,0.000000,events/second
1596598008,187,12.232718,0.000000,0.000000,0.000000,events/second
1596598011,187,10.316419,0.000000,0.000000,0.000000,events/second
1596598014,187,8.840582,0.000000,0.000000,0.000000,events/second
1596598017,187,7.733808,0.000000,0.000000,0.000000,events/second
1596598020,187,6.914095,0.000000,0.000000,0.000000,events/second
1596598023,187,6.221367,0.000000,0.000000,0.000000,events/second
1596598026,238,7.198728,0.000000,0.000000,0.000000,events/second
1596598029,238,6.595065,0.000000,0.000000,0.000000,events/second
1596598032,238,6.091933,0.000000,0.000000,0.000000,events/second
1596598035,238,5.662306,0.000000,0.000000,0.000000,events/second
1596598038,238,5.285200,0.000000,0.000000,0.000000,events/second
1596598041,238,4.951921,0.000000,0.000000,0.000000,events/second
1596598044,238,4.658542,0.000000,0.000000,0.000000,events/second
1596598047,238,4.403370,0.000000,0.000000,0.000000,events/second
1596598050,238,4.173518,0.000000,0.000000,0.000000,events/second
1596598053,238,3.958164,0.000000,0.000000,0.000000,events/second
1596598056,238,3.775202,0.000000,0.000000,0.000000,events/second
1596598059,238,3.603295,0.000000,0.000000,0.000000,events/second
1596598062,238,3.447418,0.000000,0.000000,0.000000,events/second
1596598065,238,3.304058,0.000000,0.000000,0.000000,events/second
1596598068,238,3.171875,0.000000,0.000000,0.000000,events/second
1596598071,238,3.049796,0.000000,0.000000,0.000000,events/second
1596598074,238,2.936801,0.000000,0.000000,0.000000,events/second
1596598077,238,2.832461,0.000000,0.000000,0.000000,events/second
1596598080,238,2.734244,0.000000,0.000000,0.000000,events/second
1596598083,238,2.643459,0.000000,0.000000,0.000000,events/second
1596598086,238,2.558186,0.000000,0.000000,0.000000,events/second
1596598089,238,2.478098,0.000000,0.000000,0.000000,events/second
1596598092,238,2.403067,0.000000,0.000000,0.000000,events/second
1596598095,238,2.332615,0.000000,0.000000,0.000000,events/second
1596598098,238,2.266034,0.000000,0.000000,0.000000,events/second
1596598101,238,2.203495,0.000000,0.000000,0.000000,events/second
1596598104,238,2.143344,0.000000,0.000000,0.000000,events/second
1596598107,238,2.087183,0.000000,0.000000,0.000000,events/second
1596598110,238,2.033185,0.000000,0.000000,0.000000,events/second
1596598113,238,1.982654,0.000000,0.000000,0.000000,events/second
1596598116,238,1.934798,0.000000,0.000000,0.000000,events/second
1596598119,238,1.888617,0.000000,0.000000,0.000000,events/second
1596598122,238,1.844579,0.000000,0.000000,0.000000,events/second
1596598125,238,1.802630,0.000000,0.000000,0.000000,events/second
1596598128,238,1.762473,0.000000,0.000000,0.000000,events/second
1596598131,238,1.724328,0.000000,0.000000,0.000000,events/second
1596598134,238,1.687534,0.000000,0.000000,0.000000,events/second
1596598137,238,1.652445,0.000000,0.000000,0.000000,events/second
1596598140,238,1.619015,0.000000,0.000000,0.000000,events/second
1596598143,238,1.584743,0.000000,0.000000,0.000000,events/second
1596598146,238,1.553268,0.000000,0.000000,0.000000,events/second
1596598149,238,1.525275,0.000000,0.000000,0.000000,events/second
1596598152,238,1.496560,0.000000,0.000000,0.000000,events/second
1596598155,238,1.468934,0.000000,0.000000,0.000000,events/second
1596598158,238,1.442196,0.000000,0.000000,0.000000,events/second
1596598161,238,1.416506,0.000000,0.000000,0.000000,events/second
1596598164,238,1.391585,0.000000,0.000000,0.000000,events/second
1596598167,238,1.366592,0.000000,0.000000,0.000000,events/second
1596598170,238,1.343809,0.000000,0.000000,0.000000,events/second
1596598173,238,1.321734,0.000000,0.000000,0.000000,events/second
1596598176,238,1.300362,0.000000,0.000000,0.000000,events/second
1596598179,238,1.279388,0.000000,0.000000,0.000000,events/second
1596598182,238,1.258028,0.000000,0.000000,0.000000,events/second
1596598185,238,1.238982,0.000000,0.000000,0.000000,events/second
1596598188,238,1.218042,0.000000,0.000000,0.000000,events/second
1596598191,238,1.201596,0.000000,0.000000,0.000000,events/second
1596598194,238,1.183530,0.000000,0.000000,0.000000,events/second
1596598197,238,1.166520,0.000000,0.000000,0.000000,events/second
1596598200,238,1.149712,0.000000,0.000000,0.000000,events/second
1596598203,238,1.133199,0.000000,0.000000,0.000000,events/second
1596598206,238,1.116987,0.000000,0.000000,0.000000,events/second
1596598209,238,1.101747,0.000000,0.000000,0.000000,events/second
1596598212,238,1.086724,0.000000,0.000000,0.000000,events/second
1596598215,238,1.072007,0.000000,0.000000,0.000000,events/second
1596598218,238,1.057744,0.000000,0.000000,0.000000,events/second
1596598221,238,1.043813,0.000000,0.000000,0.000000,events/second
1596598224,238,1.030270,0.000000,0.000000,0.000000,events/second
1596598227,238,1.015960,0.000000,0.000000,0.000000,events/second
1596598230,238,1.004144,0.000000,0.000000,0.000000,events/second
1596598233,238,0.991223,0.000000,0.000000,0.000000,events/second
1596598236,238,0.979349,0.000000,0.000000,0.000000,events/second
1596598239,238,0.967440,0.000000,0.000000,0.000000,events/second
1596598242,238,0.955731,0.000000,0.000000,0.000000,events/second
1596598245,238,0.944318,0.000000,0.000000,0.000000,events/second
1596598248,238,0.933241,0.000000,0.000000,0.000000,events/second
1596598251,238,0.922310,0.000000,0.000000,0.000000,events/second
1596598254,238,0.911776,0.000000,0.000000,0.000000,events/second
1596598257,238,0.901381,0.000000,0.000000,0.000000,events/second
1596598260,238,0.891376,0.000000,0.000000,0.000000,events/second
1596598263,238,0.881313,0.000000,0.000000,0.000000,events/second
1596598266,238,0.871671,0.000000,0.000000,0.000000,events/second
1596598269,238,0.862286,0.000000,0.000000,0.000000,events/second
1596598272,238,0.852919,0.000000,0.000000,0.000000,events/second
1596598275,238,0.843906,0.000000,0.000000,0.000000,events/second
1596598278,238,0.835020,0.000000,0.000000,0.000000,events/second
1596598281,238,0.826249,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,128,30.569437,0.000000,0.000000,0.000000,events/second
1596598561,128,20.480277,0.000000,0.000000,0.000000,events/second
1596598564,128,14.016173,0.000000,0.000000,0.000000,events/second
1596598567,172,14.222373,0.000000,0.000000,0.000000,events/second
1596598570,172,11.275513,0.000000,0.000000,0.000000,events/second
1596598573,225,12.375148,0.000000,0.000000,0.000000,events/second
1596598576,225,10.660883,0.000000,0.000000,0.000000,events/second
1596598579,225,9.353017,0.000000,0.000000,0.000000,events/second
1596598582,225,8.324455,0.000000,0.000000,0.000000,events/second
1596598585,225,7.401819,0.000000,0.000000,0.000000,events/second
1596598588,225,6.809067,0.000000,0.000000,0.000000,events/second
1596598591,225,6.239349,0.000000,0.000000,0.000000,events/second
1596598594,225,5.762252,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,320,65.330871,0.000000,0.000000,0.000000,events/second
1596677245,320,51.523045,0.000000,0.000000,0.000000,events/second
1596677248,320,35.270146,0.000000,0.000000,0.000000,events/second
1596677251,320,26.450655,0.000000,0.000000,0.000000,events/second
1596677254,388,25.772130,0.000000,0.000000,0.000000,events/second
1596677257,388,21.402077,0.000000,0.000000,0.000000,events/second
1596677260,429,20.305991,0.000000,0.000000,0.000000,events/second
1596677263,429,17.873455,0.000000,0.000000,0.000000,events/second
1596677266,429,15.778619,0.000000,0.000000,0.000000,events/second
1596677269,429,14.113769,0.000000,0.000000,0.000000,events/second
1596677272,429,12.996873,0.000000,0.000000,0.000000,events/second
1596677275,429,11.902773,0.000000,0.000000,0.000000,events/second
1596677278,429,10.992779,0.000000,0.000000,0.000000,events/second
1596677281,429,10.208035,0.000000,0.000000,0.000000,events/second
1596677284,429,9.533409,0.000000,0.000000,0.000000,events/second
1596677287,429,8.939335,0.000000,0.000000,0.000000,events/second
1596677290,429,8.414004,0.000000,0.000000,0.000000,events/second
1596677293,429,7.941139,0.000000,0.000000,0.000000,events/second
1596677296,429,7.526970,0.000000,0.000000,0.000000,events/second
1596677299,429,7.147373,0.000000,0.000000,0.000000,events/second
1596677302,429,6.807384,0.000000,0.000000,0.000000,events/second
1596677305,429,6.498658,0.000000,0.000000,0.000000,events/second
1596677308,429,6.216471,0.000000,0.000000,0.000000,events/second
1596677311,429,5.955493,0.000000,0.000000,0.000000,events/second
1596677314,429,5.716592,0.000000,0.000000,0.000000,events/second
1596677317,429,5.499843,0.000000,0.000000,0.000000,events/second
1596677320,429,5.296357,0.000000,0.000000,0.000000,events/second
1596677323,429,5.106782,0.000000,0.000000,0.000000,events/second
1596677326,429,4.930283,0.000000,0.000000,0.000000,events/second
1596677329,429,4.767951,0.000000,0.000000,0.000000,events/second
1596677332,429,4.613755,0.000000,0.000000,0.000000,events/second
1596677335,429,4.468705,0.000000,0.000000,0.000000,events/second
1596677338,429,4.332662,0.000000,0.000000,0.000000,events/second
1596677341,429,4.205964,0.000000,0.000000,0.000000,events/second
1596677344,429,4.080554,0.000000,0.000000,0.000000,events/second
1596677347,429,3.972492,0.000000,0.000000,0.000000,events/second
1596677350,429,3.865383,0.000000,0.000000,0.000000,events/second
1596677353,429,3.763565,0.000000,0.000000,0.000000,events/second
1596677356,429,3.666282,0.000000,0.000000,0.000000,events/second
1596677359,429,3.573612,0.000000,0.000000,0.000000,events/second
1596677362,429,3.487691,0.000000,0.000000,0.000000,events/second
1596677365,429,3.403976,0.000000,0.000000,0.000000,events/second
1596677368,429,3.324073,0.000000,0.000000,0.000000,events/second
1596677371,429,3.249719,0.000000,0.000000,0.000000,events/second
1596677374,429,3.177682,0.000000,0.000000,0.000000,events/second
1596677377,429,3.107805,0.000000,0.000000,0.000000,events/second
1596677380,429,3.042636,0.000000,0.000000,0.000000,events/second
1596677383,429,2.979130,0.000000,0.000000,0.000000,events/second
1596677386,429,2.913111,0.000000,0.000000,0.000000,events/second
1596677389,429,2.858781,0.000000,0.000000,0.000000,events/second
1596677392,429,2.802889,0.000000,0.000000,0.000000,events/second
1596677395,429,2.747407,0.000000,0.000000,0.000000,events/second
1596677398,429,2.698174,0.000000,0.000000,0.000000,events/second
1596677401,429,2.643033,0.000000,0.000000,0.000000,events/second
1596677404,429,2.598160,0.000000,0.000000,0.000000,events/second
1596677407,429,2.553465,0.000000,0.000000,0.000000,events/second
1596677410,429,2.508815,0.000000,0.000000,0.000000,events/second
1596677413,429,2.465646,0.000000,0.000000,0.000000,events/second
1596677416,429,2.423748,0.000000,0.000000,0.000000,events/second
1596677419,429,2.383358,0.000000,0.000000,0.000000,events/second
1596677422,429,2.344383,0.000000,0.000000,0.000000,events/second
1596677425,429,2.306659,0.000000,0.000000,0.000000,events/second
1596677428,429,2.270109,0.000000,0.000000,0.000000,events/second
1596677431,429,2.233931,0.000000,0.000000,0.000000,events/second
1596677434,429,2.199007,0.000000,0.000000,0.000000,events/second
1596677437,429,2.166693,0.000000,0.000000,0.000000,events/second
1596677440,429,2.134411,0.000000,0.000000,0.000000,events/second
1596677443,429,2.101976,0.000000,0.000000,0.000000,events/second
1596677446,429,2.071286,0.000000,0.000000,0.000000,events/second
1596677449,429,2.043042,0.000000,0.000000,0.000000,events/second
1596677452,429,2.014175,0.000000,0.000000,0.000000,events/second
1596677455,429,1.986259,0.000000,0.000000,0.000000,events/second
1596677458,429,1.959092,0.000000,0.000000,0.000000,events/second
1596677461,429,1.932596,0.000000,0.000000,0.000000,events/second
1596677464,429,1.906018,0.000000,0.000000,0.000000,events/second
1596677467,463,2.030173,0.000000,0.000000,0.000000,events/second
1596677470,463,2.004503,0.000000,0.000000,0.000000,events/second
1596677473,463,1.978824,0.000000,0.000000,0.000000,events/second
1596677476,463,1.953605,0.000000,0.000000,0.000000,events/second
1596677479,463,1.929039,0.000000,0.000000,0.000000,events/second
1596677482,463,1.905413,0.000000,0.000000,0.000000,events/second
1596677485,463,1.882279,0.000000,0.000000,0.000000,events/second
