t,value
1596597996,1073741824
1596597999,1073741824
1596598002,1073741824
1596598005,1073741824
1596598008,1073741824
1596598011,1073741824
1596598014,1073741824
1596598017,1073741824
1596598020,1073741824
1596598023,1073741824
1596598026,1073741824
1596598029,1073741824
1596598032,1073741824
1596598035,1073741824
1596598038,1073741824
1596598041,1073741824
1596598044,1073741824
1596598047,1073741824
1596598050,1073741824
1596598053,1073741824
1596598056,1073741824
1596598059,1073741824
1596598062,1073741824
1596598065,1073741824
1596598068,1073741824
1596598071,1073741824
1596598074,1073741824
1596598077,1073741824
1596598080,1073741824
1596598083,1073741824
1596598086,1073741824
1596598089,1073741824
1596598092,1073741824
1596598095,1073741824
1596598098,1073741824
1596598101,1073741824
1596598104,1073741824
1596598107,1073741824
1596598110,1073741824
1596598113,1073741824
1596598116,1073741824
1596598119,1073741824
1596598122,1073741824
1596598125,1073741824
1596598128,1073741824
1596598131,1073741824
1596598134,1073741824
1596598137,1073741824
1596598140,1073741824
1596598143,1073741824
1596598146,1073741824
1596598149,1073741824
1596598152,1073741824
1596598155,1073741824
1596598158,1073741824
1596598161,1073741824
1596598164,1073741824
1596598167,1073741824
1596598170,1073741824
1596598173,1073741824
1596598176,1073741824
1596598179,1073741824
1596598182,1073741824
1596598185,1073741824
1596598188,1073741824
1596598191,1073741824
1596598194,1073741824
1596598197,1073741824
1596598200,1073741824
1596598203,1073741824
1596598206,1073741824
1596598209,1073741824
1596598212,1073741824
1596598215,1073741824
1596598218,1073741824
1596598221,1073741824
1596598224,1073741824
1596598227,1073741824
1596598230,1073741824
1596598233,1073741824
1596598236,1073741824
1596598239,1073741824
1596598242,1073741824
1596598245,1073741824
1596598248,1073741824
1596598251,1073741824
1596598254,1073741824
1596598257,1073741824
1596598260,1073741824
1596598263,1073741824
1596598266,1073741824
1596598269,1073741824
1596598272,1073741824
1596598275,1073741824
1596598278,1073741824
1596598281,1073741824
t,value
1596598558,1073741824
1596598561,1073741824
1596598564,1073741824
1596598567,1073741824
1596598570,1073741824
1596598573,1073741824
1596598576,1073741824
1596598579,1073741824
1596598582,1073741824
1596598585,1073741824
1596598588,1073741824
1596598591,1073741824
1596598594,1073741824
t,value
1596677242,1073741824
1596677245,1073741824
1596677248,1073741824
1596677251,1073741824
1596677254,1073741824
1596677257,1073741824
1596677260,1073741824
1596677263,1073741824
1596677266,1073741824
1596677269,1073741824
1596677272,1073741824
1596677275,1073741824
1596677278,1073741824
1596677281,1073741824
1596677284,1073741824
1596677287,1073741824
1596677290,1073741824
1596677293,1073741824
1596677296,1073741824
1596677299,1073741824
1596677302,1073741824
1596677305,1073741824
1596677308,1073741824
1596677311,1073741824
1596677314,1073741824
1596677317,1073741824
1596677320,1073741824
1596677323,1073741824
1596677326,1073741824
1596677329,1073741824
1596677332,1073741824
1596677335,1073741824
1596677338,1073741824
1596677341,1073741824
1596677344,1073741824
1596677347,1073741824
1596677350,1073741824
1596677353,1073741824
1596677356,1073741824
1596677359,1073741824
1596677362,1073741824
1596677365,1073741824
1596677368,1073741824
1596677371,1073741824
1596677374,1073741824
1596677377,1073741824
1596677380,1073741824
1596677383,1073741824
1596677386,1073741824
1596677389,1073741824
1596677392,1073741824
1596677395,1073741824
1596677398,1073741824
1596677401,1073741824
1596677404,1073741824
1596677407,1073741824
1596677410,1073741824
1596677413,1073741824
1596677416,1073741824
1596677419,1073741824
1596677422,1073741824
1596677425,1073741824
1596677428,1073741824
1596677431,1073741824
1596677434,1073741824
1596677437,1073741824
1596677440,1073741824
1596677443,1073741824
1596677446,1073741824
1596677449,1073741824
1596677452,1073741824
1596677455,1073741824
1596677458,1073741824
1596677461,1073741824
1596677464,1073741824
1596677467,1073741824
1596677470,1073741824
1596677473,1073741824
1596677476,1073741824
1596677479,1073741824
1596677482,1073741824
1596677485,1073741824
1596677488,1073741824
1596677491,1073741824
1596677494,1073741824
1596677497,1073741824
1596677500,1073741824
1596677503,1073741824
1596677506,1073741824
1596677509,1073741824
1596677512,1073741824
1596677515,1073741824
1596677518,1073741824
1596677521,1073741824
1596677524,1073741824
1596677527,1073741824
1596677530,1073741824
1596677533,1073741824
1596677536,1073741824
1596677539,1073741824
1596677542,1073741824
1596677545,1073741824
1596677548,1073741824
1596677551,1073741824
1596677554,1073741824
1596677557,1073741824
1596677560,1073741824
1596677563,1073741824
1596677566,1073741824
1596677569,1073741824
1596677572,1073741824
1596677575,1073741824
1596677578,1073741824
1596677581,1073741824
1596677584,1073741824
1596677587,1073741824
1596677590,1073741824
1596677593,1073741824
1596677596,1073741824
1596677599,1073741824
1596677602,1073741824
1596677605,1073741824
1596677608,1073741824
1596677611,1073741824
1596677614,1073741824
1596677617,1073741824
1596677620,1073741824
1596677623,1073741824
1596677626,1073741824
1596677629,1073741824
1596677632,1073741824
1596677635,1073741824
1596677638,1073741824
1596677641,1073741824
1596677644,1073741824
1596677647,1073741824
1596677650,1073741824
1596677653,1073741824
1596677656,1073741824
1596677659,1073741824
1596677662,1073741824
1596677665,1073741824
1596677668,1073741824
1596677671,1073741824
1596677674,1073741824
1596677677,1073741824
1596677680,1073741824
1596677683,1073741824
1596677686,1073741824
1596677689,1073741824
1596677692,1073741824
1596677695,1073741824
1596677698,1073741824
1596677701,1073741824
1596677704,1073741824
1596677707,1073741824
1596677710,1073741824
1596677713,1073741824
1596677716,1073741824
1596677719,1073741824
1596677722,1073741824
1596677725,1073741824
1596677728,1073741824
1596677731,1073741824
1596677734,1073741824
1596677737,1073741824
1596677740,1073741824
1596677743,1073741824
1596677746,1073741824
1596677749,1073741824
1596677752,1073741824
1596677755,1073741824
1596677758,1073741824
1596677761,1073741824
1596677764,1073741824
1596677767,1073741824
1596677770,1073741824
1596677773,1073741824
