t,value
1596597996,269495424
1596597999,69181736
1596598002,100639016
1596598005,155164968
1596598008,219128104
1596598011,297771304
1596598014,337617192
1596598017,337617192
1596598020,338665768
1596598023,339714344
1596598026,50077184
1596598029,51125760
1596598032,53222912
1596598035,54271488
1596598038,54271488
1596598041,55320064
1596598044,65805824
1596598047,66854400
1596598050,67902976
1596598053,78388736
1596598056,79437312
1596598059,80485888
1596598062,81534464
1596598065,82583040
1596598068,82583040
1596598071,83631616
1596598074,84680192
1596598077,84680192
1596598080,85728768
1596598083,86777344
1596598086,87825920
1596598089,88874496
1596598092,88874496
1596598095,89923072
1596598098,90971648
1596598101,92020224
1596598104,100408832
1596598107,101457408
1596598110,102505984
1596598113,109846016
1596598116,110894592
1596598119,110894592
1596598122,111943168
1596598125,112991744
1596598128,114040320
1596598131,115088896
1596598134,115088896
1596598137,116137472
1596598140,117186048
1596598143,118234624
1596598146,119283200
1596598149,119283200
1596598152,120331776
1596598155,121380352
1596598158,122428928
1596598161,122428928
1596598164,131866112
1596598167,132914688
1596598170,133963264
1596598173,141303296
1596598176,142351872
1596598179,143400448
1596598182,144449024
1596598185,144449024
1596598188,145497600
1596598191,146546176
1596598194,147594752
1596598197,147594752
1596598200,148643328
1596598203,149691904
1596598206,150740480
1596598209,150740480
1596598212,151789056
1596598215,152837632
1596598218,152837632
1596598221,153886208
1596598224,163323392
1596598227,164371968
1596598230,165420544
1596598233,172760576
1596598236,173809152
1596598239,173809152
1596598242,174857728
1596598245,175906304
1596598248,176954880
1596598251,176954880
1596598254,178003456
1596598257,179052032
1596598260,179052032
1596598263,180100608
1596598266,181149184
1596598269,182197760
1596598272,183246336
1596598275,183246336
1596598278,184294912
1596598281,187440640
t,value
1596598558,203961344
1596598561,236467200
1596598564,270021632
1596598567,72614400
1596598570,123994624
1596598573,57718784
1596598576,93370368
1596598579,115390464
1596598582,133216256
1596598585,163624960
1596598588,218150912
1596598591,220248064
1596598594,223393792
