t,value
1596597996,9974
1596597999,10016
1596598002,10239
1596598005,10294
1596598008,10473
1596598011,10473
1596598014,10555
1596598017,10555
1596598020,10555
1596598023,10555
1596598026,10555
1596598029,10555
1596598032,10555
1596598035,10555
1596598038,10555
1596598041,10555
1596598044,10555
1596598047,10555
1596598050,10555
1596598053,9932
1596598056,9932
1596598059,9932
1596598062,9932
1596598065,9932
1596598068,9932
1596598071,9932
1596598074,9932
1596598077,9932
1596598080,9932
1596598083,9932
1596598086,9932
1596598089,9932
1596598092,9932
1596598095,9932
1596598098,9932
1596598101,9932
1596598104,9932
1596598107,9932
1596598110,9932
1596598113,9932
1596598116,9932
1596598119,9932
1596598122,9932
1596598125,9932
1596598128,9932
1596598131,9932
1596598134,9932
1596598137,9932
1596598140,9932
1596598143,9932
1596598146,9932
1596598149,9932
1596598152,9932
1596598155,9932
1596598158,9932
1596598161,9932
1596598164,9932
1596598167,9932
1596598170,9932
1596598173,9932
1596598176,9932
1596598179,9932
1596598182,9932
1596598185,9932
1596598188,9932
1596598191,9932
1596598194,9932
1596598197,9932
1596598200,9932
1596598203,9932
1596598206,9932
1596598209,9932
1596598212,9932
1596598215,9932
1596598218,9932
1596598221,9932
1596598224,9932
1596598227,9932
1596598230,9932
1596598233,9932
1596598236,9932
1596598239,9932
1596598242,9932
1596598245,9932
1596598248,9932
1596598251,9932
1596598254,9932
1596598257,9932
1596598260,9932
1596598263,9932
1596598266,9932
1596598269,9932
1596598272,9932
1596598275,9932
1596598278,9932
1596598281,9932
t,value
1596598558,140426
1596598561,140468
1596598564,140746
1596598567,140746
1596598570,140925
1596598573,140925
1596598576,140942
1596598579,141007
1596598582,141007
1596598585,141926
1596598588,142822
1596598591,142822
1596598594,142822
