t,value
1596597996,10
1596597999,10
1596598002,11
1596598005,12
1596598008,12
1596598011,12
1596598014,12
1596598017,12
1596598020,12
1596598023,12
1596598026,12
1596598029,12
1596598032,12
1596598035,12
1596598038,12
1596598041,12
1596598044,12
1596598047,12
1596598050,12
1596598053,10
1596598056,10
1596598059,10
1596598062,10
1596598065,10
1596598068,10
1596598071,10
1596598074,10
1596598077,10
1596598080,10
1596598083,10
1596598086,10
1596598089,10
1596598092,10
1596598095,10
1596598098,10
1596598101,10
1596598104,10
1596598107,10
1596598110,10
1596598113,10
1596598116,10
1596598119,10
1596598122,10
1596598125,10
1596598128,10
1596598131,10
1596598134,10
1596598137,10
1596598140,10
1596598143,10
1596598146,10
1596598149,10
1596598152,10
1596598155,10
1596598158,10
1596598161,10
1596598164,10
1596598167,10
1596598170,10
1596598173,10
1596598176,10
1596598179,10
1596598182,10
1596598185,10
1596598188,10
1596598191,10
1596598194,10
1596598197,10
1596598200,10
1596598203,10
1596598206,10
1596598209,10
1596598212,10
1596598215,10
1596598218,10
1596598221,10
1596598224,10
1596598227,10
1596598230,10
1596598233,10
1596598236,10
1596598239,10
1596598242,10
1596598245,10
1596598248,10
1596598251,10
1596598254,10
1596598257,10
1596598260,10
1596598263,10
1596598266,10
1596598269,10
1596598272,10
1596598275,10
1596598278,10
1596598281,10
t,value
1596598558,9
1596598561,9
1596598564,11
1596598567,11
1596598570,11
1596598573,11
1596598576,11
1596598579,11
1596598582,11
1596598585,15
1596598588,15
1596598591,15
1596598594,15
