t,value
1596597996,9975
1596597999,10017
1596598002,10240
1596598005,10295
1596598008,10474
1596598011,10474
1596598014,10556
1596598017,10556
1596598020,10556
1596598023,10556
1596598026,10556
1596598029,10556
1596598032,10556
1596598035,10556
1596598038,10556
1596598041,10556
1596598044,10556
1596598047,10556
1596598050,10556
1596598053,9933
1596598056,9933
1596598059,9933
1596598062,9933
1596598065,9933
1596598068,9933
1596598071,9933
1596598074,9933
1596598077,9933
1596598080,9933
1596598083,9933
1596598086,9933
1596598089,9933
1596598092,9933
1596598095,9933
1596598098,9933
1596598101,9933
1596598104,9933
1596598107,9933
1596598110,9933
1596598113,9933
1596598116,9933
1596598119,9933
1596598122,9933
1596598125,9933
1596598128,9933
1596598131,9933
1596598134,9933
1596598137,9933
1596598140,9933
1596598143,9933
1596598146,9933
1596598149,9933
1596598152,9933
1596598155,9933
1596598158,9933
1596598161,9933
1596598164,9933
1596598167,9933
1596598170,9933
1596598173,9933
1596598176,9933
1596598179,9933
1596598182,9933
1596598185,9933
1596598188,9933
1596598191,9933
1596598194,9933
1596598197,9933
1596598200,9933
1596598203,9933
1596598206,9933
1596598209,9933
1596598212,9933
1596598215,9933
1596598218,9933
1596598221,9933
1596598224,9933
1596598227,9933
1596598230,9933
1596598233,9933
1596598236,9933
1596598239,9933
1596598242,9933
1596598245,9933
1596598248,9933
1596598251,9933
1596598254,9933
1596598257,9933
1596598260,9933
1596598263,9933
1596598266,9933
1596598269,9933
1596598272,9933
1596598275,9933
1596598278,9933
1596598281,9933
t,value
1596598558,140427
1596598561,140469
1596598564,140747
1596598567,140747
1596598570,140926
1596598573,140926
1596598576,140943
1596598579,141008
1596598582,141008
1596598585,141927
1596598588,142823
1596598591,142823
1596598594,142823
