t,value
1596597996,1429632
1596597999,1433472
1596598002,1444480
1596598005,1453184
1596598008,1454464
1596598011,1483264
1596598014,1495168
1596598017,1495168
1596598020,1495168
1596598023,1495168
1596598026,1495168
1596598029,1495168
1596598032,1495168
1596598035,1495168
1596598038,1495168
1596598041,1495168
1596598044,1495168
1596598047,1495168
1596598050,1495168
1596598053,1495168
1596598056,1495168
1596598059,1495168
1596598062,1495168
1596598065,1495168
1596598068,1495168
1596598071,1495168
1596598074,1495168
1596598077,1495168
1596598080,1495168
1596598083,1495168
1596598086,1495168
1596598089,1495168
1596598092,1495168
1596598095,1495168
1596598098,1495168
1596598101,1495168
1596598104,1495168
1596598107,1495168
1596598110,1495168
1596598113,1495168
1596598116,1495168
1596598119,1495168
1596598122,1495168
1596598125,1495168
1596598128,1495168
1596598131,1495168
1596598134,1495168
1596598137,1495168
1596598140,1495168
1596598143,1495168
1596598146,1495168
1596598149,1495168
1596598152,1495168
1596598155,1495168
1596598158,1495168
1596598161,1495168
1596598164,1495168
1596598167,1495168
1596598170,1495168
1596598173,1495168
1596598176,1495168
1596598179,1495168
1596598182,1495168
1596598185,1495168
1596598188,1495168
1596598191,1495168
1596598194,1495168
1596598197,1495168
1596598200,1495168
1596598203,1495168
1596598206,1495168
1596598209,1495168
1596598212,1495168
1596598215,1495168
1596598218,1495168
1596598221,1495168
1596598224,1495168
1596598227,1495168
1596598230,1495168
1596598233,1495168
1596598236,1495168
1596598239,1495168
1596598242,1495168
1596598245,1495168
1596598248,1495168
1596598251,1495168
1596598254,1495168
1596598257,1495168
1596598260,1495168
1596598263,1495168
1596598266,1495168
1596598269,1495168
1596598272,1495168
1596598275,1495168
1596598278,1495168
1596598281,1495168
t,value
1596598558,1423744
1596598561,1427584
1596598564,1441536
1596598567,1449984
1596598570,1452800
1596598573,1469312
1596598576,1506304
1596598579,1490688
1596598582,1495552
1596598585,1495552
1596598588,1503488
1596598591,1503488
1596598594,1503488
