t,value
1596597996,3860096
1596597999,4300928
1596598002,3830528
1596598005,4077952
1596598008,4556928
1596598011,4777856
1596598014,5364480
1596598017,5378432
1596598020,5383296
1596598023,5391232
1596598026,5401856
1596598029,5406336
1596598032,5449984
1596598035,5449984
1596598038,5453696
1596598041,5463680
1596598044,5489152
1596598047,5490560
1596598050,5491456
1596598053,5533824
1596598056,5632256
1596598059,5638144
1596598062,5652096
1596598065,5653632
1596598068,5678208
1596598071,5686400
1596598074,5697536
1596598077,5751424
1596598080,5768064
1596598083,5800448
1596598086,5802880
1596598089,5833344
1596598092,5843584
1596598095,5880064
1596598098,5880064
1596598101,5880064
1596598104,5907968
1596598107,5907968
1596598110,5908864
1596598113,5927040
1596598116,5927040
1596598119,5928064
1596598122,5930112
1596598125,5931008
1596598128,5931008
1596598131,5933312
1596598134,5938304
1596598137,5942400
1596598140,5943808
1596598143,5943808
1596598146,5944576
1596598149,5945600
1596598152,5945600
1596598155,5953664
1596598158,5953664
1596598161,5955200
1596598164,5972224
1596598167,5978368
1596598170,5979392
1596598173,6078336
1596598176,6078336
1596598179,6085120
1596598182,6085120
1596598185,6086912
1596598188,6088704
1596598191,6088704
1596598194,6090368
1596598197,6090368
1596598200,6091136
1596598203,6119680
1596598206,6126080
1596598209,6126976
1596598212,6127872
1596598215,6127872
1596598218,6127872
1596598221,6134144
1596598224,6139904
1596598227,6145792
1596598230,6145792
1596598233,6163328
1596598236,6186368
1596598239,6193792
1596598242,6203904
1596598245,6203904
1596598248,6203904
1596598251,6207360
1596598254,6207360
1596598257,6207360
1596598260,6207360
1596598263,6214528
1596598266,6215168
1596598269,6215168
1596598272,6216192
1596598275,6216192
1596598278,6216192
1596598281,6281984
t,value
1596598558,3748480
1596598561,4252416
1596598564,4281216
1596598567,4681728
1596598570,4888960
1596598573,5047296
1596598576,5356928
1596598579,5715968
1596598582,5883904
1596598585,5793920
1596598588,6570880
1596598591,6662400
1596598594,6747648
