t,value
1596597996,11716096
1596597999,13452160
1596598002,13028480
1596598005,13782400
1596598008,14256384
1596598011,14487296
1596598014,16691200
1596598017,16705408
1596598020,16719744
1596598023,16751104
1596598026,16778240
1596598029,16781952
1596598032,16806912
1596598035,16826624
1596598038,16850816
1596598041,16865408
1596598044,17061120
1596598047,17062912
1596598050,17079552
1596598053,17114880
1596598056,17140608
1596598059,17146112
1596598062,17147392
1596598065,17148928
1596598068,17150464
1596598071,17163648
1596598074,17166464
1596598077,17172096
1596598080,17224960
1596598083,17228928
1596598086,17230848
1596598089,17238528
1596598092,17252224
1596598095,17254912
1596598098,17256320
1596598101,17256320
1596598104,17305472
1596598107,17305472
1596598110,17305472
1596598113,17383168
1596598116,17389952
1596598119,17396864
1596598122,17417216
1596598125,17427328
1596598128,17436544
1596598131,17436544
1596598134,17438976
1596598137,17443456
1596598140,17443456
1596598143,17459968
1596598146,17460992
1596598149,17460992
1596598152,17470208
1596598155,17477120
1596598158,17477120
1596598161,17477120
1596598164,17502464
1596598167,17502464
1596598170,17502464
1596598173,17571456
1596598176,17573376
1596598179,17573376
1596598182,17593088
1596598185,17605120
1596598188,17633536
1596598191,17633536
1596598194,17636096
1596598197,17636096
1596598200,17636096
1596598203,17638400
1596598206,17638400
1596598209,17638400
1596598212,17638400
1596598215,17657728
1596598218,17657728
1596598221,17657728
1596598224,17676160
1596598227,17676160
1596598230,17676160
1596598233,17692928
1596598236,17692928
1596598239,17692928
1596598242,17708672
1596598245,17710080
1596598248,17714048
1596598251,17714048
1596598254,17739136
1596598257,17748352
1596598260,17748352
1596598263,17748352
1596598266,17753600
1596598269,17753600
1596598272,17756288
1596598275,17756288
1596598278,17757440
1596598281,18048640
t,value
1596598558,11479424
1596598561,13473920
1596598564,13593472
1596598567,14347392
1596598570,14707840
1596598573,14834560
1596598576,15805056
1596598579,17238400
1596598582,18186112
1596598585,19300736
1596598588,21928576
1596598591,22104832
1596598594,22299520
