t,value
1596597996,9651768
1596597999,9975440
1596598002,10454088
1596598005,11456320
1596598008,13078256
1596598011,14771624
1596598014,15645984
1596598017,15645984
1596598020,15645984
1596598023,15645984
1596598026,15645984
1596598029,15645984
1596598032,15645984
1596598035,15645984
1596598038,15645984
1596598041,15645984
1596598044,15650136
1596598047,15650136
1596598050,15650136
1596598053,15650136
1596598056,15650136
1596598059,15650136
1596598062,15650136
1596598065,15650136
1596598068,15650136
1596598071,15650136
1596598074,15650136
1596598077,15650136
1596598080,15650136
1596598083,15650136
1596598086,15650136
1596598089,15650136
1596598092,15650136
1596598095,15650136
1596598098,15650136
1596598101,15650136
1596598104,15650136
1596598107,15650136
1596598110,15650136
1596598113,15650136
1596598116,15650136
1596598119,15650136
1596598122,15650136
1596598125,15650136
1596598128,15650136
1596598131,15650136
1596598134,15650136
1596598137,15650136
1596598140,15650136
1596598143,15650136
1596598146,15650136
1596598149,15650136
1596598152,15650136
1596598155,15650136
1596598158,15650136
1596598161,15650136
1596598164,15650136
1596598167,15650136
1596598170,15650136
1596598173,15650136
1596598176,15650136
1596598179,15650136
1596598182,15650136
1596598185,15650136
1596598188,15650136
1596598191,15650136
1596598194,15650136
1596598197,15650136
1596598200,15650136
1596598203,15650136
1596598206,15650136
1596598209,15650136
1596598212,15650136
1596598215,15650136
1596598218,15650136
1596598221,15650136
1596598224,15650136
1596598227,15650136
1596598230,15650136
1596598233,15650136
1596598236,15650136
1596598239,15650136
1596598242,15650136
1596598245,15650136
1596598248,15650136
1596598251,15650136
1596598254,15650136
1596598257,15650136
1596598260,15650136
1596598263,15650136
1596598266,15650136
1596598269,15650136
1596598272,15650136
1596598275,15650136
1596598278,15650136
1596598281,15657720
t,value
1596598558,9447744
1596598561,9807096
1596598564,10395728
1596598567,11934192
1596598570,13198224
1596598573,14149624
1596598576,15123760
1596598579,15474688
1596598582,15683232
1596598585,15936416
1596598588,16677128
1596598591,16678232
1596598594,16679656
