t,value
1596597996,220200960
1596597999,26214400
1596598002,56623104
1596598005,111149056
1596598008,175112192
1596598011,254803968
1596598014,293601280
1596598017,293601280
1596598020,294649856
1596598023,295698432
1596598026,0
1596598029,1048576
1596598032,3145728
1596598035,4194304
1596598038,4194304
1596598041,5242880
1596598044,16777216
1596598047,16777216
1596598050,17825792
1596598053,28311552
1596598056,29360128
1596598059,30408704
1596598062,31457280
1596598065,32505856
1596598068,32505856
1596598071,33554432
1596598074,34603008
1596598077,34603008
1596598080,35651584
1596598083,36700160
1596598086,37748736
1596598089,38797312
1596598092,38797312
1596598095,39845888
1596598098,40894464
1596598101,41943040
1596598104,50331648
1596598107,51380224
1596598110,52428800
1596598113,59768832
1596598116,60817408
1596598119,61865984
1596598122,61865984
1596598125,62914560
1596598128,63963136
1596598131,65011712
1596598134,65011712
1596598137,66060288
1596598140,67108864
1596598143,68157440
1596598146,69206016
1596598149,69206016
1596598152,70254592
1596598155,71303168
1596598158,72351744
1596598161,72351744
1596598164,81788928
1596598167,82837504
1596598170,83886080
1596598173,91226112
1596598176,92274688
1596598179,93323264
1596598182,94371840
1596598185,94371840
1596598188,95420416
1596598191,96468992
1596598194,97517568
1596598197,97517568
1596598200,98566144
1596598203,99614720
1596598206,100663296
1596598209,100663296
1596598212,101711872
1596598215,102760448
1596598218,103809024
1596598221,103809024
1596598224,113246208
1596598227,114294784
1596598230,115343360
1596598233,122683392
1596598236,123731968
1596598239,123731968
1596598242,124780544
1596598245,125829120
1596598248,126877696
1596598251,126877696
1596598254,127926272
1596598257,128974848
1596598260,128974848
1596598263,130023424
1596598266,131072000
1596598269,132120576
1596598272,133169152
1596598275,133169152
1596598278,134217728
1596598281,137363456
t,value
1596598558,168820736
1596598561,199229440
1596598564,232783872
1596598567,6291456
1596598570,56623104
1596598573,8388608
1596598576,44040192
1596598579,67108864
1596598582,83886080
1596598585,115343360
1596598588,169869312
1596598591,170917888
1596598594,174063616
t,value
1596677242,62914560
1596677245,99614720
1596677248,127926272
1596677251,204472320
1596677254,17825792
1596677257,82837504
1596677260,31457280
1596677263,52428800
1596677266,70254592
1596677269,123731968
1596677272,155189248
1596677275,156237824
1596677278,157286400
1596677281,158334976
1596677284,159383552
1596677287,163577856
1596677290,164626432
1596677293,165675008
1596677296,165675008
1596677299,179306496
1596677302,189792256
1596677305,189792256
1596677308,193986560
1596677311,195035136
1596677314,196083712
1596677317,197132288
1596677320,199229440
1596677323,200278016
1596677326,204472320
1596677329,205520896
1596677332,206569472
1596677335,207618048
1596677338,208666624
1596677341,208666624
1596677344,209715200
1596677347,213909504
1596677350,213909504
1596677353,214958080
1596677356,216006656
1596677359,227540992
1596677362,235929600
1596677365,236978176
1596677368,241172480
1596677371,241172480
1596677374,242221056
1596677377,243269632
1596677380,244318208
1596677383,244318208
1596677386,247463936
1596677389,248512512
1596677392,248512512
1596677395,249561088
1596677398,250609664
1596677401,251658240
1596677404,251658240
1596677407,256901120
1596677410,256901120
1596677413,257949696
1596677416,258998272
1596677419,270532608
1596677422,279969792
1596677425,279969792
1596677428,284164096
1596677431,285212672
1596677434,285212672
1596677437,286261248
1596677440,287309824
1596677443,288358400
1596677446,290455552
1596677449,292552704
1596677452,293601280
1596677455,293601280
1596677458,294649856
1596677461,295698432
1596677464,296747008
1596677467,5242880
1596677470,8388608
1596677473,8388608
1596677476,9437184
1596677479,22020096
1596677482,31457280
1596677485,32505856
1596677488,36700160
1596677491,37748736
1596677494,37748736
1596677497,38797312
1596677500,39845888
1596677503,40894464
1596677506,44040192
1596677509,45088768
1596677512,45088768
1596677515,46137344
1596677518,47185920
1596677521,48234496
1596677524,48234496
1596677527,52428800
1596677530,53477376
1596677533,54525952
1596677536,54525952
1596677539,66060288
1596677542,75497472
1596677545,76546048
1596677548,79691776
1596677551,79691776
1596677554,80740352
1596677557,81788928
1596677560,81788928
1596677563,82837504
1596677566,85983232
1596677569,88080384
1596677572,88080384
1596677575,89128960
1596677578,90177536
1596677581,91226112
1596677584,91226112
1596677587,95420416
1596677590,96468992
1596677593,96468992
1596677596,97517568
1596677599,109051904
1596677602,118489088
1596677605,118489088
1596677608,121634816
1596677611,122683392
1596677614,123731968
1596677617,123731968
1596677620,124780544
1596677623,125829120
1596677626,127926272
1596677629,130023424
1596677632,131072000
1596677635,132120576
1596677638,132120576
1596677641,133169152
1596677644,134217728
1596677647,138412032
1596677650,138412032
1596677653,139460608
1596677656,140509184
1596677659,152043520
1596677662,161480704
1596677665,162529280
1596677668,166723584
1596677671,166723584
1596677674,168820736
1596677677,169869312
1596677680,170917888
1596677683,171966464
1596677686,174063616
1596677689,175112192
1596677692,176160768
1596677695,177209344
1596677698,178257920
1596677701,178257920
1596677704,179306496
1596677707,184549376
1596677710,184549376
1596677713,185597952
1596677716,186646528
1596677719,197132288
1596677722,206569472
1596677725,207618048
1596677728,211812352
1596677731,211812352
1596677734,212860928
1596677737,213909504
1596677740,214958080
1596677743,216006656
1596677746,219152384
1596677749,220200960
1596677752,221249536
1596677755,222298112
1596677758,222298112
1596677761,224395264
1596677764,224395264
1596677767,228589568
1596677770,229638144
1596677773,230686720
1596677776,231735296
1596677779,243269632
1596677782,252706816
1596677785,253755392
1596677788,256901120
1596677791,257949696
1596677794,258998272
1596677797,258998272
1596677800,260046848
1596677803,261095424
1596677806,263192576
1596677809,265289728
1596677812,266338304
1596677815,267386880
1596677818,267386880
1596677821,268435456
1596677824,269484032
1596677827,272629760
1596677830,272629760
1596677833,273678336
1596677836,275775488
1596677839,286261248
1596677842,295698432
1596677845,296747008
1596677848,2097152
1596677851,3145728
1596677854,3145728
1596677857,5242880
1596677860,5242880
1596677863,6291456
1596677866,7340032
1596677869,10485760
1596677872,11534336
1596677875,12582912
1596677878,12582912
1596677881,13631488
1596677884,14680064
1596677887,17825792
1596677890,27262976
1596677893,27262976
1596677896,28311552
1596677899,39845888
1596677902,50331648
1596677905,51380224
1596677908,54525952
1596677911,55574528
1596677914,56623104
1596677917,56623104
1596677920,57671680
1596677923,59768832
1596677926,63963136
1596677929,67108864
1596677932,68157440
1596677935,69206016
1596677938,70254592
1596677941,70254592
1596677944,71303168
1596677947,74448896
1596677950,75497472
1596677953,122683392
1596677956,126877696
1596677959,137363456
1596677962,146800640
1596677965,147849216
1596677968,150994944
1596677971,153092096
1596677974,155189248
1596677977,156237824
1596677980,157286400
1596677983,158334976
1596677986,159383552
1596677989,165675008
1596677992,167772160
1596677995,168820736
1596677998,169869312
1596678001,170917888
1596678004,170917888
1596678007,174063616
1596678010,175112192
1596678013,176160768
1596678016,176160768
1596678019,188743680
1596678022,199229440
1596678025,201326592
1596678028,205520896
1596678031,206569472
1596678034,208666624
1596678037,208666624
1596678040,209715200
1596678043,212860928
1596678046,213909504
1596678049,217055232
1596678052,218103808
1596678055,220200960
1596678058,221249536
1596678061,222298112
1596678064,223346688
1596678067,229638144
1596678070,230686720
1596678073,231735296
1596678076,232783872
1596678079,243269632
1596678082,252706816
1596678085,255852544
1596678088,257949696
1596678091,258998272
1596678094,260046848
1596678097,261095424
1596678100,261095424
1596678103,262144000
1596678106,263192576
1596678109,266338304
1596678112,270532608
1596678115,270532608
1596678118,271581184
1596678121,272629760
1596678124,273678336
1596678127,276824064
1596678130,277872640
1596678133,277872640
1596678136,278921216
1596678139,289406976
1596678142,298844160
1596678145,0
1596678148,5242880
1596678151,6291456
1596678154,7340032
1596678157,8388608
1596678160,8388608
1596678163,9437184
1596678166,10485760
1596678169,13631488
1596678172,14680064
1596678175,14680064
1596678178,15728640
1596678181,16777216
1596678184,16777216
1596678187,19922944
1596678190,22020096
1596678193,23068672
1596678196,24117248
1596678199,35651584
1596678202,45088768
1596678205,46137344
1596678208,48234496
1596678211,49283072
1596678214,50331648
1596678217,51380224
1596678220,52428800
1596678223,52428800
1596678226,53477376
1596678229,57671680
1596678232,58720256
1596678235,58720256
1596678238,59768832
1596678241,60817408
1596678244,60817408
1596678247,63963136
1596678250,65011712
1596678253,66060288
1596678256,67108864
1596678259,78643200
1596678262,87031808
1596678265,88080384
1596678268,92274688
1596678271,92274688
1596678274,93323264
1596678277,94371840
1596678280,94371840
1596678283,95420416
1596678286,96468992
1596678289,99614720
1596678292,100663296
1596678295,100663296
1596678298,101711872
1596678301,102760448
1596678304,103809024
1596678307,106954752
1596678310,108003328
1596678313,109051904
1596678316,109051904
1596678319,120586240
1596678322,130023424
1596678325,131072000
1596678328,135266304
1596678331,135266304
1596678334,136314880
1596678337,137363456
1596678340,138412032
1596678343,138412032
1596678346,139460608
1596678349,142606336
1596678352,143654912
1596678355,144703488
1596678358,145752064
1596678361,145752064
1596678364,146800640
1596678367,149946368
1596678370,150994944
1596678373,152043520
1596678376,153092096
1596678379,163577856
1596678382,173015040
1596678385,174063616
1596678388,177209344
1596678391,178257920
1596678394,179306496
1596678397,180355072
1596678400,180355072
1596678403,181403648
1596678406,182452224
1596678409,185597952
1596678412,186646528
1596678415,187695104
1596678418,187695104
1596678421,188743680
1596678424,189792256
1596678427,191889408
1596678430,192937984
1596678433,193986560
1596678436,195035136
1596678439,206569472
1596678442,216006656
1596678445,216006656
1596678448,220200960
1596678451,221249536
1596678454,221249536
1596678457,222298112
1596678460,223346688
1596678463,223346688
1596678466,224395264
1596678469,227540992
1596678472,228589568
1596678475,229638144
1596678478,230686720
1596678481,231735296
1596678484,231735296
1596678487,234881024
1596678490,235929600
1596678493,236978176
1596678496,238026752
1596678499,249561088
1596678502,257949696
1596678505,258998272
1596678508,263192576
1596678511,263192576
1596678514,264241152
1596678517,265289728
1596678520,266338304
1596678523,267386880
1596678526,267386880
1596678529,271581184
1596678532,271581184
1596678535,272629760
1596678538,273678336
1596678541,273678336
1596678544,274726912
1596678547,277872640
1596678550,287309824
1596678553,290455552
1596678556,291504128
1596678559,303038464
1596678562,8388608
1596678565,9437184
1596678568,13631488
1596678571,14680064
1596678574,15728640
1596678577,16777216
1596678580,17825792
1596678583,17825792
1596678586,18874368
1596678589,22020096
1596678592,22020096
1596678595,23068672
1596678598,24117248
1596678601,25165824
1596678604,25165824
1596678607,29360128
1596678610,30408704
1596678613,31457280
1596678616,31457280
1596678619,42991616
1596678622,52428800
1596678625,53477376
1596678628,56623104
1596678631,57671680
1596678634,57671680
1596678637,58720256
1596678640,59768832
1596678643,59768832
1596678646,60817408
1596678649,65011712
1596678652,66060288
1596678655,66060288
1596678658,67108864
1596678661,68157440
1596678664,69206016
1596678667,71303168
1596678670,73400320
1596678673,77594624
1596678676,78643200
1596678679,90177536
1596678682,99614720
1596678685,100663296
1596678688,103809024
1596678691,104857600
1596678694,105906176
1596678697,105906176
1596678700,106954752
1596678703,108003328
1596678706,108003328
1596678709,111149056
1596678712,112197632
1596678715,113246208
1596678718,114294784
1596678721,114294784
1596678724,115343360
1596678727,118489088
1596678730,120586240
1596678733,120586240
1596678736,121634816
1596678739,132120576
1596678742,142606336
1596678745,143654912
1596678748,146800640
1596678751,147849216
1596678754,147849216
1596678757,148897792
1596678760,149946368
1596678763,149946368
1596678766,155189248
1596678769,159383552
1596678772,159383552
1596678775,160432128
1596678778,161480704
1596678781,161480704
1596678784,163577856
1596678787,165675008
1596678790,169869312
1596678793,173015040
1596678796,175112192
1596678799,186646528
1596678802,196083712
1596678805,197132288
1596678808,200278016
1596678811,201326592
1596678814,202375168
1596678817,202375168
1596678820,203423744
1596678823,205520896
1596678826,206569472
1596678829,209715200
