t,value
1596597996,36711552
1596597999,18850088
1596598002,18850088
1596598005,18850088
1596598008,18850088
1596598011,18850088
1596598014,18850088
1596598017,18850088
1596598020,18850088
1596598023,18850088
1596598026,27008512
1596598029,27008512
1596598032,27008512
1596598035,27008512
1596598038,27008512
1596598041,27008512
1596598044,27008512
1596598047,27008512
1596598050,27008512
1596598053,27008512
1596598056,27008512
1596598059,27008512
1596598062,27008512
1596598065,27008512
1596598068,27008512
1596598071,27008512
1596598074,27008512
1596598077,27008512
1596598080,27008512
1596598083,27008512
1596598086,27008512
1596598089,27008512
1596598092,27008512
1596598095,27008512
1596598098,27008512
1596598101,27008512
1596598104,27008512
1596598107,27008512
1596598110,27008512
1596598113,27008512
1596598116,27008512
1596598119,27008512
1596598122,27008512
1596598125,27008512
1596598128,27008512
1596598131,27008512
1596598134,27008512
1596598137,27008512
1596598140,27008512
1596598143,27008512
1596598146,27008512
1596598149,27008512
1596598152,27008512
1596598155,27008512
1596598158,27008512
1596598161,27008512
1596598164,27008512
1596598167,27008512
1596598170,27008512
1596598173,27008512
1596598176,27008512
1596598179,27008512
1596598182,27008512
1596598185,27008512
1596598188,27008512
1596598191,27008512
1596598194,27008512
1596598197,27008512
1596598200,27008512
1596598203,27008512
1596598206,27008512
1596598209,27008512
1596598212,27008512
1596598215,27008512
1596598218,27008512
1596598221,27008512
1596598224,27008512
1596598227,27008512
1596598230,27008512
1596598233,27008512
1596598236,27008512
1596598239,27008512
1596598242,27008512
1596598245,27008512
1596598248,27008512
1596598251,27008512
1596598254,27008512
1596598257,27008512
1596598260,27008512
1596598263,27008512
1596598266,27008512
1596598269,27008512
1596598272,27008512
1596598275,27008512
1596598278,27008512
1596598281,27008512
t,value
1596598558,20460544
1596598561,20460544
1596598564,20460544
1596598567,26477056
1596598570,26477056
1596598573,46184448
1596598576,46184448
1596598579,46184448
1596598582,46184448
1596598585,46184448
1596598588,46184448
1596598591,46184448
1596598594,46184448
