t,value
1596597996,14680064
1596597999,25165824
1596598002,25165824
1596598005,25165824
1596598008,25165824
1596598011,25165824
1596598014,25165824
1596598017,25165824
1596598020,25165824
1596598023,25165824
1596598026,23068672
1596598029,23068672
1596598032,23068672
1596598035,23068672
1596598038,23068672
1596598041,23068672
1596598044,23068672
1596598047,23068672
1596598050,23068672
1596598053,23068672
1596598056,23068672
1596598059,23068672
1596598062,23068672
1596598065,23068672
1596598068,23068672
1596598071,23068672
1596598074,23068672
1596598077,23068672
1596598080,23068672
1596598083,23068672
1596598086,23068672
1596598089,23068672
1596598092,23068672
1596598095,23068672
1596598098,23068672
1596598101,23068672
1596598104,23068672
1596598107,23068672
1596598110,23068672
1596598113,23068672
1596598116,23068672
1596598119,23068672
1596598122,23068672
1596598125,23068672
1596598128,23068672
1596598131,23068672
1596598134,23068672
1596598137,23068672
1596598140,23068672
1596598143,23068672
1596598146,23068672
1596598149,23068672
1596598152,23068672
1596598155,23068672
1596598158,23068672
1596598161,23068672
1596598164,23068672
1596598167,23068672
1596598170,23068672
1596598173,23068672
1596598176,23068672
1596598179,23068672
1596598182,23068672
1596598185,23068672
1596598188,23068672
1596598191,23068672
1596598194,23068672
1596598197,23068672
1596598200,23068672
1596598203,23068672
1596598206,23068672
1596598209,23068672
1596598212,23068672
1596598215,23068672
1596598218,23068672
1596598221,23068672
1596598224,23068672
1596598227,23068672
1596598230,23068672
1596598233,23068672
1596598236,23068672
1596598239,23068672
1596598242,23068672
1596598245,23068672
1596598248,23068672
1596598251,23068672
1596598254,23068672
1596598257,23068672
1596598260,23068672
1596598263,23068672
1596598266,23068672
1596598269,23068672
1596598272,23068672
1596598275,23068672
1596598278,23068672
1596598281,23068672
t,value
1596598558,16777216
1596598561,16777216
1596598564,16777216
1596598567,40894464
1596598570,40894464
1596598573,3145728
1596598576,3145728
1596598579,3145728
1596598582,3145728
1596598585,3145728
1596598588,3145728
1596598591,3145728
1596598594,3145728
