t,value
1596597996,0
1596597999,0
1596598002,0
1596598005,0
1596598008,0
1596598011,0
1596598014,0
1596598017,0
1596598020,0
1596598023,0
1596598026,0
1596598029,0
1596598032,0
1596598035,0
1596598038,0
1596598041,0
1596598044,0
1596598047,0
1596598050,0
1596598053,0
1596598056,0
1596598059,0
1596598062,0
1596598065,0
1596598068,0
1596598071,0
1596598074,0
1596598077,0
1596598080,0
1596598083,0
1596598086,0
1596598089,0
1596598092,0
1596598095,0
1596598098,0
1596598101,0
1596598104,0
1596598107,0
1596598110,0
1596598113,0
1596598116,0
1596598119,0
1596598122,0
1596598125,0
1596598128,0
1596598131,0
1596598134,0
1596598137,0
1596598140,0
1596598143,0
1596598146,0
1596598149,0
1596598152,0
1596598155,0
1596598158,0
1596598161,0
1596598164,0
1596598167,0
1596598170,0
1596598173,0
1596598176,0
1596598179,0
1596598182,0
1596598185,0
1596598188,0
1596598191,0
1596598194,0
1596598197,0
1596598200,0
1596598203,0
1596598206,0
1596598209,0
1596598212,0
1596598215,0
1596598218,0
1596598221,0
1596598224,0
1596598227,0
1596598230,0
1596598233,0
1596598236,0
1596598239,0
1596598242,0
1596598245,0
1596598248,0
1596598251,0
1596598254,0
1596598257,0
1596598260,0
1596598263,0
1596598266,0
1596598269,0
1596598272,0
1596598275,0
1596598278,0
1596598281,0
t,value
1596598558,0
1596598561,0
1596598564,0
1596598567,0
1596598570,0
1596598573,0
1596598576,0
1596598579,0
1596598582,0
1596598585,0
1596598588,0
1596598591,0
1596598594,0
t,value
1596677242,0
1596677245,0
1596677248,0
1596677251,0
1596677254,123
1596677257,123
1596677260,123
1596677263,352
1596677266,352
1596677269,565
1596677272,565
1596677275,565
1596677278,565
1596677281,565
1596677284,565
1596677287,565
1596677290,565
1596677293,565
1596677296,565
1596677299,565
1596677302,565
1596677305,565
1596677308,565
1596677311,565
1596677314,565
1596677317,565
1596677320,565
1596677323,565
1596677326,565
1596677329,565
1596677332,565
1596677335,565
1596677338,565
1596677341,565
1596677344,565
1596677347,565
1596677350,565
1596677353,565
1596677356,565
1596677359,565
1596677362,565
1596677365,565
1596677368,692
1596677371,692
1596677374,692
1596677377,692
1596677380,692
1596677383,692
1596677386,692
1596677389,692
1596677392,692
1596677395,692
1596677398,692
1596677401,692
1596677404,692
1596677407,692
1596677410,692
1596677413,692
1596677416,692
1596677419,692
1596677422,692
1596677425,692
1596677428,692
1596677431,692
1596677434,692
1596677437,692
1596677440,692
1596677443,692
1596677446,692
1596677449,692
1596677452,692
1596677455,692
1596677458,692
1596677461,692
1596677464,692
1596677467,793
1596677470,793
1596677473,793
1596677476,793
1596677479,793
1596677482,793
1596677485,793
1596677488,906
1596677491,906
1596677494,906
1596677497,906
1596677500,906
1596677503,906
1596677506,906
1596677509,906
1596677512,906
1596677515,906
1596677518,906
1596677521,906
1596677524,906
1596677527,906
1596677530,906
1596677533,906
1596677536,906
1596677539,906
1596677542,906
1596677545,906
1596677548,906
1596677551,906
1596677554,906
1596677557,906
1596677560,906
1596677563,906
1596677566,906
1596677569,906
1596677572,906
1596677575,906
1596677578,906
1596677581,906
1596677584,906
1596677587,906
1596677590,906
1596677593,906
1596677596,906
1596677599,906
1596677602,906
1596677605,906
1596677608,906
1596677611,906
1596677614,906
1596677617,906
1596677620,906
1596677623,906
1596677626,906
1596677629,906
1596677632,906
1596677635,906
1596677638,906
1596677641,906
1596677644,906
1596677647,906
1596677650,906
1596677653,906
1596677656,906
1596677659,906
1596677662,906
1596677665,906
1596677668,906
1596677671,906
1596677674,906
1596677677,906
1596677680,906
1596677683,906
1596677686,906
1596677689,906
1596677692,906
1596677695,906
1596677698,906
1596677701,906
1596677704,906
1596677707,906
1596677710,906
1596677713,906
1596677716,906
1596677719,906
1596677722,906
1596677725,906
1596677728,906
1596677731,906
1596677734,906
1596677737,906
1596677740,906
1596677743,906
1596677746,906
1596677749,906
1596677752,906
1596677755,906
1596677758,906
1596677761,906
1596677764,906
1596677767,906
1596677770,906
1596677773,906
1596677776,906
1596677779,906
1596677782,906
1596677785,906
1596677788,906
1596677791,906
1596677794,906
1596677797,906
1596677800,906
1596677803,906
1596677806,906
1596677809,906
1596677812,906
1596677815,906
1596677818,906
1596677821,906
1596677824,906
1596677827,906
1596677830,906
1596677833,906
1596677836,906
1596677839,906
1596677842,906
1596677845,906
1596677848,906
1596677851,906
1596677854,906
1596677857,906
1596677860,906
1596677863,906
1596677866,906
1596677869,906
1596677872,906
1596677875,906
1596677878,906
1596677881,906
1596677884,906
1596677887,906
1596677890,906
1596677893,906
1596677896,906
1596677899,906
1596677902,906
1596677905,906
1596677908,906
1596677911,906
1596677914,906
1596677917,906
1596677920,906
1596677923,906
1596677926,906
1596677929,906
1596677932,906
1596677935,906
1596677938,906
1596677941,906
1596677944,906
1596677947,906
1596677950,906
1596677953,906
1596677956,906
1596677959,906
1596677962,906
1596677965,906
1596677968,906
1596677971,906
1596677974,906
1596677977,906
1596677980,906
1596677983,906
