t,value
1596597996,44
1596597999,44
1596598002,47
1596598005,51
1596598008,51
1596598011,51
1596598014,51
1596598017,51
1596598020,51
1596598023,51
1596598026,51
1596598029,51
1596598032,51
1596598035,51
1596598038,51
1596598041,51
1596598044,52
1596598047,52
1596598050,52
1596598053,49
1596598056,49
1596598059,49
1596598062,47
1596598065,47
1596598068,47
1596598071,47
1596598074,47
1596598077,47
1596598080,47
1596598083,47
1596598086,47
1596598089,47
1596598092,47
1596598095,47
1596598098,47
1596598101,47
1596598104,46
1596598107,46
1596598110,46
1596598113,46
1596598116,46
1596598119,46
1596598122,46
1596598125,46
1596598128,46
1596598131,46
1596598134,46
1596598137,46
1596598140,46
1596598143,46
1596598146,46
1596598149,46
1596598152,46
1596598155,46
1596598158,46
1596598161,46
1596598164,46
1596598167,46
1596598170,46
1596598173,46
1596598176,46
1596598179,46
1596598182,46
1596598185,46
1596598188,46
1596598191,46
1596598194,46
1596598197,46
1596598200,46
1596598203,46
1596598206,46
1596598209,46
1596598212,46
1596598215,46
1596598218,46
1596598221,46
1596598224,46
1596598227,46
1596598230,46
1596598233,46
1596598236,46
1596598239,46
1596598242,46
1596598245,46
1596598248,46
1596598251,46
1596598254,46
1596598257,46
1596598260,46
1596598263,46
1596598266,46
1596598269,46
1596598272,46
1596598275,46
1596598278,46
1596598281,47
t,value
1596598558,41
1596598561,41
1596598564,46
1596598567,46
1596598570,46
1596598573,46
1596598576,46
1596598579,47
1596598582,49
1596598585,55
1596598588,55
1596598591,55
1596598594,55
