t,value
1596597996,50
1596597999,50
1596598002,53
1596598005,57
1596598008,57
1596598011,57
1596598014,57
1596598017,57
1596598020,57
1596598023,57
1596598026,57
1596598029,57
1596598032,57
1596598035,57
1596598038,57
1596598041,57
1596598044,58
1596598047,58
1596598050,58
1596598053,55
1596598056,55
1596598059,55
1596598062,53
1596598065,53
1596598068,53
1596598071,53
1596598074,53
1596598077,53
1596598080,53
1596598083,53
1596598086,53
1596598089,53
1596598092,53
1596598095,53
1596598098,53
1596598101,53
1596598104,52
1596598107,52
1596598110,52
1596598113,52
1596598116,52
1596598119,52
1596598122,52
1596598125,52
1596598128,52
1596598131,52
1596598134,52
1596598137,52
1596598140,52
1596598143,52
1596598146,52
1596598149,52
1596598152,52
1596598155,52
1596598158,52
1596598161,52
1596598164,52
1596598167,52
1596598170,52
1596598173,52
1596598176,52
1596598179,52
1596598182,52
1596598185,52
1596598188,52
1596598191,52
1596598194,52
1596598197,52
1596598200,52
1596598203,52
1596598206,52
1596598209,52
1596598212,52
1596598215,52
1596598218,52
1596598221,52
1596598224,52
1596598227,52
1596598230,52
1596598233,52
1596598236,52
1596598239,52
1596598242,52
1596598245,52
1596598248,52
1596598251,52
1596598254,52
1596598257,52
1596598260,52
1596598263,52
1596598266,52
1596598269,52
1596598272,52
1596598275,52
1596598278,52
1596598281,53
t,value
1596598558,47
1596598561,47
1596598564,52
1596598567,52
1596598570,52
1596598573,52
1596598576,52
1596598579,53
1596598582,55
1596598585,61
1596598588,61
1596598591,61
1596598594,61
t,value
1596677242,46
1596677245,48
1596677248,52
1596677251,51
1596677254,52
1596677257,52
1596677260,52
1596677263,52
1596677266,56
1596677269,60
1596677272,60
1596677275,60
1596677278,60
1596677281,60
1596677284,60
1596677287,60
1596677290,60
1596677293,60
1596677296,60
1596677299,59
1596677302,59
1596677305,59
1596677308,59
1596677311,59
1596677314,59
1596677317,59
1596677320,59
1596677323,59
1596677326,59
1596677329,59
1596677332,59
1596677335,59
1596677338,59
1596677341,59
1596677344,59
1596677347,59
1596677350,59
1596677353,59
1596677356,59
1596677359,58
1596677362,58
1596677365,58
1596677368,58
1596677371,58
1596677374,58
1596677377,58
1596677380,58
1596677383,58
1596677386,58
1596677389,58
1596677392,58
1596677395,58
1596677398,58
1596677401,58
1596677404,58
1596677407,58
1596677410,58
1596677413,58
1596677416,58
1596677419,58
1596677422,58
1596677425,58
1596677428,58
1596677431,58
1596677434,58
1596677437,58
1596677440,58
1596677443,58
1596677446,58
1596677449,58
1596677452,58
1596677455,58
1596677458,58
1596677461,58
1596677464,58
1596677467,58
1596677470,58
1596677473,58
1596677476,58
1596677479,58
1596677482,58
1596677485,58
1596677488,58
1596677491,58
1596677494,58
1596677497,58
1596677500,58
1596677503,58
1596677506,58
1596677509,58
1596677512,58
1596677515,58
1596677518,58
1596677521,58
1596677524,58
1596677527,58
1596677530,58
1596677533,58
1596677536,58
1596677539,58
1596677542,58
1596677545,58
1596677548,58
1596677551,58
1596677554,58
1596677557,58
1596677560,58
1596677563,58
1596677566,58
1596677569,58
1596677572,58
1596677575,58
1596677578,58
1596677581,58
1596677584,58
1596677587,58
1596677590,58
1596677593,58
1596677596,58
1596677599,58
1596677602,58
1596677605,58
1596677608,58
1596677611,58
1596677614,58
1596677617,58
1596677620,58
1596677623,58
1596677626,58
1596677629,58
1596677632,58
1596677635,58
1596677638,58
1596677641,58
1596677644,58
1596677647,58
1596677650,58
1596677653,58
1596677656,58
1596677659,58
1596677662,58
1596677665,58
1596677668,58
1596677671,58
1596677674,58
1596677677,58
1596677680,58
1596677683,58
1596677686,58
1596677689,58
1596677692,58
1596677695,58
1596677698,58
1596677701,58
1596677704,58
1596677707,58
1596677710,58
1596677713,58
1596677716,58
1596677719,58
1596677722,58
1596677725,58
1596677728,58
1596677731,58
1596677734,58
1596677737,58
1596677740,58
1596677743,58
1596677746,58
1596677749,58
1596677752,58
1596677755,58
1596677758,58
1596677761,58
1596677764,58
1596677767,58
1596677770,58
1596677773,58
1596677776,58
1596677779,58
1596677782,58
1596677785,58
1596677788,58
1596677791,58
1596677794,58
1596677797,58
1596677800,58
1596677803,58
1596677806,58
1596677809,58
1596677812,58
1596677815,58
1596677818,58
1596677821,58
1596677824,58
1596677827,58
1596677830,58
1596677833,58
1596677836,58
1596677839,58
1596677842,58
1596677845,58
1596677848,58
1596677851,58
1596677854,58
1596677857,58
1596677860,58
1596677863,58
1596677866,58
1596677869,58
1596677872,58
1596677875,58
1596677878,58
1596677881,58
1596677884,58
1596677887,58
1596677890,58
1596677893,58
1596677896,58
1596677899,58
1596677902,58
1596677905,58
1596677908,58
1596677911,58
1596677914,58
1596677917,58
1596677920,58
1596677923,58
1596677926,58
1596677929,58
1596677932,58
1596677935,58
1596677938,58
1596677941,57
1596677944,57
1596677947,57
1596677950,57
1596677953,57
1596677956,57
1596677959,57
1596677962,57
1596677965,57
1596677968,57
1596677971,57
1596677974,57
1596677977,57
1596677980,57
1596677983,57
1596677986,57
1596677989,57
1596677992,57
1596677995,57
1596677998,57
1596678001,57
1596678004,57
1596678007,57
1596678010,57
1596678013,57
1596678016,57
1596678019,57
1596678022,57
1596678025,57
1596678028,57
1596678031,57
1596678034,57
1596678037,57
1596678040,57
1596678043,57
1596678046,57
1596678049,57
1596678052,57
1596678055,57
1596678058,57
1596678061,57
1596678064,57
1596678067,57
1596678070,57
1596678073,57
1596678076,57
1596678079,57
1596678082,57
1596678085,58
1596678088,58
1596678091,58
1596678094,58
1596678097,58
1596678100,58
1596678103,58
1596678106,58
1596678109,58
1596678112,58
1596678115,58
1596678118,58
1596678121,58
1596678124,58
1596678127,58
1596678130,58
1596678133,58
1596678136,58
1596678139,58
1596678142,58
1596678145,58
1596678148,58
1596678151,58
1596678154,58
1596678157,58
1596678160,58
1596678163,58
1596678166,58
1596678169,58
1596678172,58
1596678175,58
1596678178,57
1596678181,57
1596678184,57
1596678187,57
1596678190,57
1596678193,57
1596678196,57
1596678199,57
1596678202,57
1596678205,57
1596678208,57
1596678211,57
1596678214,57
1596678217,58
1596678220,58
1596678223,58
1596678226,58
1596678229,58
1596678232,58
1596678235,58
1596678238,58
1596678241,58
1596678244,58
1596678247,58
1596678250,58
1596678253,58
1596678256,58
1596678259,58
1596678262,58
1596678265,58
1596678268,58
1596678271,58
1596678274,58
1596678277,58
1596678280,58
1596678283,58
1596678286,58
1596678289,58
1596678292,58
1596678295,58
1596678298,58
1596678301,58
1596678304,58
1596678307,58
1596678310,58
1596678313,58
1596678316,58
1596678319,58
1596678322,58
1596678325,58
1596678328,58
1596678331,58
1596678334,58
1596678337,58
1596678340,58
1596678343,58
1596678346,58
1596678349,58
1596678352,58
1596678355,58
1596678358,58
1596678361,58
1596678364,58
1596678367,58
1596678370,58
1596678373,58
1596678376,58
1596678379,58
1596678382,58
1596678385,58
1596678388,58
1596678391,58
1596678394,58
1596678397,58
1596678400,58
1596678403,58
1596678406,58
1596678409,58
1596678412,58
1596678415,58
1596678418,58
1596678421,58
1596678424,58
1596678427,58
1596678430,58
1596678433,58
1596678436,58
1596678439,58
1596678442,58
1596678445,58
1596678448,58
1596678451,58
1596678454,58
1596678457,58
1596678460,58
1596678463,58
1596678466,58
1596678469,58
1596678472,58
1596678475,58
1596678478,58
1596678481,58
1596678484,58
1596678487,57
1596678490,57
1596678493,57
1596678496,57
1596678499,57
1596678502,57
1596678505,57
1596678508,57
1596678511,57
1596678514,57
1596678517,57
1596678520,57
1596678523,57
1596678526,57
1596678529,57
1596678532,57
1596678535,57
1596678538,57
1596678541,57
1596678544,57
1596678547,57
1596678550,57
1596678553,57
1596678556,57
1596678559,57
1596678562,57
1596678565,57
1596678568,57
1596678571,57
1596678574,57
1596678577,57
1596678580,57
1596678583,57
1596678586,57
1596678589,57
1596678592,57
1596678595,58
1596678598,58
1596678601,58
1596678604,58
1596678607,58
1596678610,58
1596678613,58
1596678616,58
1596678619,58
1596678622,58
1596678625,58
1596678628,58
1596678631,58
1596678634,58
1596678637,58
1596678640,58
1596678643,58
1596678646,58
1596678649,58
1596678652,58
1596678655,57
1596678658,57
1596678661,57
1596678664,57
1596678667,57
1596678670,57
1596678673,57
1596678676,57
1596678679,57
1596678682,57
1596678685,57
1596678688,57
1596678691,57
1596678694,57
1596678697,57
1596678700,57
1596678703,57
1596678706,57
1596678709,57
1596678712,57
1596678715,57
1596678718,57
1596678721,57
1596678724,57
1596678727,57
1596678730,57
1596678733,57
1596678736,57
1596678739,57
1596678742,57
1596678745,57
1596678748,57
1596678751,57
1596678754,57
1596678757,57
1596678760,57
1596678763,57
1596678766,57
1596678769,57
1596678772,57
1596678775,57
1596678778,57
1596678781,57
1596678784,57
1596678787,57
1596678790,58
1596678793,58
1596678796,58
1596678799,58
1596678802,58
1596678805,58
1596678808,58
1596678811,58
1596678814,58
1596678817,58
1596678820,58
1596678823,58
1596678826,58
1596678829,58
1596678832,58
1596678835,58
1596678838,58
1596678841,58
1596678844,58
1596678847,58
1596678850,57
1596678853,57
1596678856,57
1596678859,57
1596678862,57
1596678865,57
1596678868,57
1596678871,57
1596678874,57
1596678877,57
