t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,114,18.758944,0.000000,0.000000,0.000000,events/second
1594603262,116,12.825286,0.000000,0.000000,0.000000,events/second
1594603265,116,9.650659,0.000000,0.000000,0.000000,events/second
1594603268,8487,559.675087,0.000000,0.000000,0.000000,events/second
1594603271,9193,506.610024,0.000000,0.000000,0.000000,events/second
1594603274,9193,436.754082,0.000000,0.000000,0.000000,events/second
1594603277,16222,675.102111,0.000000,0.000000,0.000000,events/second
1594603280,16222,598.511508,0.000000,0.000000,0.000000,events/second
1594603283,16222,540.251825,0.000000,0.000000,0.000000,events/second
1594603286,16222,491.125925,0.000000,0.000000,0.000000,events/second
1594603289,16222,420.994856,0.000000,0.000000,0.000000,events/second
1594603292,16222,413.652337,0.000000,0.000000,0.000000,events/second
1594603295,16222,385.454760,0.000000,0.000000,0.000000,events/second
1594603298,16222,360.660379,0.000000,0.000000,0.000000,events/second
1594603301,16222,337.945413,0.000000,0.000000,0.000000,events/second
1594603304,16222,317.881569,0.000000,0.000000,0.000000,events/second
1594603307,16222,300.441776,0.000000,0.000000,0.000000,events/second
1594603310,16222,284.638569,0.000000,0.000000,0.000000,events/second
1594603313,16222,269.319430,0.000000,0.000000,0.000000,events/second
1594603316,16222,257.495807,0.000000,0.000000,0.000000,events/second
1594603319,16222,245.796310,0.000000,0.000000,0.000000,events/second
1594603322,16222,235.222463,0.000000,0.000000,0.000000,events/second
1594603325,16222,225.418507,0.000000,0.000000,0.000000,events/second
1594603328,16222,216.397589,0.000000,0.000000,0.000000,events/second
1594603331,16222,208.007753,0.000000,0.000000,0.000000,events/second
1594603334,16222,200.335437,0.000000,0.000000,0.000000,events/second
1594603337,16222,193.142269,0.000000,0.000000,0.000000,events/second
1594603340,16222,186.524562,0.000000,0.000000,0.000000,events/second
1594603343,16222,180.321908,0.000000,0.000000,0.000000,events/second
1594603346,16222,174.504015,0.000000,0.000000,0.000000,events/second
1594603349,16222,169.051161,0.000000,0.000000,0.000000,events/second
1594603352,16222,163.914937,0.000000,0.000000,0.000000,events/second
1594603355,16222,159.102744,0.000000,0.000000,0.000000,events/second
1594603358,16222,154.553438,0.000000,0.000000,0.000000,events/second
1594603361,16222,150.210572,0.000000,0.000000,0.000000,events/second
1594603364,16222,146.139729,0.000000,0.000000,0.000000,events/second
1594603367,16222,142.277767,0.000000,0.000000,0.000000,events/second
1594603370,16222,138.657009,0.000000,0.000000,0.000000,events/second
1594603373,16222,135.228079,0.000000,0.000000,0.000000,events/second
1594603376,16222,131.931725,0.000000,0.000000,0.000000,events/second
1594603379,16222,128.782715,0.000000,0.000000,0.000000,events/second
1594603382,16222,125.787435,0.000000,0.000000,0.000000,events/second
1594603385,16222,122.918003,0.000000,0.000000,0.000000,events/second
1594603388,16222,120.173685,0.000000,0.000000,0.000000,events/second
1594603391,16222,117.572650,0.000000,0.000000,0.000000,events/second
1594603394,16222,115.065635,0.000000,0.000000,0.000000,events/second
1594603397,16222,112.683331,0.000000,0.000000,0.000000,events/second
1594603400,16222,110.369387,0.000000,0.000000,0.000000,events/second
1594603403,16505,110.050430,0.000000,0.000000,0.000000,events/second
1594603406,21827,142.415019,0.000000,0.000000,0.000000,events/second
1594603409,22336,143.201972,0.000000,0.000000,0.000000,events/second
1594603412,22336,140.504644,0.000000,0.000000,0.000000,events/second
1594603415,22336,137.904239,0.000000,0.000000,0.000000,events/second
1594603418,22336,135.375934,0.000000,0.000000,0.000000,events/second
1594603421,22336,132.981542,0.000000,0.000000,0.000000,events/second
1594603424,22336,130.635022,0.000000,0.000000,0.000000,events/second
1594603427,22336,128.379221,0.000000,0.000000,0.000000,events/second
1594603430,22336,126.221340,0.000000,0.000000,0.000000,events/second
1594603433,22336,124.110026,0.000000,0.000000,0.000000,events/second
1594603436,22336,122.082280,0.000000,0.000000,0.000000,events/second
1594603439,22336,120.098862,0.000000,0.000000,0.000000,events/second
1594603442,22336,118.201086,0.000000,0.000000,0.000000,events/second
1594603445,22336,116.336960,0.000000,0.000000,0.000000,events/second
1594603448,22336,114.544458,0.000000,0.000000,0.000000,events/second
1594603451,22336,112.822094,0.000000,0.000000,0.000000,events/second
1594603454,22357,111.244276,0.000000,0.000000,0.000000,events/second
1594603457,23108,113.293777,0.000000,0.000000,0.000000,events/second
1594603460,23108,111.654578,0.000000,0.000000,0.000000,events/second
1594603463,23108,110.052290,0.000000,0.000000,0.000000,events/second
1594603466,23108,108.504807,0.000000,0.000000,0.000000,events/second
1594603469,23108,106.986008,0.000000,0.000000,0.000000,events/second
1594603472,23108,105.531372,0.000000,0.000000,0.000000,events/second
1594603475,23108,104.102468,0.000000,0.000000,0.000000,events/second
1594603478,23108,102.709285,0.000000,0.000000,0.000000,events/second
1594603481,23108,101.359993,0.000000,0.000000,0.000000,events/second
1594603484,23108,100.045533,0.000000,0.000000,0.000000,events/second
1594603487,23108,98.755980,0.000000,0.000000,0.000000,events/second
1594603490,23108,97.514745,0.000000,0.000000,0.000000,events/second
1594603493,23108,96.286501,0.000000,0.000000,0.000000,events/second
1594603496,23108,95.106784,0.000000,0.000000,0.000000,events/second
1594603499,23108,93.941053,0.000000,0.000000,0.000000,events/second
1594603502,23108,92.810435,0.000000,0.000000,0.000000,events/second
1594603505,23108,91.707820,0.000000,0.000000,0.000000,events/second
1594603508,23108,90.623530,0.000000,0.000000,0.000000,events/second
1594603511,23108,89.570072,0.000000,0.000000,0.000000,events/second
1594603514,23108,88.551260,0.000000,0.000000,0.000000,events/second
1594603517,23108,87.538844,0.000000,0.000000,0.000000,events/second
1594603520,23108,86.550449,0.000000,0.000000,0.000000,events/second
1594603523,23108,85.598417,0.000000,0.000000,0.000000,events/second
1594603526,23108,84.652419,0.000000,0.000000,0.000000,events/second
1594603529,23108,83.737607,0.000000,0.000000,0.000000,events/second
1594603532,23108,82.832565,0.000000,0.000000,0.000000,events/second
1594603535,23108,81.956052,0.000000,0.000000,0.000000,events/second
1594603538,23108,81.089038,0.000000,0.000000,0.000000,events/second
1594603541,23108,80.240554,0.000000,0.000000,0.000000,events/second
1594603544,23108,79.420709,0.000000,0.000000,0.000000,events/second
1594603547,23108,78.582642,0.000000,0.000000,0.000000,events/second
1594603550,23108,77.808499,0.000000,0.000000,0.000000,events/second
1594603553,23108,77.030534,0.000000,0.000000,0.000000,events/second
1594603556,23108,76.271135,0.000000,0.000000,0.000000,events/second
1594603559,23108,75.527849,0.000000,0.000000,0.000000,events/second
1594603562,23108,74.794202,0.000000,0.000000,0.000000,events/second
1594603565,23108,74.075002,0.000000,0.000000,0.000000,events/second
1594603568,23108,73.354623,0.000000,0.000000,0.000000,events/second
1594603571,23108,72.671448,0.000000,0.000000,0.000000,events/second
1594603574,23108,71.996054,0.000000,0.000000,0.000000,events/second
1594603577,23108,71.330418,0.000000,0.000000,0.000000,events/second
1594603580,23108,70.674476,0.000000,0.000000,0.000000,events/second
1594603583,23108,70.033617,0.000000,0.000000,0.000000,events/second
1594603586,23108,69.402839,0.000000,0.000000,0.000000,events/second
1594603589,23108,68.779415,0.000000,0.000000,0.000000,events/second
1594603592,23108,68.170554,0.000000,0.000000,0.000000,events/second
1594603595,23108,67.572752,0.000000,0.000000,0.000000,events/second
1594603598,23108,66.988533,0.000000,0.000000,0.000000,events/second
1594603601,23108,66.402219,0.000000,0.000000,0.000000,events/second
1594603604,23108,65.842712,0.000000,0.000000,0.000000,events/second
1594603607,23108,65.284429,0.000000,0.000000,0.000000,events/second
1594603610,23108,64.736034,0.000000,0.000000,0.000000,events/second
1594603613,23108,64.195551,0.000000,0.000000,0.000000,events/second
1594603616,23108,63.666573,0.000000,0.000000,0.000000,events/second
