t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,10,1.644604,0.000000,0.000000,0.000000,events/second
1594603262,12,1.326408,0.000000,0.000000,0.000000,events/second
1594603265,12,0.998120,0.000000,0.000000,0.000000,events/second
1594603268,7961,524.912443,0.000000,0.000000,0.000000,events/second
1594603271,8606,474.196466,0.000000,0.000000,0.000000,events/second
1594603274,8606,408.823904,0.000000,0.000000,0.000000,events/second
1594603277,15436,642.330604,0.000000,0.000000,0.000000,events/second
1594603280,15436,569.477093,0.000000,0.000000,0.000000,events/second
1594603283,15436,514.047468,0.000000,0.000000,0.000000,events/second
1594603286,15436,467.303998,0.000000,0.000000,0.000000,events/second
1594603289,15436,400.574291,0.000000,0.000000,0.000000,events/second
1594603292,15436,393.594161,0.000000,0.000000,0.000000,events/second
1594603295,15436,366.759720,0.000000,0.000000,0.000000,events/second
1594603298,15436,343.172912,0.000000,0.000000,0.000000,events/second
1594603301,15436,321.560437,0.000000,0.000000,0.000000,events/second
1594603304,15436,302.466503,0.000000,0.000000,0.000000,events/second
1594603307,15436,285.875645,0.000000,0.000000,0.000000,events/second
1594603310,15436,270.838513,0.000000,0.000000,0.000000,events/second
1594603313,15436,256.261620,0.000000,0.000000,0.000000,events/second
1594603316,15436,245.012529,0.000000,0.000000,0.000000,events/second
1594603319,15436,233.881149,0.000000,0.000000,0.000000,events/second
1594603322,15436,223.820423,0.000000,0.000000,0.000000,events/second
1594603325,15436,214.492049,0.000000,0.000000,0.000000,events/second
1594603328,15436,205.908264,0.000000,0.000000,0.000000,events/second
1594603331,15436,197.924471,0.000000,0.000000,0.000000,events/second
1594603334,15436,190.624742,0.000000,0.000000,0.000000,events/second
1594603337,15436,183.780579,0.000000,0.000000,0.000000,events/second
1594603340,15436,177.483534,0.000000,0.000000,0.000000,events/second
1594603343,15436,171.581999,0.000000,0.000000,0.000000,events/second
1594603346,15436,166.046137,0.000000,0.000000,0.000000,events/second
1594603349,15436,160.857686,0.000000,0.000000,0.000000,events/second
1594603352,15436,155.970204,0.000000,0.000000,0.000000,events/second
1594603355,15436,151.391604,0.000000,0.000000,0.000000,events/second
1594603358,15436,147.062888,0.000000,0.000000,0.000000,events/second
1594603361,15436,142.930536,0.000000,0.000000,0.000000,events/second
1594603364,15436,139.056988,0.000000,0.000000,0.000000,events/second
1594603367,15436,135.382266,0.000000,0.000000,0.000000,events/second
1594603370,15436,131.936974,0.000000,0.000000,0.000000,events/second
1594603373,15436,128.674297,0.000000,0.000000,0.000000,events/second
1594603376,15436,125.537765,0.000000,0.000000,0.000000,events/second
1594603379,15436,122.541402,0.000000,0.000000,0.000000,events/second
1594603382,15436,119.691213,0.000000,0.000000,0.000000,events/second
1594603385,15436,116.961021,0.000000,0.000000,0.000000,events/second
1594603388,15436,114.349693,0.000000,0.000000,0.000000,events/second
1594603391,15436,111.874782,0.000000,0.000000,0.000000,events/second
1594603394,15436,109.489208,0.000000,0.000000,0.000000,events/second
1594603397,15436,107.221607,0.000000,0.000000,0.000000,events/second
1594603400,15436,105.020554,0.000000,0.000000,0.000000,events/second
1594603403,15703,104.701858,0.000000,0.000000,0.000000,events/second
1594603406,20686,134.968720,0.000000,0.000000,0.000000,events/second
1594603409,20919,134.115976,0.000000,0.000000,0.000000,events/second
1594603412,20919,131.589758,0.000000,0.000000,0.000000,events/second
1594603415,20919,129.154409,0.000000,0.000000,0.000000,events/second
1594603418,20919,126.786458,0.000000,0.000000,0.000000,events/second
1594603421,20919,124.544072,0.000000,0.000000,0.000000,events/second
1594603424,20919,122.346482,0.000000,0.000000,0.000000,events/second
1594603427,20919,120.233799,0.000000,0.000000,0.000000,events/second
1594603430,20919,118.212773,0.000000,0.000000,0.000000,events/second
1594603433,20919,116.235461,0.000000,0.000000,0.000000,events/second
1594603436,20919,114.336473,0.000000,0.000000,0.000000,events/second
1594603439,20919,112.478910,0.000000,0.000000,0.000000,events/second
1594603442,20919,110.701486,0.000000,0.000000,0.000000,events/second
1594603445,20919,108.955675,0.000000,0.000000,0.000000,events/second
1594603448,20919,107.276854,0.000000,0.000000,0.000000,events/second
1594603451,20919,105.663825,0.000000,0.000000,0.000000,events/second
1594603454,20931,104.147908,0.000000,0.000000,0.000000,events/second
1594603457,21522,105.517183,0.000000,0.000000,0.000000,events/second
1594603460,21522,103.990532,0.000000,0.000000,0.000000,events/second
1594603463,21522,102.498249,0.000000,0.000000,0.000000,events/second
1594603466,21522,101.056975,0.000000,0.000000,0.000000,events/second
1594603469,21522,99.642430,0.000000,0.000000,0.000000,events/second
1594603472,21522,98.287594,0.000000,0.000000,0.000000,events/second
1594603475,21522,96.956842,0.000000,0.000000,0.000000,events/second
1594603478,21522,95.659304,0.000000,0.000000,0.000000,events/second
1594603481,21522,94.402642,0.000000,0.000000,0.000000,events/second
1594603484,21522,93.178407,0.000000,0.000000,0.000000,events/second
1594603487,21522,91.977392,0.000000,0.000000,0.000000,events/second
1594603490,21522,90.821351,0.000000,0.000000,0.000000,events/second
1594603493,21522,89.677412,0.000000,0.000000,0.000000,events/second
1594603496,21522,88.578517,0.000000,0.000000,0.000000,events/second
1594603499,21522,87.492936,0.000000,0.000000,0.000000,events/second
1594603502,21522,86.439927,0.000000,0.000000,0.000000,events/second
1594603505,21522,85.413038,0.000000,0.000000,0.000000,events/second
1594603508,21522,84.403181,0.000000,0.000000,0.000000,events/second
1594603511,21522,83.422010,0.000000,0.000000,0.000000,events/second
1594603514,21522,82.473149,0.000000,0.000000,0.000000,events/second
1594603517,21522,81.530248,0.000000,0.000000,0.000000,events/second
1594603520,21522,80.609604,0.000000,0.000000,0.000000,events/second
1594603523,21522,79.723011,0.000000,0.000000,0.000000,events/second
1594603526,21522,78.841958,0.000000,0.000000,0.000000,events/second
1594603529,21522,77.989889,0.000000,0.000000,0.000000,events/second
1594603532,21522,77.147025,0.000000,0.000000,0.000000,events/second
1594603535,21522,76.330675,0.000000,0.000000,0.000000,events/second
1594603538,21522,75.523174,0.000000,0.000000,0.000000,events/second
1594603541,21522,74.732933,0.000000,0.000000,0.000000,events/second
1594603544,21522,73.969367,0.000000,0.000000,0.000000,events/second
1594603547,21522,73.188823,0.000000,0.000000,0.000000,events/second
1594603550,21522,72.467816,0.000000,0.000000,0.000000,events/second
1594603553,21522,71.743256,0.000000,0.000000,0.000000,events/second
1594603556,21522,71.035993,0.000000,0.000000,0.000000,events/second
1594603559,21522,70.343726,0.000000,0.000000,0.000000,events/second
1594603562,21522,69.660439,0.000000,0.000000,0.000000,events/second
1594603565,21522,68.990599,0.000000,0.000000,0.000000,events/second
1594603568,21522,68.319490,0.000000,0.000000,0.000000,events/second
1594603571,21522,67.683397,0.000000,0.000000,0.000000,events/second
1594603574,21522,67.054363,0.000000,0.000000,0.000000,events/second
1594603577,21522,66.434410,0.000000,0.000000,0.000000,events/second
1594603580,21522,65.823496,0.000000,0.000000,0.000000,events/second
1594603583,21522,65.226632,0.000000,0.000000,0.000000,events/second
1594603586,21522,64.639148,0.000000,0.000000,0.000000,events/second
1594603589,21522,64.058521,0.000000,0.000000,0.000000,events/second
1594603592,21522,63.491455,0.000000,0.000000,0.000000,events/second
1594603595,21522,62.934689,0.000000,0.000000,0.000000,events/second
1594603598,21522,62.390566,0.000000,0.000000,0.000000,events/second
1594603601,21522,61.844453,0.000000,0.000000,0.000000,events/second
1594603604,21522,61.323395,0.000000,0.000000,0.000000,events/second
1594603607,21522,60.803408,0.000000,0.000000,0.000000,events/second
1594603610,21522,60.292683,0.000000,0.000000,0.000000,events/second
1594603613,21522,59.789286,0.000000,0.000000,0.000000,events/second
1594603616,21522,59.296633,0.000000,0.000000,0.000000,events/second
1594603619,21522,58.807244,0.000000,0.000000,0.000000,events/second
1594603622,21522,58.321774,0.000000,0.000000,0.000000,events/second
1594603625,21522,57.857464,0.000000,0.000000,0.000000,events/second
1594603628,21522,57.397104,0.000000,0.000000,0.000000,events/second
1594603631,21522,56.941821,0.000000,0.000000,0.000000,events/second
1594603634,21522,56.492852,0.000000,0.000000,0.000000,events/second
1594603637,21522,56.048329,0.000000,0.000000,0.000000,events/second
1594603640,21522,55.616233,0.000000,0.000000,0.000000,events/second
1594603643,21522,55.190606,0.000000,0.000000,0.000000,events/second
1594603646,21522,54.761552,0.000000,0.000000,0.000000,events/second
1594603649,21522,54.350162,0.000000,0.000000,0.000000,events/second
1594603652,21522,53.942353,0.000000,0.000000,0.000000,events/second
1594603655,21522,53.542339,0.000000,0.000000,0.000000,events/second
1594603658,21522,53.142912,0.000000,0.000000,0.000000,events/second
