t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,1,0.164150,0.000000,0.000000,0.000000,events/second
1594603262,1,0.110400,0.000000,0.000000,0.000000,events/second
1594603265,1,0.083102,0.000000,0.000000,0.000000,events/second
1594603268,1,0.065889,0.000000,0.000000,0.000000,events/second
1594603271,2,0.110135,0.000000,0.000000,0.000000,events/second
1594603274,2,0.094960,0.000000,0.000000,0.000000,events/second
1594603277,3,0.124781,0.000000,0.000000,0.000000,events/second
1594603280,3,0.110637,0.000000,0.000000,0.000000,events/second
1594603283,3,0.099872,0.000000,0.000000,0.000000,events/second
1594603286,3,0.090793,0.000000,0.000000,0.000000,events/second
1594603289,3,0.077828,0.000000,0.000000,0.000000,events/second
1594603292,3,0.076476,0.000000,0.000000,0.000000,events/second
1594603295,3,0.071261,0.000000,0.000000,0.000000,events/second
1594603298,3,0.066681,0.000000,0.000000,0.000000,events/second
1594603301,3,0.062482,0.000000,0.000000,0.000000,events/second
1594603304,3,0.058772,0.000000,0.000000,0.000000,events/second
1594603307,3,0.055550,0.000000,0.000000,0.000000,events/second
1594603310,3,0.052628,0.000000,0.000000,0.000000,events/second
1594603313,3,0.049782,0.000000,0.000000,0.000000,events/second
1594603316,3,0.047611,0.000000,0.000000,0.000000,events/second
1594603319,3,0.045448,0.000000,0.000000,0.000000,events/second
1594603322,3,0.043493,0.000000,0.000000,0.000000,events/second
1594603325,3,0.041681,0.000000,0.000000,0.000000,events/second
1594603328,3,0.040013,0.000000,0.000000,0.000000,events/second
1594603331,3,0.038462,0.000000,0.000000,0.000000,events/second
1594603334,3,0.037043,0.000000,0.000000,0.000000,events/second
1594603337,3,0.035714,0.000000,0.000000,0.000000,events/second
1594603340,3,0.034490,0.000000,0.000000,0.000000,events/second
1594603343,3,0.033343,0.000000,0.000000,0.000000,events/second
1594603346,3,0.032268,0.000000,0.000000,0.000000,events/second
1594603349,3,0.031260,0.000000,0.000000,0.000000,events/second
1594603352,3,0.030310,0.000000,0.000000,0.000000,events/second
1594603355,3,0.029420,0.000000,0.000000,0.000000,events/second
1594603358,3,0.028579,0.000000,0.000000,0.000000,events/second
1594603361,3,0.027776,0.000000,0.000000,0.000000,events/second
1594603364,3,0.027023,0.000000,0.000000,0.000000,events/second
1594603367,3,0.026309,0.000000,0.000000,0.000000,events/second
1594603370,3,0.025640,0.000000,0.000000,0.000000,events/second
1594603373,3,0.025006,0.000000,0.000000,0.000000,events/second
1594603376,3,0.024396,0.000000,0.000000,0.000000,events/second
1594603379,3,0.023814,0.000000,0.000000,0.000000,events/second
1594603382,3,0.023260,0.000000,0.000000,0.000000,events/second
1594603385,3,0.022730,0.000000,0.000000,0.000000,events/second
1594603388,3,0.022222,0.000000,0.000000,0.000000,events/second
1594603391,3,0.021741,0.000000,0.000000,0.000000,events/second
1594603394,3,0.021278,0.000000,0.000000,0.000000,events/second
1594603397,3,0.020837,0.000000,0.000000,0.000000,events/second
1594603400,3,0.020409,0.000000,0.000000,0.000000,events/second
1594603403,6,0.040003,0.000000,0.000000,0.000000,events/second
1594603406,11,0.071766,0.000000,0.000000,0.000000,events/second
1594603409,13,0.083340,0.000000,0.000000,0.000000,events/second
1594603412,13,0.081771,0.000000,0.000000,0.000000,events/second
1594603415,13,0.080257,0.000000,0.000000,0.000000,events/second
1594603418,13,0.078786,0.000000,0.000000,0.000000,events/second
1594603421,18,0.107159,0.000000,0.000000,0.000000,events/second
1594603424,18,0.105268,0.000000,0.000000,0.000000,events/second
1594603427,18,0.103451,0.000000,0.000000,0.000000,events/second
1594603430,18,0.101712,0.000000,0.000000,0.000000,events/second
1594603433,18,0.100011,0.000000,0.000000,0.000000,events/second
1594603436,18,0.098377,0.000000,0.000000,0.000000,events/second
1594603439,18,0.096779,0.000000,0.000000,0.000000,events/second
1594603442,18,0.095249,0.000000,0.000000,0.000000,events/second
1594603445,18,0.093747,0.000000,0.000000,0.000000,events/second
1594603448,18,0.092303,0.000000,0.000000,0.000000,events/second
1594603451,18,0.090915,0.000000,0.000000,0.000000,events/second
1594603454,19,0.094533,0.000000,0.000000,0.000000,events/second
1594603457,30,0.147076,0.000000,0.000000,0.000000,events/second
1594603460,30,0.144948,0.000000,0.000000,0.000000,events/second
1594603463,30,0.142868,0.000000,0.000000,0.000000,events/second
1594603466,30,0.140859,0.000000,0.000000,0.000000,events/second
1594603469,30,0.138887,0.000000,0.000000,0.000000,events/second
1594603472,36,0.164399,0.000000,0.000000,0.000000,events/second
1594603475,36,0.162173,0.000000,0.000000,0.000000,events/second
1594603478,36,0.160003,0.000000,0.000000,0.000000,events/second
1594603481,36,0.157901,0.000000,0.000000,0.000000,events/second
1594603484,36,0.155853,0.000000,0.000000,0.000000,events/second
1594603487,36,0.153845,0.000000,0.000000,0.000000,events/second
1594603490,36,0.151911,0.000000,0.000000,0.000000,events/second
1594603493,36,0.149998,0.000000,0.000000,0.000000,events/second
1594603496,36,0.148160,0.000000,0.000000,0.000000,events/second
1594603499,36,0.146344,0.000000,0.000000,0.000000,events/second
1594603502,36,0.144583,0.000000,0.000000,0.000000,events/second
1594603505,36,0.142865,0.000000,0.000000,0.000000,events/second
1594603508,36,0.141176,0.000000,0.000000,0.000000,events/second
1594603511,36,0.139535,0.000000,0.000000,0.000000,events/second
1594603514,36,0.137948,0.000000,0.000000,0.000000,events/second
1594603517,36,0.136371,0.000000,0.000000,0.000000,events/second
1594603520,36,0.134831,0.000000,0.000000,0.000000,events/second
1594603523,36,0.133348,0.000000,0.000000,0.000000,events/second
1594603526,36,0.131875,0.000000,0.000000,0.000000,events/second
1594603529,36,0.130449,0.000000,0.000000,0.000000,events/second
1594603532,36,0.129040,0.000000,0.000000,0.000000,events/second
1594603535,36,0.127674,0.000000,0.000000,0.000000,events/second
1594603538,36,0.126324,0.000000,0.000000,0.000000,events/second
1594603541,36,0.125002,0.000000,0.000000,0.000000,events/second
1594603544,36,0.123725,0.000000,0.000000,0.000000,events/second
1594603547,36,0.122419,0.000000,0.000000,0.000000,events/second
1594603550,36,0.121213,0.000000,0.000000,0.000000,events/second
1594603553,36,0.120001,0.000000,0.000000,0.000000,events/second
1594603556,36,0.118818,0.000000,0.000000,0.000000,events/second
1594603559,36,0.117661,0.000000,0.000000,0.000000,events/second
1594603562,36,0.116518,0.000000,0.000000,0.000000,events/second
1594603565,36,0.115397,0.000000,0.000000,0.000000,events/second
1594603568,36,0.114275,0.000000,0.000000,0.000000,events/second
1594603571,36,0.113211,0.000000,0.000000,0.000000,events/second
1594603574,36,0.112159,0.000000,0.000000,0.000000,events/second
1594603577,36,0.111122,0.000000,0.000000,0.000000,events/second
1594603580,36,0.110100,0.000000,0.000000,0.000000,events/second
1594603583,36,0.109102,0.000000,0.000000,0.000000,events/second
1594603586,36,0.108119,0.000000,0.000000,0.000000,events/second
1594603589,36,0.107148,0.000000,0.000000,0.000000,events/second
1594603592,36,0.106199,0.000000,0.000000,0.000000,events/second
1594603595,36,0.105268,0.000000,0.000000,0.000000,events/second
1594603598,36,0.104358,0.000000,0.000000,0.000000,events/second
1594603601,36,0.103445,0.000000,0.000000,0.000000,events/second
1594603604,36,0.102573,0.000000,0.000000,0.000000,events/second
1594603607,36,0.101703,0.000000,0.000000,0.000000,events/second
1594603610,36,0.100849,0.000000,0.000000,0.000000,events/second
1594603613,36,0.100007,0.000000,0.000000,0.000000,events/second
1594603616,36,0.099183,0.000000,0.000000,0.000000,events/second
1594603619,36,0.098365,0.000000,0.000000,0.000000,events/second
1594603622,36,0.097552,0.000000,0.000000,0.000000,events/second
1594603625,36,0.096776,0.000000,0.000000,0.000000,events/second
1594603628,36,0.096006,0.000000,0.000000,0.000000,events/second
1594603631,36,0.095244,0.000000,0.000000,0.000000,events/second
1594603634,36,0.094494,0.000000,0.000000,0.000000,events/second
1594603637,36,0.093750,0.000000,0.000000,0.000000,events/second
1594603640,36,0.093027,0.000000,0.000000,0.000000,events/second
1594603643,36,0.092315,0.000000,0.000000,0.000000,events/second
1594603646,36,0.091598,0.000000,0.000000,0.000000,events/second
1594603649,36,0.090909,0.000000,0.000000,0.000000,events/second
1594603652,36,0.090227,0.000000,0.000000,0.000000,events/second
1594603655,36,0.089558,0.000000,0.000000,0.000000,events/second
1594603658,36,0.088890,0.000000,0.000000,0.000000,events/second
1594603661,36,0.088238,0.000000,0.000000,0.000000,events/second
1594603664,36,0.087594,0.000000,0.000000,0.000000,events/second
1594603667,36,0.086962,0.000000,0.000000,0.000000,events/second
1594603670,36,0.086334,0.000000,0.000000,0.000000,events/second
1594603673,36,0.085717,0.000000,0.000000,0.000000,events/second
1594603676,36,0.085109,0.000000,0.000000,0.000000,events/second
1594603679,36,0.084510,0.000000,0.000000,0.000000,events/second
1594603682,36,0.083917,0.000000,0.000000,0.000000,events/second
1594603685,36,0.083335,0.000000,0.000000,0.000000,events/second
1594603688,36,0.082764,0.000000,0.000000,0.000000,events/second
1594603691,36,0.082198,0.000000,0.000000,0.000000,events/second
1594603694,36,0.081636,0.000000,0.000000,0.000000,events/second
1594603697,36,0.081088,0.000000,0.000000,0.000000,events/second
1594603700,36,0.080543,0.000000,0.000000,0.000000,events/second
1594603703,36,0.080001,0.000000,0.000000,0.000000,events/second
1594603706,36,0.079476,0.000000,0.000000,0.000000,events/second
1594603709,36,0.078950,0.000000,0.000000,0.000000,events/second
1594603712,36,0.078433,0.000000,0.000000,0.000000,events/second
1594603715,36,0.077925,0.000000,0.000000,0.000000,events/second
1594603718,36,0.077425,0.000000,0.000000,0.000000,events/second
1594603721,36,0.076929,0.000000,0.000000,0.000000,events/second
1594603724,36,0.076436,0.000000,0.000000,0.000000,events/second
1594603727,36,0.075954,0.000000,0.000000,0.000000,events/second
1594603730,36,0.075476,0.000000,0.000000,0.000000,events/second
1594603733,36,0.075003,0.000000,0.000000,0.000000,events/second
1594603736,36,0.074539,0.000000,0.000000,0.000000,events/second
1594603739,36,0.074077,0.000000,0.000000,0.000000,events/second
1594603742,36,0.073623,0.000000,0.000000,0.000000,events/second
1594603745,36,0.073173,0.000000,0.000000,0.000000,events/second
1594603748,36,0.072727,0.000000,0.000000,0.000000,events/second
1594603751,36,0.072294,0.000000,0.000000,0.000000,events/second
1594603754,36,0.071861,0.000000,0.000000,0.000000,events/second
1594603757,36,0.071433,0.000000,0.000000,0.000000,events/second
1594603760,36,0.071008,0.000000,0.000000,0.000000,events/second
1594603763,36,0.070592,0.000000,0.000000,0.000000,events/second
1594603766,36,0.070174,0.000000,0.000000,0.000000,events/second
1594603769,36,0.069769,0.000000,0.000000,0.000000,events/second
1594603772,36,0.069369,0.000000,0.000000,0.000000,events/second
1594603775,36,0.068967,0.000000,0.000000,0.000000,events/second
1594603778,36,0.068575,0.000000,0.000000,0.000000,events/second
1594603781,36,0.068185,0.000000,0.000000,0.000000,events/second
1594603784,36,0.067799,0.000000,0.000000,0.000000,events/second
1594603787,36,0.067419,0.000000,0.000000,0.000000,events/second
1594603790,36,0.067043,0.000000,0.000000,0.000000,events/second
1594603793,36,0.066667,0.000000,0.000000,0.000000,events/second
1594603796,36,0.066298,0.000000,0.000000,0.000000,events/second
1594603799,36,0.065934,0.000000,0.000000,0.000000,events/second
1594603802,36,0.065577,0.000000,0.000000,0.000000,events/second
1594603805,36,0.065221,0.000000,0.000000,0.000000,events/second
1594603808,36,0.064869,0.000000,0.000000,0.000000,events/second
1594603811,36,0.064520,0.000000,0.000000,0.000000,events/second
1594603814,36,0.064173,0.000000,0.000000,0.000000,events/second
1594603817,36,0.063832,0.000000,0.000000,0.000000,events/second
1594603820,36,0.063493,0.000000,0.000000,0.000000,events/second
1594603823,36,0.063161,0.000000,0.000000,0.000000,events/second
1594603826,36,0.062828,0.000000,0.000000,0.000000,events/second
1594603829,36,0.062503,0.000000,0.000000,0.000000,events/second
1594603832,36,0.062180,0.000000,0.000000,0.000000,events/second
1594603835,36,0.061859,0.000000,0.000000,0.000000,events/second
1594603838,36,0.061540,0.000000,0.000000,0.000000,events/second
1594603841,36,0.061227,0.000000,0.000000,0.000000,events/second
1594603844,36,0.060916,0.000000,0.000000,0.000000,events/second
1594603847,36,0.060606,0.000000,0.000000,0.000000,events/second
1594603850,36,0.060304,0.000000,0.000000,0.000000,events/second
1594603853,36,0.060003,0.000000,0.000000,0.000000,events/second
1594603856,36,0.059704,0.000000,0.000000,0.000000,events/second
1594603859,36,0.059409,0.000000,0.000000,0.000000,events/second
1594603862,36,0.059116,0.000000,0.000000,0.000000,events/second
1594603865,36,0.058824,0.000000,0.000000,0.000000,events/second
1594603868,36,0.058536,0.000000,0.000000,0.000000,events/second
1594603871,36,0.058253,0.000000,0.000000,0.000000,events/second
1594603874,36,0.057971,0.000000,0.000000,0.000000,events/second
1594603877,36,0.057694,0.000000,0.000000,0.000000,events/second
1594603880,36,0.057414,0.000000,0.000000,0.000000,events/second
1594603883,36,0.057145,0.000000,0.000000,0.000000,events/second
1594603886,36,0.056874,0.000000,0.000000,0.000000,events/second
1594603889,36,0.056603,0.000000,0.000000,0.000000,events/second
1594603892,36,0.056333,0.000000,0.000000,0.000000,events/second
1594603895,36,0.056075,0.000000,0.000000,0.000000,events/second
1594603898,36,0.055816,0.000000,0.000000,0.000000,events/second
1594603901,36,0.055555,0.000000,0.000000,0.000000,events/second
1594603904,36,0.055292,0.000000,0.000000,0.000000,events/second
1594603907,36,0.055046,0.000000,0.000000,0.000000,events/second
1594603910,36,0.054794,0.000000,0.000000,0.000000,events/second
1594603913,36,0.054547,0.000000,0.000000,0.000000,events/second
1594603916,36,0.054301,0.000000,0.000000,0.000000,events/second
1594603919,36,0.054056,0.000000,0.000000,0.000000,events/second
1594603922,36,0.053813,0.000000,0.000000,0.000000,events/second
1594603925,36,0.053570,0.000000,0.000000,0.000000,events/second
1594603928,36,0.053335,0.000000,0.000000,0.000000,events/second
1594603931,36,0.053100,0.000000,0.000000,0.000000,events/second
1594603934,36,0.052865,0.000000,0.000000,0.000000,events/second
1594603937,36,0.052634,0.000000,0.000000,0.000000,events/second
1594603940,36,0.052401,0.000000,0.000000,0.000000,events/second
1594603943,36,0.052174,0.000000,0.000000,0.000000,events/second
1594603946,36,0.051950,0.000000,0.000000,0.000000,events/second
1594603949,36,0.051724,0.000000,0.000000,0.000000,events/second
1594603952,36,0.051503,0.000000,0.000000,0.000000,events/second
1594603955,36,0.051284,0.000000,0.000000,0.000000,events/second
1594603958,36,0.051065,0.000000,0.000000,0.000000,events/second
1594603961,36,0.050849,0.000000,0.000000,0.000000,events/second
1594603964,36,0.050635,0.000000,0.000000,0.000000,events/second
1594603967,36,0.050422,0.000000,0.000000,0.000000,events/second
1594603970,36,0.050210,0.000000,0.000000,0.000000,events/second
1594603973,36,0.050002,0.000000,0.000000,0.000000,events/second
1594603976,36,0.049792,0.000000,0.000000,0.000000,events/second
1594603979,36,0.049586,0.000000,0.000000,0.000000,events/second
1594603982,36,0.049383,0.000000,0.000000,0.000000,events/second
1594603985,36,0.049182,0.000000,0.000000,0.000000,events/second
1594603988,36,0.048979,0.000000,0.000000,0.000000,events/second
1594603991,36,0.048782,0.000000,0.000000,0.000000,events/second
1594603994,36,0.048585,0.000000,0.000000,0.000000,events/second
1594603997,36,0.048389,0.000000,0.000000,0.000000,events/second
1594604000,36,0.048195,0.000000,0.000000,0.000000,events/second
1594604003,36,0.048000,0.000000,0.000000,0.000000,events/second
1594604006,36,0.047810,0.000000,0.000000,0.000000,events/second
1594604009,36,0.047620,0.000000,0.000000,0.000000,events/second
1594604012,36,0.047431,0.000000,0.000000,0.000000,events/second
1594604015,36,0.047245,0.000000,0.000000,0.000000,events/second
1594604018,36,0.047060,0.000000,0.000000,0.000000,events/second
1594604021,36,0.046873,0.000000,0.000000,0.000000,events/second
1594604024,36,0.046691,0.000000,0.000000,0.000000,events/second
1594604027,36,0.046509,0.000000,0.000000,0.000000,events/second
1594604030,36,0.046330,0.000000,0.000000,0.000000,events/second
