t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,2,0.328565,0.000000,0.000000,0.000000,events/second
1594603262,3,0.331379,0.000000,0.000000,0.000000,events/second
1594603265,3,0.249417,0.000000,0.000000,0.000000,events/second
1594603268,18,1.186440,0.000000,0.000000,0.000000,events/second
1594603271,22,1.211850,0.000000,0.000000,0.000000,events/second
1594603274,22,1.044471,0.000000,0.000000,0.000000,events/second
1594603277,25,1.040052,0.000000,0.000000,0.000000,events/second
1594603280,25,0.922190,0.000000,0.000000,0.000000,events/second
1594603283,25,0.832435,0.000000,0.000000,0.000000,events/second
1594603286,25,0.756760,0.000000,0.000000,0.000000,events/second
1594603289,25,0.648656,0.000000,0.000000,0.000000,events/second
1594603292,25,0.637402,0.000000,0.000000,0.000000,events/second
1594603295,25,0.593915,0.000000,0.000000,0.000000,events/second
1594603298,25,0.555746,0.000000,0.000000,0.000000,events/second
1594603301,25,0.520757,0.000000,0.000000,0.000000,events/second
1594603304,25,0.489817,0.000000,0.000000,0.000000,events/second
1594603307,25,0.462965,0.000000,0.000000,0.000000,events/second
1594603310,25,0.438615,0.000000,0.000000,0.000000,events/second
1594603313,25,0.414892,0.000000,0.000000,0.000000,events/second
1594603316,25,0.396792,0.000000,0.000000,0.000000,events/second
1594603319,25,0.378772,0.000000,0.000000,0.000000,events/second
1594603322,25,0.362479,0.000000,0.000000,0.000000,events/second
1594603325,25,0.347374,0.000000,0.000000,0.000000,events/second
1594603328,25,0.333473,0.000000,0.000000,0.000000,events/second
1594603331,25,0.320540,0.000000,0.000000,0.000000,events/second
1594603334,25,0.308721,0.000000,0.000000,0.000000,events/second
1594603337,25,0.297637,0.000000,0.000000,0.000000,events/second
1594603340,25,0.287437,0.000000,0.000000,0.000000,events/second
1594603343,25,0.277882,0.000000,0.000000,0.000000,events/second
1594603346,25,0.268917,0.000000,0.000000,0.000000,events/second
1594603349,25,0.260515,0.000000,0.000000,0.000000,events/second
1594603352,25,0.252599,0.000000,0.000000,0.000000,events/second
1594603355,25,0.245185,0.000000,0.000000,0.000000,events/second
1594603358,25,0.238174,0.000000,0.000000,0.000000,events/second
1594603361,25,0.231482,0.000000,0.000000,0.000000,events/second
1594603364,25,0.225209,0.000000,0.000000,0.000000,events/second
1594603367,25,0.219258,0.000000,0.000000,0.000000,events/second
1594603370,25,0.213678,0.000000,0.000000,0.000000,events/second
1594603373,25,0.208394,0.000000,0.000000,0.000000,events/second
1594603376,25,0.203314,0.000000,0.000000,0.000000,events/second
1594603379,25,0.198461,0.000000,0.000000,0.000000,events/second
1594603382,25,0.193846,0.000000,0.000000,0.000000,events/second
1594603385,25,0.189424,0.000000,0.000000,0.000000,events/second
1594603388,25,0.185195,0.000000,0.000000,0.000000,events/second
1594603391,25,0.181187,0.000000,0.000000,0.000000,events/second
1594603394,25,0.177324,0.000000,0.000000,0.000000,events/second
1594603397,25,0.173650,0.000000,0.000000,0.000000,events/second
1594603400,25,0.170086,0.000000,0.000000,0.000000,events/second
1594603403,31,0.206692,0.000000,0.000000,0.000000,events/second
1594603406,77,0.502383,0.000000,0.000000,0.000000,events/second
1594603409,90,0.576995,0.000000,0.000000,0.000000,events/second
1594603412,90,0.566128,0.000000,0.000000,0.000000,events/second
1594603415,90,0.555651,0.000000,0.000000,0.000000,events/second
1594603418,90,0.545463,0.000000,0.000000,0.000000,events/second
1594603421,90,0.535817,0.000000,0.000000,0.000000,events/second
1594603424,90,0.526362,0.000000,0.000000,0.000000,events/second
1594603427,90,0.517273,0.000000,0.000000,0.000000,events/second
1594603430,90,0.508577,0.000000,0.000000,0.000000,events/second
1594603433,90,0.500070,0.000000,0.000000,0.000000,events/second
1594603436,90,0.491902,0.000000,0.000000,0.000000,events/second
1594603439,90,0.483911,0.000000,0.000000,0.000000,events/second
1594603442,90,0.476262,0.000000,0.000000,0.000000,events/second
1594603445,90,0.468752,0.000000,0.000000,0.000000,events/second
1594603448,90,0.461530,0.000000,0.000000,0.000000,events/second
1594603451,90,0.454591,0.000000,0.000000,0.000000,events/second
1594603454,96,0.477657,0.000000,0.000000,0.000000,events/second
1594603457,166,0.813845,0.000000,0.000000,0.000000,events/second
1594603460,166,0.802070,0.000000,0.000000,0.000000,events/second
1594603463,166,0.790561,0.000000,0.000000,0.000000,events/second
1594603466,166,0.779445,0.000000,0.000000,0.000000,events/second
1594603469,166,0.768535,0.000000,0.000000,0.000000,events/second
1594603472,166,0.758084,0.000000,0.000000,0.000000,events/second
1594603475,166,0.747821,0.000000,0.000000,0.000000,events/second
1594603478,166,0.737813,0.000000,0.000000,0.000000,events/second
1594603481,166,0.728121,0.000000,0.000000,0.000000,events/second
1594603484,166,0.718679,0.000000,0.000000,0.000000,events/second
1594603487,166,0.709416,0.000000,0.000000,0.000000,events/second
1594603490,166,0.700498,0.000000,0.000000,0.000000,events/second
1594603493,166,0.691674,0.000000,0.000000,0.000000,events/second
1594603496,166,0.683199,0.000000,0.000000,0.000000,events/second
1594603499,166,0.674826,0.000000,0.000000,0.000000,events/second
1594603502,166,0.666705,0.000000,0.000000,0.000000,events/second
1594603505,166,0.658786,0.000000,0.000000,0.000000,events/second
1594603508,166,0.650997,0.000000,0.000000,0.000000,events/second
1594603511,166,0.643429,0.000000,0.000000,0.000000,events/second
1594603514,166,0.636111,0.000000,0.000000,0.000000,events/second
1594603517,166,0.628838,0.000000,0.000000,0.000000,events/second
1594603520,166,0.621734,0.000000,0.000000,0.000000,events/second
1594603523,166,0.614899,0.000000,0.000000,0.000000,events/second
1594603526,166,0.608104,0.000000,0.000000,0.000000,events/second
1594603529,166,0.601532,0.000000,0.000000,0.000000,events/second
1594603532,166,0.595031,0.000000,0.000000,0.000000,events/second
1594603535,166,0.588735,0.000000,0.000000,0.000000,events/second
1594603538,166,0.582506,0.000000,0.000000,0.000000,events/second
1594603541,166,0.576412,0.000000,0.000000,0.000000,events/second
1594603544,166,0.570522,0.000000,0.000000,0.000000,events/second
1594603547,166,0.564502,0.000000,0.000000,0.000000,events/second
1594603550,166,0.558941,0.000000,0.000000,0.000000,events/second
1594603553,166,0.553352,0.000000,0.000000,0.000000,events/second
1594603556,166,0.547898,0.000000,0.000000,0.000000,events/second
1594603559,166,0.542558,0.000000,0.000000,0.000000,events/second
1594603562,166,0.537288,0.000000,0.000000,0.000000,events/second
1594603565,166,0.532121,0.000000,0.000000,0.000000,events/second
1594603568,166,0.526942,0.000000,0.000000,0.000000,events/second
1594603571,166,0.522040,0.000000,0.000000,0.000000,events/second
1594603574,166,0.517188,0.000000,0.000000,0.000000,events/second
1594603577,166,0.512406,0.000000,0.000000,0.000000,events/second
1594603580,166,0.507694,0.000000,0.000000,0.000000,events/second
1594603583,166,0.503091,0.000000,0.000000,0.000000,events/second
1594603586,166,0.498559,0.000000,0.000000,0.000000,events/second
1594603589,166,0.494081,0.000000,0.000000,0.000000,events/second
1594603592,166,0.489707,0.000000,0.000000,0.000000,events/second
1594603595,166,0.485413,0.000000,0.000000,0.000000,events/second
1594603598,166,0.481216,0.000000,0.000000,0.000000,events/second
1594603601,166,0.477003,0.000000,0.000000,0.000000,events/second
1594603604,166,0.472985,0.000000,0.000000,0.000000,events/second
1594603607,166,0.468975,0.000000,0.000000,0.000000,events/second
1594603610,166,0.465036,0.000000,0.000000,0.000000,events/second
1594603613,166,0.461153,0.000000,0.000000,0.000000,events/second
1594603616,166,0.457353,0.000000,0.000000,0.000000,events/second
1594603619,166,0.453579,0.000000,0.000000,0.000000,events/second
1594603622,166,0.449833,0.000000,0.000000,0.000000,events/second
1594603625,166,0.446253,0.000000,0.000000,0.000000,events/second
1594603628,166,0.442702,0.000000,0.000000,0.000000,events/second
1594603631,166,0.439190,0.000000,0.000000,0.000000,events/second
1594603634,166,0.435728,0.000000,0.000000,0.000000,events/second
1594603637,166,0.432299,0.000000,0.000000,0.000000,events/second
1594603640,166,0.428967,0.000000,0.000000,0.000000,events/second
1594603643,166,0.425684,0.000000,0.000000,0.000000,events/second
1594603646,166,0.422374,0.000000,0.000000,0.000000,events/second
1594603649,166,0.419199,0.000000,0.000000,0.000000,events/second
1594603652,166,0.416056,0.000000,0.000000,0.000000,events/second
1594603655,166,0.412971,0.000000,0.000000,0.000000,events/second
1594603658,166,0.409890,0.000000,0.000000,0.000000,events/second
1594603661,166,0.406880,0.000000,0.000000,0.000000,events/second
1594603664,166,0.403911,0.000000,0.000000,0.000000,events/second
1594603667,166,0.401000,0.000000,0.000000,0.000000,events/second
1594603670,166,0.398100,0.000000,0.000000,0.000000,events/second
1594603673,166,0.395259,0.000000,0.000000,0.000000,events/second
1594603676,166,0.392455,0.000000,0.000000,0.000000,events/second
1594603679,166,0.389690,0.000000,0.000000,0.000000,events/second
1594603682,166,0.386958,0.000000,0.000000,0.000000,events/second
1594603685,166,0.384275,0.000000,0.000000,0.000000,events/second
1594603688,166,0.381640,0.000000,0.000000,0.000000,events/second
1594603691,166,0.379032,0.000000,0.000000,0.000000,events/second
1594603694,166,0.376438,0.000000,0.000000,0.000000,events/second
1594603697,166,0.373909,0.000000,0.000000,0.000000,events/second
1594603700,166,0.371400,0.000000,0.000000,0.000000,events/second
1594603703,166,0.368901,0.000000,0.000000,0.000000,events/second
1594603706,166,0.366479,0.000000,0.000000,0.000000,events/second
1594603709,166,0.364054,0.000000,0.000000,0.000000,events/second
1594603712,166,0.361667,0.000000,0.000000,0.000000,events/second
1594603715,166,0.359328,0.000000,0.000000,0.000000,events/second
1594603718,166,0.357019,0.000000,0.000000,0.000000,events/second
1594603721,166,0.354733,0.000000,0.000000,0.000000,events/second
1594603724,166,0.352460,0.000000,0.000000,0.000000,events/second
1594603727,166,0.350236,0.000000,0.000000,0.000000,events/second
1594603730,166,0.348032,0.000000,0.000000,0.000000,events/second
1594603733,166,0.345853,0.000000,0.000000,0.000000,events/second
1594603736,166,0.343714,0.000000,0.000000,0.000000,events/second
1594603739,166,0.341581,0.000000,0.000000,0.000000,events/second
1594603742,166,0.339489,0.000000,0.000000,0.000000,events/second
1594603745,166,0.337414,0.000000,0.000000,0.000000,events/second
1594603748,166,0.335355,0.000000,0.000000,0.000000,events/second
1594603751,166,0.333360,0.000000,0.000000,0.000000,events/second
1594603754,166,0.331362,0.000000,0.000000,0.000000,events/second
1594603757,166,0.329392,0.000000,0.000000,0.000000,events/second
1594603760,166,0.327432,0.000000,0.000000,0.000000,events/second
1594603763,166,0.325513,0.000000,0.000000,0.000000,events/second
1594603766,166,0.323585,0.000000,0.000000,0.000000,events/second
1594603769,166,0.321716,0.000000,0.000000,0.000000,events/second
1594603772,166,0.319870,0.000000,0.000000,0.000000,events/second
1594603775,166,0.318019,0.000000,0.000000,0.000000,events/second
1594603778,166,0.316210,0.000000,0.000000,0.000000,events/second
1594603781,166,0.314414,0.000000,0.000000,0.000000,events/second
1594603784,166,0.312634,0.000000,0.000000,0.000000,events/second
1594603787,166,0.310881,0.000000,0.000000,0.000000,events/second
1594603790,166,0.309149,0.000000,0.000000,0.000000,events/second
1594603793,166,0.307411,0.000000,0.000000,0.000000,events/second
1594603796,166,0.305713,0.000000,0.000000,0.000000,events/second
1594603799,166,0.304035,0.000000,0.000000,0.000000,events/second
1594603802,166,0.302385,0.000000,0.000000,0.000000,events/second
1594603805,166,0.300743,0.000000,0.000000,0.000000,events/second
1594603808,166,0.299120,0.000000,0.000000,0.000000,events/second
1594603811,166,0.297512,0.000000,0.000000,0.000000,events/second
1594603814,166,0.295913,0.000000,0.000000,0.000000,events/second
1594603817,166,0.294340,0.000000,0.000000,0.000000,events/second
1594603820,166,0.292778,0.000000,0.000000,0.000000,events/second
1594603823,166,0.291246,0.000000,0.000000,0.000000,events/second
1594603826,166,0.289712,0.000000,0.000000,0.000000,events/second
1594603829,166,0.288211,0.000000,0.000000,0.000000,events/second
1594603832,166,0.286722,0.000000,0.000000,0.000000,events/second
1594603835,166,0.285241,0.000000,0.000000,0.000000,events/second
1594603838,166,0.283769,0.000000,0.000000,0.000000,events/second
1594603841,166,0.282326,0.000000,0.000000,0.000000,events/second
1594603844,166,0.280892,0.000000,0.000000,0.000000,events/second
1594603847,166,0.279465,0.000000,0.000000,0.000000,events/second
1594603850,166,0.278072,0.000000,0.000000,0.000000,events/second
1594603853,166,0.276682,0.000000,0.000000,0.000000,events/second
1594603856,166,0.275303,0.000000,0.000000,0.000000,events/second
1594603859,166,0.273943,0.000000,0.000000,0.000000,events/second
1594603862,166,0.272591,0.000000,0.000000,0.000000,events/second
1594603865,166,0.271248,0.000000,0.000000,0.000000,events/second
1594603868,166,0.269920,0.000000,0.000000,0.000000,events/second
1594603871,166,0.268615,0.000000,0.000000,0.000000,events/second
1594603874,166,0.267315,0.000000,0.000000,0.000000,events/second
1594603877,166,0.266034,0.000000,0.000000,0.000000,events/second
