t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,3,0.492474,0.000000,0.000000,0.000000,events/second
1594603262,6,0.662442,0.000000,0.000000,0.000000,events/second
1594603265,6,0.498658,0.000000,0.000000,0.000000,events/second
1594603268,21,1.383827,0.000000,0.000000,0.000000,events/second
1594603271,26,1.431666,0.000000,0.000000,0.000000,events/second
1594603274,26,1.234123,0.000000,0.000000,0.000000,events/second
1594603277,28,1.164648,0.000000,0.000000,0.000000,events/second
1594603280,28,1.032702,0.000000,0.000000,0.000000,events/second
1594603283,28,0.932230,0.000000,0.000000,0.000000,events/second
1594603286,28,0.847489,0.000000,0.000000,0.000000,events/second
1594603289,28,0.726424,0.000000,0.000000,0.000000,events/second
1594603292,28,0.713831,0.000000,0.000000,0.000000,events/second
1594603295,28,0.665115,0.000000,0.000000,0.000000,events/second
1594603298,28,0.622385,0.000000,0.000000,0.000000,events/second
1594603301,28,0.583203,0.000000,0.000000,0.000000,events/second
1594603304,28,0.548514,0.000000,0.000000,0.000000,events/second
1594603307,28,0.518484,0.000000,0.000000,0.000000,events/second
1594603310,28,0.491223,0.000000,0.000000,0.000000,events/second
1594603313,28,0.464637,0.000000,0.000000,0.000000,events/second
1594603316,28,0.444380,0.000000,0.000000,0.000000,events/second
1594603319,28,0.424205,0.000000,0.000000,0.000000,events/second
1594603322,28,0.405960,0.000000,0.000000,0.000000,events/second
1594603325,28,0.389043,0.000000,0.000000,0.000000,events/second
1594603328,28,0.373475,0.000000,0.000000,0.000000,events/second
1594603331,28,0.358989,0.000000,0.000000,0.000000,events/second
1594603334,28,0.345754,0.000000,0.000000,0.000000,events/second
1594603337,28,0.333341,0.000000,0.000000,0.000000,events/second
1594603340,28,0.321917,0.000000,0.000000,0.000000,events/second
1594603343,28,0.311218,0.000000,0.000000,0.000000,events/second
1594603346,28,0.301178,0.000000,0.000000,0.000000,events/second
1594603349,28,0.291768,0.000000,0.000000,0.000000,events/second
1594603352,28,0.282902,0.000000,0.000000,0.000000,events/second
1594603355,28,0.274599,0.000000,0.000000,0.000000,events/second
1594603358,28,0.266748,0.000000,0.000000,0.000000,events/second
1594603361,28,0.259253,0.000000,0.000000,0.000000,events/second
1594603364,28,0.252227,0.000000,0.000000,0.000000,events/second
1594603367,28,0.245562,0.000000,0.000000,0.000000,events/second
1594603370,28,0.239313,0.000000,0.000000,0.000000,events/second
1594603373,28,0.233396,0.000000,0.000000,0.000000,events/second
1594603376,28,0.227707,0.000000,0.000000,0.000000,events/second
1594603379,28,0.222271,0.000000,0.000000,0.000000,events/second
1594603382,28,0.217102,0.000000,0.000000,0.000000,events/second
1594603385,28,0.212150,0.000000,0.000000,0.000000,events/second
1594603388,28,0.207414,0.000000,0.000000,0.000000,events/second
1594603391,28,0.202926,0.000000,0.000000,0.000000,events/second
1594603394,28,0.198598,0.000000,0.000000,0.000000,events/second
1594603397,28,0.194484,0.000000,0.000000,0.000000,events/second
1594603400,28,0.190492,0.000000,0.000000,0.000000,events/second
1594603403,37,0.246691,0.000000,0.000000,0.000000,events/second
1594603406,89,0.580664,0.000000,0.000000,0.000000,events/second
1594603409,103,0.660327,0.000000,0.000000,0.000000,events/second
1594603412,103,0.647890,0.000000,0.000000,0.000000,events/second
1594603415,103,0.635900,0.000000,0.000000,0.000000,events/second
1594603418,103,0.624240,0.000000,0.000000,0.000000,events/second
