t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,2,0.328304,0.000000,0.000000,0.000000,events/second
1594603262,4,0.441620,0.000000,0.000000,0.000000,events/second
1594603265,4,0.332434,0.000000,0.000000,0.000000,events/second
1594603268,19,1.252039,0.000000,0.000000,0.000000,events/second
1594603271,23,1.266399,0.000000,0.000000,0.000000,events/second
1594603274,23,1.091599,0.000000,0.000000,0.000000,events/second
1594603277,25,1.039854,0.000000,0.000000,0.000000,events/second
1594603280,25,0.922059,0.000000,0.000000,0.000000,events/second
1594603283,25,0.832360,0.000000,0.000000,0.000000,events/second
1594603286,25,0.756695,0.000000,0.000000,0.000000,events/second
1594603289,25,0.648588,0.000000,0.000000,0.000000,events/second
1594603292,25,0.637357,0.000000,0.000000,0.000000,events/second
1594603295,25,0.593854,0.000000,0.000000,0.000000,events/second
1594603298,25,0.555703,0.000000,0.000000,0.000000,events/second
1594603301,25,0.520717,0.000000,0.000000,0.000000,events/second
1594603304,25,0.489732,0.000000,0.000000,0.000000,events/second
1594603307,25,0.462935,0.000000,0.000000,0.000000,events/second
1594603310,25,0.438596,0.000000,0.000000,0.000000,events/second
1594603313,25,0.414849,0.000000,0.000000,0.000000,events/second
1594603316,25,0.396769,0.000000,0.000000,0.000000,events/second
1594603319,25,0.378758,0.000000,0.000000,0.000000,events/second
1594603322,25,0.362467,0.000000,0.000000,0.000000,events/second
1594603325,25,0.347362,0.000000,0.000000,0.000000,events/second
1594603328,25,0.333462,0.000000,0.000000,0.000000,events/second
1594603331,25,0.320527,0.000000,0.000000,0.000000,events/second
1594603334,25,0.308711,0.000000,0.000000,0.000000,events/second
1594603337,25,0.297628,0.000000,0.000000,0.000000,events/second
1594603340,25,0.287427,0.000000,0.000000,0.000000,events/second
1594603343,25,0.277875,0.000000,0.000000,0.000000,events/second
1594603346,25,0.268911,0.000000,0.000000,0.000000,events/second
1594603349,25,0.260508,0.000000,0.000000,0.000000,events/second
1594603352,25,0.252592,0.000000,0.000000,0.000000,events/second
1594603355,25,0.245179,0.000000,0.000000,0.000000,events/second
1594603358,25,0.238169,0.000000,0.000000,0.000000,events/second
1594603361,25,0.231477,0.000000,0.000000,0.000000,events/second
1594603364,25,0.225204,0.000000,0.000000,0.000000,events/second
1594603367,25,0.219253,0.000000,0.000000,0.000000,events/second
1594603370,25,0.213673,0.000000,0.000000,0.000000,events/second
1594603373,25,0.208390,0.000000,0.000000,0.000000,events/second
1594603376,25,0.203311,0.000000,0.000000,0.000000,events/second
1594603379,25,0.198457,0.000000,0.000000,0.000000,events/second
1594603382,25,0.193842,0.000000,0.000000,0.000000,events/second
1594603385,25,0.189421,0.000000,0.000000,0.000000,events/second
1594603388,25,0.185191,0.000000,0.000000,0.000000,events/second
1594603391,25,0.181184,0.000000,0.000000,0.000000,events/second
1594603394,25,0.177320,0.000000,0.000000,0.000000,events/second
1594603397,25,0.173647,0.000000,0.000000,0.000000,events/second
1594603400,25,0.170083,0.000000,0.000000,0.000000,events/second
1594603403,31,0.206687,0.000000,0.000000,0.000000,events/second
1594603406,78,0.508897,0.000000,0.000000,0.000000,events/second
1594603409,90,0.576987,0.000000,0.000000,0.000000,events/second
1594603412,90,0.566119,0.000000,0.000000,0.000000,events/second
1594603415,90,0.555643,0.000000,0.000000,0.000000,events/second
1594603418,90,0.545454,0.000000,0.000000,0.000000,events/second
1594603421,90,0.535810,0.000000,0.000000,0.000000,events/second
1594603424,90,0.526355,0.000000,0.000000,0.000000,events/second
1594603427,90,0.517266,0.000000,0.000000,0.000000,events/second
1594603430,90,0.508569,0.000000,0.000000,0.000000,events/second
1594603433,90,0.500062,0.000000,0.000000,0.000000,events/second
1594603436,90,0.491896,0.000000,0.000000,0.000000,events/second
1594603439,90,0.483905,0.000000,0.000000,0.000000,events/second
1594603442,90,0.476253,0.000000,0.000000,0.000000,events/second
1594603445,90,0.468738,0.000000,0.000000,0.000000,events/second
1594603448,90,0.461523,0.000000,0.000000,0.000000,events/second
1594603451,90,0.454585,0.000000,0.000000,0.000000,events/second
1594603454,96,0.477651,0.000000,0.000000,0.000000,events/second
1594603457,166,0.813836,0.000000,0.000000,0.000000,events/second
1594603460,166,0.802061,0.000000,0.000000,0.000000,events/second
1594603463,166,0.790553,0.000000,0.000000,0.000000,events/second
1594603466,166,0.779435,0.000000,0.000000,0.000000,events/second
1594603469,166,0.768526,0.000000,0.000000,0.000000,events/second
1594603472,166,0.758075,0.000000,0.000000,0.000000,events/second
1594603475,166,0.747814,0.000000,0.000000,0.000000,events/second
1594603478,166,0.737806,0.000000,0.000000,0.000000,events/second
1594603481,166,0.728114,0.000000,0.000000,0.000000,events/second
1594603484,166,0.718672,0.000000,0.000000,0.000000,events/second
1594603487,166,0.709409,0.000000,0.000000,0.000000,events/second
1594603490,166,0.700492,0.000000,0.000000,0.000000,events/second
1594603493,166,0.691667,0.000000,0.000000,0.000000,events/second
1594603496,166,0.683192,0.000000,0.000000,0.000000,events/second
1594603499,166,0.674816,0.000000,0.000000,0.000000,events/second
1594603502,166,0.666699,0.000000,0.000000,0.000000,events/second
1594603505,166,0.658780,0.000000,0.000000,0.000000,events/second
1594603508,166,0.650991,0.000000,0.000000,0.000000,events/second
1594603511,166,0.643422,0.000000,0.000000,0.000000,events/second
1594603514,166,0.636105,0.000000,0.000000,0.000000,events/second
1594603517,166,0.628833,0.000000,0.000000,0.000000,events/second
1594603520,166,0.621727,0.000000,0.000000,0.000000,events/second
1594603523,166,0.614894,0.000000,0.000000,0.000000,events/second
1594603526,166,0.608099,0.000000,0.000000,0.000000,events/second
1594603529,166,0.601527,0.000000,0.000000,0.000000,events/second
1594603532,166,0.595026,0.000000,0.000000,0.000000,events/second
1594603535,166,0.588730,0.000000,0.000000,0.000000,events/second
1594603538,166,0.582502,0.000000,0.000000,0.000000,events/second
1594603541,166,0.576407,0.000000,0.000000,0.000000,events/second
1594603544,166,0.570517,0.000000,0.000000,0.000000,events/second
1594603547,166,0.564497,0.000000,0.000000,0.000000,events/second
