t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,1,0.163892,0.000000,0.000000,0.000000,events/second
1594603262,2,0.220495,0.000000,0.000000,0.000000,events/second
1594603265,2,0.166083,0.000000,0.000000,0.000000,events/second
1594603268,2,0.131710,0.000000,0.000000,0.000000,events/second
1594603271,3,0.165090,0.000000,0.000000,0.000000,events/second
1594603274,3,0.142310,0.000000,0.000000,0.000000,events/second
1594603277,3,0.124731,0.000000,0.000000,0.000000,events/second
1594603280,3,0.110609,0.000000,0.000000,0.000000,events/second
1594603283,3,0.099853,0.000000,0.000000,0.000000,events/second
1594603286,3,0.090778,0.000000,0.000000,0.000000,events/second
1594603289,3,0.077809,0.000000,0.000000,0.000000,events/second
1594603292,3,0.076465,0.000000,0.000000,0.000000,events/second
1594603295,3,0.071246,0.000000,0.000000,0.000000,events/second
1594603298,3,0.066670,0.000000,0.000000,0.000000,events/second
1594603301,3,0.062474,0.000000,0.000000,0.000000,events/second
1594603304,3,0.058755,0.000000,0.000000,0.000000,events/second
1594603307,3,0.055543,0.000000,0.000000,0.000000,events/second
1594603310,3,0.052623,0.000000,0.000000,0.000000,events/second
1594603313,3,0.049773,0.000000,0.000000,0.000000,events/second
1594603316,3,0.047605,0.000000,0.000000,0.000000,events/second
1594603319,3,0.045445,0.000000,0.000000,0.000000,events/second
1594603322,3,0.043490,0.000000,0.000000,0.000000,events/second
1594603325,3,0.041678,0.000000,0.000000,0.000000,events/second
1594603328,3,0.040011,0.000000,0.000000,0.000000,events/second
1594603331,3,0.038459,0.000000,0.000000,0.000000,events/second
1594603334,3,0.037041,0.000000,0.000000,0.000000,events/second
1594603337,3,0.035712,0.000000,0.000000,0.000000,events/second
1594603340,3,0.034488,0.000000,0.000000,0.000000,events/second
1594603343,3,0.033342,0.000000,0.000000,0.000000,events/second
1594603346,3,0.032266,0.000000,0.000000,0.000000,events/second
1594603349,3,0.031258,0.000000,0.000000,0.000000,events/second
1594603352,3,0.030308,0.000000,0.000000,0.000000,events/second
1594603355,3,0.029419,0.000000,0.000000,0.000000,events/second
1594603358,3,0.028578,0.000000,0.000000,0.000000,events/second
1594603361,3,0.027775,0.000000,0.000000,0.000000,events/second
1594603364,3,0.027022,0.000000,0.000000,0.000000,events/second
1594603367,3,0.026308,0.000000,0.000000,0.000000,events/second
1594603370,3,0.025639,0.000000,0.000000,0.000000,events/second
1594603373,3,0.025005,0.000000,0.000000,0.000000,events/second
1594603376,3,0.024395,0.000000,0.000000,0.000000,events/second
1594603379,3,0.023813,0.000000,0.000000,0.000000,events/second
1594603382,3,0.023259,0.000000,0.000000,0.000000,events/second
1594603385,3,0.022729,0.000000,0.000000,0.000000,events/second
1594603388,3,0.022221,0.000000,0.000000,0.000000,events/second
1594603391,3,0.021741,0.000000,0.000000,0.000000,events/second
1594603394,3,0.021277,0.000000,0.000000,0.000000,events/second
1594603397,3,0.020836,0.000000,0.000000,0.000000,events/second
1594603400,3,0.020409,0.000000,0.000000,0.000000,events/second
1594603403,7,0.046668,0.000000,0.000000,0.000000,events/second
1594603406,16,0.104383,0.000000,0.000000,0.000000,events/second
