t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,2,0.555522,0.000000,0.000000,0.000000,events/second
1594603259,2,0.328456,0.000000,0.000000,0.000000,events/second
1594603262,2,0.220798,0.000000,0.000000,0.000000,events/second
1594603265,2,0.166257,0.000000,0.000000,0.000000,events/second
1594603268,2,0.131819,0.000000,0.000000,0.000000,events/second
1594603271,2,0.110135,0.000000,0.000000,0.000000,events/second
1594603274,2,0.094930,0.000000,0.000000,0.000000,events/second
1594603277,2,0.083198,0.000000,0.000000,0.000000,events/second
1594603280,2,0.073773,0.000000,0.000000,0.000000,events/second
1594603283,2,0.066598,0.000000,0.000000,0.000000,events/second
1594603286,2,0.060543,0.000000,0.000000,0.000000,events/second
1594603289,2,0.051889,0.000000,0.000000,0.000000,events/second
1594603292,2,0.050994,0.000000,0.000000,0.000000,events/second
1594603295,2,0.047506,0.000000,0.000000,0.000000,events/second
1594603298,2,0.044460,0.000000,0.000000,0.000000,events/second
1594603301,2,0.041660,0.000000,0.000000,0.000000,events/second
1594603304,2,0.039180,0.000000,0.000000,0.000000,events/second
1594603307,2,0.037037,0.000000,0.000000,0.000000,events/second
1594603310,2,0.035090,0.000000,0.000000,0.000000,events/second
1594603313,2,0.033189,0.000000,0.000000,0.000000,events/second
1594603316,2,0.031744,0.000000,0.000000,0.000000,events/second
1594603319,2,0.030303,0.000000,0.000000,0.000000,events/second
1594603322,2,0.028999,0.000000,0.000000,0.000000,events/second
1594603325,2,0.027791,0.000000,0.000000,0.000000,events/second
1594603328,2,0.026679,0.000000,0.000000,0.000000,events/second
1594603331,2,0.025643,0.000000,0.000000,0.000000,events/second
1594603334,2,0.024698,0.000000,0.000000,0.000000,events/second
1594603337,2,0.023811,0.000000,0.000000,0.000000,events/second
1594603340,2,0.022995,0.000000,0.000000,0.000000,events/second
1594603343,2,0.022231,0.000000,0.000000,0.000000,events/second
1594603346,2,0.021514,0.000000,0.000000,0.000000,events/second
1594603349,2,0.020842,0.000000,0.000000,0.000000,events/second
1594603352,2,0.020208,0.000000,0.000000,0.000000,events/second
