t,value
1594603256,9223372036854775807
1594603259,9223372036854775807
1594603262,9223372036854775807
1594603265,9223372036854775807
1594603268,9223372036854775807
1594603271,9223372036854775807
1594603274,9223372036854775807
1594603277,9223372036854775807
1594603280,9223372036854775807
1594603283,9223372036854775807
1594603286,9223372036854775807
1594603289,9223372036854775807
1594603292,9223372036854775807
1594603295,9223372036854775807
1594603298,9223372036854775807
1594603301,9223372036854775807
1594603304,9223372036854775807
1594603307,9223372036854775807
1594603310,9223372036854775807
1594603313,9223372036854775807
1594603316,9223372036854775807
1594603319,9223372036854775807
1594603322,9223372036854775807
1594603325,9223372036854775807
1594603328,9223372036854775807
1594603331,9223372036854775807
1594603334,9223372036854775807
1594603337,9223372036854775807
1594603340,9223372036854775807
1594603343,9223372036854775807
1594603346,9223372036854775807
1594603349,9223372036854775807
1594603352,9223372036854775807
1594603355,9223372036854775807
1594603358,9223372036854775807
1594603361,9223372036854775807
1594603364,9223372036854775807
1594603367,9223372036854775807
1594603370,9223372036854775807
1594603373,9223372036854775807
1594603376,9223372036854775807
1594603379,9223372036854775807
1594603382,9223372036854775807
1594603385,9223372036854775807
1594603388,9223372036854775807
1594603391,9223372036854775807
1594603394,9223372036854775807
1594603397,9223372036854775807
1594603400,9223372036854775807
1594603403,9223372036854775807
1594603406,9223372036854775807
1594603409,9223372036854775807
1594603412,9223372036854775807
1594603415,9223372036854775807
1594603418,9223372036854775807
1594603421,9223372036854775807
1594603424,9223372036854775807
1594603427,9223372036854775807
1594603430,9223372036854775807
1594603433,9223372036854775807
1594603436,9223372036854775807
1594603439,9223372036854775807
1594603442,9223372036854775807
1594603445,9223372036854775807
1594603448,9223372036854775807
1594603451,9223372036854775807
1594603454,9223372036854775807
1594603457,9223372036854775807
1594603460,9223372036854775807
1594603463,9223372036854775807
1594603466,9223372036854775807
1594603469,9223372036854775807
1594603472,9223372036854775807
1594603475,9223372036854775807
1594603478,9223372036854775807
1594603481,9223372036854775807
1594603484,9223372036854775807
1594603487,9223372036854775807
1594603490,9223372036854775807
1594603493,9223372036854775807
1594603496,9223372036854775807
1594603499,9223372036854775807
1594603502,9223372036854775807
1594603505,9223372036854775807
1594603508,9223372036854775807
1594603511,9223372036854775807
1594603514,9223372036854775807
1594603517,9223372036854775807
1594603520,9223372036854775807
1594603523,9223372036854775807
1594603526,9223372036854775807
1594603529,9223372036854775807
1594603532,9223372036854775807
1594603535,9223372036854775807
1594603538,9223372036854775807
1594603541,9223372036854775807
1594603544,9223372036854775807
1594603547,9223372036854775807
1594603550,9223372036854775807
1594603553,9223372036854775807
1594603556,9223372036854775807
1594603559,9223372036854775807
1594603562,9223372036854775807
1594603565,9223372036854775807
1594603568,9223372036854775807
1594603571,9223372036854775807
1594603574,9223372036854775807
1594603577,9223372036854775807
1594603580,9223372036854775807
1594603583,9223372036854775807
1594603586,9223372036854775807
1594603589,9223372036854775807
1594603592,9223372036854775807
1594603595,9223372036854775807
1594603598,9223372036854775807
1594603601,9223372036854775807
1594603604,9223372036854775807
1594603607,9223372036854775807
1594603610,9223372036854775807
1594603613,9223372036854775807
1594603616,9223372036854775807
1594603619,9223372036854775807
1594603622,9223372036854775807
1594603625,9223372036854775807
1594603628,9223372036854775807
1594603631,9223372036854775807
1594603634,9223372036854775807
1594603637,9223372036854775807
1594603640,9223372036854775807
1594603643,9223372036854775807
1594603646,9223372036854775807
1594603649,9223372036854775807
1594603652,9223372036854775807
1594603655,9223372036854775807
1594603658,9223372036854775807
1594603661,9223372036854775807
1594603664,9223372036854775807
1594603667,9223372036854775807
1594603670,9223372036854775807
1594603673,9223372036854775807
1594603676,9223372036854775807
1594603679,9223372036854775807
1594603682,9223372036854775807
1594603685,9223372036854775807
1594603688,9223372036854775807
1594603691,9223372036854775807
1594603694,9223372036854775807
1594603697,9223372036854775807
1594603700,9223372036854775807
1594603703,9223372036854775807
1594603706,9223372036854775807
1594603709,9223372036854775807
1594603712,9223372036854775807
1594603715,9223372036854775807
1594603718,9223372036854775807
1594603721,9223372036854775807
1594603724,9223372036854775807
1594603727,9223372036854775807
1594603730,9223372036854775807
1594603733,9223372036854775807
1594603736,9223372036854775807
1594603739,9223372036854775807
1594603742,9223372036854775807
1594603745,9223372036854775807
1594603748,9223372036854775807
1594603751,9223372036854775807
1594603754,9223372036854775807
1594603757,9223372036854775807
1594603760,9223372036854775807
1594603763,9223372036854775807
1594603766,9223372036854775807
1594603769,9223372036854775807
1594603772,9223372036854775807
1594603775,9223372036854775807
1594603778,9223372036854775807
1594603781,9223372036854775807
1594603784,9223372036854775807
1594603787,9223372036854775807
1594603790,9223372036854775807
1594603793,9223372036854775807
1594603796,9223372036854775807
1594603799,9223372036854775807
1594603802,9223372036854775807
1594603805,9223372036854775807
1594603808,9223372036854775807
1594603811,9223372036854775807
1594603814,9223372036854775807
1594603817,9223372036854775807
1594603820,9223372036854775807
1594603823,9223372036854775807
1594603826,9223372036854775807
1594603829,9223372036854775807
1594603832,9223372036854775807
1594603835,9223372036854775807
1594603838,9223372036854775807
1594603841,9223372036854775807
1594603844,9223372036854775807
1594603847,9223372036854775807
1594603850,9223372036854775807
1594603853,9223372036854775807
1594603856,9223372036854775807
1594603859,9223372036854775807
1594603862,9223372036854775807
1594603865,9223372036854775807
1594603868,9223372036854775807
1594603871,9223372036854775807
1594603874,9223372036854775807
1594603877,9223372036854775807
1594603880,9223372036854775807
1594603883,9223372036854775807
1594603886,9223372036854775807
1594603889,9223372036854775807
1594603892,9223372036854775807
1594603895,9223372036854775807
1594603898,9223372036854775807
1594603901,9223372036854775807
1594603904,9223372036854775807
1594603907,9223372036854775807
1594603910,9223372036854775807
1594603913,9223372036854775807
1594603916,9223372036854775807
1594603919,9223372036854775807
1594603922,9223372036854775807
1594603925,9223372036854775807
1594603928,9223372036854775807
1594603931,9223372036854775807
1594603934,9223372036854775807
1594603937,9223372036854775807
1594603940,9223372036854775807
1594603943,9223372036854775807
1594603946,9223372036854775807
1594603949,9223372036854775807
1594603952,9223372036854775807
1594603955,9223372036854775807
1594603958,9223372036854775807
1594603961,9223372036854775807
1594603964,9223372036854775807
1594603967,9223372036854775807
1594603970,9223372036854775807
1594603973,9223372036854775807
1594603976,9223372036854775807
1594603979,9223372036854775807
1594603982,9223372036854775807
1594603985,9223372036854775807
1594603988,9223372036854775807
1594603991,9223372036854775807
1594603994,9223372036854775807
1594603997,9223372036854775807
1594604000,9223372036854775807
1594604003,9223372036854775807
1594604006,9223372036854775807
1594604009,9223372036854775807
1594604012,9223372036854775807
1594604015,9223372036854775807
1594604018,9223372036854775807
1594604021,9223372036854775807
1594604024,9223372036854775807
1594604027,9223372036854775807
1594604030,9223372036854775807
1594604033,9223372036854775807
1594604036,9223372036854775807
1594604039,9223372036854775807
1594604042,9223372036854775807
