t,value
1594603256,0
1594603259,33554432
1594603262,67108864
1594603265,67108864
1594603268,67108864
1594603271,83886080
1594603274,83886080
1594603277,83886080
1594603280,83886080
1594603283,83886080
1594603286,83886080
1594603289,83886080
1594603292,83886080
1594603295,83886080
1594603298,83886080
1594603301,83886080
1594603304,83886080
1594603307,83886080
1594603310,83886080
1594603313,83886080
1594603316,83886080
1594603319,83886080
1594603322,83886080
1594603325,83886080
1594603328,83886080
1594603331,83886080
1594603334,83886080
1594603337,83886080
1594603340,83886080
1594603343,83886080
1594603346,83886080
1594603349,83886080
1594603352,83886080
1594603355,83886080
1594603358,83886080
1594603361,83886080
1594603364,83886080
1594603367,83886080
1594603370,83886080
1594603373,83886080
1594603376,83886080
1594603379,83886080
1594603382,83886080
1594603385,83886080
1594603388,83886080
1594603391,83886080
1594603394,83886080
1594603397,83886080
1594603400,83886080
1594603403,134217728
1594603406,134217728
1594603409,134217728
1594603412,134217728
1594603415,134217728
1594603418,134217728
1594603421,134217728
1594603424,134217728
1594603427,134217728
1594603430,134217728
1594603433,134217728
1594603436,134217728
1594603439,134217728
1594603442,134217728
1594603445,134217728
1594603448,134217728
1594603451,134217728
1594603454,134217728
1594603457,134217728
1594603460,134217728
1594603463,134217728
1594603466,134217728
1594603469,134217728
1594603472,134217728
1594603475,134217728
1594603478,134217728
1594603481,134217728
1594603484,134217728
1594603487,134217728
1594603490,134217728
1594603493,134217728
1594603496,134217728
1594603499,134217728
1594603502,134217728
1594603505,134217728
1594603508,134217728
1594603511,134217728
1594603514,134217728
1594603517,134217728
1594603520,134217728
1594603523,134217728
1594603526,134217728
1594603529,134217728
1594603532,134217728
1594603535,134217728
1594603538,134217728
1594603541,134217728
1594603544,134217728
1594603547,134217728
1594603550,134217728
1594603553,134217728
1594603556,134217728
1594603559,134217728
1594603562,134217728
1594603565,134217728
1594603568,134217728
1594603571,134217728
1594603574,134217728
1594603577,134217728
1594603580,134217728
1594603583,134217728
1594603586,134217728
1594603589,134217728
1594603592,134217728
1594603595,134217728
1594603598,134217728
1594603601,134217728
1594603604,134217728
1594603607,134217728
1594603610,134217728
1594603613,134217728
1594603616,134217728
1594603619,134217728
1594603622,134217728
1594603625,134217728
1594603628,134217728
1594603631,134217728
1594603634,134217728
1594603637,134217728
1594603640,134217728
1594603643,134217728
1594603646,134217728
1594603649,134217728
1594603652,134217728
1594603655,134217728
1594603658,134217728
1594603661,134217728
1594603664,134217728
1594603667,134217728
1594603670,134217728
1594603673,134217728
1594603676,134217728
1594603679,134217728
1594603682,134217728
1594603685,134217728
1594603688,134217728
1594603691,134217728
1594603694,134217728
1594603697,134217728
1594603700,134217728
1594603703,134217728
1594603706,134217728
1594603709,134217728
1594603712,134217728
1594603715,134217728
1594603718,134217728
1594603721,134217728
1594603724,134217728
1594603727,134217728
1594603730,134217728
1594603733,134217728
1594603736,134217728
1594603739,134217728
1594603742,134217728
1594603745,134217728
1594603748,134217728
1594603751,134217728
1594603754,134217728
1594603757,134217728
1594603760,134217728
1594603763,134217728
1594603766,134217728
1594603769,134217728
1594603772,134217728
1594603775,134217728
1594603778,134217728
1594603781,134217728
1594603784,134217728
1594603787,134217728
1594603790,134217728
1594603793,134217728
1594603796,134217728
1594603799,134217728
1594603802,134217728
1594603805,134217728
1594603808,134217728
1594603811,134217728
1594603814,134217728
1594603817,134217728
1594603820,134217728
1594603823,134217728
1594603826,134217728
1594603829,134217728
1594603832,134217728
1594603835,134217728
1594603838,134217728
1594603841,134217728
1594603844,134217728
1594603847,134217728
1594603850,134217728
1594603853,134217728
1594603856,134217728
1594603859,134217728
1594603862,134217728
1594603865,134217728
1594603868,134217728
1594603871,134217728
1594603874,134217728
1594603877,134217728
1594603880,134217728
1594603883,134217728
1594603886,134217728
1594603889,134217728
1594603892,134217728
1594603895,134217728
1594603898,134217728
1594603901,134217728
1594603904,134217728
1594603907,134217728
1594603910,134217728
