t,value
1594603256,2097152
1594603259,2097152
1594603262,2097152
1594603265,2097152
1594603268,2097152
1594603271,2097152
1594603274,2097152
1594603277,2097152
1594603280,2097152
1594603283,2097152
1594603286,2097152
1594603289,2097152
1594603292,2097152
1594603295,2097152
1594603298,2097152
1594603301,2097152
1594603304,2097152
1594603307,2097152
1594603310,2097152
1594603313,2097152
1594603316,2097152
1594603319,2097152
1594603322,2097152
1594603325,2097152
1594603328,2097152
1594603331,2097152
1594603334,2097152
1594603337,2097152
1594603340,2097152
1594603343,2097152
1594603346,2097152
1594603349,2097152
1594603352,2097152
1594603355,2097152
1594603358,2097152
1594603361,2097152
1594603364,2097152
1594603367,2097152
1594603370,2097152
1594603373,2097152
1594603376,2097152
1594603379,2097152
1594603382,2097152
1594603385,2097152
1594603388,2097152
1594603391,2097152
1594603394,2097152
1594603397,2097152
1594603400,2097152
1594603403,2097152
1594603406,2097152
1594603409,2097152
1594603412,2097152
1594603415,2097152
1594603418,2097152
1594603421,2097152
1594603424,2097152
1594603427,2097152
1594603430,2097152
1594603433,2097152
1594603436,2097152
1594603439,2097152
1594603442,2097152
1594603445,2097152
1594603448,2097152
1594603451,2097152
1594603454,2097152
1594603457,2097152
1594603460,2097152
1594603463,2097152
1594603466,2097152
1594603469,2097152
1594603472,2097152
1594603475,2097152
1594603478,2097152
1594603481,2097152
1594603484,2097152
1594603487,2097152
1594603490,2097152
1594603493,2097152
1594603496,2097152
1594603499,2097152
1594603502,2097152
1594603505,2097152
1594603508,2097152
1594603511,2097152
1594603514,2097152
1594603517,2097152
1594603520,2097152
1594603523,2097152
1594603526,2097152
1594603529,2097152
1594603532,2097152
1594603535,2097152
1594603538,2097152
1594603541,2097152
1594603544,2097152
1594603547,2097152
1594603550,2097152
1594603553,2097152
1594603556,2097152
1594603559,2097152
1594603562,2097152
1594603565,2097152
1594603568,2097152
1594603571,2097152
1594603574,2097152
1594603577,2097152
1594603580,2097152
1594603583,2097152
1594603586,2097152
1594603589,2097152
1594603592,2097152
1594603595,2097152
1594603598,2097152
1594603601,2097152
1594603604,2097152
1594603607,2097152
1594603610,2097152
1594603613,2097152
1594603616,2097152
1594603619,2097152
1594603622,2097152
1594603625,2097152
1594603628,2097152
1594603631,2097152
1594603634,2097152
1594603637,2097152
1594603640,2097152
1594603643,2097152
1594603646,2097152
1594603649,2097152
1594603652,2097152
1594603655,2097152
1594603658,2097152
1594603661,2097152
1594603664,2097152
1594603667,2097152
1594603670,2097152
1594603673,2097152
1594603676,2097152
1594603679,2097152
1594603682,2097152
1594603685,2097152
1594603688,2097152
1594603691,2097152
1594603694,2097152
1594603697,2097152
1594603700,2097152
1594603703,2097152
1594603706,2097152
1594603709,2097152
1594603712,2097152
1594603715,2097152
1594603718,2097152
1594603721,2097152
1594603724,2097152
1594603727,2097152
1594603730,2097152
1594603733,2097152
1594603736,2097152
1594603739,2097152
1594603742,2097152
1594603745,2097152
1594603748,2097152
1594603751,2097152
1594603754,2097152
1594603757,2097152
1594603760,2097152
1594603763,2097152
1594603766,2097152
1594603769,2097152
1594603772,2097152
1594603775,2097152
1594603778,2097152
1594603781,2097152
1594603784,2097152
1594603787,2097152
1594603790,2097152
1594603793,2097152
1594603796,2097152
1594603799,2097152
1594603802,2097152
1594603805,2097152
1594603808,2097152
1594603811,2097152
1594603814,2097152
1594603817,2097152
1594603820,2097152
1594603823,2097152
1594603826,2097152
1594603829,2097152
1594603832,2097152
1594603835,2097152
1594603838,2097152
1594603841,2097152
1594603844,2097152
1594603847,2097152
1594603850,2097152
1594603853,2097152
1594603856,2097152
1594603859,2097152
1594603862,2097152
1594603865,2097152
1594603868,2097152
1594603871,2097152
1594603874,2097152
1594603877,2097152
1594603880,2097152
1594603883,2097152
1594603886,2097152
1594603889,2097152
1594603892,2097152
1594603895,2097152
1594603898,2097152
1594603901,2097152
1594603904,2097152
1594603907,2097152
1594603910,2097152
1594603913,2097152
1594603916,2097152
1594603919,2097152
1594603922,2097152
1594603925,2097152
1594603928,2097152
1594603931,2097152
1594603934,2097152
1594603937,2097152
1594603940,2097152
1594603943,2097152
1594603946,2097152
1594603949,2097152
1594603952,2097152
1594603955,2097152
1594603958,2097152
1594603961,2097152
1594603964,2097152
1594603967,2097152
1594603970,2097152
1594603973,2097152
1594603976,2097152
1594603979,2097152
1594603982,2097152
1594603985,2097152
1594603988,2097152
1594603991,2097152
1594603994,2097152
1594603997,2097152
1594604000,2097152
1594604003,2097152
1594604006,2097152
1594604009,2097152
1594604012,2097152
1594604015,2097152
1594604018,2097152
1594604021,2097152
1594604024,2097152
1594604027,2097152
1594604030,2097152
1594604033,2097152
1594604036,2097152
1594604039,2097152
1594604042,2097152
1594604045,2097152
1594604048,2097152
1594604051,2097152
1594604054,2097152
1594604057,2097152
1594604060,2097152
1594604063,2097152
1594604066,2097152
1594604069,2097152
1594604072,2097152
1594604075,2097152
1594604078,2097152
1594604081,2097152
1594604084,2097152
1594604087,2097152
1594604090,2097152
1594604093,2097152
1594604096,2097152
1594604099,2097152
1594604102,2097152
1594604105,2097152
1594604108,2097152
1594604111,2097152
1594604114,2097152
1594604117,2097152
1594604120,2097152
1594604123,2097152
1594604126,2097152
1594604129,2097152
1594604132,2097152
1594604135,2097152
1594604138,2097152
1594604141,2097152
1594604144,2097152
1594604147,2097152
1594604150,2097152
1594604153,2097152
1594604156,2097152
1594604159,2097152
1594604162,2097152
1594604165,2097152
1594604168,2097152
1594604171,2097152
1594604174,2097152
1594604177,2097152
1594604180,2097152
1594604183,2097152
1594604186,2097152
1594604189,2097152
1594604192,2097152
1594604195,2097152
1594604198,2097152
1594604201,2097152
1594604204,2097152
1594604207,2097152
1594604210,2097152
1594604213,2097152
1594604216,2097152
1594604219,2097152
1594604222,2097152
1594604225,2097152
1594604228,2097152
1594604231,2097152
1594604234,2097152
1594604237,2097152
1594604240,2097152
1594604243,2097152
1594604246,2097152
1594604249,2097152
1594604252,2097152
1594604255,2097152
1594604258,2097152
1594604261,2097152
1594604264,2097152
1594604267,2097152
1594604270,2097152
1594604273,2097152
1594604276,2097152
1594604279,2097152
1594604282,2097152
1594604285,2097152
1594604288,2097152
1594604291,2097152
1594604294,2097152
1594604297,2097152
1594604300,2097152
1594604303,2097152
1594604306,2097152
1594604309,2097152
1594604312,2097152
1594604315,2097152
1594604318,2097152
1594604321,2097152
1594604324,2097152
1594604327,2097152
1594604330,2097152
1594604333,2097152
1594604336,2097152
1594604339,2097152
1594604342,2097152
1594604345,2097152
1594604348,2097152
1594604351,2097152
1594604354,2097152
1594604357,2097152
1594604360,2097152
1594604363,2097152
1594604366,2097152
1594604369,2097152
1594604372,2097152
1594604375,2097152
1594604378,2097152
1594604381,2097152
1594604384,2097152
1594604387,2097152
1594604390,2097152
1594604393,2097152
1594604396,2097152
1594604399,2097152
1594604402,2097152
1594604405,2097152
1594604408,2097152
1594604411,2097152
1594604414,2097152
1594604417,2097152
1594604420,2097152
1594604423,2097152
1594604426,2097152
1594604429,2097152
1594604432,2097152
1594604435,2097152
1594604438,2097152
1594604441,2097152
1594604444,2097152
1594604447,2097152
1594604450,2097152
1594604453,2097152
1594604456,2097152
1594604459,2097152
1594604462,2097152
1594604465,2097152
1594604468,2097152
1594604471,2097152
1594604474,2097152
1594604477,2097152
1594604480,2097152
1594604483,2097152
1594604486,2097152
1594604489,2097152
1594604492,2097152
1594604495,2097152
1594604498,2097152
1594604501,2097152
1594604504,2097152
1594604507,2097152
1594604510,2097152
1594604513,2097152
1594604516,2097152
1594604519,2097152
1594604522,2097152
1594604525,2097152
1594604528,2097152
1594604531,2097152
1594604534,2097152
1594604537,2097152
1594604540,2097152
1594604543,2097152
