t,value
1594603256,532676608
1594603259,532676608
1594603262,532676608
1594603265,532676608
1594603268,532676608
1594603271,532676608
1594603274,532676608
1594603277,532676608
1594603280,532676608
1594603283,532676608
1594603286,532676608
1594603289,532676608
1594603292,532676608
1594603295,532676608
1594603298,532676608
1594603301,532676608
1594603304,532676608
1594603307,532676608
1594603310,532676608
1594603313,532676608
1594603316,532676608
1594603319,532676608
1594603322,532676608
1594603325,532676608
1594603328,532676608
1594603331,532676608
1594603334,532676608
1594603337,532676608
1594603340,532676608
1594603343,532676608
1594603346,532676608
1594603349,532676608
1594603352,532676608
1594603355,532676608
1594603358,532676608
1594603361,532676608
1594603364,532676608
1594603367,532676608
1594603370,532676608
1594603373,532676608
1594603376,532676608
1594603379,532676608
1594603382,532676608
1594603385,532676608
1594603388,532676608
1594603391,532676608
1594603394,532676608
1594603397,532676608
1594603400,532676608
1594603403,532676608
1594603406,532676608
1594603409,532676608
1594603412,532676608
1594603415,532676608
1594603418,532676608
1594603421,532676608
1594603424,532676608
1594603427,532676608
1594603430,532676608
1594603433,532676608
1594603436,532676608
1594603439,532676608
1594603442,532676608
1594603445,532676608
1594603448,532676608
1594603451,532676608
1594603454,532676608
1594603457,532676608
1594603460,532676608
1594603463,532676608
1594603466,532676608
1594603469,532676608
1594603472,532676608
1594603475,532676608
1594603478,532676608
1594603481,532676608
1594603484,532676608
1594603487,532676608
1594603490,532676608
1594603493,532676608
1594603496,532676608
1594603499,532676608
1594603502,532676608
1594603505,532676608
1594603508,532676608
1594603511,532676608
1594603514,532676608
1594603517,532676608
1594603520,532676608
1594603523,532676608
1594603526,532676608
1594603529,532676608
1594603532,532676608
1594603535,532676608
1594603538,532676608
1594603541,532676608
1594603544,532676608
1594603547,532676608
1594603550,532676608
1594603553,532676608
1594603556,532676608
1594603559,532676608
1594603562,532676608
1594603565,532676608
1594603568,532676608
1594603571,532676608
1594603574,532676608
1594603577,532676608
1594603580,532676608
1594603583,532676608
1594603586,532676608
1594603589,532676608
1594603592,532676608
1594603595,532676608
1594603598,532676608
1594603601,532676608
1594603604,532676608
1594603607,532676608
1594603610,532676608
1594603613,532676608
1594603616,532676608
1594603619,532676608
1594603622,532676608
1594603625,532676608
1594603628,532676608
1594603631,532676608
1594603634,532676608
1594603637,532676608
1594603640,532676608
1594603643,532676608
1594603646,532676608
1594603649,532676608
1594603652,532676608
1594603655,532676608
1594603658,532676608
1594603661,532676608
1594603664,532676608
1594603667,532676608
1594603670,532676608
1594603673,532676608
1594603676,532676608
1594603679,532676608
1594603682,532676608
1594603685,532676608
1594603688,532676608
1594603691,532676608
1594603694,532676608
1594603697,532676608
1594603700,532676608
1594603703,532676608
1594603706,532676608
1594603709,532676608
1594603712,532676608
1594603715,532676608
1594603718,532676608
1594603721,532676608
1594603724,532676608
1594603727,532676608
1594603730,532676608
1594603733,532676608
1594603736,532676608
1594603739,532676608
1594603742,532676608
1594603745,532676608
1594603748,532676608
1594603751,532676608
1594603754,532676608
1594603757,532676608
1594603760,532676608
1594603763,532676608
1594603766,532676608
1594603769,532676608
1594603772,532676608
1594603775,532676608
1594603778,532676608
1594603781,532676608
1594603784,532676608
1594603787,532676608
1594603790,532676608
1594603793,532676608
1594603796,532676608
1594603799,532676608
1594603802,532676608
1594603805,532676608
1594603808,532676608
1594603811,532676608
1594603814,532676608
1594603817,532676608
1594603820,532676608
1594603823,532676608
1594603826,532676608
1594603829,532676608
1594603832,532676608
1594603835,532676608
