t,value
1594603256,536870912
1594603259,536870912
1594603262,536870912
1594603265,536870912
1594603268,536870912
1594603271,536870912
1594603274,536870912
1594603277,536870912
1594603280,536870912
1594603283,536870912
1594603286,536870912
1594603289,536870912
1594603292,536870912
1594603295,536870912
1594603298,536870912
1594603301,536870912
1594603304,536870912
1594603307,536870912
1594603310,536870912
1594603313,536870912
1594603316,536870912
1594603319,536870912
1594603322,536870912
1594603325,536870912
1594603328,536870912
1594603331,536870912
1594603334,536870912
1594603337,536870912
1594603340,536870912
1594603343,536870912
1594603346,536870912
1594603349,536870912
1594603352,536870912
1594603355,536870912
1594603358,536870912
1594603361,536870912
1594603364,536870912
1594603367,536870912
1594603370,536870912
1594603373,536870912
1594603376,536870912
1594603379,536870912
1594603382,536870912
1594603385,536870912
1594603388,536870912
1594603391,536870912
1594603394,536870912
1594603397,536870912
1594603400,536870912
1594603403,536870912
1594603406,536870912
1594603409,536870912
1594603412,536870912
1594603415,536870912
1594603418,536870912
1594603421,536870912
1594603424,536870912
1594603427,536870912
1594603430,536870912
1594603433,536870912
1594603436,536870912
1594603439,536870912
1594603442,536870912
1594603445,536870912
1594603448,536870912
1594603451,536870912
1594603454,536870912
1594603457,536870912
1594603460,536870912
1594603463,536870912
1594603466,536870912
1594603469,536870912
1594603472,536870912
1594603475,536870912
1594603478,536870912
1594603481,536870912
1594603484,536870912
1594603487,536870912
1594603490,536870912
1594603493,536870912
1594603496,536870912
1594603499,536870912
1594603502,536870912
1594603505,536870912
1594603508,536870912
1594603511,536870912
1594603514,536870912
1594603517,536870912
1594603520,536870912
1594603523,536870912
1594603526,536870912
1594603529,536870912
1594603532,536870912
1594603535,536870912
1594603538,536870912
1594603541,536870912
1594603544,536870912
1594603547,536870912
1594603550,536870912
1594603553,536870912
1594603556,536870912
1594603559,536870912
1594603562,536870912
1594603565,536870912
1594603568,536870912
1594603571,536870912
1594603574,536870912
1594603577,536870912
1594603580,536870912
1594603583,536870912
1594603586,536870912
1594603589,536870912
1594603592,536870912
1594603595,536870912
1594603598,536870912
1594603601,536870912
1594603604,536870912
1594603607,536870912
1594603610,536870912
1594603613,536870912
1594603616,536870912
1594603619,536870912
1594603622,536870912
1594603625,536870912
1594603628,536870912
1594603631,536870912
1594603634,536870912
1594603637,536870912
1594603640,536870912
1594603643,536870912
1594603646,536870912
1594603649,536870912
1594603652,536870912
1594603655,536870912
1594603658,536870912
1594603661,536870912
1594603664,536870912
1594603667,536870912
1594603670,536870912
1594603673,536870912
1594603676,536870912
1594603679,536870912
1594603682,536870912
1594603685,536870912
1594603688,536870912
1594603691,536870912
1594603694,536870912
1594603697,536870912
1594603700,536870912
1594603703,536870912
1594603706,536870912
1594603709,536870912
1594603712,536870912
1594603715,536870912
1594603718,536870912
1594603721,536870912
1594603724,536870912
1594603727,536870912
1594603730,536870912
1594603733,536870912
1594603736,536870912
1594603739,536870912
1594603742,536870912
1594603745,536870912
1594603748,536870912
1594603751,536870912
1594603754,536870912
1594603757,536870912
1594603760,536870912
1594603763,536870912
1594603766,536870912
1594603769,536870912
1594603772,536870912
1594603775,536870912
1594603778,536870912
1594603781,536870912
1594603784,536870912
1594603787,536870912
1594603790,536870912
1594603793,536870912
1594603796,536870912
1594603799,536870912
1594603802,536870912
1594603805,536870912
1594603808,536870912
1594603811,536870912
1594603814,536870912
1594603817,536870912
1594603820,536870912
1594603823,536870912
1594603826,536870912
1594603829,536870912
1594603832,536870912
1594603835,536870912
1594603838,536870912
1594603841,536870912
1594603844,536870912
1594603847,536870912
1594603850,536870912
1594603853,536870912
1594603856,536870912
1594603859,536870912
1594603862,536870912
1594603865,536870912
1594603868,536870912
1594603871,536870912
1594603874,536870912
1594603877,536870912
1594603880,536870912
1594603883,536870912
1594603886,536870912
1594603889,536870912
1594603892,536870912
1594603895,536870912
1594603898,536870912
1594603901,536870912
1594603904,536870912
1594603907,536870912
1594603910,536870912
1594603913,536870912
1594603916,536870912
1594603919,536870912
1594603922,536870912
1594603925,536870912
1594603928,536870912
1594603931,536870912
1594603934,536870912
1594603937,536870912
1594603940,536870912
1594603943,536870912
1594603946,536870912
1594603949,536870912
1594603952,536870912
1594603955,536870912
1594603958,536870912
1594603961,536870912
1594603964,536870912
1594603967,536870912
1594603970,536870912
1594603973,536870912
1594603976,536870912
