t,value
1594603256,4194304
1594603259,4194304
1594603262,4194304
1594603265,4194304
1594603268,4194304
1594603271,4194304
1594603274,4194304
1594603277,4194304
1594603280,4194304
1594603283,4194304
1594603286,4194304
1594603289,4194304
1594603292,4194304
1594603295,4194304
1594603298,4194304
1594603301,4194304
1594603304,4194304
1594603307,4194304
1594603310,4194304
1594603313,4194304
1594603316,4194304
1594603319,4194304
1594603322,4194304
1594603325,4194304
1594603328,4194304
1594603331,4194304
1594603334,4194304
1594603337,4194304
1594603340,4194304
1594603343,4194304
1594603346,4194304
1594603349,4194304
1594603352,4194304
1594603355,4194304
1594603358,4194304
1594603361,4194304
1594603364,4194304
1594603367,4194304
1594603370,4194304
1594603373,4194304
1594603376,4194304
1594603379,4194304
1594603382,4194304
1594603385,4194304
1594603388,4194304
1594603391,4194304
1594603394,4194304
1594603397,4194304
1594603400,4194304
1594603403,4194304
1594603406,4194304
1594603409,4194304
1594603412,4194304
1594603415,4194304
1594603418,4194304
1594603421,4194304
1594603424,4194304
1594603427,4194304
1594603430,4194304
1594603433,4194304
1594603436,4194304
1594603439,4194304
1594603442,4194304
1594603445,4194304
1594603448,4194304
1594603451,4194304
1594603454,4194304
1594603457,4194304
1594603460,4194304
1594603463,4194304
1594603466,4194304
1594603469,4194304
1594603472,4194304
1594603475,4194304
1594603478,4194304
1594603481,4194304
1594603484,4194304
1594603487,4194304
1594603490,4194304
1594603493,4194304
1594603496,4194304
1594603499,4194304
1594603502,4194304
1594603505,4194304
1594603508,4194304
1594603511,4194304
1594603514,4194304
1594603517,4194304
1594603520,4194304
1594603523,4194304
1594603526,4194304
1594603529,4194304
1594603532,4194304
1594603535,4194304
1594603538,4194304
1594603541,4194304
1594603544,4194304
1594603547,4194304
1594603550,4194304
1594603553,4194304
1594603556,4194304
1594603559,4194304
1594603562,4194304
1594603565,4194304
1594603568,4194304
1594603571,4194304
1594603574,4194304
1594603577,4194304
1594603580,4194304
1594603583,4194304
1594603586,4194304
1594603589,4194304
1594603592,4194304
1594603595,4194304
1594603598,4194304
1594603601,4194304
1594603604,4194304
1594603607,4194304
1594603610,4194304
1594603613,4194304
1594603616,4194304
1594603619,4194304
1594603622,4194304
1594603625,4194304
1594603628,4194304
1594603631,4194304
1594603634,4194304
1594603637,4194304
1594603640,4194304
1594603643,4194304
1594603646,4194304
1594603649,4194304
1594603652,4194304
1594603655,4194304
1594603658,4194304
1594603661,4194304
1594603664,4194304
1594603667,4194304
1594603670,4194304
1594603673,4194304
1594603676,4194304
1594603679,4194304
1594603682,4194304
1594603685,4194304
1594603688,4194304
1594603691,4194304
1594603694,4194304
1594603697,4194304
1594603700,4194304
1594603703,4194304
1594603706,4194304
1594603709,4194304
1594603712,4194304
1594603715,4194304
1594603718,4194304
1594603721,4194304
1594603724,4194304
1594603727,4194304
1594603730,4194304
1594603733,4194304
1594603736,4194304
1594603739,4194304
1594603742,4194304
1594603745,4194304
1594603748,4194304
1594603751,4194304
1594603754,4194304
1594603757,4194304
1594603760,4194304
1594603763,4194304
1594603766,4194304
1594603769,4194304
1594603772,4194304
1594603775,4194304
1594603778,4194304
1594603781,4194304
1594603784,4194304
1594603787,4194304
1594603790,4194304
1594603793,4194304
1594603796,4194304
1594603799,4194304
1594603802,4194304
