t,value
1594603256,229520
1594603259,229520
1594603262,229520
1594603265,229520
1594603268,230360
1594603271,230592
1594603274,230592
1594603277,240712
1594603280,240712
1594603283,240712
1594603286,240712
1594603289,240712
1594603292,240712
1594603295,240712
1594603298,240712
1594603301,240712
1594603304,240712
1594603307,240712
1594603310,240712
1594603313,240712
1594603316,240712
1594603319,240712
1594603322,240712
1594603325,240712
1594603328,240712
1594603331,240712
1594603334,240712
1594603337,240712
1594603340,240712
1594603343,240712
1594603346,240712
1594603349,240712
1594603352,240712
1594603355,240712
1594603358,240712
1594603361,240712
1594603364,240712
1594603367,240712
1594603370,240712
1594603373,240712
1594603376,240712
1594603379,240712
1594603382,240712
1594603385,240712
1594603388,240712
1594603391,240712
1594603394,240712
1594603397,240712
1594603400,240712
1594603403,240856
1594603406,242040
1594603409,243336
1594603412,243336
1594603415,243336
1594603418,243336
1594603421,243336
1594603424,243336
1594603427,243336
1594603430,243336
1594603433,243336
1594603436,243336
1594603439,243336
1594603442,243336
1594603445,243336
1594603448,243336
1594603451,243336
1594603454,243480
1594603457,246256
1594603460,246256
1594603463,246256
1594603466,246256
1594603469,246256
1594603472,246256
1594603475,246256
1594603478,246256
1594603481,246256
1594603484,246256
1594603487,246256
1594603490,246256
1594603493,246256
1594603496,246256
1594603499,246256
1594603502,246256
1594603505,246256
1594603508,246256
1594603511,246256
1594603514,246256
1594603517,246256
1594603520,246256
1594603523,246256
1594603526,246256
1594603529,246256
1594603532,246256
1594603535,246256
1594603538,246256
1594603541,246256
1594603544,246256
1594603547,246256
1594603550,246256
1594603553,246256
1594603556,246256
1594603559,246256
1594603562,246256
1594603565,246256
1594603568,246256
1594603571,246256
1594603574,246256
1594603577,246256
1594603580,246256
1594603583,246256
1594603586,246256
1594603589,246256
1594603592,246256
1594603595,246256
1594603598,246256
1594603601,246256
1594603604,246256
1594603607,246256
1594603610,246256
1594603613,246256
1594603616,246256
1594603619,246256
1594603622,246256
1594603625,246256
1594603628,246256
1594603631,246256
1594603634,246256
1594603637,246256
1594603640,246256
1594603643,246256
1594603646,246256
1594603649,246256
1594603652,246256
1594603655,246256
1594603658,246256
1594603661,246256
1594603664,246256
1594603667,246256
1594603670,246256
1594603673,246256
1594603676,246256
1594603679,246256
1594603682,246256
1594603685,246256
1594603688,246256
1594603691,246256
1594603694,246256
1594603697,246256
1594603700,246256
1594603703,246256
1594603706,246256
1594603709,246256
1594603712,246256
1594603715,246256
1594603718,246256
1594603721,246256
1594603724,246256
1594603727,246256
1594603730,246256
1594603733,246256
1594603736,246256
1594603739,246256
1594603742,246256
1594603745,246256
1594603748,246256
1594603751,246256
1594603754,246256
1594603757,246256
1594603760,246256
1594603763,246256
1594603766,246256
1594603769,246256
1594603772,246256
1594603775,246256
1594603778,246256
1594603781,246256
1594603784,246256
1594603787,246256
1594603790,246256
1594603793,246256
