t,value
1594603256,0
1594603259,0
1594603262,0
1594603265,0
1594603268,0
1594603271,0
1594603274,0
1594603277,380
1594603280,380
1594603283,380
1594603286,380
1594603289,380
1594603292,380
1594603295,380
1594603298,380
1594603301,380
1594603304,380
1594603307,380
1594603310,380
1594603313,380
1594603316,380
1594603319,380
1594603322,380
1594603325,380
1594603328,380
1594603331,380
1594603334,380
1594603337,380
1594603340,380
1594603343,380
1594603346,380
1594603349,380
1594603352,380
1594603355,380
1594603358,380
1594603361,380
1594603364,380
1594603367,380
1594603370,380
1594603373,380
1594603376,380
1594603379,380
1594603382,380
1594603385,380
1594603388,380
1594603391,380
1594603394,380
1594603397,380
1594603400,380
1594603403,380
1594603406,380
1594603409,380
1594603412,380
1594603415,380
1594603418,380
1594603421,380
1594603424,380
1594603427,380
1594603430,380
1594603433,380
1594603436,380
1594603439,380
1594603442,380
1594603445,380
1594603448,380
1594603451,380
1594603454,380
1594603457,380
1594603460,380
1594603463,380
1594603466,380
1594603469,380
1594603472,380
1594603475,380
1594603478,380
1594603481,380
1594603484,380
1594603487,380
1594603490,380
1594603493,380
1594603496,380
1594603499,380
1594603502,380
1594603505,380
1594603508,380
1594603511,380
1594603514,380
1594603517,380
1594603520,380
1594603523,380
1594603526,380
1594603529,380
1594603532,380
1594603535,380
1594603538,380
1594603541,380
1594603544,380
1594603547,380
1594603550,380
1594603553,380
1594603556,380
1594603559,380
1594603562,380
1594603565,380
1594603568,380
1594603571,380
1594603574,380
1594603577,380
1594603580,380
1594603583,380
1594603586,380
1594603589,380
1594603592,380
1594603595,380
1594603598,380
1594603601,380
1594603604,380
1594603607,380
1594603610,380
1594603613,380
1594603616,380
1594603619,380
1594603622,380
1594603625,380
1594603628,380
1594603631,380
1594603634,380
1594603637,380
1594603640,380
1594603643,380
1594603646,380
1594603649,380
1594603652,380
1594603655,380
1594603658,380
1594603661,380
1594603664,380
1594603667,380
1594603670,380
1594603673,380
1594603676,380
1594603679,380
1594603682,380
1594603685,380
1594603688,380
1594603691,380
1594603694,380
1594603697,380
1594603700,380
1594603703,380
1594603706,380
1594603709,380
1594603712,380
1594603715,380
1594603718,380
1594603721,380
1594603724,380
1594603727,380
1594603730,380
1594603733,380
1594603736,380
1594603739,380
1594603742,380
1594603745,380
1594603748,380
1594603751,380
1594603754,380
1594603757,380
1594603760,380
1594603763,380
1594603766,380
1594603769,380
1594603772,380
1594603775,380
1594603778,380
1594603781,380
1594603784,380
1594603787,380
1594603790,380
1594603793,380
1594603796,380
1594603799,380
1594603802,380
1594603805,380
1594603808,380
1594603811,380
1594603814,380
1594603817,380
1594603820,380
1594603823,380
1594603826,380
1594603829,380
1594603832,380
1594603835,380
1594603838,380
1594603841,380
1594603844,380
1594603847,380
1594603850,380
1594603853,380
1594603856,380
1594603859,380
1594603862,380
1594603865,380
1594603868,380
1594603871,380
1594603874,380
1594603877,380
1594603880,380
1594603883,380
1594603886,380
1594603889,380
1594603892,380
1594603895,380
1594603898,380
1594603901,380
1594603904,380
1594603907,380
1594603910,380
1594603913,380
1594603916,380
1594603919,380
1594603922,380
1594603925,380
1594603928,380
1594603931,380
1594603934,380
1594603937,380
1594603940,380
1594603943,380
1594603946,380
1594603949,380
1594603952,380
1594603955,380
1594603958,380
1594603961,380
1594603964,380
1594603967,380
1594603970,380
1594603973,380
1594603976,380
1594603979,380
1594603982,380
1594603985,380
1594603988,380
1594603991,380
1594603994,380
1594603997,380
1594604000,380
1594604003,380
1594604006,380
1594604009,380
1594604012,380
1594604015,380
1594604018,380
1594604021,380
1594604024,380
1594604027,380
1594604030,380
1594604033,380
1594604036,380
1594604039,380
1594604042,380
1594604045,380
1594604048,380
1594604051,380
1594604054,380
1594604057,380
1594604060,380
1594604063,380
1594604066,380
1594604069,380
1594604072,380
1594604075,380
1594604078,380
1594604081,380
1594604084,380
1594604087,380
1594604090,380
1594604093,380
1594604096,380
1594604099,380
1594604102,380
1594604105,380
1594604108,380
1594604111,380
1594604114,380
1594604117,380
1594604120,380
1594604123,380
1594604126,380
1594604129,380
1594604132,380
1594604135,380
1594604138,380
1594604141,380
1594604144,380
1594604147,380
1594604150,380
1594604153,380
1594604156,380
1594604159,380
1594604162,380
1594604165,380
1594604168,380
1594604171,380
1594604174,380
1594604177,380
1594604180,380
1594604183,380
1594604186,380
1594604189,380
1594604192,380
1594604195,380
1594604198,380
1594604201,380
1594604204,380
1594604207,380
1594604210,380
1594604213,380
1594604216,380
1594604219,380
1594604222,380
1594604225,380
1594604228,380
1594604231,380
1594604234,380
1594604237,380
1594604240,380
1594604243,380
1594604246,380
1594604249,380
1594604252,380
1594604255,380
1594604258,380
1594604261,380
1594604264,380
1594604267,380
1594604270,380
1594604273,380
1594604276,380
1594604279,380
1594604282,380
1594604285,380
1594604288,380
1594604291,380
1594604294,380
1594604297,380
1594604300,380
1594604303,380
1594604306,380
1594604309,380
1594604312,380
1594604315,380
1594604318,380
1594604321,380
1594604324,380
1594604327,380
1594604330,380
1594604333,380
1594604336,380
1594604339,380
1594604342,380
1594604345,380
1594604348,380
1594604351,380
1594604354,380
1594604357,380
1594604360,380
1594604363,380
1594604366,380
1594604369,380
1594604372,380
1594604375,380
1594604378,380
1594604381,380
1594604384,380
1594604387,380
1594604390,380
1594604393,380
1594604396,380
1594604399,380
1594604402,380
1594604405,380
1594604408,380
1594604411,380
1594604414,380
1594604417,380
1594604420,380
1594604423,380
1594604426,380
1594604429,380
1594604432,380
1594604435,380
1594604438,380
1594604441,380
1594604444,380
1594604447,380
1594604450,380
1594604453,380
1594604456,380
1594604459,380
1594604462,380
1594604465,380
1594604468,380
1594604471,380
1594604474,380
1594604477,380
1594604480,380
1594604483,380
1594604486,380
1594604489,380
1594604492,380
1594604495,380
1594604498,380
1594604501,380
1594604504,380
1594604507,380
1594604510,380
1594604513,380
1594604516,380
1594604519,380
1594604522,380
1594604525,380
1594604528,380
1594604531,380
1594604534,380
1594604537,380
1594604540,380
1594604543,380
1594604546,380
1594604549,380
1594604552,380
1594604555,380
1594604558,380
1594604561,380
1594604564,380
1594604567,380
1594604570,380
1594604573,380
1594604576,380
1594604579,380
1594604582,380
1594604585,380
1594604588,380
1594604591,380
1594604594,380
1594604597,380
1594604600,380
1594604603,380
1594604606,380
1594604609,380
1594604612,380
1594604615,380
1594604618,380
1594604621,380
1594604624,380
1594604627,380
1594604630,380
1594604633,380
1594604636,380
1594604639,380
1594604642,380
1594604645,380
1594604648,380
1594604651,380
1594604654,380
1594604657,380
1594604660,380
1594604663,380
1594604666,380
1594604669,380
1594604672,380
1594604675,380
1594604678,380
1594604681,380
1594604684,380
1594604687,380
1594604690,380
1594604693,380
1594604696,380
1594604699,380
1594604702,380
1594604705,380
1594604708,380
1594604711,380
1594604714,380
1594604717,380
1594604720,380
1594604723,380
1594604726,380
1594604729,380
1594604732,380
1594604735,380
1594604738,380
1594604741,380
1594604744,380
1594604747,380
1594604750,380
1594604753,380
1594604756,380
1594604759,380
1594604762,380
1594604765,380
1594604768,380
1594604771,380
1594604774,380
1594604777,380
1594604780,380
1594604783,380
1594604786,380
1594604789,380
1594604792,380
1594604795,380
1594604798,380
1594604801,380
1594604804,380
1594604807,380
1594604810,380
1594604813,380
1594604816,380
1594604819,380
1594604822,380
1594604825,380
1594604828,380
1594604831,380
1594604834,380
1594604837,380
1594604840,380
1594604843,380
1594604846,380
1594604849,380
1594604852,380
1594604855,380
1594604858,380
1594604861,380
1594604864,380
1594604867,380
1594604870,380
1594604873,380
1594604876,380
1594604879,380
1594604882,380
1594604885,380
1594604888,380
1594604891,380
1594604894,380
1594604897,380
1594604900,380
1594604903,380
1594604906,380
1594604909,380
1594604912,380
1594604915,380
1594604918,380
1594604921,380
1594604924,380
1594604927,380
1594604930,380
1594604933,380
1594604936,380
1594604939,380
1594604942,380
1594604945,380
1594604948,380
1594604951,380
1594604954,380
1594604957,380
1594604960,380
1594604963,380
1594604966,380
1594604969,380
1594604972,380
1594604975,380
1594604978,380
1594604981,380
1594604984,380
1594604987,380
1594604990,380
1594604993,380
1594604996,380
1594604999,380
1594605002,380
1594605005,380
1594605008,380
1594605011,380
1594605014,380
1594605017,380
1594605020,380
1594605023,380
1594605026,380
1594605029,380
1594605032,380
1594605035,380
1594605038,380
1594605041,380
1594605044,380
1594605047,380
1594605050,380
1594605053,380
1594605056,380
1594605059,380
1594605062,380
1594605065,380
1594605068,380
1594605071,380
1594605074,380
1594605077,380
1594605080,380
1594605083,380
1594605086,380
1594605089,380
1594605092,380
1594605095,380
1594605098,380
1594605101,380
1594605104,380
1594605107,380
1594605110,380
1594605113,380
1594605116,380
1594605119,380
1594605122,380
1594605125,380
1594605128,380
1594605131,380
1594605134,380
1594605137,380
1594605140,380
1594605143,380
1594605146,380
1594605149,380
1594605152,380
1594605155,380
1594605158,380
1594605161,380
1594605164,380
1594605167,380
1594605170,380
1594605173,380
1594605176,380
1594605179,380
1594605182,380
1594605185,380
1594605188,380
1594605191,380
1594605194,380
1594605197,380
1594605200,380
1594605203,380
1594605206,380
1594605209,380
1594605212,380
1594605215,380
1594605218,380
1594605221,380
1594605224,380
1594605227,380
1594605230,380
1594605233,380
1594605236,380
1594605239,380
1594605242,380
1594605245,380
1594605248,380
1594605251,380
1594605254,380
1594605257,380
1594605260,380
1594605263,380
1594605266,380
1594605269,380
1594605272,380
1594605275,380
1594605278,380
1594605281,380
1594605284,380
1594605287,380
1594605290,380
1594605293,380
1594605296,380
1594605299,380
1594605302,380
1594605305,380
1594605308,380
1594605311,380
1594605314,380
1594605317,380
1594605320,380
1594605323,380
1594605326,380
1594605329,380
1594605332,380
1594605335,380
1594605338,380
1594605341,380
1594605344,380
1594605347,380
1594605350,380
1594605353,380
1594605356,380
1594605359,380
1594605362,380
1594605365,380
1594605368,380
1594605371,380
1594605374,380
1594605377,380
1594605380,380
1594605383,380
1594605386,380
1594605389,380
1594605392,380
1594605395,380
1594605398,380
1594605401,380
1594605404,380
1594605407,380
1594605410,380
1594605413,380
1594605416,380
1594605419,380
1594605422,380
1594605425,380
1594605428,380
1594605431,380
1594605434,380
1594605437,380
1594605440,380
1594605443,380
1594605446,380
1594605449,380
1594605452,380
1594605455,380
1594605458,380
1594605461,380
1594605464,380
1594605467,380
1594605470,380
1594605473,380
1594605476,380
1594605479,380
1594605482,380
1594605485,380
1594605488,380
1594605491,380
1594605494,380
1594605497,380
1594605500,380
1594605503,380
1594605506,380
1594605509,380
1594605512,380
1594605515,380
1594605518,380
1594605521,380
1594605524,380
1594605527,380
1594605530,380
1594605533,380
1594605536,380
1594605539,380
1594605542,380
1594605545,380
1594605548,380
1594605551,380
1594605554,380
1594605557,380
1594605560,380
1594605563,380
1594605566,380
1594605569,380
1594605572,380
1594605575,380
1594605578,380
1594605581,380
1594605584,380
1594605587,380
1594605590,380
1594605593,380
1594605596,380
1594605599,380
1594605602,380
1594605605,380
1594605608,380
1594605611,380
1594605614,380
1594605617,380
1594605620,380
1594605623,380
1594605626,380
1594605629,380
1594605632,380
1594605635,380
1594605638,380
1594605641,380
1594605644,380
1594605647,380
1594605650,380
1594605653,380
1594605656,380
1594605659,380
1594605662,380
1594605665,380
1594605668,380
1594605671,380
1594605674,380
1594605677,380
1594605680,380
1594605683,380
1594605686,380
1594605689,380
1594605692,380
1594605695,380
1594605698,380
1594605701,380
1594605704,380
1594605707,380
1594605710,380
1594605713,380
1594605716,380
1594605719,380
1594605722,380
1594605725,380
1594605728,380
1594605731,380
1594605734,380
1594605737,380
1594605740,380
1594605743,380
1594605746,380
1594605749,380
1594605752,380
1594605755,380
1594605758,380
1594605761,380
1594605764,380
1594605767,380
1594605770,380
1594605773,380
1594605776,380
1594605779,380
1594605782,380
1594605785,380
1594605788,380
1594605791,380
1594605794,380
1594605797,380
1594605800,380
1594605803,380
1594605806,380
1594605809,380
1594605812,380
1594605815,380
1594605818,380
1594605821,380
1594605824,380
1594605827,380
1594605830,380
1594605833,380
1594605836,380
1594605839,380
1594605842,380
1594605845,380
1594605848,380
1594605851,380
1594605854,380
1594605857,380
1594605860,380
1594605863,380
1594605866,380
1594605869,380
1594605872,380
1594605875,380
1594605878,380
1594605881,380
1594605884,380
1594605887,380
1594605890,380
1594605893,380
1594605896,380
1594605899,380
1594605902,380
1594605905,380
1594605908,380
1594605911,380
1594605914,380
1594605917,380
1594605920,380
1594605923,380
1594605926,380
1594605929,380
1594605932,380
1594605935,380
1594605938,380
1594605941,380
1594605944,380
1594605947,380
1594605950,380
1594605953,380
1594605956,380
1594605959,380
1594605962,380
1594605965,380
1594605968,380
1594605971,380
1594605974,380
1594605977,380
1594605980,380
1594605983,380
1594605986,380
1594605989,380
1594605992,380
1594605995,380
1594605998,380
1594606001,380
1594606004,380
1594606007,380
1594606010,380
1594606013,380
1594606016,380
1594606019,380
1594606022,380
1594606025,380
1594606028,380
1594606031,380
1594606034,380
1594606037,380
1594606040,380
1594606043,380
1594606046,380
1594606049,380
1594606052,380
1594606055,380
1594606058,380
1594606061,380
1594606064,380
1594606067,380
1594606070,380
1594606073,380
1594606076,380
1594606079,380
1594606082,380
1594606085,380
1594606088,380
1594606091,380
1594606094,380
1594606097,380
1594606100,380
1594606103,380
1594606106,380
