t,value
1594603256,0
1594603259,0
1594603262,0
1594603265,0
1594603268,0
1594603271,0
1594603274,0
1594603277,6
1594603280,6
1594603283,6
1594603286,6
1594603289,6
1594603292,6
1594603295,6
1594603298,6
1594603301,6
1594603304,6
1594603307,6
1594603310,6
1594603313,6
1594603316,6
1594603319,6
1594603322,6
1594603325,6
1594603328,6
1594603331,6
1594603334,6
1594603337,6
1594603340,6
1594603343,6
1594603346,6
1594603349,6
1594603352,6
1594603355,6
1594603358,6
1594603361,6
1594603364,6
1594603367,6
1594603370,6
1594603373,6
1594603376,6
1594603379,6
1594603382,6
1594603385,6
1594603388,6
1594603391,6
1594603394,6
1594603397,6
1594603400,6
1594603403,6
1594603406,6
1594603409,6
1594603412,6
1594603415,6
1594603418,6
1594603421,6
1594603424,6
1594603427,6
1594603430,6
1594603433,6
1594603436,6
1594603439,6
1594603442,6
1594603445,6
1594603448,6
1594603451,6
1594603454,6
1594603457,6
1594603460,6
1594603463,6
1594603466,6
1594603469,6
1594603472,6
1594603475,6
1594603478,6
1594603481,6
1594603484,6
1594603487,6
1594603490,6
1594603493,6
1594603496,6
1594603499,6
1594603502,6
1594603505,6
1594603508,6
1594603511,6
1594603514,6
1594603517,6
1594603520,6
1594603523,6
1594603526,6
1594603529,6
1594603532,6
1594603535,6
1594603538,6
1594603541,6
1594603544,6
1594603547,6
1594603550,6
1594603553,6
1594603556,6
1594603559,6
1594603562,6
1594603565,6
1594603568,6
1594603571,6
1594603574,6
1594603577,6
1594603580,6
1594603583,6
1594603586,6
1594603589,6
1594603592,6
1594603595,6
1594603598,6
1594603601,6
1594603604,6
1594603607,6
1594603610,6
1594603613,6
1594603616,6
1594603619,6
1594603622,6
1594603625,6
1594603628,6
1594603631,6
1594603634,6
1594603637,6
1594603640,6
1594603643,6
1594603646,6
1594603649,6
1594603652,6
1594603655,6
1594603658,6
1594603661,6
1594603664,6
1594603667,6
1594603670,6
1594603673,6
1594603676,6
1594603679,6
1594603682,6
1594603685,6
1594603688,6
1594603691,6
1594603694,6
1594603697,6
1594603700,6
1594603703,6
1594603706,6
1594603709,6
1594603712,6
1594603715,6
1594603718,6
1594603721,6
1594603724,6
1594603727,6
1594603730,6
1594603733,6
1594603736,6
1594603739,6
1594603742,6
1594603745,6
1594603748,6
1594603751,6
1594603754,6
1594603757,6
1594603760,6
1594603763,6
1594603766,6
1594603769,6
1594603772,6
1594603775,6
1594603778,6
1594603781,6
1594603784,6
1594603787,6
1594603790,6
1594603793,6
1594603796,6
1594603799,6
1594603802,6
1594603805,6
1594603808,6
1594603811,6
1594603814,6
1594603817,6
1594603820,6
1594603823,6
1594603826,6
1594603829,6
1594603832,6
1594603835,6
1594603838,6
1594603841,6
1594603844,6
1594603847,6
1594603850,6
1594603853,6
1594603856,6
1594603859,6
1594603862,6
1594603865,6
1594603868,6
1594603871,6
1594603874,6
1594603877,6
1594603880,6
1594603883,6
1594603886,6
1594603889,6
1594603892,6
1594603895,6
1594603898,6
1594603901,6
1594603904,6
1594603907,6
1594603910,6
1594603913,6
1594603916,6
1594603919,6
1594603922,6
1594603925,6
1594603928,6
1594603931,6
1594603934,6
1594603937,6
1594603940,6
1594603943,6
1594603946,6
1594603949,6
1594603952,6
1594603955,6
1594603958,6
1594603961,6
1594603964,6
1594603967,6
1594603970,6
1594603973,6
1594603976,6
1594603979,6
1594603982,6
1594603985,6
1594603988,6
1594603991,6
1594603994,6
1594603997,6
1594604000,6
1594604003,6
1594604006,6
1594604009,6
1594604012,6
1594604015,6
1594604018,6
1594604021,6
1594604024,6
1594604027,6
1594604030,6
1594604033,6
1594604036,6
1594604039,6
1594604042,6
1594604045,6
1594604048,6
1594604051,6
1594604054,6
1594604057,6
1594604060,6
1594604063,6
1594604066,6
1594604069,6
1594604072,6
1594604075,6
1594604078,6
1594604081,6
1594604084,6
1594604087,6
1594604090,6
1594604093,6
1594604096,6
1594604099,6
1594604102,6
1594604105,6
1594604108,6
1594604111,6
1594604114,6
1594604117,6
1594604120,6
1594604123,6
1594604126,6
1594604129,6
1594604132,6
1594604135,6
1594604138,6
1594604141,6
1594604144,6
1594604147,6
1594604150,6
1594604153,6
1594604156,6
1594604159,6
1594604162,6
1594604165,6
1594604168,6
1594604171,6
1594604174,6
1594604177,6
1594604180,6
1594604183,6
1594604186,6
1594604189,6
1594604192,6
1594604195,6
1594604198,6
1594604201,6
1594604204,6
1594604207,6
1594604210,6
1594604213,6
1594604216,6
1594604219,6
1594604222,6
1594604225,6
1594604228,6
1594604231,6
1594604234,6
1594604237,6
1594604240,6
1594604243,6
1594604246,6
1594604249,6
1594604252,6
1594604255,6
1594604258,6
1594604261,6
1594604264,6
1594604267,6
1594604270,6
1594604273,6
1594604276,6
1594604279,6
1594604282,6
1594604285,6
1594604288,6
1594604291,6
1594604294,6
1594604297,6
1594604300,6
1594604303,6
1594604306,6
1594604309,6
1594604312,6
1594604315,6
1594604318,6
1594604321,6
1594604324,6
1594604327,6
1594604330,6
1594604333,6
1594604336,6
1594604339,6
1594604342,6
1594604345,6
1594604348,6
1594604351,6
1594604354,6
1594604357,6
1594604360,6
1594604363,6
1594604366,6
1594604369,6
1594604372,6
1594604375,6
1594604378,6
1594604381,6
1594604384,6
1594604387,6
1594604390,6
1594604393,6
1594604396,6
1594604399,6
1594604402,6
1594604405,6
1594604408,6
1594604411,6
1594604414,6
1594604417,6
1594604420,6
1594604423,6
1594604426,6
1594604429,6
1594604432,6
1594604435,6
1594604438,6
1594604441,6
1594604444,6
1594604447,6
1594604450,6
1594604453,6
1594604456,6
1594604459,6
1594604462,6
1594604465,6
1594604468,6
1594604471,6
1594604474,6
1594604477,6
1594604480,6
1594604483,6
1594604486,6
1594604489,6
1594604492,6
1594604495,6
1594604498,6
1594604501,6
1594604504,6
1594604507,6
1594604510,6
1594604513,6
1594604516,6
1594604519,6
1594604522,6
1594604525,6
1594604528,6
1594604531,6
1594604534,6
1594604537,6
1594604540,6
1594604543,6
1594604546,6
1594604549,6
1594604552,6
1594604555,6
1594604558,6
1594604561,6
1594604564,6
1594604567,6
1594604570,6
1594604573,6
1594604576,6
1594604579,6
1594604582,6
1594604585,6
1594604588,6
1594604591,6
1594604594,6
1594604597,6
1594604600,6
1594604603,6
1594604606,6
1594604609,6
1594604612,6
1594604615,6
1594604618,6
1594604621,6
1594604624,6
1594604627,6
1594604630,6
1594604633,6
1594604636,6
1594604639,6
1594604642,6
1594604645,6
1594604648,6
1594604651,6
1594604654,6
1594604657,6
1594604660,6
1594604663,6
1594604666,6
1594604669,6
1594604672,6
1594604675,6
1594604678,6
1594604681,6
1594604684,6
1594604687,6
1594604690,6
1594604693,6
1594604696,6
1594604699,6
1594604702,6
1594604705,6
1594604708,6
1594604711,6
1594604714,6
1594604717,6
1594604720,6
1594604723,6
1594604726,6
1594604729,6
1594604732,6
1594604735,6
1594604738,6
1594604741,6
1594604744,6
1594604747,6
1594604750,6
1594604753,6
1594604756,6
1594604759,6
1594604762,6
1594604765,6
1594604768,6
1594604771,6
1594604774,6
1594604777,6
1594604780,6
1594604783,6
1594604786,6
1594604789,6
1594604792,6
1594604795,6
1594604798,6
1594604801,6
1594604804,6
1594604807,6
1594604810,6
1594604813,6
1594604816,6
1594604819,6
1594604822,6
1594604825,6
1594604828,6
1594604831,6
1594604834,6
1594604837,6
1594604840,6
1594604843,6
1594604846,6
1594604849,6
1594604852,6
1594604855,6
1594604858,6
1594604861,6
1594604864,6
1594604867,6
1594604870,6
1594604873,6
1594604876,6
1594604879,6
1594604882,6
1594604885,6
1594604888,6
1594604891,6
1594604894,6
1594604897,6
1594604900,6
1594604903,6
1594604906,6
1594604909,6
1594604912,6
1594604915,6
1594604918,6
1594604921,6
1594604924,6
1594604927,6
1594604930,6
1594604933,6
1594604936,6
1594604939,6
1594604942,6
1594604945,6
1594604948,6
1594604951,6
1594604954,6
1594604957,6
1594604960,6
1594604963,6
1594604966,6
1594604969,6
1594604972,6
1594604975,6
1594604978,6
1594604981,6
1594604984,6
1594604987,6
1594604990,6
1594604993,6
1594604996,6
1594604999,6
1594605002,6
1594605005,6
1594605008,6
1594605011,6
1594605014,6
1594605017,6
1594605020,6
1594605023,6
1594605026,6
1594605029,6
1594605032,6
1594605035,6
1594605038,6
1594605041,6
1594605044,6
1594605047,6
1594605050,6
1594605053,6
1594605056,6
1594605059,6
1594605062,6
1594605065,6
1594605068,6
1594605071,6
1594605074,6
1594605077,6
1594605080,6
1594605083,6
1594605086,6
1594605089,6
1594605092,6
1594605095,6
1594605098,6
1594605101,6
1594605104,6
1594605107,6
1594605110,6
1594605113,6
1594605116,6
1594605119,6
1594605122,6
1594605125,6
1594605128,6
1594605131,6
1594605134,6
1594605137,6
1594605140,6
1594605143,6
1594605146,6
1594605149,6
1594605152,6
1594605155,6
1594605158,6
1594605161,6
1594605164,6
1594605167,6
1594605170,6
1594605173,6
1594605176,6
1594605179,6
1594605182,6
1594605185,6
1594605188,6
1594605191,6
1594605194,6
1594605197,6
1594605200,6
1594605203,6
1594605206,6
1594605209,6
1594605212,6
1594605215,6
1594605218,6
1594605221,6
1594605224,6
1594605227,6
1594605230,6
1594605233,6
1594605236,6
1594605239,6
1594605242,6
1594605245,6
1594605248,6
1594605251,6
1594605254,6
1594605257,6
1594605260,6
1594605263,6
1594605266,6
1594605269,6
1594605272,6
1594605275,6
1594605278,6
1594605281,6
1594605284,6
1594605287,6
1594605290,6
1594605293,6
1594605296,6
1594605299,6
1594605302,6
1594605305,6
1594605308,6
1594605311,6
1594605314,6
1594605317,6
1594605320,6
1594605323,6
1594605326,6
1594605329,6
1594605332,6
1594605335,6
1594605338,6
1594605341,6
1594605344,6
1594605347,6
1594605350,6
1594605353,6
1594605356,6
1594605359,6
1594605362,6
1594605365,6
1594605368,6
1594605371,6
1594605374,6
1594605377,6
1594605380,6
1594605383,6
1594605386,6
1594605389,6
1594605392,6
1594605395,6
1594605398,6
1594605401,6
1594605404,6
1594605407,6
1594605410,6
1594605413,6
1594605416,6
1594605419,6
1594605422,6
1594605425,6
1594605428,6
1594605431,6
1594605434,6
1594605437,6
1594605440,6
1594605443,6
1594605446,6
1594605449,6
1594605452,6
1594605455,6
1594605458,6
1594605461,6
1594605464,6
1594605467,6
1594605470,6
1594605473,6
1594605476,6
1594605479,6
1594605482,6
1594605485,6
1594605488,6
1594605491,6
1594605494,6
1594605497,6
1594605500,6
1594605503,6
1594605506,6
1594605509,6
1594605512,6
1594605515,6
1594605518,6
1594605521,6
1594605524,6
1594605527,6
1594605530,6
1594605533,6
1594605536,6
1594605539,6
1594605542,6
1594605545,6
1594605548,6
1594605551,6
1594605554,6
1594605557,6
1594605560,6
1594605563,6
1594605566,6
1594605569,6
1594605572,6
1594605575,6
1594605578,6
1594605581,6
1594605584,6
1594605587,6
1594605590,6
1594605593,6
1594605596,6
1594605599,6
1594605602,6
1594605605,6
1594605608,6
1594605611,6
1594605614,6
1594605617,6
1594605620,6
1594605623,6
1594605626,6
1594605629,6
1594605632,6
1594605635,6
1594605638,6
1594605641,6
1594605644,6
1594605647,6
1594605650,6
1594605653,6
1594605656,6
1594605659,6
1594605662,6
1594605665,6
1594605668,6
1594605671,6
1594605674,6
1594605677,6
1594605680,6
1594605683,6
1594605686,6
1594605689,6
1594605692,6
1594605695,6
1594605698,6
1594605701,6
1594605704,6
1594605707,6
1594605710,6
1594605713,6
1594605716,6
1594605719,6
1594605722,6
1594605725,6
1594605728,6
1594605731,6
1594605734,6
1594605737,6
1594605740,6
1594605743,6
1594605746,6
1594605749,6
1594605752,6
1594605755,6
1594605758,6
1594605761,6
1594605764,6
1594605767,6
1594605770,6
1594605773,6
1594605776,6
1594605779,6
1594605782,6
1594605785,6
1594605788,6
1594605791,6
1594605794,6
1594605797,6
1594605800,6
1594605803,6
1594605806,6
1594605809,6
1594605812,6
1594605815,6
1594605818,6
1594605821,6
1594605824,6
1594605827,6
1594605830,6
1594605833,6
1594605836,6
1594605839,6
1594605842,6
1594605845,6
1594605848,6
1594605851,6
1594605854,6
1594605857,6
1594605860,6
1594605863,6
1594605866,6
1594605869,6
1594605872,6
1594605875,6
1594605878,6
1594605881,6
1594605884,6
1594605887,6
1594605890,6
1594605893,6
1594605896,6
1594605899,6
1594605902,6
1594605905,6
1594605908,6
1594605911,6
1594605914,6
1594605917,6
1594605920,6
1594605923,6
1594605926,6
1594605929,6
1594605932,6
1594605935,6
1594605938,6
1594605941,6
1594605944,6
1594605947,6
1594605950,6
1594605953,6
1594605956,6
1594605959,6
1594605962,6
1594605965,6
1594605968,6
1594605971,6
1594605974,6
1594605977,6
1594605980,6
1594605983,6
1594605986,6
1594605989,6
1594605992,6
1594605995,6
1594605998,6
1594606001,6
1594606004,6
1594606007,6
1594606010,6
1594606013,6
1594606016,6
1594606019,6
1594606022,6
1594606025,6
1594606028,6
1594606031,6
1594606034,6
1594606037,6
1594606040,6
1594606043,6
1594606046,6
1594606049,6
1594606052,6
1594606055,6
1594606058,6
1594606061,6
1594606064,6
1594606067,6
1594606070,6
1594606073,6
1594606076,6
1594606079,6
1594606082,6
1594606085,6
1594606088,6
1594606091,6
1594606094,6
1594606097,6
1594606100,6
1594606103,6
1594606106,6
