t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,64,8.815516,0.000000,0.000000,0.000000,events/second
1594603259,64,6.604212,0.000000,0.000000,0.000000,events/second
1594603262,64,5.054804,0.000000,0.000000,0.000000,events/second
1594603265,64,4.094843,0.000000,0.000000,0.000000,events/second
1594603268,64,3.403701,0.000000,0.000000,0.000000,events/second
1594603271,64,2.941094,0.000000,0.000000,0.000000,events/second
1594603274,64,2.595167,0.000000,0.000000,0.000000,events/second
1594603277,76221,2757.609670,0.000000,0.000000,0.000000,events/second
1594603280,76221,2482.213530,0.000000,0.000000,0.000000,events/second
1594603283,76221,2266.840269,0.000000,0.000000,0.000000,events/second
1594603286,76221,2080.959187,0.000000,0.000000,0.000000,events/second
1594603289,76221,1808.803725,0.000000,0.000000,0.000000,events/second
1594603292,76221,1780.352077,0.000000,0.000000,0.000000,events/second
1594603295,76221,1668.038020,0.000000,0.000000,0.000000,events/second
1594603298,76221,1569.069679,0.000000,0.000000,0.000000,events/second
1594603301,76221,1477.184319,0.000000,0.000000,0.000000,events/second
1594603304,76221,1394.831390,0.000000,0.000000,0.000000,events/second
1594603307,76221,1323.498315,0.000000,0.000000,0.000000,events/second
1594603310,76221,1258.038413,0.000000,0.000000,0.000000,events/second
1594603313,76221,1193.242431,0.000000,0.000000,0.000000,events/second
1594603316,76221,1144.495661,0.000000,0.000000,0.000000,events/second
1594603319,76221,1095.253027,0.000000,0.000000,0.000000,events/second
1594603322,76221,1050.482184,0.000000,0.000000,0.000000,events/second
1594603325,76221,1008.778826,0.000000,0.000000,0.000000,events/second
1594603328,76221,970.260912,0.000000,0.000000,0.000000,events/second
1594603331,76221,934.231778,0.000000,0.000000,0.000000,events/second
1594603334,76221,901.294154,0.000000,0.000000,0.000000,events/second
1594603337,76221,870.258672,0.000000,0.000000,0.000000,events/second
1594603340,76221,841.606653,0.000000,0.000000,0.000000,events/second
1594603343,76221,814.709681,0.000000,0.000000,0.000000,events/second
1594603346,76221,789.417883,0.000000,0.000000,0.000000,events/second
1594603349,76221,765.641361,0.000000,0.000000,0.000000,events/second
1594603352,76221,743.180152,0.000000,0.000000,0.000000,events/second
1594603355,76221,722.117803,0.000000,0.000000,0.000000,events/second
1594603358,76221,702.155546,0.000000,0.000000,0.000000,events/second
1594603361,76221,683.055016,0.000000,0.000000,0.000000,events/second
1594603364,76221,665.127797,0.000000,0.000000,0.000000,events/second
1594603367,76221,648.085761,0.000000,0.000000,0.000000,events/second
1594603370,76221,632.076766,0.000000,0.000000,0.000000,events/second
1594603373,76221,616.907658,0.000000,0.000000,0.000000,events/second
1594603376,76221,602.297878,0.000000,0.000000,0.000000,events/second
1594603379,76221,588.314675,0.000000,0.000000,0.000000,events/second
1594603382,76221,574.998918,0.000000,0.000000,0.000000,events/second
1594603385,76221,562.239136,0.000000,0.000000,0.000000,events/second
1594603388,76221,550.003519,0.000000,0.000000,0.000000,events/second
1594603391,76221,538.412005,0.000000,0.000000,0.000000,events/second
1594603394,76221,527.208039,0.000000,0.000000,0.000000,events/second
1594603397,76221,516.557291,0.000000,0.000000,0.000000,events/second
1594603400,76221,506.192778,0.000000,0.000000,0.000000,events/second
1594603403,76221,496.255821,0.000000,0.000000,0.000000,events/second
1594603406,76221,485.906932,0.000000,0.000000,0.000000,events/second
1594603409,76221,477.669790,0.000000,0.000000,0.000000,events/second
1594603412,76221,468.868631,0.000000,0.000000,0.000000,events/second
1594603415,76221,460.378626,0.000000,0.000000,0.000000,events/second
1594603418,76221,452.116004,0.000000,0.000000,0.000000,events/second
1594603421,76221,444.292911,0.000000,0.000000,0.000000,events/second
1594603424,76221,436.614720,0.000000,0.000000,0.000000,events/second
1594603427,76221,429.226681,0.000000,0.000000,0.000000,events/second
1594603430,76221,422.153585,0.000000,0.000000,0.000000,events/second
1594603433,76221,415.223901,0.000000,0.000000,0.000000,events/second
1594603436,76221,408.573774,0.000000,0.000000,0.000000,events/second
1594603439,76221,402.068480,0.000000,0.000000,0.000000,events/second
1594603442,76221,395.824699,0.000000,0.000000,0.000000,events/second
1594603445,76221,389.675449,0.000000,0.000000,0.000000,events/second
1594603448,76221,383.797745,0.000000,0.000000,0.000000,events/second
1594603451,76221,378.135129,0.000000,0.000000,0.000000,events/second
1594603454,76221,372.591601,0.000000,0.000000,0.000000,events/second
1594603457,76221,367.225306,0.000000,0.000000,0.000000,events/second
1594603460,76221,362.002302,0.000000,0.000000,0.000000,events/second
1594603463,76221,356.898396,0.000000,0.000000,0.000000,events/second
1594603466,76221,351.962003,0.000000,0.000000,0.000000,events/second
1594603469,76221,347.114044,0.000000,0.000000,0.000000,events/second
1594603472,76221,342.469940,0.000000,0.000000,0.000000,events/second
1594603475,76221,337.910559,0.000000,0.000000,0.000000,events/second
1594603478,76221,333.458181,0.000000,0.000000,0.000000,events/second
1594603481,76221,329.146752,0.000000,0.000000,0.000000,events/second
1594603484,76221,324.942669,0.000000,0.000000,0.000000,events/second
1594603487,76221,320.818618,0.000000,0.000000,0.000000,events/second
1594603490,76221,316.845520,0.000000,0.000000,0.000000,events/second
1594603493,76221,312.911197,0.000000,0.000000,0.000000,events/second
1594603496,76221,309.131039,0.000000,0.000000,0.000000,events/second
1594603499,76221,305.398394,0.000000,0.000000,0.000000,events/second
1594603502,76221,301.777884,0.000000,0.000000,0.000000,events/second
1594603505,76221,298.243168,0.000000,0.000000,0.000000,events/second
1594603508,76221,294.765695,0.000000,0.000000,0.000000,events/second
1594603511,76221,291.384406,0.000000,0.000000,0.000000,events/second
1594603514,76221,288.117026,0.000000,0.000000,0.000000,events/second
1594603517,76221,284.867455,0.000000,0.000000,0.000000,events/second
1594603520,76221,281.689297,0.000000,0.000000,0.000000,events/second
1594603523,76221,278.635751,0.000000,0.000000,0.000000,events/second
1594603526,76221,275.596395,0.000000,0.000000,0.000000,events/second
1594603529,76221,272.655866,0.000000,0.000000,0.000000,events/second
1594603532,76221,269.747279,0.000000,0.000000,0.000000,events/second
1594603535,76221,266.928307,0.000000,0.000000,0.000000,events/second
1594603538,76221,264.139640,0.000000,0.000000,0.000000,events/second
1594603541,76221,261.409992,0.000000,0.000000,0.000000,events/second
1594603544,76221,258.770338,0.000000,0.000000,0.000000,events/second
1594603547,76221,256.072769,0.000000,0.000000,0.000000,events/second
1594603550,76221,253.581152,0.000000,0.000000,0.000000,events/second
1594603553,76221,251.074724,0.000000,0.000000,0.000000,events/second
1594603556,76221,248.629894,0.000000,0.000000,0.000000,events/second
1594603559,76221,246.235295,0.000000,0.000000,0.000000,events/second
1594603562,76221,243.870692,0.000000,0.000000,0.000000,events/second
1594603565,76221,241.552004,0.000000,0.000000,0.000000,events/second
1594603568,76221,239.222531,0.000000,0.000000,0.000000,events/second
1594603571,76221,237.026920,0.000000,0.000000,0.000000,events/second
1594603574,76221,234.847200,0.000000,0.000000,0.000000,events/second
1594603577,76221,232.700432,0.000000,0.000000,0.000000,events/second
1594603580,76221,230.583480,0.000000,0.000000,0.000000,events/second
1594603583,76221,228.515729,0.000000,0.000000,0.000000,events/second
1594603586,76221,226.478935,0.000000,0.000000,0.000000,events/second
1594603589,76221,224.466844,0.000000,0.000000,0.000000,events/second
1594603592,76221,222.500505,0.000000,0.000000,0.000000,events/second
1594603595,76221,220.569684,0.000000,0.000000,0.000000,events/second
1594603598,76221,218.682065,0.000000,0.000000,0.000000,events/second
1594603601,76221,216.784923,0.000000,0.000000,0.000000,events/second
1594603604,76221,214.979225,0.000000,0.000000,0.000000,events/second
1594603607,76221,213.174099,0.000000,0.000000,0.000000,events/second
1594603610,76221,211.402049,0.000000,0.000000,0.000000,events/second
1594603613,76221,209.653687,0.000000,0.000000,0.000000,events/second
