t,value
1594603256,0
1594603259,0
1594603262,0
1594603265,0
1594603268,0
1594603271,0
1594603274,0
1594603277,169
1594603280,169
1594603283,169
1594603286,169
1594603289,169
1594603292,169
1594603295,169
1594603298,169
1594603301,169
1594603304,169
1594603307,169
1594603310,169
1594603313,169
1594603316,169
1594603319,169
1594603322,169
1594603325,169
1594603328,169
1594603331,169
1594603334,169
1594603337,169
1594603340,169
1594603343,169
1594603346,169
1594603349,169
1594603352,169
1594603355,169
1594603358,169
1594603361,169
1594603364,169
1594603367,169
1594603370,169
1594603373,169
1594603376,169
1594603379,169
1594603382,169
1594603385,169
1594603388,169
1594603391,169
1594603394,169
1594603397,169
1594603400,169
1594603403,169
1594603406,169
1594603409,169
1594603412,169
1594603415,169
1594603418,169
1594603421,169
1594603424,169
1594603427,169
1594603430,169
1594603433,169
1594603436,169
1594603439,169
1594603442,169
1594603445,169
1594603448,169
1594603451,169
1594603454,169
1594603457,169
1594603460,169
1594603463,169
1594603466,169
1594603469,169
1594603472,169
1594603475,169
1594603478,169
1594603481,169
1594603484,169
1594603487,169
1594603490,169
1594603493,169
1594603496,169
1594603499,169
1594603502,169
1594603505,169
1594603508,169
1594603511,169
1594603514,169
1594603517,169
1594603520,169
1594603523,169
1594603526,169
1594603529,169
1594603532,169
1594603535,169
1594603538,169
1594603541,169
1594603544,169
1594603547,169
1594603550,169
1594603553,169
1594603556,169
1594603559,169
1594603562,169
1594603565,169
1594603568,169
1594603571,169
1594603574,169
1594603577,169
1594603580,169
1594603583,169
1594603586,169
1594603589,169
1594603592,169
1594603595,169
1594603598,169
1594603601,169
1594603604,169
1594603607,169
1594603610,169
1594603613,169
1594603616,169
1594603619,169
1594603622,169
1594603625,169
1594603628,169
1594603631,169
1594603634,169
1594603637,169
1594603640,169
1594603643,169
1594603646,169
1594603649,169
1594603652,169
1594603655,169
1594603658,169
1594603661,169
1594603664,169
1594603667,169
1594603670,169
1594603673,169
1594603676,169
1594603679,169
1594603682,169
1594603685,169
1594603688,169
1594603691,169
1594603694,169
1594603697,169
1594603700,169
1594603703,169
1594603706,169
1594603709,169
1594603712,169
1594603715,169
1594603718,169
1594603721,169
1594603724,169
1594603727,169
1594603730,169
1594603733,169
1594603736,169
1594603739,169
1594603742,169
1594603745,169
1594603748,169
1594603751,169
1594603754,169
1594603757,169
1594603760,169
1594603763,169
1594603766,169
1594603769,169
1594603772,169
1594603775,169
1594603778,169
1594603781,169
1594603784,169
1594603787,169
1594603790,169
1594603793,169
1594603796,169
1594603799,169
1594603802,169
1594603805,169
1594603808,169
1594603811,169
1594603814,169
1594603817,169
1594603820,169
1594603823,169
1594603826,169
1594603829,169
1594603832,169
1594603835,169
1594603838,169
1594603841,169
1594603844,169
1594603847,169
1594603850,169
1594603853,169
1594603856,169
1594603859,169
1594603862,169
1594603865,169
1594603868,169
1594603871,169
1594603874,169
1594603877,169
1594603880,169
1594603883,169
1594603886,169
1594603889,169
1594603892,169
1594603895,169
1594603898,169
1594603901,169
1594603904,169
1594603907,169
1594603910,169
1594603913,169
1594603916,169
1594603919,169
1594603922,169
1594603925,169
1594603928,169
1594603931,169
1594603934,169
1594603937,169
1594603940,169
1594603943,169
1594603946,169
1594603949,169
1594603952,169
1594603955,169
1594603958,169
1594603961,169
1594603964,169
1594603967,169
1594603970,169
1594603973,169
1594603976,169
1594603979,169
1594603982,169
1594603985,169
1594603988,169
1594603991,169
1594603994,169
1594603997,169
1594604000,169
1594604003,169
1594604006,169
1594604009,169
1594604012,169
1594604015,169
1594604018,169
1594604021,169
1594604024,169
1594604027,169
1594604030,169
1594604033,169
1594604036,169
1594604039,169
1594604042,169
1594604045,169
1594604048,169
1594604051,169
1594604054,169
1594604057,169
1594604060,169
1594604063,169
1594604066,169
1594604069,169
1594604072,169
1594604075,169
1594604078,169
1594604081,169
1594604084,169
1594604087,169
1594604090,169
1594604093,169
1594604096,169
1594604099,169
1594604102,169
1594604105,169
1594604108,169
1594604111,169
1594604114,169
1594604117,169
1594604120,169
1594604123,169
1594604126,169
1594604129,169
1594604132,169
1594604135,169
1594604138,169
1594604141,169
1594604144,169
1594604147,169
1594604150,169
1594604153,169
1594604156,169
1594604159,169
1594604162,169
1594604165,169
1594604168,169
1594604171,169
1594604174,169
1594604177,169
1594604180,169
1594604183,169
1594604186,169
1594604189,169
1594604192,169
1594604195,169
1594604198,169
1594604201,169
1594604204,169
1594604207,169
1594604210,169
1594604213,169
1594604216,169
1594604219,169
1594604222,169
1594604225,169
1594604228,169
1594604231,169
1594604234,169
1594604237,169
1594604240,169
1594604243,169
1594604246,169
1594604249,169
1594604252,169
1594604255,169
1594604258,169
1594604261,169
1594604264,169
1594604267,169
1594604270,169
1594604273,169
1594604276,169
1594604279,169
1594604282,169
1594604285,169
1594604288,169
1594604291,169
1594604294,169
1594604297,169
1594604300,169
1594604303,169
1594604306,169
1594604309,169
1594604312,169
1594604315,169
1594604318,169
1594604321,169
1594604324,169
1594604327,169
1594604330,169
1594604333,169
1594604336,169
1594604339,169
1594604342,169
1594604345,169
1594604348,169
1594604351,169
1594604354,169
1594604357,169
1594604360,169
1594604363,169
1594604366,169
1594604369,169
1594604372,169
1594604375,169
1594604378,169
1594604381,169
1594604384,169
1594604387,169
1594604390,169
1594604393,169
1594604396,169
1594604399,169
1594604402,169
1594604405,169
1594604408,169
1594604411,169
1594604414,169
1594604417,169
1594604420,169
1594604423,169
1594604426,169
1594604429,169
1594604432,169
1594604435,169
1594604438,169
1594604441,169
1594604444,169
1594604447,169
1594604450,169
1594604453,169
1594604456,169
1594604459,169
1594604462,169
1594604465,169
1594604468,169
1594604471,169
1594604474,169
1594604477,169
1594604480,169
1594604483,169
1594604486,169
1594604489,169
1594604492,169
1594604495,169
1594604498,169
1594604501,169
1594604504,169
1594604507,169
1594604510,169
1594604513,169
1594604516,169
1594604519,169
1594604522,169
1594604525,169
1594604528,169
1594604531,169
1594604534,169
1594604537,169
1594604540,169
1594604543,169
1594604546,169
1594604549,169
1594604552,169
1594604555,169
1594604558,169
1594604561,169
1594604564,169
1594604567,169
1594604570,169
1594604573,169
1594604576,169
1594604579,169
1594604582,169
1594604585,169
1594604588,169
1594604591,169
1594604594,169
1594604597,169
1594604600,169
1594604603,169
1594604606,169
1594604609,169
1594604612,169
1594604615,169
1594604618,169
1594604621,169
1594604624,169
1594604627,169
1594604630,169
1594604633,169
1594604636,169
1594604639,169
1594604642,169
1594604645,169
1594604648,169
1594604651,169
1594604654,169
1594604657,169
1594604660,169
1594604663,169
1594604666,169
1594604669,169
1594604672,169
1594604675,169
1594604678,169
1594604681,169
1594604684,169
1594604687,169
1594604690,169
1594604693,169
1594604696,169
1594604699,169
1594604702,169
1594604705,169
1594604708,169
1594604711,169
1594604714,169
1594604717,169
1594604720,169
1594604723,169
1594604726,169
1594604729,169
1594604732,169
1594604735,169
1594604738,169
1594604741,169
1594604744,169
1594604747,169
1594604750,169
1594604753,169
1594604756,169
1594604759,169
1594604762,169
1594604765,169
1594604768,169
1594604771,169
1594604774,169
1594604777,169
1594604780,169
1594604783,169
1594604786,169
1594604789,169
1594604792,169
1594604795,169
1594604798,169
1594604801,169
1594604804,169
1594604807,169
1594604810,169
1594604813,169
1594604816,169
1594604819,169
1594604822,169
1594604825,169
1594604828,169
1594604831,169
1594604834,169
1594604837,169
1594604840,169
1594604843,169
1594604846,169
1594604849,169
1594604852,169
1594604855,169
1594604858,169
1594604861,169
1594604864,169
1594604867,169
1594604870,169
1594604873,169
1594604876,169
1594604879,169
1594604882,169
1594604885,169
1594604888,169
1594604891,169
1594604894,169
1594604897,169
1594604900,169
1594604903,169
1594604906,169
1594604909,169
1594604912,169
1594604915,169
1594604918,169
1594604921,169
1594604924,169
1594604927,169
1594604930,169
1594604933,169
1594604936,169
1594604939,169
1594604942,169
1594604945,169
1594604948,169
1594604951,169
1594604954,169
1594604957,169
1594604960,169
1594604963,169
1594604966,169
1594604969,169
1594604972,169
1594604975,169
1594604978,169
1594604981,169
1594604984,169
1594604987,169
1594604990,169
1594604993,169
1594604996,169
1594604999,169
1594605002,169
1594605005,169
1594605008,169
1594605011,169
1594605014,169
1594605017,169
1594605020,169
1594605023,169
1594605026,169
1594605029,169
1594605032,169
1594605035,169
1594605038,169
1594605041,169
1594605044,169
1594605047,169
1594605050,169
1594605053,169
1594605056,169
1594605059,169
1594605062,169
1594605065,169
1594605068,169
1594605071,169
1594605074,169
1594605077,169
1594605080,169
1594605083,169
1594605086,169
1594605089,169
1594605092,169
1594605095,169
1594605098,169
1594605101,169
1594605104,169
1594605107,169
1594605110,169
1594605113,169
1594605116,169
1594605119,169
1594605122,169
1594605125,169
1594605128,169
1594605131,169
1594605134,169
1594605137,169
1594605140,169
1594605143,169
1594605146,169
1594605149,169
1594605152,169
1594605155,169
1594605158,169
1594605161,169
1594605164,169
1594605167,169
1594605170,169
1594605173,169
1594605176,169
1594605179,169
1594605182,169
1594605185,169
1594605188,169
1594605191,169
1594605194,169
1594605197,169
1594605200,169
1594605203,169
1594605206,169
1594605209,169
1594605212,169
1594605215,169
1594605218,169
1594605221,169
1594605224,169
1594605227,169
1594605230,169
1594605233,169
1594605236,169
1594605239,169
1594605242,169
1594605245,169
1594605248,169
1594605251,169
1594605254,169
1594605257,169
1594605260,169
1594605263,169
1594605266,169
1594605269,169
1594605272,169
1594605275,169
1594605278,169
1594605281,169
1594605284,169
1594605287,169
1594605290,169
1594605293,169
1594605296,169
1594605299,169
1594605302,169
1594605305,169
1594605308,169
1594605311,169
1594605314,169
1594605317,169
1594605320,169
1594605323,169
1594605326,169
1594605329,169
1594605332,169
1594605335,169
1594605338,169
1594605341,169
1594605344,169
1594605347,169
1594605350,169
1594605353,169
1594605356,169
1594605359,169
1594605362,169
1594605365,169
1594605368,169
1594605371,169
1594605374,169
1594605377,169
1594605380,169
1594605383,169
1594605386,169
1594605389,169
1594605392,169
1594605395,169
1594605398,169
1594605401,169
1594605404,169
1594605407,169
1594605410,169
1594605413,169
1594605416,169
1594605419,169
1594605422,169
1594605425,169
1594605428,169
1594605431,169
1594605434,169
1594605437,169
1594605440,169
1594605443,169
1594605446,169
1594605449,169
1594605452,169
1594605455,169
1594605458,169
1594605461,169
1594605464,169
1594605467,169
1594605470,169
1594605473,169
1594605476,169
1594605479,169
1594605482,169
1594605485,169
1594605488,169
1594605491,169
1594605494,169
1594605497,169
1594605500,169
1594605503,169
1594605506,169
1594605509,169
1594605512,169
1594605515,169
1594605518,169
1594605521,169
1594605524,169
1594605527,169
1594605530,169
1594605533,169
1594605536,169
1594605539,169
1594605542,169
1594605545,169
1594605548,169
1594605551,169
1594605554,169
1594605557,169
1594605560,169
1594605563,169
1594605566,169
1594605569,169
1594605572,169
1594605575,169
1594605578,169
1594605581,169
1594605584,169
1594605587,169
1594605590,169
1594605593,169
1594605596,169
1594605599,169
1594605602,169
1594605605,169
1594605608,169
1594605611,169
1594605614,169
1594605617,169
1594605620,169
1594605623,169
1594605626,169
1594605629,169
1594605632,169
1594605635,169
1594605638,169
1594605641,169
1594605644,169
1594605647,169
1594605650,169
1594605653,169
1594605656,169
1594605659,169
1594605662,169
1594605665,169
1594605668,169
1594605671,169
1594605674,169
1594605677,169
1594605680,169
1594605683,169
1594605686,169
1594605689,169
1594605692,169
1594605695,169
1594605698,169
1594605701,169
1594605704,169
1594605707,169
1594605710,169
1594605713,169
1594605716,169
1594605719,169
1594605722,169
1594605725,169
1594605728,169
1594605731,169
1594605734,169
1594605737,169
1594605740,169
1594605743,169
1594605746,169
1594605749,169
1594605752,169
1594605755,169
1594605758,169
1594605761,169
1594605764,169
1594605767,169
1594605770,169
1594605773,169
1594605776,169
1594605779,169
1594605782,169
1594605785,169
1594605788,169
1594605791,169
1594605794,169
1594605797,169
1594605800,169
1594605803,169
1594605806,169
1594605809,169
1594605812,169
1594605815,169
1594605818,169
1594605821,169
1594605824,169
1594605827,169
1594605830,169
1594605833,169
1594605836,169
1594605839,169
1594605842,169
1594605845,169
1594605848,169
1594605851,169
1594605854,169
1594605857,169
1594605860,169
1594605863,169
1594605866,169
1594605869,169
1594605872,169
1594605875,169
1594605878,169
1594605881,169
1594605884,169
1594605887,169
1594605890,169
1594605893,169
1594605896,169
1594605899,169
1594605902,169
1594605905,169
1594605908,169
1594605911,169
1594605914,169
1594605917,169
1594605920,169
1594605923,169
1594605926,169
1594605929,169
1594605932,169
1594605935,169
1594605938,169
1594605941,169
1594605944,169
1594605947,169
1594605950,169
1594605953,169
1594605956,169
1594605959,169
1594605962,169
1594605965,169
1594605968,169
1594605971,169
1594605974,169
1594605977,169
1594605980,169
1594605983,169
1594605986,169
1594605989,169
1594605992,169
1594605995,169
1594605998,169
1594606001,169
1594606004,169
1594606007,169
1594606010,169
1594606013,169
1594606016,169
1594606019,169
1594606022,169
1594606025,169
1594606028,169
1594606031,169
1594606034,169
1594606037,169
1594606040,169
1594606043,169
1594606046,169
1594606049,169
1594606052,169
1594606055,169
1594606058,169
1594606061,169
1594606064,169
1594606067,169
1594606070,169
1594606073,169
1594606076,169
1594606079,169
1594606082,169
1594606085,169
1594606088,169
1594606091,169
1594606094,169
1594606097,169
1594606100,169
1594606103,169
1594606106,169
