t,value
1594603256,0
1594603259,0
1594603262,0
1594603265,0
1594603268,0
1594603271,0
1594603274,0
1594603277,250
1594603280,250
1594603283,250
1594603286,250
1594603289,250
1594603292,250
1594603295,250
1594603298,250
1594603301,250
1594603304,250
1594603307,250
1594603310,250
1594603313,250
1594603316,250
1594603319,250
1594603322,250
1594603325,250
1594603328,250
1594603331,250
1594603334,250
1594603337,250
1594603340,250
1594603343,250
1594603346,250
1594603349,250
1594603352,250
1594603355,250
1594603358,250
1594603361,250
1594603364,250
1594603367,250
1594603370,250
1594603373,250
1594603376,250
1594603379,250
1594603382,250
1594603385,250
1594603388,250
1594603391,250
1594603394,250
1594603397,250
1594603400,250
1594603403,250
1594603406,250
1594603409,250
1594603412,250
1594603415,250
1594603418,250
1594603421,250
1594603424,250
1594603427,250
1594603430,250
1594603433,250
1594603436,250
1594603439,250
1594603442,250
1594603445,250
1594603448,250
1594603451,250
1594603454,250
1594603457,250
1594603460,250
1594603463,250
1594603466,250
1594603469,250
1594603472,250
1594603475,250
1594603478,250
1594603481,250
1594603484,250
1594603487,250
1594603490,250
1594603493,250
1594603496,250
1594603499,250
1594603502,250
1594603505,250
1594603508,250
1594603511,250
1594603514,250
1594603517,250
1594603520,250
1594603523,250
1594603526,250
1594603529,250
1594603532,250
1594603535,250
1594603538,250
1594603541,250
1594603544,250
1594603547,250
1594603550,250
1594603553,250
1594603556,250
1594603559,250
1594603562,250
1594603565,250
1594603568,250
1594603571,250
1594603574,250
1594603577,250
1594603580,250
1594603583,250
1594603586,250
1594603589,250
1594603592,250
1594603595,250
1594603598,250
1594603601,250
1594603604,250
1594603607,250
1594603610,250
1594603613,250
1594603616,250
1594603619,250
1594603622,250
1594603625,250
1594603628,250
1594603631,250
1594603634,250
1594603637,250
1594603640,250
1594603643,250
1594603646,250
1594603649,250
1594603652,250
1594603655,250
1594603658,250
1594603661,250
1594603664,250
1594603667,250
1594603670,250
1594603673,250
1594603676,250
1594603679,250
1594603682,250
1594603685,250
1594603688,250
1594603691,250
1594603694,250
1594603697,250
1594603700,250
1594603703,250
1594603706,250
1594603709,250
1594603712,250
1594603715,250
1594603718,250
1594603721,250
1594603724,250
1594603727,250
1594603730,250
1594603733,250
1594603736,250
1594603739,250
1594603742,250
1594603745,250
1594603748,250
1594603751,250
1594603754,250
1594603757,250
1594603760,250
1594603763,250
1594603766,250
1594603769,250
1594603772,250
1594603775,250
1594603778,250
1594603781,250
1594603784,250
1594603787,250
1594603790,250
1594603793,250
1594603796,250
1594603799,250
1594603802,250
1594603805,250
1594603808,250
1594603811,250
1594603814,250
1594603817,250
1594603820,250
1594603823,250
1594603826,250
1594603829,250
1594603832,250
1594603835,250
1594603838,250
1594603841,250
1594603844,250
1594603847,250
1594603850,250
1594603853,250
1594603856,250
1594603859,250
1594603862,250
1594603865,250
1594603868,250
1594603871,250
1594603874,250
1594603877,250
1594603880,250
1594603883,250
1594603886,250
1594603889,250
1594603892,250
1594603895,250
1594603898,250
1594603901,250
1594603904,250
1594603907,250
1594603910,250
1594603913,250
1594603916,250
1594603919,250
1594603922,250
1594603925,250
1594603928,250
1594603931,250
1594603934,250
1594603937,250
1594603940,250
1594603943,250
1594603946,250
1594603949,250
1594603952,250
1594603955,250
1594603958,250
1594603961,250
1594603964,250
1594603967,250
1594603970,250
1594603973,250
1594603976,250
1594603979,250
1594603982,250
1594603985,250
1594603988,250
1594603991,250
1594603994,250
1594603997,250
1594604000,250
1594604003,250
1594604006,250
1594604009,250
1594604012,250
1594604015,250
1594604018,250
1594604021,250
1594604024,250
1594604027,250
1594604030,250
1594604033,250
1594604036,250
1594604039,250
1594604042,250
1594604045,250
1594604048,250
1594604051,250
1594604054,250
1594604057,250
1594604060,250
1594604063,250
1594604066,250
1594604069,250
1594604072,250
1594604075,250
1594604078,250
1594604081,250
1594604084,250
1594604087,250
1594604090,250
1594604093,250
1594604096,250
1594604099,250
1594604102,250
1594604105,250
1594604108,250
1594604111,250
1594604114,250
1594604117,250
1594604120,250
1594604123,250
1594604126,250
1594604129,250
1594604132,250
1594604135,250
1594604138,250
1594604141,250
1594604144,250
1594604147,250
1594604150,250
1594604153,250
1594604156,250
1594604159,250
1594604162,250
1594604165,250
1594604168,250
1594604171,250
1594604174,250
1594604177,250
1594604180,250
1594604183,250
1594604186,250
1594604189,250
1594604192,250
1594604195,250
1594604198,250
1594604201,250
1594604204,250
1594604207,250
1594604210,250
1594604213,250
1594604216,250
1594604219,250
1594604222,250
1594604225,250
1594604228,250
1594604231,250
1594604234,250
1594604237,250
1594604240,250
1594604243,250
1594604246,250
1594604249,250
1594604252,250
1594604255,250
1594604258,250
1594604261,250
1594604264,250
1594604267,250
1594604270,250
1594604273,250
1594604276,250
1594604279,250
1594604282,250
1594604285,250
1594604288,250
1594604291,250
1594604294,250
1594604297,250
1594604300,250
1594604303,250
1594604306,250
1594604309,250
1594604312,250
1594604315,250
1594604318,250
1594604321,250
1594604324,250
1594604327,250
1594604330,250
1594604333,250
1594604336,250
1594604339,250
1594604342,250
1594604345,250
1594604348,250
1594604351,250
1594604354,250
1594604357,250
1594604360,250
1594604363,250
1594604366,250
1594604369,250
1594604372,250
1594604375,250
1594604378,250
1594604381,250
1594604384,250
1594604387,250
1594604390,250
1594604393,250
1594604396,250
1594604399,250
1594604402,250
1594604405,250
1594604408,250
1594604411,250
1594604414,250
1594604417,250
1594604420,250
1594604423,250
1594604426,250
1594604429,250
1594604432,250
1594604435,250
1594604438,250
1594604441,250
1594604444,250
1594604447,250
1594604450,250
1594604453,250
1594604456,250
1594604459,250
1594604462,250
1594604465,250
1594604468,250
1594604471,250
1594604474,250
1594604477,250
1594604480,250
1594604483,250
1594604486,250
1594604489,250
1594604492,250
1594604495,250
1594604498,250
1594604501,250
1594604504,250
1594604507,250
1594604510,250
1594604513,250
1594604516,250
1594604519,250
1594604522,250
1594604525,250
1594604528,250
1594604531,250
1594604534,250
1594604537,250
1594604540,250
1594604543,250
1594604546,250
1594604549,250
1594604552,250
1594604555,250
1594604558,250
1594604561,250
1594604564,250
1594604567,250
1594604570,250
1594604573,250
1594604576,250
1594604579,250
1594604582,250
1594604585,250
1594604588,250
1594604591,250
1594604594,250
1594604597,250
1594604600,250
1594604603,250
1594604606,250
1594604609,250
1594604612,250
1594604615,250
1594604618,250
1594604621,250
1594604624,250
1594604627,250
1594604630,250
1594604633,250
1594604636,250
1594604639,250
1594604642,250
1594604645,250
1594604648,250
1594604651,250
1594604654,250
1594604657,250
1594604660,250
1594604663,250
1594604666,250
1594604669,250
1594604672,250
1594604675,250
1594604678,250
1594604681,250
1594604684,250
1594604687,250
1594604690,250
1594604693,250
1594604696,250
1594604699,250
1594604702,250
1594604705,250
1594604708,250
1594604711,250
1594604714,250
1594604717,250
1594604720,250
1594604723,250
1594604726,250
1594604729,250
1594604732,250
1594604735,250
1594604738,250
1594604741,250
1594604744,250
1594604747,250
1594604750,250
1594604753,250
1594604756,250
1594604759,250
1594604762,250
1594604765,250
1594604768,250
1594604771,250
1594604774,250
1594604777,250
1594604780,250
1594604783,250
1594604786,250
1594604789,250
1594604792,250
1594604795,250
1594604798,250
1594604801,250
1594604804,250
1594604807,250
1594604810,250
1594604813,250
1594604816,250
1594604819,250
1594604822,250
1594604825,250
1594604828,250
1594604831,250
1594604834,250
1594604837,250
1594604840,250
1594604843,250
1594604846,250
1594604849,250
1594604852,250
1594604855,250
1594604858,250
1594604861,250
1594604864,250
1594604867,250
1594604870,250
1594604873,250
1594604876,250
1594604879,250
1594604882,250
1594604885,250
1594604888,250
1594604891,250
1594604894,250
1594604897,250
1594604900,250
1594604903,250
1594604906,250
1594604909,250
1594604912,250
1594604915,250
1594604918,250
1594604921,250
1594604924,250
1594604927,250
1594604930,250
1594604933,250
1594604936,250
1594604939,250
1594604942,250
1594604945,250
1594604948,250
1594604951,250
1594604954,250
1594604957,250
1594604960,250
1594604963,250
1594604966,250
1594604969,250
1594604972,250
1594604975,250
1594604978,250
1594604981,250
1594604984,250
1594604987,250
1594604990,250
1594604993,250
1594604996,250
1594604999,250
1594605002,250
1594605005,250
1594605008,250
1594605011,250
1594605014,250
1594605017,250
1594605020,250
1594605023,250
1594605026,250
1594605029,250
1594605032,250
1594605035,250
1594605038,250
1594605041,250
1594605044,250
1594605047,250
1594605050,250
1594605053,250
1594605056,250
1594605059,250
1594605062,250
1594605065,250
1594605068,250
1594605071,250
1594605074,250
1594605077,250
1594605080,250
1594605083,250
1594605086,250
1594605089,250
1594605092,250
1594605095,250
1594605098,250
1594605101,250
1594605104,250
1594605107,250
1594605110,250
1594605113,250
1594605116,250
1594605119,250
1594605122,250
1594605125,250
1594605128,250
1594605131,250
1594605134,250
1594605137,250
1594605140,250
1594605143,250
1594605146,250
1594605149,250
1594605152,250
1594605155,250
1594605158,250
1594605161,250
1594605164,250
1594605167,250
1594605170,250
1594605173,250
1594605176,250
1594605179,250
1594605182,250
1594605185,250
1594605188,250
1594605191,250
1594605194,250
1594605197,250
1594605200,250
1594605203,250
1594605206,250
1594605209,250
1594605212,250
1594605215,250
1594605218,250
1594605221,250
1594605224,250
1594605227,250
1594605230,250
1594605233,250
1594605236,250
1594605239,250
1594605242,250
1594605245,250
1594605248,250
1594605251,250
1594605254,250
1594605257,250
1594605260,250
1594605263,250
1594605266,250
1594605269,250
1594605272,250
1594605275,250
1594605278,250
1594605281,250
1594605284,250
1594605287,250
1594605290,250
1594605293,250
1594605296,250
1594605299,250
1594605302,250
1594605305,250
1594605308,250
1594605311,250
1594605314,250
1594605317,250
1594605320,250
1594605323,250
1594605326,250
1594605329,250
1594605332,250
1594605335,250
1594605338,250
1594605341,250
1594605344,250
1594605347,250
1594605350,250
1594605353,250
1594605356,250
1594605359,250
1594605362,250
1594605365,250
1594605368,250
1594605371,250
1594605374,250
1594605377,250
1594605380,250
1594605383,250
1594605386,250
1594605389,250
1594605392,250
1594605395,250
1594605398,250
1594605401,250
1594605404,250
1594605407,250
1594605410,250
1594605413,250
1594605416,250
1594605419,250
1594605422,250
1594605425,250
1594605428,250
1594605431,250
1594605434,250
1594605437,250
1594605440,250
1594605443,250
1594605446,250
1594605449,250
1594605452,250
1594605455,250
1594605458,250
1594605461,250
1594605464,250
1594605467,250
1594605470,250
1594605473,250
1594605476,250
1594605479,250
1594605482,250
1594605485,250
1594605488,250
1594605491,250
1594605494,250
1594605497,250
1594605500,250
1594605503,250
1594605506,250
1594605509,250
1594605512,250
1594605515,250
1594605518,250
1594605521,250
1594605524,250
1594605527,250
1594605530,250
1594605533,250
1594605536,250
1594605539,250
1594605542,250
1594605545,250
1594605548,250
1594605551,250
1594605554,250
1594605557,250
1594605560,250
1594605563,250
1594605566,250
1594605569,250
1594605572,250
1594605575,250
1594605578,250
1594605581,250
1594605584,250
1594605587,250
1594605590,250
1594605593,250
1594605596,250
1594605599,250
1594605602,250
1594605605,250
1594605608,250
1594605611,250
1594605614,250
1594605617,250
1594605620,250
1594605623,250
1594605626,250
1594605629,250
1594605632,250
1594605635,250
1594605638,250
1594605641,250
1594605644,250
1594605647,250
1594605650,250
1594605653,250
1594605656,250
1594605659,250
1594605662,250
1594605665,250
1594605668,250
1594605671,250
1594605674,250
1594605677,250
1594605680,250
1594605683,250
1594605686,250
1594605689,250
1594605692,250
1594605695,250
1594605698,250
1594605701,250
1594605704,250
1594605707,250
1594605710,250
1594605713,250
1594605716,250
1594605719,250
1594605722,250
1594605725,250
1594605728,250
1594605731,250
1594605734,250
1594605737,250
1594605740,250
1594605743,250
1594605746,250
1594605749,250
1594605752,250
1594605755,250
1594605758,250
1594605761,250
1594605764,250
1594605767,250
1594605770,250
1594605773,250
1594605776,250
1594605779,250
1594605782,250
1594605785,250
1594605788,250
1594605791,250
1594605794,250
1594605797,250
1594605800,250
1594605803,250
1594605806,250
1594605809,250
1594605812,250
1594605815,250
1594605818,250
1594605821,250
1594605824,250
1594605827,250
1594605830,250
1594605833,250
1594605836,250
1594605839,250
1594605842,250
1594605845,250
1594605848,250
1594605851,250
1594605854,250
1594605857,250
1594605860,250
1594605863,250
1594605866,250
1594605869,250
1594605872,250
1594605875,250
1594605878,250
1594605881,250
1594605884,250
1594605887,250
1594605890,250
1594605893,250
1594605896,250
1594605899,250
1594605902,250
1594605905,250
1594605908,250
1594605911,250
1594605914,250
1594605917,250
1594605920,250
1594605923,250
1594605926,250
1594605929,250
1594605932,250
1594605935,250
1594605938,250
1594605941,250
1594605944,250
1594605947,250
1594605950,250
1594605953,250
1594605956,250
1594605959,250
1594605962,250
1594605965,250
1594605968,250
1594605971,250
1594605974,250
1594605977,250
1594605980,250
1594605983,250
1594605986,250
1594605989,250
1594605992,250
1594605995,250
1594605998,250
1594606001,250
1594606004,250
1594606007,250
1594606010,250
1594606013,250
1594606016,250
1594606019,250
1594606022,250
1594606025,250
1594606028,250
1594606031,250
1594606034,250
1594606037,250
1594606040,250
1594606043,250
1594606046,250
1594606049,250
1594606052,250
1594606055,250
1594606058,250
1594606061,250
1594606064,250
1594606067,250
1594606070,250
1594606073,250
1594606076,250
1594606079,250
1594606082,250
1594606085,250
1594606088,250
1594606091,250
1594606094,250
1594606097,250
1594606100,250
1594606103,250
1594606106,250
