t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603262,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603265,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603268,5,0.265862,0.000000,0.000000,0.000000,events/second
1594603271,6,0.275642,0.000000,0.000000,0.000000,events/second
1594603274,6,0.243228,0.000000,0.000000,0.000000,events/second
1594603277,6,0.217016,0.000000,0.000000,0.000000,events/second
1594603280,6,0.195378,0.000000,0.000000,0.000000,events/second
1594603283,6,0.178424,0.000000,0.000000,0.000000,events/second
1594603286,6,0.163797,0.000000,0.000000,0.000000,events/second
1594603289,6,0.142377,0.000000,0.000000,0.000000,events/second
1594603292,6,0.140138,0.000000,0.000000,0.000000,events/second
1594603295,6,0.131288,0.000000,0.000000,0.000000,events/second
1594603298,6,0.123507,0.000000,0.000000,0.000000,events/second
1594603301,6,0.116276,0.000000,0.000000,0.000000,events/second
1594603304,6,0.109791,0.000000,0.000000,0.000000,events/second
1594603307,6,0.104180,0.000000,0.000000,0.000000,events/second
1594603310,6,0.099025,0.000000,0.000000,0.000000,events/second
1594603313,6,0.093841,0.000000,0.000000,0.000000,events/second
1594603316,6,0.090089,0.000000,0.000000,0.000000,events/second
1594603319,6,0.086214,0.000000,0.000000,0.000000,events/second
1594603322,6,0.082690,0.000000,0.000000,0.000000,events/second
1594603325,6,0.079407,0.000000,0.000000,0.000000,events/second
1594603328,6,0.076376,0.000000,0.000000,0.000000,events/second
1594603331,6,0.073538,0.000000,0.000000,0.000000,events/second
1594603334,6,0.070947,0.000000,0.000000,0.000000,events/second
1594603337,6,0.068503,0.000000,0.000000,0.000000,events/second
1594603340,6,0.066248,0.000000,0.000000,0.000000,events/second
1594603343,6,0.064130,0.000000,0.000000,0.000000,events/second
1594603346,6,0.062140,0.000000,0.000000,0.000000,events/second
1594603349,6,0.060269,0.000000,0.000000,0.000000,events/second
1594603352,6,0.058500,0.000000,0.000000,0.000000,events/second
1594603355,6,0.056843,0.000000,0.000000,0.000000,events/second
1594603358,6,0.055272,0.000000,0.000000,0.000000,events/second
1594603361,6,0.053768,0.000000,0.000000,0.000000,events/second
1594603364,6,0.052357,0.000000,0.000000,0.000000,events/second
1594603367,6,0.051015,0.000000,0.000000,0.000000,events/second
1594603370,6,0.049755,0.000000,0.000000,0.000000,events/second
1594603373,6,0.048561,0.000000,0.000000,0.000000,events/second
1594603376,6,0.047411,0.000000,0.000000,0.000000,events/second
1594603379,6,0.046310,0.000000,0.000000,0.000000,events/second
1594603382,6,0.045262,0.000000,0.000000,0.000000,events/second
1594603385,6,0.044258,0.000000,0.000000,0.000000,events/second
1594603388,6,0.043295,0.000000,0.000000,0.000000,events/second
1594603391,6,0.042382,0.000000,0.000000,0.000000,events/second
1594603394,6,0.041500,0.000000,0.000000,0.000000,events/second
1594603397,6,0.040662,0.000000,0.000000,0.000000,events/second
1594603400,6,0.039846,0.000000,0.000000,0.000000,events/second
1594603403,6,0.039064,0.000000,0.000000,0.000000,events/second
1594603406,7,0.044624,0.000000,0.000000,0.000000,events/second
